,Rank,Player (age that year),Sacrifice Hits,Year,Bats
0,1.,Ray Chapman (26),67,1917,R
1,2.,Bill Bradley (30),60,1908,R
2,3.,Jack Barry (30),54,1917,R
3,4.,Donie Bush (21),52,1909,B
4,4.,Bob Ganley (33),52,1908,L
5,6.,Ray Chapman (28),50,1919,R
6,7.,Donie Bush (32),48,1920,B
7,7.,Joe Gedeon (26),48,1920,R
8,9.,Ossie Vitt (29),47,1919,R
9,10.,Bill Bradley (29),46,1907,R
10,10.,Bucky Harris+ (27),46,1924,R
11,10.,Jimmy Sheckard (30),46,1909,L
12,10.,Ralph Young (30),46,1919,B
13,14.,Ray Chapman (22),45,1913,R
14,14.,Stuffy McInnis (29),45,1920,R
15,16.,Buck Weaver (25),44,1916,B
16,17.,Kid Gleason (38),43,1905,B
17,17.,Roy Grover (25),43,1917,R
18,17.,Germany Schaefer (32),43,1908,R
19,17.,Bill Wambsganss (27),43,1921,R
20,21.,Bob Fisher (28),42,1915,R
21,21.,Willie Keeler+ (33),42,1905,L
22,21.,Otto Knabe (24),42,1908,R
23,21.,Pie Traynor+ (29),42,1928,R
24,21.,Bobby Vaughn (30),42,1915,R
25,21.,Ossie Vitt (25),42,1915,R
26,21.,Bill Wambsganss (28),42,1922,R
27,21.,Buck Weaver (24),42,1915,B
28,29.,Donie Bush (33),41,1921,B
29,29.,Ray Chapman (29),41,1920,R
30,29.,Bob Ganley (34),41,1909,L
31,29.,Bucky Harris+ (28),41,1925,R
32,29.,Otto Knabe (29),41,1913,R
33,29.,Everett Scott (24),41,1917,R
34,29.,Joe Sewell+ (30),41,1929,L
35,36.,Bert Campaneris (35),40,1977,R
36,36.,Ray Chapman (25),40,1916,R
37,36.,Eddie Collins+ (32),40,1919,L
38,36.,Shano Collins (29),40,1915,R
39,36.,George Davis+ (34),40,1905,B
40,36.,Ike Davis (30),40,1925,R
41,36.,Larry Gardner (31),40,1917,L
42,36.,Joe Gedeon (25),40,1919,R
43,36.,Mule Haas (25),40,1929,L
44,36.,Tom Jones (32),40,1906,R
45,36.,Otto Knabe (23),40,1907,R
46,36.,Roger Peckinpaugh (32),40,1923,R
47,36.,Jimmy Sheckard (27),40,1906,L
48,36.,Bill Wambsganss (26),40,1920,R
49,50.,Jay Bell (24),39,1990,R
50,50.,Eddie Collins+ (29),39,1916,L
51,50.,Eddie Collins+ (36),39,1923,L
52,50.,Jake Daubert (31),39,1915,L
53,50.,Jake Daubert (35),39,1919,L
54,50.,Max Flack (26),39,1916,L
55,50.,Zeb Terry (31),39,1922,R
56,57.,Chick Gandil (26),38,1914,R
57,57.,Hans Lobert (29),38,1911,R
58,57.,Terry Turner (33),38,1914,R
59,60.,Dick Bartell (25),37,1933,R
60,60.,Max Carey+ (22),37,1912,B
61,60.,George Cutshaw (33),37,1920,R
62,60.,Taylor Douthit (25),37,1926,R
63,60.,Charlie Hollocher (26),37,1922,L
64,60.,Willie Kamm (25),37,1925,R
65,60.,Otto Knabe (26),37,1910,R
66,60.,Freddie Maguire (29),37,1928,R
67,60.,Stuffy McInnis (32),37,1923,R
68,60.,Topper Rigney (25),37,1922,R
69,60.,Bill Wambsganss (30),37,1924,R
70,71.,Bill Coughlin (27),36,1906,R
71,71.,Art Devlin (27),36,1907,R
72,71.,Jiggs Donahue (26),36,1906,L
73,71.,Hunter Hill (26),36,1905,R
74,71.,Fielder Jones (32),36,1904,L
75,71.,Harry Lord (26),36,1908,L
76,71.,Hervey McClellan (28),36,1923,R
77,71.,Bill McKechnie+ (27),36,1914,B
78,71.,Dave Shean (34),36,1918,R
79,71.,Milt Stock (27),36,1921,R
80,71.,Joe Tinker+ (25),36,1906,R
81,71.,Bobby Veach (34),36,1922,L
82,71.,Harry Walker (24),36,1943,L
83,84.,Jimmy Austin (35),35,1915,B
84,84.,Dick Bartell (24),35,1932,R
85,84.,Beals Becker (22),35,1909,L
86,84.,Ray Chapman (27),35,1918,R
87,84.,Eddie Collins+ (28),35,1915,L
88,84.,Jake Daubert (32),35,1916,L
89,84.,Dave Fultz (27),35,1902,R
90,84.,Bob Ganley (31),35,1906,L
91,84.,Kid Gleason (37),35,1904,B
92,84.,Willie Keeler+ (34),35,1906,L
93,84.,Lee Magee (25),35,1914,B
94,84.,Stuffy McInnis (30),35,1921,R
95,84.,Freddy Parent (29),35,1905,R
96,84.,Jimmy Sheckard (28),35,1907,L
97,84.,Billy Southworth+ (28),35,1921,L
98,84.,Freddy Spurgeon (24),35,1926,R
99,84.,Pie Traynor+ (28),35,1927,R
100,84.,Buck Weaver (26),35,1917,B
101,102.,Jimmy Austin (31),34,1911,B
102,102.,Home Run Baker+ (23),34,1909,L
103,102.,Lu Blue (28),34,1925,B
104,102.,Ping Bodie (26),34,1914,R
105,102.,Charlie Deal (28),34,1920,R
106,102.,Jimmy Esmond (25),34,1915,R
107,102.,Eddie Grant (27),34,1910,L
108,102.,Harry Hooper+ (22),34,1910,L
109,102.,Doc Johnston (27),34,1915,L
110,102.,Fielder Jones (35),34,1907,L
111,102.,Tom Jones (34),34,1908,R
112,102.,Billy Lush (29),34,1903,B
113,102.,Eddie Mulligan (26),34,1921,R
114,102.,Danny Murphy (32),34,1909,R
115,102.,Simon Nicholls (24),34,1907,L
116,102.,Babe Pinelli (29),34,1925,R
117,102.,Craig Reynolds (26),34,1979,L
118,102.,Zeb Terry (30),34,1921,R
119,102.,Joe Tinker+ (31),34,1912,R
120,121.,Jimmy Callahan (30),33,1904,R
