,Rank,Player (age that year),Errors Committed,Year,Throws
140,133.,Whitey Witt (20),78,1916,R
141,142.,Bob Allen (24),77,1892,R
142,142.,Monte Cross (25),77,1895,R
143,142.,Tom Daly (27),77,1893,R
144,142.,Emil Gross (25),77,1883,R
145,142.,Sadie Houck (29),77,1885,R
146,142.,Bill Joyce (27),77,1895,R
147,142.,Al Myers (23),77,1887,R
148,142.,Fred Pfeffer (31),77,1891,R
149,142.,General Stafford (29),77,1897,R
150,151.,Amos Booth (27),76,1876,R
151,151.,Tommy Corcoran (25),76,1894,R
152,151.,Bill Dahlen (28),76,1898,R
153,151.,Kid Elberfeld (26),76,1901,R
154,151.,Bill Everitt (26),76,1895,R
155,151.,Sam LaRocque (27),76,1890,R
156,151.,Jack O'Brien (23),76,1883,R
157,151.,Fred Pfeffer (22),76,1882,R
158,151.,Fred Pfeffer (30),76,1890,R
159,151.,Lee Tannehill (22),76,1903,R
160,151.,John Ward+ (29),76,1889,R
161,151.,Sam Wise (31),76,1889,R
162,163.,Ed Abbaticchio (28),75,1905,R
163,163.,Donie Bush (23),75,1911,R
164,163.,Monte Cross (27),75,1897,R
165,163.,Bill Dahlen (24),75,1894,R
166,163.,Frank Fennelly (24),75,1884,R
167,163.,Otto Krueger (25),75,1902,R
168,163.,Arlie Latham (31),75,1891,R
169,163.,Doc Lavan (24),75,1915,R
170,163.,Bill McClellan (27),75,1883,L
171,163.,Ed McKean (26),75,1890,R
172,163.,Mike Moynahan (27),75,1883,R
173,163.,John Shetzline (30),75,1882,
174,163.,Germany Smith (32),75,1891,R
175,163.,Pop Smith (27),75,1884,R
176,163.,Pop Smith (29),75,1886,R
177,178.,Chub Aubrey (21),74,1903,R
178,178.,Frank Fennelly (25),74,1885,R
179,178.,Ed McKean (29),74,1893,R
180,178.,Germany Smith (31),74,1890,R
181,178.,Germany Smith (35),74,1894,R
182,178.,Pop Smith (26),74,1883,R
183,178.,Joe Tinker+ (21),74,1902,R
184,178.,Dasher Troy (28),74,1884,R
185,178.,John Ward+ (32),74,1892,R
186,178.,Art Whitney (32),74,1890,R
187,188.,Jim Donnelly (20),73,1886,R
188,188.,Henry Easterday (23),73,1888,R
189,188.,Shorty Fuller (26),73,1894,R
190,188.,Shorty Fuller (27),73,1895,R
191,188.,Jack Glasscock (29),73,1887,R
192,188.,Jimmy Hallinan (27),73,1876,L
193,188.,Rudy Kemmler (23),73,1883,R
194,188.,Denny Lyons (21),73,1887,R
195,188.,Reddy Mack (21),73,1887,
196,188.,Al Nichols (24),73,1876,
197,188.,Ivy Olson (25),73,1911,R
198,188.,Fred Pfeffer (26),73,1886,R
199,188.,Paul Radford (32),73,1894,R
200,188.,Frank Shugart (34),73,1901,R
201,188.,Bobby Wallace+ (25),73,1899,R
202,188.,John Ward+ (33),73,1893,R
203,188.,Sam Wise (32),73,1890,R
204,205.,Tom Burns (32),72,1889,R
205,205.,Tommy Corcoran (22),72,1891,R
206,205.,Bill Craver (32),72,1876,R
207,205.,Bill Dahlen (23),72,1893,R
208,205.,Jack Doyle (22),72,1892,R
209,205.,Duke Farrell (25),72,1892,R
210,205.,Frank Hankinson (30),72,1886,R
211,205.,King Kelly+ (29),72,1887,R
212,205.,Bill Kuehne (24),72,1883,R
213,205.,Fred Pfeffer (27),72,1887,R
214,205.,Danny Richardson (27),72,1890,R
215,205.,Yank Robinson (28),72,1888,R
216,205.,Jack Rowe (31),72,1888,R
217,205.,Frank Shugart (26),72,1893,R
218,205.,Pop Smith (32),72,1889,R
219,205.,John Ward+ (31),72,1891,R
220,205.,Joe Werrick (24),72,1886,R
221,205.,Zeke Wrigley (24),72,1898,
222,223.,Ollie Beard (28),71,1890,R
223,223.,Donie Bush (21),71,1909,R
224,223.,Bill Dahlen (26),71,1896,R
225,223.,Jack Farrell (24),71,1882,R
226,223.,Shorty Fuller (25),71,1893,R
227,223.,Arlie Latham (32),71,1892,R
228,223.,George Magoon (24),71,1899,R
229,223.,Ed McKean (30),71,1894,R
230,223.,John Peters (29),71,1879,R
231,223.,Paul Radford (29),71,1891,R
232,223.,Frank Shugart (28),71,1895,R
233,223.,Buck Weaver (21),71,1912,R
234,235.,Lou Bierbauer (22),70,1888,R
235,235.,Billy Clingman (28),70,1898,R
236,235.,Jack O'Brien (26),70,1886,R
237,235.,Germany Smith (33),70,1892,R
238,235.,Jimmy Smith (20),70,1915,R
239,235.,Pop Smith (31),70,1888,R
240,235.,Dasher Troy (27),70,1883,R
241,235.,Buck Weaver (22),70,1913,R
242,235.,Deacon White+ (33),70,1881,R
243,244.,Oyster Burns (23),69,1888,R
244,244.,Tom Cahill (22),69,1891,
245,244.,Hick Carpenter (33),69,1889,L
246,244.,Gene DeMontreville (26),69,1899,R
247,244.,Jack Glasscock (32),69,1890,R
248,244.,Jack Glasscock (34),69,1892,R
249,244.,Ed McKean (31),69,1895,R
250,244.,Henry Myers (24),69,1882,R
251,244.,George Pinkney (27),69,1886,R
252,244.,Dan Shannon (24),69,1889,
253,244.,Ed Somerville (23),69,1876,R
254,244.,Deacon White+ (28),69,1876,R
255,256.,Lew Brown (21),68,1879,R
256,256.,Tommy Corcoran (24),68,1893,R
257,256.,George Creamer (25),68,1880,R
258,256.,Tom Daly (28),68,1894,R
259,256.,Tommy Dowd (22),68,1891,R
260,256.,Jack Farrell (23),68,1881,R
261,256.,Jack Glasscock (31),68,1889,R
262,256.,John Knight (25),68,1911,R
263,256.,Larry Kopf (26),68,1917,R
264,256.,Jimmy Macullar (30),68,1885,L
265,256.,John McGraw+ (20),68,1893,R
266,256.,Joe Miller (24),68,1885,
267,256.,Hardy Richardson (28),68,1883,R
268,256.,Pop Snyder (21),68,1876,R
269,270.,Ross Barnes (29),67,1879,R
270,270.,Tommy Corcoran (29),67,1898,R
271,270.,Kid Elberfeld (27),67,1902,R
272,270.,Jimmy Esmond (24),67,1914,R
273,270.,Shorty Fuller (21),67,1889,R
274,270.,Rudy Hulswitt (25),67,1902,R
275,270.,Bill Joyce (29),67,1897,R
276,270.,Arlie Latham (34),67,1894,R
277,270.,Herman Long (32),67,1898,R
278,270.,Reddy Mack (22),67,1888,
279,270.,Bill McClellan (29),67,1885,L
280,270.,Mike McGeary (28),67,1879,R
281,270.,Jack Rowe (28),67,1885,R
282,270.,Germany Smith (30),67,1889,R
283,270.,Joe Tinker+ (22),67,1903,R
284,270.,Jimmy Williams (22),67,1899,R
285,286.,Bob Allen (25),66,1893,R
286,286.,Donie Bush (24),66,1912,R
287,286.,Hick Carpenter (32),66,1888,L
288,286.,Joe Cassidy (22),66,1905,R
289,286.,Monte Cross (32),66,1902,R
290,286.,Bill Dahlen (32),66,1902,R
291,286.,Mickey Doolin (26),66,1906,R
292,286.,Hughie Jennings+ (27),66,1896,R
293,286.,Bill Keister (27),66,1899,R
294,286.,King Kelly+ (30),66,1888,R
295,286.,Phil Lewis (21),66,1905,R
296,286.,Herman Long (31),66,1897,R
297,286.,Freddy Parent (29),66,1905,R
298,286.,Paul Radford (30),66,1892,R
299,286.,Bill Sweeney (24),66,1910,R
300,286.,Bobby Wallace+ (27),66,1901,R
301,286.,John Ward+ (34),66,1894,R
302,303.,Charlie Babb (31),65,1904,R
303,303.,Tom Burns (25),65,1882,R
304,303.,Monte Cross (31),65,1901,R
305,303.,Joe Gerhardt (30),65,1885,R
306,303.,John Kerins (26),65,1885,R
307,303.,Tommy Leach (25),65,1903,R
308,303.,Rabbit Maranville+ (22),65,1914,R
309,303.,Fred Pfeffer (28),65,1888,R
310,303.,Deacon White+ (40),65,1888,R
311,303.,Ned Williamson (30),65,1888,R
312,313.,Dave Bancroft+ (24),64,1915,R
313,313.,Dave Bancroft+ (27),64,1918,R
314,313.,Wid Conroy (24),64,1901,R
315,313.,Tommy Corcoran (23),64,1892,R
316,313.,Tommy Corcoran (26),64,1895,R
317,313.,Tommy Corcoran (27),64,1896,R
318,313.,George Davis+ (22),64,1893,R
319,313.,Jerry Denny (29),64,1888,R
320,313.,Kid Gleason (34),64,1901,R
321,313.,Fred Hartman (32),64,1897,R
322,313.,Ed Holly (27),64,1907,R
323,313.,Barry McCormick (25),64,1900,R
324,313.,Al Myers (21),64,1885,R
325,313.,Dick Padden (28),64,1899,R
326,313.,Pop Smith (28),64,1885,R
327,313.,Dan Sullivan (25),64,1882,R
328,313.,Joe Tinker+ (23),64,1904,R
329,330.,Jack Barry (23),63,1910,R
330,330.,Bill Bradley (22),63,1900,R
331,330.,Dave Brain (24),63,1903,R
332,330.,Pete Browning (21),63,1882,R
333,330.,Cupid Childs (26),63,1894,R
334,330.,Cupid Childs (27),63,1895,R
335,330.,John Clapp (28),63,1880,R
336,330.,Tom Daly (33),63,1899,R
337,330.,Fred Dunlap (23),63,1882,R
338,330.,Art Fletcher (29),63,1914,R
339,330.,Will Foley (20),63,1876,R
340,330.,Barney Gilligan (29),63,1885,R
341,330.,Bill Gleason (26),63,1885,R
342,330.,Hughie Jennings+ (25),63,1894,R
343,330.,Barry McCormick (23),63,1898,R
344,330.,Candy Nelson (36),63,1885,R
345,330.,Simon Nicholls (25),63,1908,R
346,330.,Freddy Parent (25),63,1901,R
347,330.,Freddy Parent (28),63,1904,R
348,330.,Gracie Pierce (22),63,1882,R
349,330.,Hardy Richardson (27),63,1882,R
350,330.,Harry Schafer (29),63,1876,R
351,330.,Billy Shindle (32),63,1893,R
352,330.,Sammy Strang (25),63,1902,R
353,330.,Joe Sullivan (25),63,1895,
354,355.,Dave Bancroft+ (31),62,1922,R
355,355.,Cupid Childs (25),62,1893,R
356,355.,Joe Cronin+ (22),62,1929,R
357,355.,Monte Cross (30),62,1900,R
358,355.,George Davis+ (26),62,1897,R
359,355.,Jerry Denny (22),62,1881,R
360,355.,Tom Downey (25),62,1909,R
361,355.,Kid Elberfeld (28),62,1903,R
362,355.,Bones Ely (33),62,1896,R
363,355.,Lonny Frey (25),62,1936,R
364,355.,Hughie Jennings+ (29),62,1898,R
365,355.,Bill Joyce (28),62,1896,R
366,355.,Billy Lauder (25),62,1899,R
367,355.,Joe Mulvey (26),62,1885,R
368,355.,Bert Myers (22),62,1896,R
369,355.,Billy Nash (27),62,1892,R
370,355.,Fred Smith (23),62,1915,R
371,355.,Joe Sullivan (24),62,1894,
372,355.,Bobby Wallace+ (29),62,1903,R
373,355.,Bobby Wallace+ (31),62,1905,R
374,375.,Al Brancato (22),61,1941,R
375,375.,Eddie Burke (25),61,1892,R
376,375.,Tommy Corcoran (31),61,1900,R
377,375.,Bill Dahlen (22),61,1892,R
378,375.,Bill Dahlen (34),61,1904,R
379,375.,Jack Farrell (21),61,1879,R
380,375.,Jack Farrell (22),61,1880,R
381,375.,Hobe Ferris (26),61,1901,R
382,375.,Kid Gleason (28),61,1895,R
383,375.,Tommy Leach (21),61,1899,R
384,375.,Swede Risberg (22),61,1917,R
385,375.,Germany Smith (38),61,1897,R
386,375.,General Stafford (27),61,1895,R
387,375.,Heinie Wagner (27),61,1908,R
388,375.,Heinie Wagner (31),61,1912,R
389,390.,Charlie Babb (30),60,1903,R
390,390.,Dave Bancroft+ (25),60,1916,R
391,390.,Hick Carpenter (26),60,1882,L
392,390.,Roger Connor+ (22),60,1880,L
393,390.,William Coon (21),60,1876,
394,390.,Gene DeMontreville (25),60,1898,R
395,390.,Mickey Doolin (27),60,1907,R
396,390.,Tom Downey (26),60,1910,R
397,390.,Bones Ely (34),60,1897,R
398,390.,Chick Fulmer (28),60,1879,R
399,390.,Kid Gleason (31),60,1898,R
400,390.,Otto Krueger (24),60,1901,R
401,390.,Bill Lange (22),60,1893,R
402,390.,Tommy Leach (26),60,1904,R
403,390.,Herman Long (33),60,1899,R
404,390.,Barry McCormick (26),60,1901,R
405,390.,Doggie Miller (29),60,1894,R
406,390.,Billy Nash (30),60,1895,R
407,390.,Joe Quest (25),60,1878,R
408,390.,Joe Quest (27),60,1880,R
409,390.,Danny Richardson (29),60,1892,R
410,390.,Heinie Sand (27),60,1925,R
411,390.,Bill Smiley (26),60,1882,
412,390.,Sammy Strang (24),60,1901,R
413,390.,Billy Taylor (27),60,1882,R
414,390.,Honus Wagner+ (31),60,1905,R
415,390.,Rollie Zeider (26),60,1910,R
416,417.,Ross Barnes (31),59,1881,R
417,417.,Jack Burdock (27),59,1879,R
418,417.,Ray Chapman (26),59,1917,R
419,417.,Bones Ely (36),59,1899,R
420,417.,Bill Gray (27),59,1898,
421,417.,Hunter Hill (25),59,1904,R
422,417.,Bill Holbert (27),59,1882,R
423,417.,King Kelly+ (24),59,1882,R
424,417.,Bobby Lowe (28),59,1894,R
425,417.,Barry McCormick (22),59,1897,R
426,417.,Freddy Parent (30),59,1906,R
427,417.,Dave Pierson (20),59,1876,R
428,417.,Joe Sewell+ (24),59,1923,R
429,417.,Germany Smith (36),59,1895,R
430,417.,Charlie Sweasy (30),59,1878,R
431,417.,Buck Weaver (23),59,1914,R
432,433.,Ed Abbaticchio (26),58,1903,R
433,433.,Donie Bush (26),58,1914,R
434,433.,Doc Casey (31),58,1901,R
435,433.,John Clapp (24),58,1876,R
436,433.,George Davis+ (33),58,1904,R
437,433.,Doc Farrell (25),58,1927,R
438,433.,Bob Ferguson (35),58,1880,R
439,433.,Art Fletcher (30),58,1915,R
440,433.,Travis Jackson+ (20),58,1924,R
441,433.,King Kelly+ (21),58,1879,R
442,433.,Jim Levey (24),58,1931,R
443,433.,George McBride (28),58,1909,R
444,433.,George McBride (29),58,1910,R
445,433.,Charley O'Leary (30),58,1906,R
446,433.,Ivy Olson (32),58,1918,R
447,433.,Claude Ritchey (24),58,1898,R
448,433.,Ezra Sutton (26),58,1876,R
449,433.,Harry Wolverton (25),58,1899,R
450,451.,Emil Batch (25),57,1905,R
451,451.,Donie Bush (27),57,1915,R
452,451.,Bill Dahlen (31),57,1901,R
453,451.,Jim Delahanty (25),57,1904,R
454,451.,Kid Elberfeld (30),57,1905,R
455,451.,Duke Farrell (26),57,1893,R
456,451.,Fred Hartman (33),57,1898,R
457,451.,Doc Lavan (27),57,1918,R
458,451.,George Magoon (26),57,1901,R
459,451.,Ed McKean (32),57,1896,R
460,451.,Freddy Parent (26),57,1902,R
461,451.,Freddy Parent (27),57,1903,R
462,451.,Danny Richardson (31),57,1894,R
463,451.,Germany Schaefer (32),57,1908,R
464,451.,Howie Shanks (28),57,1919,R
465,451.,Heinie Wagner (29),57,1910,R
466,467.,Erve Beck (22),56,1901,R
467,467.,Tom Burns (24),56,1881,R
468,467.,Donie Bush (25),56,1913,R
469,467.,Hick Carpenter (25),56,1881,L
470,467.,Doc Casey (29),56,1899,R
471,467.,Tommy Corcoran (33),56,1902,R
472,467.,Tommy Corcoran (35),56,1904,R
473,467.,Joe Dolan (28),56,1901,R
474,467.,Kid Gleason (30),56,1897,R
475,467.,Arnold Hauser (22),56,1911,R
476,467.,Thorny Hawkes (26),56,1879,R
477,467.,Billy Hulen (26),56,1896,L
