,Rank,Player (age that year),Fielding % as P,Year,Throws
197,1.,Chris Capuano (32),1.0000,2011,L
198,1.,Tex Carleton (29),1.0000,1936,R
199,1.,Hal Carlson (32),1.0000,1924,R
200,1.,Hal Carlson (35),1.0000,1927,R
201,1.,Steve Carlton+ (26),1.0000,1971,L
202,1.,Steve Carlton+ (31),1.0000,1976,L
203,1.,Steve Carlton+ (35),1.0000,1980,L
204,1.,Steve Carlton+ (36),1.0000,1981,L
205,1.,Steve Carlton+ (39),1.0000,1984,L
206,1.,Steve Carlton+ (41),1.0000,1986,L
207,1.,Don Carman (27),1.0000,1987,L
208,1.,Don Carman (28),1.0000,1988,L
209,1.,Roberto Hernandez (30),1.0000,2011,R
210,1.,Roberto Hernandez (33),1.0000,2014,R
211,1.,Bob Carpenter (24),1.0000,1942,R
212,1.,Chris Carpenter (26),1.0000,2001,R
213,1.,Chris Carpenter (31),1.0000,2006,R
214,1.,Chris Carpenter (34),1.0000,2009,R
215,1.,Carlos Carrasco (28),1.0000,2015,R
216,1.,Carlos Carrasco (30),1.0000,2017,R
217,1.,Carlos Carrasco (31),1.0000,2018,R
218,1.,Joe Cascarella (29),1.0000,1936,R
219,1.,Hugh Casey (25),1.0000,1939,R
220,1.,Andrew Cashner (30),1.0000,2017,R
221,1.,Frank Castillo (33),1.0000,2002,R
222,1.,Luis Castillo (25),1.0000,2018,R
223,1.,Luis Castillo (27),1.0000,2020,R
224,1.,Cliff Chambers (27),1.0000,1949,L
225,1.,Spud Chandler (30),1.0000,1938,R
226,1.,Virgil Cheeves (21),1.0000,1922,R
227,1.,Wei-Yin Chen (28),1.0000,2014,L
228,1.,Mark Clark (26),1.0000,1994,R
229,1.,Mark Clark (28),1.0000,1996,R
230,1.,Mark Clark (30),1.0000,1998,R
231,1.,Watty Clark (29),1.0000,1931,L
232,1.,Roger Clemens (24),1.0000,1987,R
233,1.,Roger Clemens (26),1.0000,1989,R
234,1.,Roger Clemens (39),1.0000,2002,R
235,1.,Roger Clemens (41),1.0000,2004,R
236,1.,Dick Coffman (23),1.0000,1930,R
237,1.,Jim Colborn (27),1.0000,1973,R
238,1.,Gerrit Cole (24),1.0000,2015,R
239,1.,Gerrit Cole (28),1.0000,2019,R
240,1.,Gerrit Cole (29),1.0000,2020,R
241,1.,Joe Coleman (23),1.0000,1970,R
242,1.,Rip Collins (33),1.0000,1929,R
243,1.,Rip Collins (34),1.0000,1930,R
244,1.,Josh Collmenter (28),1.0000,2014,R
245,1.,Bartolo Colon (32),1.0000,2005,R
246,1.,Pat Combs (23),1.0000,1990,L
247,1.,Gene Conley (24),1.0000,1955,R
248,1.,Aaron Cook (28),1.0000,2007,R
249,1.,Danny Coombs (28),1.0000,1970,L
250,1.,Jack Coombs (29),1.0000,1912,R
251,1.,Jack Coombs (33),1.0000,1916,R
252,1.,Mort Cooper (31),1.0000,1944,R
253,1.,Wilbur Cooper (26),1.0000,1918,L
254,1.,Wilbur Cooper (30),1.0000,1922,L
255,1.,Patrick Corbin (27),1.0000,2017,L
256,1.,Patrick Corbin (28),1.0000,2018,L
257,1.,Patrick Corbin (29),1.0000,2019,L
258,1.,Rheal Cormier (25),1.0000,1992,L
259,1.,Jarred Cosart (24),1.0000,2014,R
260,1.,Johnny Couch (31),1.0000,1922,R
261,1.,Casey Cox (27),1.0000,1969,R
262,1.,Roger Craig (26),1.0000,1956,R
263,1.,Ray Crone (25),1.0000,1957,R
264,1.,General Crowder (34),1.0000,1933,R
265,1.,General Crowder (35),1.0000,1934,R
266,1.,General Crowder (36),1.0000,1935,R
267,1.,Johnny Cueto (29),1.0000,2015,R
268,1.,Johnny Cueto (34),1.0000,2020,R
269,1.,Ray Culp (21),1.0000,1963,R
270,1.,Ray Culp (23),1.0000,1965,R
271,1.,Ray Culp (26),1.0000,1968,R
272,1.,John Curtis (26),1.0000,1974,L
273,1.,Jeff D'Amico (24),1.0000,2000,R
274,1.,Dave Danforth (33),1.0000,1923,L
275,1.,John Danks (23),1.0000,2008,L
276,1.,John Danks (25),1.0000,2010,L
277,1.,John Danks (26),1.0000,2011,L
278,1.,Yu Darvish (25),1.0000,2012,R
279,1.,Yu Darvish (26),1.0000,2013,R
280,1.,Zach Davies (24),1.0000,2017,R
281,1.,Curt Davis (34),1.0000,1938,R
282,1.,Curt Davis (38),1.0000,1942,R
283,1.,Storm Davis (23),1.0000,1985,R
284,1.,Wade Davis (25),1.0000,2011,R
285,1.,Jacob deGrom (27),1.0000,2015,R
286,1.,Jacob deGrom (32),1.0000,2020,R
287,1.,Rubby De La Rosa (26),1.0000,2015,R
288,1.,Jose DeLeon (27),1.0000,1988,R
289,1.,Jose DeLeon (30),1.0000,1991,R
290,1.,Rich DeLucia (26),1.0000,1991,R
291,1.,Al Demaree (30),1.0000,1915,R
292,1.,Al Demaree (32),1.0000,1917,R
293,1.,John Denny (32),1.0000,1985,R
294,1.,Anthony DeSclafani (29),1.0000,2019,R
295,1.,Elmer Dessens (30),1.0000,2001,R
296,1.,Elmer Dessens (32),1.0000,2003,R
297,1.,Scott Diamond (25),1.0000,2012,L
298,1.,R.A. Dickey (35),1.0000,2010,R
299,1.,R.A. Dickey (40),1.0000,2015,R
300,1.,Murry Dickson (31),1.0000,1948,R
301,1.,Larry Dierker (25),1.0000,1972,R
302,1.,Bill Dietrich (32),1.0000,1942,R
303,1.,Chuck Dobson (23),1.0000,1967,R
304,1.,Chuck Dobson (27),1.0000,1971,R
305,1.,Joe Dobson (25),1.0000,1942,R
306,1.,Joe Dobson (30),1.0000,1947,R
307,1.,Joe Dobson (32),1.0000,1949,R
308,1.,Pat Dobson (28),1.0000,1970,R
309,1.,Atley Donald (33),1.0000,1944,R
310,1.,Pete Donohue (23),1.0000,1924,R
311,1.,Dick Donovan (27),1.0000,1955,R
312,1.,Dick Donovan (29),1.0000,1957,R
313,1.,Gus Dorner (30),1.0000,1907,R
314,1.,Richard Dotson (22),1.0000,1981,R
315,1.,Richard Dotson (29),1.0000,1988,R
316,1.,Al Downing (23),1.0000,1964,L
317,1.,Doug Drabek (30),1.0000,1993,R
318,1.,Moe Drabowsky (21),1.0000,1957,R
319,1.,Dick Drago (29),1.0000,1974,R
320,1.,Brandon Duckworth (26),1.0000,2002,R
321,1.,Clise Dudley (27),1.0000,1931,R
322,1.,Ed Dundon (24),1.0000,1884,R
323,1.,Dennis Eckersley+ (23),1.0000,1978,R
324,1.,Scott Elarton (24),1.0000,2000,R
325,1.,Cal Eldred (29),1.0000,1997,R
326,1.,Roenis Elias (25),1.0000,2014,L
327,1.,Hod Eller (23),1.0000,1918,R
328,1.,Jumbo Elliott (29),1.0000,1930,L
329,1.,Dock Ellis (27),1.0000,1972,R
330,1.,Dick Ellsworth (20),1.0000,1960,L
331,1.,Kelvim Escobar (28),1.0000,2004,R
332,1.,Kelvim Escobar (30),1.0000,2006,R
333,1.,Nino Espinosa (23),1.0000,1977,R
334,1.,Chuck Estrada (22),1.0000,1960,R
335,1.,Marco Estrada (32),1.0000,2016,R
336,1.,Dana Eveland (24),1.0000,2008,L
337,1.,Pete Falcone (22),1.0000,1976,L
338,1.,Pete Falcone (28),1.0000,1982,L
339,1.,John Farrell (25),1.0000,1988,R
340,1.,Turk Farrell (29),1.0000,1963,R
341,1.,Turk Farrell (30),1.0000,1964,R
342,1.,Scott Feldman (31),1.0000,2014,R
343,1.,Bob Feller+ (31),1.0000,1950,R
344,1.,Bob Feller+ (34),1.0000,1953,R
345,1.,Alex Fernandez (23),1.0000,1993,R
346,1.,Sid Fernandez (22),1.0000,1985,L
347,1.,Sid Fernandez (25),1.0000,1988,L
348,1.,Sid Fernandez (26),1.0000,1989,L
349,1.,Sid Fernandez (31),1.0000,1994,L
350,1.,Wes Ferrell (25),1.0000,1933,R
351,1.,Lou Fette (31),1.0000,1938,R
352,1.,Mark Fidrych (21),1.0000,1976,R
353,1.,Mike Fiers (33),1.0000,2018,R
354,1.,Chuck Finley (34),1.0000,1997,L
355,1.,Chauncey Fisher (25),1.0000,1897,R
356,1.,Doug Fister (29),1.0000,2013,R
357,1.,Al Fitzmorris (28),1.0000,1974,R
358,1.,Freddie Fitzsimmons (24),1.0000,1926,R
359,1.,Freddie Fitzsimmons (26),1.0000,1928,R
360,1.,Jack Flaherty (23),1.0000,2019,R
361,1.,Mike Flanagan (25),1.0000,1977,L
362,1.,Mike Flanagan (30),1.0000,1982,L
363,1.,Mike Flanagan (32),1.0000,1984,L
364,1.,Mike Flanagan (34),1.0000,1986,L
365,1.,Mike Flanagan (36),1.0000,1988,L
366,1.,Mike Flanagan (37),1.0000,1989,L
367,1.,Dave Fleming (23),1.0000,1993,L
368,1.,Josh Fogg (30),1.0000,2007,R
369,1.,Whitey Ford+ (36),1.0000,1965,L
370,1.,Bob Forsch (28),1.0000,1978,R
371,1.,Bob Forsch (36),1.0000,1986,R
372,1.,Bob Forsch (37),1.0000,1987,R
373,1.,Ken Forsch (26),1.0000,1973,R
374,1.,Kevin Foster (26),1.0000,1995,R
375,1.,Art Fowler (32),1.0000,1955,R
376,1.,Paul Foytack (27),1.0000,1958,R
377,1.,Paul Foytack (30),1.0000,1961,R
378,1.,Jeff Francis (24),1.0000,2005,L
379,1.,Jeff Francis (25),1.0000,2006,L
380,1.,Jeff Francis (30),1.0000,2011,L
381,1.,Ryan Franklin (30),1.0000,2003,R
382,1.,Ryan Franklin (32),1.0000,2005,R
383,1.,Wayne Franklin (29),1.0000,2003,L
384,1.,Kyle Freeland (25),1.0000,2018,L
385,1.,Marvin Freeman (31),1.0000,1994,R
386,1.,Marion Fricano (29),1.0000,1953,R
387,1.,Art Fromme (29),1.0000,1913,R
388,1.,Woodie Fryman (26),1.0000,1966,L
389,1.,Woodie Fryman (29),1.0000,1969,L
390,1.,Woodie Fryman (36),1.0000,1976,L
391,1.,Denny Galehouse (29),1.0000,1941,R
392,1.,Yovani Gallardo (23),1.0000,2009,R
393,1.,Yovani Gallardo (28),1.0000,2014,R
394,1.,Zac Gallen (24),1.0000,2020,R
395,1.,Freddy Garcia (28),1.0000,2005,R
396,1.,Jaime Garcia (23),1.0000,2010,L
397,1.,Mike Garcia (29),1.0000,1953,R
398,1.,Mike Garcia (32),1.0000,1956,R
399,1.,Mark Gardner (34),1.0000,1996,R
400,1.,Mark Gardner (35),1.0000,1997,R
401,1.,Mark Gardner (36),1.0000,1998,R
402,1.,Jon Garland (22),1.0000,2002,R
403,1.,Jon Garland (23),1.0000,2003,R
404,1.,Milt Gaston (29),1.0000,1925,R
405,1.,Joe Genewich (27),1.0000,1924,R
406,1.,Joe Genewich (30),1.0000,1927,R
407,1.,Gary Gentry (22),1.0000,1969,R
408,1.,Gary Gentry (24),1.0000,1971,R
409,1.,Gary Gentry (25),1.0000,1972,R
410,1.,Al Gettel (30),1.0000,1948,R
411,1.,Joe Gibbon (26),1.0000,1961,L
412,1.,Bob Gibson+ (31),1.0000,1967,R
413,1.,Kyle Gibson (26),1.0000,2014,R
414,1.,Kyle Gibson (30),1.0000,2018,R
415,1.,Kyle Gibson (32),1.0000,2020,R
416,1.,Lucas Giolito (24),1.0000,2019,R
417,1.,Tom Glavine+ (25),1.0000,1991,L
418,1.,Tom Glavine+ (26),1.0000,1992,L
419,1.,Tom Glavine+ (34),1.0000,2000,L
420,1.,Tom Glavine+ (35),1.0000,2001,L
421,1.,Tom Glavine+ (36),1.0000,2002,L
422,1.,Tom Glavine+ (39),1.0000,2005,L
423,1.,Gio Gonzalez (29),1.0000,2015,L
424,1.,Gio Gonzalez (31),1.0000,2017,L
425,1.,Marco Gonzales (28),1.0000,2020,L
426,1.,Tom Gordon (21),1.0000,1989,R
427,1.,George Grant (25),1.0000,1928,R
428,1.,Mudcat Grant (28),1.0000,1964,R
429,1.,Danny Graves (29),1.0000,2003,R
430,1.,Kendall Graveman (25),1.0000,2016,R
431,1.,Sonny Gray (25),1.0000,2015,R
432,1.,Ted Gray (24),1.0000,1949,L
433,1.,Zack Greinke (27),1.0000,2011,R
434,1.,Zack Greinke (28),1.0000,2012,R
435,1.,Zack Greinke (29),1.0000,2013,R
436,1.,Zack Greinke (33),1.0000,2017,R
437,1.,Zack Greinke (34),1.0000,2018,R
438,1.,Zack Greinke (36),1.0000,2020,R
439,1.,A.J. Griffin (25),1.0000,2013,R
440,1.,Clark Griffith+ (32),1.0000,1902,R
441,1.,Burleigh Grimes+ (33),1.0000,1927,R
442,1.,Ross Grimsley (22),1.0000,1972,L
443,1.,Ross Grimsley (23),1.0000,1973,L
444,1.,Ross Grimsley (25),1.0000,1975,L
445,1.,Kevin Gross (32),1.0000,1993,R
446,1.,Lefty Grove+ (31),1.0000,1931,L
447,1.,Lefty Grove+ (38),1.0000,1938,L
448,1.,Mark Gubicza (22),1.0000,1985,R
449,1.,Mark Gubicza (23),1.0000,1986,R
450,1.,Mark Gubicza (32),1.0000,1995,R
451,1.,Ron Guidry (30),1.0000,1981,L
452,1.,Ron Guidry (31),1.0000,1982,L
453,1.,Ron Guidry (32),1.0000,1983,L
454,1.,Ron Guidry (33),1.0000,1984,L
455,1.,Don Gullett (22),1.0000,1973,L
456,1.,Bill Gullickson (28),1.0000,1987,R
457,1.,Bill Gullickson (31),1.0000,1990,R
458,1.,Bill Gullickson (32),1.0000,1991,R
459,1.,Ad Gumbert (25),1.0000,1893,R
460,1.,Harry Gumbert (30),1.0000,1940,R
461,1.,Harry Gumbert (32),1.0000,1942,R
462,1.,Larry Gura (32),1.0000,1980,L
463,1.,Larry Gura (35),1.0000,1983,L
464,1.,Larry Gura (36),1.0000,1984,L
465,1.,Jeremy Guthrie (34),1.0000,2013,R
466,1.,Jose Guzman (23),1.0000,1986,R
467,1.,Juan Guzman (25),1.0000,1992,R
468,1.,Moose Haas (26),1.0000,1982,R
469,1.,Moose Haas (27),1.0000,1983,R
470,1.,Moose Haas (28),1.0000,1984,R
471,1.,Warren Hacker (27),1.0000,1952,R
472,1.,Warren Hacker (29),1.0000,1954,R
473,1.,Warren Hacker (31),1.0000,1956,R
474,1.,Harvey Haddix (33),1.0000,1959,L
475,1.,Bump Hadley (31),1.0000,1936,R
476,1.,Bump Hadley (33),1.0000,1938,R
477,1.,Mickey Haefner (30),1.0000,1943,L
478,1.,Mickey Haefner (34),1.0000,1947,L
479,1.,Jesse Haines+ (34),1.0000,1928,R
480,1.,Jesse Haines+ (35),1.0000,1929,R
481,1.,Cole Hamels (25),1.0000,2009,L
482,1.,Cole Hamels (30),1.0000,2014,L
483,1.,Earl Hamilton (30),1.0000,1922,L
484,1.,Atlee Hammaker (29),1.0000,1987,L
485,1.,Jason Hammel (26),1.0000,2009,R
486,1.,Jason Hammel (34),1.0000,2017,R
487,1.,Chris Haney (27),1.0000,1996,L
488,1.,J.A. Happ (26),1.0000,2009,L
489,1.,J.A. Happ (33),1.0000,2016,L
490,1.,Aaron Harang (27),1.0000,2005,R
491,1.,Aaron Harang (36),1.0000,2014,R
492,1.,Dan Haren (27),1.0000,2008,R
493,1.,Dan Haren (28),1.0000,2009,R
494,1.,Dan Haren (30),1.0000,2011,R
495,1.,Dan Haren (32),1.0000,2013,R
496,1.,Pete Harnisch (31),1.0000,1998,R
497,1.,Lucas Harrell (27),1.0000,2012,R
498,1.,Matt Harvey (24),1.0000,2013,R
499,1.,Joe Hatten (30),1.0000,1947,L
