,Rank,Player (age that year),Range Factor/9Inn as 3B,Year,Throws
0,1.,Bob Ferguson (32),4.790,1877,R
1,2.,Billy Shindle (31),4.567,1892,R
2,3.,George Bradley (27),4.463,1880,R
3,4.,Billy Alvord (27),4.440,1891,R
4,5.,Arthur Irwin (24),4.423,1882,R
5,6.,Lave Cross (28),4.407,1894,R
6,7.,Lave Cross (33),4.405,1899,R
7,8.,Jumbo Davis (26),4.392,1888,R
8,9.,Al Nichols (24),4.373,1876,
9,10.,Bill Bradley (22),4.333,1900,R
10,11.,Jimmy Collins+ (25),4.327,1895,R
11,12.,Cap Anson+ (24),4.316,1876,R
12,13.,John Shetzline (30),4.281,1882,
13,14.,Buck Ewing+ (22),4.273,1882,R
14,15.,Jimmy Collins+ (26),4.268,1896,R
15,16.,Joe Battin (29),4.260,1883,R
16,16.,Billy Shindle (27),4.260,1888,R
17,18.,Lave Cross (29),4.253,1895,R
18,19.,Charlie Reilly (23),4.246,1890,R
19,20.,Jimmy Collins+ (30),4.230,1900,R
20,21.,Lee Tannehill (25),4.207,1906,R
21,22.,Billy Clingman (27),4.206,1897,R
22,23.,Patsy Tebeau (25),4.201,1890,R
23,24.,Will Smalley (19),4.190,1890,R
24,25.,Arlie Latham (31),4.186,1891,R
25,26.,Bill Hague (26),4.184,1878,R
26,27.,Billy Nash (27),4.180,1892,R
27,28.,Billy Clingman (26),4.171,1896,R
28,29.,Billy Shindle (28),4.169,1889,R
29,30.,Ned Williamson (23),4.159,1881,R
30,31.,Cap Anson+ (25),4.156,1877,R
31,32.,Jerry Denny (28),4.155,1887,R
32,33.,Denny Lyons (24),4.150,1890,R
33,34.,Rube Lutzke (26),4.146,1924,R
34,35.,Tommy Leach (21),4.125,1899,R
35,36.,Dave Brain (28),4.119,1907,R
36,37.,Tommy Leach (26),4.112,1904,R
37,38.,Joe Battin (22),4.105,1876,R
38,39.,Charlie Hickman (24),4.098,1900,R
39,40.,Doggie Miller (25),4.096,1890,R
40,41.,Jerry Denny (27),4.084,1886,R
41,42.,Will Foley (21),4.081,1877,R
42,43.,Billy Alvord (26),4.067,1890,R
43,44.,Arlie Latham (24),4.065,1884,R
44,45.,Jack Crooks (27),4.058,1893,R
