,Rank,Player (age that year),Situ. Wins Added (WPA/LI),Year,Bats
132,129.,Christian Yelich (27),6.49,2019,L
133,134.,Cesar Cedeno (21),6.48,1972,R
134,134.,David Ortiz (30),6.48,2006,L
135,136.,Rod Carew+ (31),6.47,1977,L
136,136.,Eddie Mathews+ (27),6.47,1959,L
137,136.,Roy Sievers (30),6.47,1957,R
138,139.,Matt Kemp (26),6.45,2011,R
139,140.,Ken Griffey Jr.+ (27),6.43,1997,L
140,140.,Jim Thome+ (31),6.43,2002,L
141,142.,Gary Sheffield (31),6.42,2000,R
142,143.,Jeff Bagwell+ (26),6.40,1994,R
143,143.,Albert Pujols (26),6.40,2006,R
144,143.,Joey Votto (26),6.40,2010,L
145,146.,Hank Aaron+ (37),6.39,1971,R
146,147.,John Olerud (24),6.37,1993,L
147,147.,Ted Williams+ (32),6.37,1951,L
148,149.,Mike Trout (27),6.36,2019,R
149,150.,Willie McCovey+ (32),6.34,1970,L
150,150.,Johnny Mize+ (26),6.34,1939,L
151,150.,Frank Thomas+ (25),6.34,1993,R
152,153.,Joe Medwick+ (25),6.31,1937,R
153,154.,Rogers Hornsby+ (32),6.30,1928,R
154,155.,Dave Parker (27),6.29,1978,L
155,156.,Frank Howard (31),6.28,1968,R
156,157.,Willie McCovey+ (25),6.27,1963,L
157,157.,Bobby Murcer (26),6.27,1972,L
158,159.,Pedro Guerrero (29),6.25,1985,R
159,160.,Edgar Martinez+ (32),6.24,1995,R
160,161.,Mickey Mantle+ (32),6.23,1964,B
161,161.,David Ortiz (31),6.23,2007,L
162,161.,Boog Powell (22),6.23,1964,L
163,164.,Ted Kluszewski (29),6.22,1954,L
164,164.,Frank Robinson+ (26),6.22,1962,R
165,164.,Jim Wynn (27),6.22,1969,R
166,167.,Albert Belle (31),6.21,1998,R
167,167.,Frank Howard (33),6.21,1970,R
168,167.,Albert Pujols (25),6.21,2005,R
169,170.,Johnny Mize+ (27),6.20,1940,L
170,171.,Willie Mays+ (27),6.18,1958,R
171,172.,Babe Herman (27),6.17,1930,L
172,172.,Frank Robinson+ (31),6.17,1967,R
173,172.,Lonnie Smith (33),6.17,1989,R
174,175.,Miguel Cabrera (28),6.15,2011,R
175,176.,Jeff Bagwell+ (28),6.13,1996,R
176,176.,Prince Fielder (27),6.13,2011,L
177,178.,Dick Allen (24),6.12,1966,R
178,178.,Larry Walker+ (34),6.12,2001,L
179,180.,Willie Stargell+ (33),6.11,1973,L
180,180.,Billy Williams+ (27),6.11,1965,L
181,182.,Kevin Mitchell (27),6.10,1989,R
182,182.,Giancarlo Stanton (27),6.10,2017,R
183,184.,Vladimir Guerrero+ (27),6.09,2002,R
184,184.,Bobby Murcer (25),6.09,1971,L
185,186.,Brian Giles (28),6.08,1999,L
186,187.,Lance Berkman (25),6.06,2001,B
187,187.,Jimmie Foxx+ (26),6.06,1934,R
188,187.,Howard Johnson (28),6.06,1989,B
189,190.,Lou Gehrig+ (30),6.05,1933,L
190,191.,Orlando Cepeda+ (29),6.04,1967,R
191,191.,Brian Giles (29),6.04,2000,L
192,193.,Willie Mays+ (23),6.03,1954,R
193,194.,Albert Pujols (30),6.02,2010,R
194,194.,Manny Ramirez (27),6.02,1999,R
195,194.,Jackie Robinson+ (32),6.02,1951,R
196,194.,Ted Williams+ (36),6.02,1955,L
197,198.,Cody Bellinger (23),6.01,2019,L
198,198.,Duke Snider+ (28),6.01,1955,L
199,200.,Johnny Mize+ (29),6.00,1942,L
200,200.,Tris Speaker+ (35),6.00,1923,L
201,202.,Lou Boudreau+ (30),5.99,1948,R
202,203.,Johnny Mize+ (24),5.98,1937,L
203,204.,Chuck Klein+ (27),5.97,1932,L
