,Rank,Player (age that year),Total Zone Runs as 2B (s.1953),Year,Throws
0,1.,Jamey Carroll (32),29,2006,R
1,1.,Bobby Grich (24),29,1973,R
2,3.,Bobby Knoop (25),27,1964,R
3,3.,Pokey Reese (26),27,1999,R
4,5.,Julio Cruz (29),23,1984,R
5,5.,DJ LeMahieu (29),23,2018,R
6,5.,Bill Mazeroski+ (21),23,1958,R
7,5.,Bill Mazeroski+ (26),23,1963,R
8,9.,Miguel Cairo (24),22,1998,R
9,9.,Marcus Giles (25),22,2003,R
10,11.,Scott Fletcher (34),21,1993,R
11,11.,Nellie Fox+ (31),21,1959,R
12,11.,Rennie Stennett (24),21,1975,R
13,14.,Damion Easley (30),20,2000,R
14,14.,Aaron Hill (25),20,2007,R
15,14.,Johnny Ray (26),20,1983,R
16,14.,Harold Reynolds (29),20,1990,R
17,14.,Wayne Terwilliger (28),20,1953,R
18,19.,Craig Biggio+ (31),19,1997,R
19,19.,Don Blasingame (25),19,1957,R
20,19.,Craig Counsell (34),19,2005,R
21,19.,Jerry Kindall (27),19,1962,R
22,19.,Kazuo Matsui (31),19,2007,R
23,19.,Mark McLemore (31),19,1996,R
24,19.,Jose Oquendo (25),19,1989,R
25,19.,Willie Randolph (21),19,1976,R
26,19.,Mike Tyson (27),19,1977,R
27,28.,Bill Mazeroski+ (28),18,1965,R
28,28.,Willie Randolph (24),18,1979,R
29,28.,Frank White (33),18,1984,R
30,31.,Marv Breeding (26),17,1960,R
31,31.,Luis Castillo (28),17,2004,R
32,31.,Jim Gantner (32),17,1985,R
33,31.,Bobby Grich (26),17,1975,R
34,31.,Glenn Hubbard (27),17,1985,R
35,31.,Adam Kennedy (27),17,2003,R
36,31.,Chuck Knoblauch (28),17,1997,R
37,31.,Mark Lemke (27),17,1993,R
38,31.,Placido Polanco (30),17,2006,R
39,31.,Robby Thompson (27),17,1989,R
40,31.,Randy Velarde (36),17,1999,R
41,42.,Jerry Adair (28),16,1965,R
42,42.,Sandy Alomar (26),16,1970,R
43,42.,Darwin Barney (26),16,2012,R
44,42.,Damion Easley (28),16,1998,R
45,42.,Nellie Fox+ (32),16,1960,R
46,42.,Billy Gardner (31),16,1959,R
47,42.,Jim Gilliam (27),16,1956,R
48,42.,Mark Grudzielanek (35),16,2005,R
49,42.,Tommy Helms (30),16,1971,R
50,42.,Aaron Hill (30),16,2012,R
51,42.,Bobby Knoop (27),16,1966,R
52,42.,Mark Lemke (31),16,1997,R
53,42.,Pokey Reese (27),16,2000,R
54,42.,Yolmer Sanchez (27),16,2019,R
55,42.,Chuck Schilling (23),16,1961,R
56,57.,Sandy Alomar (27),15,1971,R
57,57.,Robinson Cano (24),15,2007,R
58,57.,Luis Castillo (27),15,2003,R
59,57.,Denny Doyle (30),15,1974,R
60,57.,Mark Ellis (30),15,2007,R
61,57.,Nellie Fox+ (29),15,1957,R
62,57.,Phil Garner (31),15,1980,R
63,57.,Mark Lemke (30),15,1996,R
64,57.,Keith Lockhart (37),15,2002,R
65,57.,Bill Mazeroski+ (31),15,1968,R
66,57.,Joe Panik (25),15,2016,R
67,57.,Dustin Pedroia (30),15,2014,R
68,57.,Bobby Richardson (27),15,1963,R
69,57.,Ryne Sandberg+ (36),15,1996,R
70,57.,Ted Sizemore (28),15,1973,R
71,57.,Lou Whitaker (24),15,1981,R
72,73.,Jerry Adair (27),14,1964,R
73,73.,Ronnie Belliard (26),14,2001,R
74,73.,Frank Bolling (29),14,1961,R
75,73.,Don Buford (28),14,1965,R
76,73.,Robinson Cano (33),14,2016,R
77,73.,Chuck Cottier (25),14,1961,R
78,73.,Tim Cullen (28),14,1970,R
79,73.,Tom Herr (26),14,1982,R
80,73.,Aaron Hill (24),14,2006,R
81,73.,Omar Infante (29),14,2011,R
82,73.,Jeff Kent (29),14,1997,R
83,73.,Ian Kinsler (27),14,2009,R
84,73.,Ian Kinsler (32),14,2014,R
85,73.,Joe Morgan+ (31),14,1975,R
86,73.,Ron Oester (29),14,1985,R
87,73.,Tony Phillips (27),14,1986,R
88,73.,Placido Polanco (27),14,2003,R
89,73.,Johnny Ray (29),14,1986,R
90,73.,Rey Sanchez (36),14,2004,R
91,73.,Frank White (36),14,1987,R
92,93.,Jose Altuve (25),13,2015,R
93,93.,Jose Altuve (27),13,2017,R
94,93.,Bobby Avila (29),13,1953,R
95,93.,Don Blasingame (24),13,1956,R
96,93.,Asdrubal Cabrera (22),13,2008,R
97,93.,Julio Franco (31),13,1990,R
98,93.,Billy Gardner (29),13,1957,R
99,93.,Mark Grudzielanek (33),13,2003,R
100,93.,Bobby Knoop (29),13,1968,R
101,93.,DJ LeMahieu (28),13,2017,R
102,93.,Mark Lemke (29),13,1995,R
103,93.,Bill Mazeroski+ (27),13,1964,R
104,93.,Jonathan Schoop (22),13,2014,R
105,93.,Cesar Tovar (25),13,1966,R
106,93.,Jose Valentin (36),13,2006,R
107,93.,Lou Whitaker (25),13,1982,R
108,93.,Frank White (25),13,1976,R
109,93.,Bump Wills (24),13,1977,R
110,93.,Kolten Wong (25),13,2016,R
111,93.,Eric Young Sr. (30),13,1997,R
112,113.,Frank Bolling (26),12,1958,R
113,113.,Frank Bolling (27),12,1959,R
114,113.,Bret Boone (32),12,2001,R
115,113.,Jack Brohamer (24),12,1974,R
116,113.,Dave Cash (24),12,1972,R
117,113.,Dave Cash (26),12,1974,R
118,113.,Horace Clarke (29),12,1968,R
119,113.,Julio Cruz (28),12,1983,R
120,113.,Mark Ellis (34),12,2011,R
121,113.,Danny Espinosa (25),12,2012,R
122,113.,Scott Fletcher (31),12,1990,R
123,113.,Nellie Fox+ (27),12,1955,R
124,113.,Tito Fuentes (23),12,1967,R
125,113.,Mike Gallego (30),12,1991,R
126,113.,Damaso Garcia (25),12,1982,R
127,113.,Adam Kennedy (26),12,2002,R
128,113.,Ian Kinsler (29),12,2011,R
129,113.,Jason Kipnis (29),12,2016,R
130,113.,Jose Lind (23),12,1987,R
131,113.,Ketel Marte (24),12,2018,R
132,113.,Gil McDougald (27),12,1955,R
133,113.,Rougned Odor (24),12,2018,R
134,113.,Dustin Pedroia (26),12,2010,R
135,113.,Placido Polanco (33),12,2009,R
136,113.,Willie Randolph (22),12,1977,R
137,113.,Jerry Remy (23),12,1976,R
138,113.,Ryne Sandberg+ (23),12,1983,R
139,113.,Ryne Sandberg+ (24),12,1984,R
140,113.,Ted Sizemore (29),12,1974,R
141,113.,Robby Thompson (31),12,1993,R
142,113.,Chase Utley (29),12,2008,R
143,113.,Frank White (26),12,1977,R
144,113.,Frank White (27),12,1978,R
145,113.,Tony Womack (34),12,2004,R
146,147.,Roberto Alomar+ (30),11,1998,R
147,147.,Craig Biggio+ (40),11,2006,R
148,147.,Marv Breeding (28),11,1962,R
149,147.,Jack Brohamer (26),11,1976,R
150,147.,Delino DeShields (24),11,1993,R
