,Rank,Player (age that year),Adj. Batting Wins,Year,Bats
0,1.,Barry Bonds (36),11.4,2001,L
1,1.,Barry Bonds (37),11.4,2002,L
2,3.,Barry Bonds (39),11.3,2004,L
3,3.,Babe Ruth+ (28),11.3,1923,L
4,5.,Babe Ruth+ (26),10.9,1921,L
5,6.,Babe Ruth+ (25),10.8,1920,L
6,7.,Ted Williams+ (22),9.8,1941,L
7,8.,Lou Gehrig+ (24),9.7,1927,L
8,9.,Babe Ruth+ (29),9.6,1924,L
9,9.,Babe Ruth+ (32),9.6,1927,L
10,11.,Babe Ruth+ (31),9.5,1926,L
11,12.,Rogers Hornsby+ (28),9.4,1924,R
12,13.,Ted Williams+ (23),9.3,1942,L
13,13.,Ted Williams+ (27),9.3,1946,L
14,15.,Mickey Mantle+ (25),9.0,1957,B
15,15.,Babe Ruth+ (36),9.0,1931,L
16,17.,Rogers Hornsby+ (26),8.9,1922,R
17,17.,Mark McGwire (34),8.9,1998,R
18,17.,Ted Williams+ (28),8.9,1947,L
19,20.,Jimmie Foxx+ (24),8.8,1932,R
20,21.,Ted Williams+ (38),8.7,1957,L
21,22.,Lou Gehrig+ (31),8.5,1934,L
22,22.,Babe Ruth+ (35),8.5,1930,L
23,22.,Sammy Sosa (32),8.5,2001,R
24,25.,Barry Bonds (28),8.4,1993,L
25,25.,Ty Cobb+ (30),8.4,1917,L
26,25.,Fred Dunlap (25),8.4,1884,R
27,25.,Lou Gehrig+ (27),8.4,1930,L
28,25.,Stan Musial+ (27),8.4,1948,L
29,30.,Barry Bonds (38),8.3,2003,L
30,30.,Babe Ruth+ (33),8.3,1928,L
31,32.,Ted Williams+ (30),8.2,1949,L
32,33.,Norm Cash (27),8.1,1961,L
33,33.,Mickey Mantle+ (24),8.1,1956,B
34,35.,Nap Lajoie+ (35),8.0,1910,R
35,36.,Jimmie Foxx+ (25),7.9,1933,R
36,36.,Lou Gehrig+ (28),7.9,1931,L
37,36.,Jason Giambi (30),7.9,2001,L
38,36.,Rogers Hornsby+ (29),7.9,1925,R
39,36.,Willie McCovey+ (31),7.9,1969,L
40,36.,Frank Robinson+ (30),7.9,1966,R
41,42.,Ty Cobb+ (28),7.8,1915,L
42,42.,Bryce Harper (22),7.8,2015,L
43,42.,Tip O'Neill (27),7.8,1887,R
44,42.,Honus Wagner+ (34),7.8,1908,R
45,46.,Mickey Mantle+ (29),7.7,1961,B
46,46.,Carl Yastrzemski+ (27),7.7,1967,L
47,48.,Ty Cobb+ (24),7.6,1911,L
48,48.,Lou Gehrig+ (33),7.6,1936,L
49,48.,Rogers Hornsby+ (32),7.6,1928,R
50,48.,Tris Speaker+ (24),7.6,1912,L
51,52.,Barry Bonds (27),7.5,1992,L
52,52.,Ty Cobb+ (23),7.5,1910,L
53,52.,Lou Gehrig+ (25),7.5,1928,L
54,52.,Rogers Hornsby+ (25),7.5,1921,R
55,52.,Albert Pujols (29),7.5,2009,R
56,57.,Shoeless Joe Jackson (23),7.3,1911,L
57,57.,Albert Pujols (23),7.3,2003,R
58,57.,Babe Ruth+ (24),7.3,1919,L
59,57.,Gary Sheffield (27),7.3,1996,R
60,61.,Ty Cobb+ (22),7.2,1909,L
61,61.,Ty Cobb+ (25),7.2,1912,L
62,61.,Shoeless Joe Jackson (24),7.2,1912,L
63,61.,Nap Lajoie+ (29),7.2,1904,R
64,61.,John Olerud (24),7.2,1993,L
65,61.,Albert Pujols (28),7.2,2008,R
66,61.,Ted Williams+ (29),7.2,1948,L
67,68.,Dick Allen (30),7.1,1972,R
68,68.,Barry Bonds (31),7.1,1996,L
69,68.,Ed Delahanty+ (31),7.1,1899,R
70,68.,Nap Lajoie+ (26),7.1,1901,R
71,68.,Stan Musial+ (25),7.1,1946,L
72,68.,Tris Speaker+ (28),7.1,1916,L
73,74.,Jeff Bagwell+ (28),7.0,1996,R
74,74.,Dan Brouthers+ (28),7.0,1886,L
75,74.,Miguel Cabrera (30),7.0,2013,R
76,74.,Carlos Delgado (28),7.0,2000,L
77,74.,Harry Heilmann+ (28),7.0,1923,R
78,74.,Shoeless Joe Jackson (25),7.0,1913,L
79,74.,Babe Ruth+ (37),7.0,1932,L
80,74.,George Sisler+ (27),7.0,1920,L
81,74.,Tris Speaker+ (35),7.0,1923,L
82,83.,Hank Aaron+ (25),6.9,1959,R
83,83.,Lou Gehrig+ (29),6.9,1932,L
84,83.,Jason Giambi (29),6.9,2000,L
85,83.,Rogers Hornsby+ (24),6.9,1920,R
86,83.,Reggie Jackson+ (23),6.9,1969,L
87,83.,Ralph Kiner+ (28),6.9,1951,R
88,83.,Mickey Mantle+ (26),6.9,1958,B
89,83.,Stan Musial+ (30),6.9,1951,L
90,83.,George Stone (29),6.9,1906,L
91,83.,Mike Trout (26),6.9,2018,R
92,93.,Hank Aaron+ (29),6.8,1963,R
93,93.,Miguel Cabrera (28),6.8,2011,R
94,93.,Joe Medwick+ (25),6.8,1937,R
95,93.,Stan Musial+ (28),6.8,1949,L
96,93.,Frank Thomas+ (23),6.8,1991,R
97,93.,Jim Thome+ (31),6.8,2002,L
98,93.,Mike Trout (21),6.8,2013,R
99,93.,Arky Vaughan+ (23),6.8,1935,L
100,93.,Carl Yastrzemski+ (30),6.8,1970,L
101,102.,Barry Bonds (33),6.7,1998,L
102,102.,Jimmie Foxx+ (30),6.7,1938,R
103,102.,Rogers Hornsby+ (33),6.7,1929,R
104,102.,Ralph Kiner+ (26),6.7,1949,R
105,102.,Edgar Martinez+ (32),6.7,1995,R
106,102.,Kevin Mitchell (27),6.7,1989,R
107,102.,Frank Thomas+ (26),6.7,1994,R
108,102.,Larry Walker+ (30),6.7,1997,L
109,110.,Rod Carew+ (31),6.6,1977,L
110,110.,Lou Gehrig+ (34),6.6,1937,L
111,110.,Joey Votto (31),6.6,2015,L
112,110.,Ted Williams+ (35),6.6,1954,L
113,114.,Mookie Betts (25),6.5,2018,R
114,114.,Jimmie Foxx+ (26),6.5,1934,R
115,114.,Luis Gonzalez (33),6.5,2001,L
116,114.,Harmon Killebrew+ (33),6.5,1969,R
117,114.,Stan Musial+ (22),6.5,1943,L
118,114.,Mike Piazza+ (28),6.5,1997,R
119,114.,Al Rosen (29),6.5,1953,R
120,114.,Cy Seymour (32),6.5,1905,L
121,114.,Tris Speaker+ (26),6.5,1914,L
122,114.,Frank Thomas+ (24),6.5,1992,R
123,114.,Hack Wilson+ (30),6.5,1930,R
124,125.,Hank Aaron+ (37),6.4,1971,R
125,125.,Jeff Bagwell+ (26),6.4,1994,R
126,125.,Jose Bautista (30),6.4,2011,R
127,125.,Wade Boggs+ (30),6.4,1988,L
128,125.,George Brett+ (32),6.4,1985,L
129,125.,Dan Brouthers+ (34),6.4,1892,L
130,125.,Jesse Burkett+ (32),6.4,1901,L
131,125.,Jimmie Foxx+ (27),6.4,1935,R
132,125.,Tommy Holmes (28),6.4,1945,L
133,125.,Chuck Klein+ (28),6.4,1933,L
134,125.,Willie Mays+ (34),6.4,1965,R
135,125.,Joe Morgan+ (32),6.4,1976,L
136,125.,Frank Robinson+ (26),6.4,1962,R
137,125.,Frank Thomas+ (29),6.4,1997,R
138,139.,George Brett+ (27),6.3,1980,L
139,139.,Ty Cobb+ (29),6.3,1916,L
140,139.,Eddie Collins+ (27),6.3,1914,L
141,139.,Joe DiMaggio+ (26),6.3,1941,R
142,139.,Lou Gehrig+ (30),6.3,1933,L
143,139.,Frank Howard (32),6.3,1969,R
144,139.,King Kelly+ (28),6.3,1886,R
145,139.,Harmon Killebrew+ (31),6.3,1967,R
146,139.,Derrek Lee (29),6.3,2005,R
147,139.,Willie McCovey+ (32),6.3,1970,L
148,139.,Johnny Mize+ (26),6.3,1939,L
149,139.,Alex Rodriguez (31),6.3,2007,R
150,139.,Tris Speaker+ (32),6.3,1920,L
151,152.,Wade Boggs+ (29),6.2,1987,L
152,152.,Barry Bonds (35),6.2,2000,L
153,152.,Ed Delahanty+ (28),6.2,1896,R
154,152.,Lou Gehrig+ (32),6.2,1935,L
155,152.,Rickey Henderson+ (31),6.2,1990,R
156,152.,Rogers Hornsby+ (31),6.2,1927,R
157,152.,Stan Musial+ (23),6.2,1944,L
158,152.,Mel Ott+ (29),6.2,1938,L
159,152.,Albert Pujols (24),6.2,2004,R
160,152.,Albert Pujols (30),6.2,2010,R
161,152.,Alex Rodriguez (29),6.2,2005,R
162,152.,Babe Ruth+ (34),6.2,1929,L
163,152.,Frank Thomas+ (25),6.2,1993,R
164,152.,Joe Torre+ (30),6.2,1971,R
165,152.,Carl Yastrzemski+ (28),6.2,1968,L
166,167.,Albert Belle (31),6.1,1998,R
167,167.,Miguel Cabrera (27),6.1,2010,R
168,167.,Will Clark (25),6.1,1989,L
169,167.,Ed Delahanty+ (27),6.1,1895,R
170,167.,Jim Gentile (27),6.1,1961,L
171,167.,Brian Giles (31),6.1,2002,L
172,167.,Benny Kauff (25),6.1,1915,L
173,167.,Bobby Murcer (25),6.1,1971,L
174,167.,Stan Musial+ (32),6.1,1953,L
175,167.,Mel Ott+ (27),6.1,1936,L
176,167.,Willie Stargell+ (33),6.1,1973,L
177,167.,Frank Thomas+ (27),6.1,1995,R
178,167.,Frank Thomas+ (28),6.1,1996,R
179,167.,Mike Trout (23),6.1,2015,R
180,167.,Mike Trout (24),6.1,2016,R
181,167.,Joey Votto (33),6.1,2017,L
182,183.,Jeff Bagwell+ (29),6.0,1997,R
183,183.,Barry Bonds (32),6.0,1997,L
184,183.,Jason Giambi (31),6.0,2002,L
185,183.,Paul Goldschmidt (27),6.0,2015,R
186,183.,Hank Greenberg+ (26),6.0,1937,R
187,183.,Harry Heilmann+ (32),6.0,1927,R
188,183.,Todd Helton (26),6.0,2000,L
189,183.,Todd Helton (29),6.0,2003,L
190,183.,Babe Herman (27),6.0,1930,L
191,183.,Frank Howard (33),6.0,1970,R
192,183.,Chipper Jones+ (27),6.0,1999,B
