,Rank,Player (age that year),Outs Made,Year,Bats
0,1.,Omar Moreno (27),560,1980,L
1,2.,Frank Taveras (29),545,1979,R
2,3.,Horace Clarke (31),542,1970,B
3,4.,Sandy Alomar (27),536,1971,B
4,4.,Jose Reyes (22),536,2005,B
5,4.,Bobby Richardson (28),536,1964,R
6,7.,Sandy Alomar (26),535,1970,B
7,7.,J.J. Hardy (29),535,2012,R
8,7.,Omar Moreno (26),535,1979,L
9,7.,Omar Moreno (29),535,1982,L
10,11.,Starlin Castro (23),532,2013,R
11,11.,Alfredo Griffin (22),532,1980,B
12,11.,Ken Hubbs (20),532,1962,R
13,11.,Juan Pierre (28),532,2006,L
14,11.,Juan Samuel (23),532,1984,R
15,16.,Larry Bowa (28),531,1974,B
16,17.,Frankie Crosetti (28),530,1939,R
17,18.,Bobby Richardson (26),529,1962,R
18,19.,Ian Kinsler (32),528,2014,R
19,19.,Roger Metzger (24),528,1972,B
20,21.,Felix Millan (31),527,1975,R
21,21.,Bobby Richardson (29),527,1965,R
22,21.,Jimmy Rollins (28),527,2007,B
23,21.,Bill Virdon (31),527,1962,L
24,25.,Woody Jensen (28),526,1936,L
25,25.,Don Kessinger (25),526,1968,B
26,25.,Jimmy Rollins (30),526,2009,B
27,28.,Brian Hunter (26),525,1997,R
28,29.,Jose Reyes (24),523,2007,B
29,29.,Bobby Richardson (25),523,1961,R
30,31.,Dave Cash (30),522,1978,R
31,31.,Granny Hamner (22),522,1949,R
32,31.,Juan Samuel (24),522,1985,R
33,34.,Kirby Puckett+ (25),521,1985,R
34,34.,Jimmy Rollins (27),521,2006,B
35,36.,Bert Campaneris (30),520,1972,R
36,36.,Ozzie Smith+ (25),520,1980,B
37,36.,Woody Williams (31),520,1944,R
38,39.,Alex Gonzalez (28),519,2001,R
39,39.,Neifi Perez (26),519,1999,B
40,39.,Juan Pierre (29),519,2007,L
41,39.,Red Schoendienst+ (24),519,1947,B
42,43.,Jimmy Rollins (23),518,2002,B
43,43.,Maury Wills (29),518,1962,B
44,45.,Brooks Robinson+ (24),517,1961,R
45,45.,Devon White (26),517,1989,B
46,45.,Maury Wills (32),517,1965,B
47,48.,Ian Kinsler (30),516,2012,R
48,48.,Jose Reyes (25),516,2008,B
49,48.,Harold Reynolds (29),516,1990,B
50,48.,Alfonso Soriano (26),516,2002,R
51,48.,Rennie Stennett (23),516,1974,R
52,48.,Ichiro Suzuki (37),516,2011,L
53,54.,Max Alvis (29),515,1967,R
54,54.,Derek Jeter+ (36),515,2010,R
55,54.,Juan Pierre (32),515,2010,L
56,54.,Jim Rice+ (31),515,1984,R
57,54.,Ruben Sierra (21),515,1987,B
58,54.,Ruben Sierra (27),515,1993,B
59,54.,Rennie Stennett (25),515,1976,R
60,54.,Frank Taveras (28),515,1978,R
61,54.,Jake Wood (24),515,1961,R
62,54.,Robin Yount+ (20),515,1976,R
63,64.,Julio Franco (25),514,1984,R
64,64.,Tito Fuentes (29),514,1973,B
65,64.,Tommy Harper (24),514,1965,R
66,64.,Juan Pierre (27),514,2005,L
67,64.,Sammy Sosa (28),514,1997,R
68,69.,Joe Carter (30),513,1990,R
69,69.,Chili Davis (22),513,1982,B
70,69.,Dick Howser (28),513,1964,R
71,69.,Cesar Tovar (26),513,1967,R
72,69.,Marvell Wynne (24),513,1984,L
73,74.,Luis Aparicio+ (32),512,1966,R
74,74.,Tony Batista (29),512,2003,R
75,74.,Lou Brock+ (28),512,1967,L
76,74.,Rick Burleson (29),512,1980,R
77,74.,Orlando Cabrera (34),512,2009,R
78,74.,Travis Fryman (23),512,1992,R
79,74.,Manny Machado (20),512,2013,R
80,74.,Felix Millan (25),512,1969,R
81,74.,Michael Young (29),512,2006,R
82,83.,Joe Carter (29),511,1989,R
83,83.,Doug Glanville (27),511,1998,R
84,83.,Aaron Hill (27),511,2009,R
85,83.,Juan Pierre (25),511,2003,L
86,83.,Scott Podsednik (28),511,2004,L
87,83.,Cookie Rojas (29),511,1968,R
88,83.,Ryan Zimmerman (22),511,2007,R
89,90.,Tom Brown (31),510,1892,L
90,90.,Rick Burleson (27),510,1978,R
91,90.,Dave Cash (28),510,1976,R
92,90.,Neifi Perez (25),510,1998,B
93,90.,Harold Reynolds (30),510,1991,B
94,90.,Cal Ripken Jr.+ (28),510,1989,R
95,90.,Juan Samuel (26),510,1987,R
96,90.,Zoilo Versalles (25),510,1965,R
97,98.,Orlando Cabrera (33),509,2008,R
98,98.,Eddie Mayo (34),509,1944,L
99,98.,Mickey Rocco (28),509,1944,L
100,98.,Roy White (29),509,1973,B
101,102.,Elvis Andrus (25),508,2014,R
102,102.,Larry Bowa (25),508,1971,B
103,102.,Warren Cromartie (25),508,1979,L
104,102.,Billy Gardner (29),508,1957,R
105,102.,Eddie Lake (31),508,1947,R
106,102.,Eddie Mulligan (26),508,1921,R
107,108.,Buddy Bell (27),507,1979,R
108,108.,Dave Cash (27),507,1975,R
109,108.,Johnny Damon (27),507,2001,L
110,108.,Cesar Izturis (24),507,2004,B
111,108.,Don Kessinger (26),507,1969,B
112,108.,Juan Pierre (26),507,2004,L
113,108.,Juan Pierre (33),507,2011,L
114,108.,Del Unser (23),507,1968,L
115,108.,Bill Wambsganss (30),507,1924,R
116,108.,Buck Weaver (25),507,1916,B
117,118.,Willie Davis (28),506,1968,L
118,118.,Alcides Escobar (29),506,2016,R
119,118.,Jeff Francoeur (22),506,2006,R
120,118.,Carney Lansford (22),506,1979,R
121,118.,Rougned Odor (23),506,2017,L
122,118.,Zoilo Versalles (24),506,1964,R
123,118.,Devon White (24),506,1987,B
124,125.,Bill Buckner (35),505,1985,L
125,125.,Rick Burleson (26),505,1977,R
126,125.,Hughie Critz (29),505,1930,R
127,125.,Marquis Grissom (25),505,1992,R
128,125.,Dick Groat (31),505,1962,R
129,125.,Alex Rodriguez (22),505,1998,R
130,125.,Chuck Schilling (23),505,1961,R
131,125.,Rusty Staub (34),505,1978,L
132,133.,George Bell (32),504,1992,R
133,133.,Carlos Beltran (22),504,1999,B
134,133.,Larry Bowa (30),504,1976,B
135,133.,Ivan de Jesus (26),504,1979,R
136,133.,Mike Devereaux (29),504,1992,R
137,133.,Brandon Phillips (26),504,2007,R
138,133.,Jerry Remy (29),504,1982,L
139,133.,Cal Ripken Jr.+ (24),504,1985,R
140,133.,Bill Russell (30),504,1979,R
141,133.,Ozzie Smith+ (24),504,1979,B
142,133.,Michael Young (33),504,2010,R
143,144.,Matty Alou (31),503,1970,L
144,144.,Jay Bell (26),503,1992,R
145,144.,Mike Bordick (33),503,1999,R
146,144.,Don Buford (29),503,1966,B
147,144.,Bert Campaneris (26),503,1968,R
148,144.,Dave Cash (26),503,1974,R
149,144.,Tony Fernandez (24),503,1986,B
150,144.,Chone Figgins (32),503,2010,B
151,144.,Edgar Renteria (20),503,1997,R
152,144.,Cal Ripken Jr.+ (32),503,1993,R
153,144.,Jimmy Rollins (22),503,2001,B
154,144.,Dan Uggla (27),503,2007,R
155,156.,Bob Bailey (22),502,1965,R
156,156.,Brian Dozier (28),502,2015,R
157,156.,Ray Durham (25),502,1997,B
