,Rank,Player (age that year),Defensive WAR,Year,Bats
146,143.,Bill Dahlen (34),3.1,1904,R
147,143.,Bill Dahlen (35),3.1,1905,R
148,143.,Bucky Dent (28),3.1,1980,R
149,143.,Hod Ford (30),3.1,1928,R
150,143.,Bud Harrelson (27),3.1,1971,B
151,143.,Austin Jackson (24),3.1,2011,R
152,143.,Juan Lagares (25),3.1,2014,R
153,143.,Marty Marion (29),3.1,1946,R
154,143.,Roger Peckinpaugh (33),3.1,1924,R
155,143.,Alexei Ramírez (28),3.1,2010,R
156,143.,Blondy Ryan (27),3.1,1933,R
157,143.,John Valentin (26),3.1,1993,R
158,159.,Hank Blalock (22),3.0,2003,L
159,159.,Lou Boudreau+ (30),3.0,1948,R
160,159.,Larry Bowa (25),3.0,1971,B
161,159.,Rick Burleson (28),3.0,1979,R
162,159.,Bert Campaneris (30),3.0,1972,R
163,159.,Frankie Crosetti (28),3.0,1939,R
164,159.,George Davis+ (35),3.0,1906,B
165,159.,Frank Duffy (28),3.0,1975,R
166,159.,Andruw Jones (24),3.0,2001,R
167,159.,Billy Jurges (25),3.0,1933,R
168,159.,Billy Jurges (27),3.0,1935,R
169,159.,Kevin Kiermaier (26),3.0,2016,L
170,159.,Bill Killefer (25),3.0,1913,R
171,159.,George McBride (33),3.0,1914,R
172,159.,Tom Pagnozzi (28),3.0,1991,R
173,159.,Roger Peckinpaugh (27),3.0,1918,R
174,159.,Terry Pendleton (24),3.0,1985,B
175,159.,Kevin Pillar (26),3.0,2015,R
176,159.,Cal Ripken Jr.+ (34),3.0,1995,R
177,159.,Ivan Rodriguez+ (25),3.0,1997,R
178,159.,Brendan Ryan (28),3.0,2010,R
179,159.,Everett Scott (25),3.0,1918,R
180,159.,Jim Sundberg (27),3.0,1978,R
181,159.,Joe Tinker+ (28),3.0,1909,R
182,159.,John Valentin (28),3.0,1995,R
183,159.,Zoilo Versalles (25),3.0,1965,R
184,159.,Honus Wagner+ (38),3.0,1912,R
185,159.,Tim Wallach (27),3.0,1985,R
186,159.,Matt Wieters (25),3.0,2011,B
187,188.,Sandy Alomar (27),2.9,1971,B
188,188.,Luis Aparicio+ (24),2.9,1958,R
189,188.,Dave Bancroft+ (25),2.9,1916,B
190,188.,Dick Bartell (29),2.9,1937,R
191,188.,Michael Bourn (29),2.9,2012,L
192,188.,Larry Bowa (32),2.9,1978,B
193,188.,Ken Caminiti (26),2.9,1989,B
194,188.,Leo Cardenas (30),2.9,1969,R
195,188.,Julio Cruz (29),2.9,1984,B
196,188.,George Davis+ (36),2.9,1907,B
197,188.,Greg Gagne (28),2.9,1990,R
198,188.,Orlando Hudson (26),2.9,2004,B
199,188.,Jason Kendall (34),2.9,2008,R
200,188.,Lou Klein (24),2.9,1943,R
201,188.,Paul Lo Duca (31),2.9,2003,R
202,188.,Garry Maddox (29),2.9,1979,R
203,188.,Rabbit Maranville+ (32),2.9,1924,R
204,188.,Marty Marion (24),2.9,1941,R
205,188.,Bill Mazeroski+ (21),2.9,1958,R
206,188.,Roy McMillan (26),2.9,1956,R
207,188.,Yadier Molina (27),2.9,2010,R
208,188.,Yadier Molina (29),2.9,2012,R
209,188.,Billy Myers (28),2.9,1939,R
210,188.,Bill North (25),2.9,1973,B
211,188.,Phil Rizzuto+ (23),2.9,1941,R
212,188.,Brooks Robinson+ (32),2.9,1969,R
213,188.,Andrelton Simmons (24),2.9,2014,R
214,188.,Rennie Stennett (24),2.9,1975,R
215,188.,Joe Tinker+ (33),2.9,1914,R
216,217.,Nolan Arenado (24),2.8,2015,R
217,217.,Adrian Beltre (24),2.8,2003,R
218,217.,Bill Bergen (31),2.8,1909,R
219,217.,Paul Blair (25),2.8,1969,R
220,217.,Mike Bordick (33),2.8,1999,R
221,217.,Don Buford (28),2.8,1965,B
222,217.,Lorenzo Cain (27),2.8,2013,R
223,217.,Bert Campaneris (35),2.8,1977,R
224,217.,Robinson Cano (24),2.8,2007,L
225,217.,Chico Carrasquel (25),2.8,1951,R
226,217.,Chico Carrasquel (27),2.8,1953,R
227,217.,Gary Carter+ (28),2.8,1982,R
228,217.,Eddie Collins+ (23),2.8,1910,L
229,217.,Hughie Critz (25),2.8,1926,R
230,217.,George Davis+ (34),2.8,1905,B
231,217.,Bucky Dent (26),2.8,1978,R
232,217.,Mickey Doolin (30),2.8,1910,R
233,217.,Kid Elberfeld (29),2.8,1904,R
234,217.,Mark Ellis (31),2.8,2008,R
235,217.,Cesar Geronimo (27),2.8,1975,L
236,217.,Joe Gordon+ (28),2.8,1943,R
237,217.,J.J. Hardy (29),2.8,2012,R
238,217.,Billy Hunter (25),2.8,1953,R
239,217.,Brandon Inge (29),2.8,2006,R
240,217.,Travis Jackson+ (27),2.8,1931,R
241,217.,Hal Lanier (26),2.8,1969,R
242,217.,Marty Marion (25),2.8,1942,R
243,217.,Roy McMillan (31),2.8,1961,R
244,217.,Jose Oquendo (25),2.8,1989,B
245,217.,Cy Perkins (24),2.8,1920,R
246,217.,Kevin Pillar (27),2.8,2016,R
247,217.,Johnny Ray (26),2.8,1983,B
248,217.,Brooks Robinson+ (34),2.8,1971,R
249,217.,Brendan Ryan (29),2.8,2011,R
250,217.,Rey Sanchez (31),2.8,1999,R
251,217.,Rey Sanchez (32),2.8,2000,R
252,217.,Andrelton Simmons (26),2.8,2016,R
253,217.,Ozzie Smith+ (31),2.8,1986,B
254,217.,Snuffy Stirnweiss (26),2.8,1945,R
255,217.,Lee Tannehill (24),2.8,1905,R
256,217.,Joe Tinker+ (26),2.8,1907,R
257,217.,Arky Vaughan+ (26),2.8,1938,L
258,217.,Robin Ventura (31),2.8,1999,L
259,217.,Devon White (26),2.8,1989,B
260,217.,Robin Yount+ (25),2.8,1981,R
261,217.,Chief Zimmer (29),2.8,1890,R
262,263.,Dave Bancroft+ (31),2.7,1922,B
263,263.,Jack Barry (27),2.7,1914,R
264,263.,Mookie Betts (23),2.7,2016,R
265,263.,Paul Blair (26),2.7,1970,R
266,263.,Bob Boone (38),2.7,1986,R
267,263.,Byron Buxton (23),2.7,2017,R
268,263.,Dave Concepcion (26),2.7,1974,R
269,263.,Craig Counsell (35),2.7,2006,L
270,263.,Hughie Critz (33),2.7,1934,R
271,263.,Joe Cronin+ (23),2.7,1930,R
272,263.,Ivan de Jesus (24),2.7,1977,R
273,263.,Darrell Evans (27),2.7,1974,L
274,263.,Greg Gagne (25),2.7,1987,R
275,263.,Jack Glasscock (25),2.7,1883,R
276,263.,Mark Grudzielanek (35),2.7,2005,R
277,263.,Ozzie Guillen (25),2.7,1989,L
278,263.,Toby Hall (29),2.7,2005,R
279,263.,Ron Hansen (23),2.7,1961,R
280,263.,Aaron Hill (25),2.7,2007,R
281,263.,Charles Johnson (25),2.7,1997,R
282,263.,Andruw Jones (23),2.7,2000,R
283,263.,Billy Jurges (24),2.7,1932,R
284,263.,Ian Kinsler (27),2.7,2009,R
285,263.,Herman Long (35),2.7,1901,L
286,263.,Manny Machado (23),2.7,2016,R
287,263.,Russell Martin (24),2.7,2007,R
288,263.,George McBride (31),2.7,1912,R
289,263.,John McDonald (32),2.7,2007,R
290,263.,Yadier Molina (30),2.7,2013,R
291,263.,Graig Nettles (28),2.7,1973,L
292,263.,Ray Oyler (29),2.7,1967,R
293,263.,Roger Peckinpaugh (28),2.7,1919,R
294,263.,Neifi Perez (32),2.7,2005,B
295,263.,Roberto Perez (30),2.7,2019,R
296,263.,Rico Petrocelli (26),2.7,1969,R
297,263.,Jim Piersall (25),2.7,1955,R
298,263.,Placido Polanco (25),2.7,2001,R
299,263.,Del Pratt (31),2.7,1919,R
300,263.,Jerry Priddy (30),2.7,1950,R
301,263.,Willie Randolph (21),2.7,1976,R
302,263.,Charlie Reilly (23),2.7,1890,B
303,263.,Cal Ripken Jr.+ (25),2.7,1986,R
304,263.,Victor Robles (22),2.7,2019,R
305,263.,Ivan Rodriguez+ (26),2.7,1998,R
306,263.,Ivan Rodriguez+ (27),2.7,1999,R
307,263.,Billy Rogell (30),2.7,1935,B
308,263.,Jimmy Rollins (26),2.7,2005,B
309,263.,Benito Santiago (23),2.7,1988,R
310,263.,Ron Santo+ (27),2.7,1967,R
311,263.,Marco Scutaro (32),2.7,2008,R
312,263.,Ozzie Smith+ (24),2.7,1979,B
313,263.,Wayne Terwilliger (28),2.7,1953,R
314,263.,Troy Tulowitzki (25),2.7,2010,R
315,263.,Jose Uribe (27),2.7,1986,B
316,263.,Chase Utley (26),2.7,2005,L
317,263.,Honus Wagner+ (31),2.7,1905,R
318,263.,Bobby Wallace+ (28),2.7,1902,R
319,263.,John Ward+ (27),2.7,1887,L
320,263.,Walt Weiss (26),2.7,1990,B
321,263.,Rondell White (25),2.7,1997,R
322,263.,Glenn Wright (29),2.7,1930,R
323,263.,Butch Wynegar (23),2.7,1979,B
324,263.,Pep Young (30),2.7,1938,R
325,326.,Luis Aparicio+ (31),2.6,1965,R
326,326.,Luis Aparicio+ (34),2.6,1968,R
327,326.,Juan Beniquez (26),2.6,1976,R
328,326.,Larry Bowa (31),2.6,1977,B
329,326.,Miguel Cairo (24),2.6,1998,R
330,326.,Mike Cameron (26),2.6,1999,R
331,326.,Gary Carter+ (25),2.6,1979,R
332,326.,Royce Clayton (25),2.6,1995,R
333,326.,Jimmy Collins+ (29),2.6,1899,R
334,326.,Dave Concepcion (27),2.6,1975,R
335,326.,Jimmy Cooney (24),2.6,1890,B
336,326.,Jimmy Cooney (25),2.6,1891,B
337,326.,Zack Cozart (28),2.6,2014,R
338,326.,Joe Crede (28),2.6,2006,R
339,326.,Joe Cronin+ (26),2.6,1933,R
340,326.,Red Dooin (29),2.6,1908,R
341,326.,Duke Farrell (23),2.6,1890,B
342,326.,Pedro Feliz (32),2.6,2007,R
343,326.,Curt Flood (20),2.6,1958,R
344,326.,Tim Foli (23),2.6,1974,R
345,326.,Nellie Fox+ (31),2.6,1959,L
346,326.,Lonny Frey (32),2.6,1943,L
347,326.,Frankie Frisch+ (26),2.6,1924,B
348,326.,Gary Gaetti (25),2.6,1984,R
349,326.,Joe Gordon+ (24),2.6,1939,R
350,326.,Dick Groat (29),2.6,1960,R
351,326.,Tony Gwynn+ (31),2.6,1991,L
352,326.,Buck Herzog (28),2.6,1914,R
353,326.,Roberto Kelly (25),2.6,1990,R
354,326.,Nap Lajoie+ (31),2.6,1906,R
355,326.,Nap Lajoie+ (33),2.6,1908,R
356,326.,Arlie Latham (24),2.6,1884,R
357,326.,Evan Longoria (24),2.6,2010,R
358,326.,Connie Mack+ (29),2.6,1892,R
359,326.,Freddie Maguire (29),2.6,1928,R
360,326.,Rabbit Maranville+ (29),2.6,1921,R
361,326.,Bill Mazeroski+ (31),2.6,1968,R
362,326.,George McBride (27),2.6,1908,R
363,326.,George McBride (29),2.6,1910,R
364,326.,Roy McMillan (25),2.6,1955,R
365,326.,Graig Nettles (25),2.6,1970,L
366,326.,Rey Ordóñez (26),2.6,1997,R
367,326.,Tony Pena (26),2.6,2007,R
368,326.,Rico Petrocelli (25),2.6,1968,R
369,326.,Bill Rariden (27),2.6,1915,R
370,326.,Harold Reynolds (29),2.6,1990,B
371,326.,Brooks Robinson+ (35),2.6,1972,R
372,326.,Brooks Robinson+ (36),2.6,1973,R
373,326.,Bill Russell (28),2.6,1977,R
374,326.,Boss Schmidt (27),2.6,1908,B
375,326.,Mike Schmidt+ (27),2.6,1977,R
376,326.,Everett Scott (28),2.6,1921,R
377,326.,Everett Scott (29),2.6,1922,R
378,326.,Jim Sundberg (25),2.6,1976,R
379,326.,Lee Tannehill (30),2.6,1911,R
380,326.,Art Wilson (28),2.6,1914,R
381,326.,Chief Zimmer (30),2.6,1891,R
382,326.,Ryan Zimmerman (24),2.6,2009,R
383,326.,Ben Zobrist (28),2.6,2009,B
384,385.,Luke Appling+ (28),2.5,1935,R
385,385.,Clint Barmes (32),2.5,2011,R
386,385.,Mark Belanger (27),2.5,1971,R
387,385.,Adrian Beltre (25),2.5,2004,R
388,385.,Mookie Betts (24),2.5,2017,R
389,385.,Don Blasingame (25),2.5,1957,L
390,385.,Barry Bonds (25),2.5,1990,L
391,385.,Lou Boudreau+ (22),2.5,1940,R
392,385.,Eddie Bressoud (30),2.5,1962,R
393,385.,Doc Bushong (29),2.5,1886,R
394,385.,Gary Carter+ (26),2.5,1980,R
395,385.,Royce Clayton (24),2.5,1994,R
396,385.,Roberto Clemente+ (33),2.5,1968,R
397,385.,Hughie Critz (24),2.5,1925,R
398,385.,Bill Dahlen (33),2.5,1903,R
399,385.,Frank Duffy (27),2.5,1974,R
400,385.,Bones Ely (37),2.5,1900,R
401,385.,Adam Everett (27),2.5,2004,R
402,385.,Jack Farrell (25),2.5,1883,R
403,385.,Scott Fletcher (25),2.5,1984,R
404,385.,Jim Fregosi (22),2.5,1964,R
405,385.,Nomar Garciaparra (28),2.5,2002,R
406,385.,Joe Gordon+ (27),2.5,1942,R
407,385.,Bobby Grich (26),2.5,1975,R
408,385.,Ender Inciarte (24),2.5,2015,L
409,385.,Andruw Jones (20),2.5,1997,R
410,385.,Kevin Kiermaier (27),2.5,2017,L
411,385.,Johnny Logan (32),2.5,1958,R
412,385.,Kirt Manwaring (26),2.5,1992,R
413,385.,Dal Maxvill (27),2.5,1966,R
414,385.,Bill Mazeroski+ (28),2.5,1965,R
415,385.,Dwayne Murphy (25),2.5,1980,L
416,385.,Freddy Parent (27),2.5,1903,R
417,385.,Freddy Parent (33),2.5,1909,R
418,385.,Tony Pena (27),2.5,1984,R
419,385.,Tony Pena (28),2.5,1985,R
420,385.,Jhonny Peralta (32),2.5,2014,R
421,385.,Placido Polanco (29),2.5,2005,R
422,385.,Pee Wee Reese+ (22),2.5,1941,R
423,385.,Cal Ripken Jr.+ (31),2.5,1992,R
424,385.,Brooks Robinson+ (38),2.5,1975,R
425,385.,Jimmy Rollins (29),2.5,2008,B
426,385.,Marcus Semien (27),2.5,2018,R
427,385.,Ozzie Smith+ (29),2.5,1984,B
428,385.,Ozzie Smith+ (35),2.5,1990,B
429,385.,Ozzie Smith+ (37),2.5,1992,B
430,385.,Harry Steinfeldt (31),2.5,1907,R
431,385.,Snuffy Stirnweiss (25),2.5,1944,R
432,385.,Jim Sundberg (24),2.5,1975,R
433,385.,Jim Sundberg (26),2.5,1977,R
434,385.,Ichiro Suzuki (30),2.5,2004,L
435,385.,Lee Tannehill (25),2.5,1906,R
436,385.,Lee Tannehill (28),2.5,1909,R
437,385.,Joe Tinker+ (30),2.5,1911,R
438,385.,Ossie Vitt (26),2.5,1916,R
439,385.,Omar Vizquel (26),2.5,1993,B
440,385.,Roxy Walters (23),2.5,1916,R
441,385.,Frank White (25),2.5,1976,R
442,385.,Whitey Wietelmann (24),2.5,1943,B
443,444.,Nick Ahmed (29),2.4,2019,R
444,444.,Luke Appling+ (30),2.4,1937,R
445,444.,Luke Appling+ (39),2.4,1946,R
446,444.,Ollie Beard (27),2.4,1889,R
447,444.,Adrian Beltre (31),2.4,2010,R
448,444.,Johnny Bench+ (24),2.4,1972,R
449,444.,Dale Berra (25),2.4,1982,R
450,444.,Paul Blair (23),2.4,1967,R
451,444.,Wade Boggs+ (31),2.4,1989,L
452,444.,Bob Boone (37),2.4,1985,R
453,444.,Mike Bordick (31),2.4,1997,R
454,444.,Mike Bordick (36),2.4,2002,R
455,444.,Fatty Briody (25),2.4,1884,
456,444.,Donie Bush (26),2.4,1914,B
457,444.,Lorenzo Cain (33),2.4,2019,R
458,444.,Gary Carter+ (24),2.4,1978,R
459,444.,Royce Clayton (27),2.4,1997,R
460,444.,Al Dark (28),2.4,1950,R
461,444.,Art Devlin (26),2.4,1906,R
462,444.,Bobby Doerr+ (28),2.4,1946,R
463,444.,Tony Fernandez (27),2.4,1989,B
464,444.,Carlton Fisk+ (29),2.4,1977,R
465,444.,Art Fletcher (35),2.4,1920,R
466,444.,Scott Fletcher (24),2.4,1983,R
467,444.,Scott Fletcher (34),2.4,1993,R
468,444.,Jim Fregosi (28),2.4,1970,R
469,444.,Gary Gaetti (31),2.4,1990,R
470,444.,Mike Gallego (32),2.4,1993,R
471,444.,Cesar Geronimo (26),2.4,1974,L
472,444.,Jim Gilliam (27),2.4,1956,B
473,444.,Jack Glasscock (29),2.4,1887,R
474,444.,Joe Gordon+ (32),2.4,1947,R
475,444.,Jackie Hayes (30),2.4,1937,R
476,444.,Tommy Helms (30),2.4,1971,R
477,444.,Glenn Hubbard (27),2.4,1985,R
478,444.,Torii Hunter (25),2.4,2001,R
479,444.,JaCoby Jones (26),2.4,2018,R
480,444.,Johnny Kling (32),2.4,1908,R
481,444.,Tony Kubek (28),2.4,1964,L
482,444.,Jim Landis (25),2.4,1959,R
483,444.,Hal Lanier (25),2.4,1968,R
484,444.,Brett Lawrie (22),2.4,2012,R
485,444.,Chet Lemon (28),2.4,1983,R
486,444.,Francisco Lindor (24),2.4,2018,B
487,444.,Evan Longoria (25),2.4,2011,R
488,444.,Kirt Manwaring (27),2.4,1993,R
489,444.,Russell Martin (30),2.4,2013,R
490,444.,Mike Matheny (29),2.4,2000,R
491,444.,Eddie Mayo (34),2.4,1944,L
492,444.,Gil McDougald (29),2.4,1957,R
493,444.,Roy McMillan (23),2.4,1953,R
494,444.,George Moriarty (28),2.4,1914,R
495,444.,Bill North (27),2.4,1975,B
496,444.,Bob O'Farrell (25),2.4,1922,R
497,444.,Roger Peckinpaugh (23),2.4,1914,R
498,444.,Dustin Pedroia (27),2.4,2011,R
499,444.,Terry Pendleton (28),2.4,1989,B
500,444.,Gary Pettis (28),2.4,1986,B
501,444.,Willie Randolph (24),2.4,1979,R
502,444.,Jackie Robinson+ (32),2.4,1951,R
503,444.,Alex Rodriguez (24),2.4,2000,R
504,444.,Bill Russell (33),2.4,1982,R
505,444.,Chris Sabo (26),2.4,1988,R
506,444.,Mike Schmidt+ (24),2.4,1974,R
507,444.,Walter Schmidt (31),2.4,1918,R
508,444.,Everett Scott (24),2.4,1917,R
509,444.,Andrelton Simmons (22),2.4,2012,R
510,444.,Chris Singleton (26),2.4,1999,L
511,444.,Germany Smith (26),2.4,1885,R
512,444.,Ozzie Smith+ (32),2.4,1987,B
513,444.,Lee Tannehill (27),2.4,1908,R
514,444.,Garry Templeton (31),2.4,1987,B
515,444.,Robby Thompson (27),2.4,1989,R
516,444.,Dickie Thon (24),2.4,1982,R
517,444.,Joe Tinker+ (31),2.4,1912,R
518,444.,Alan Trammell+ (23),2.4,1981,R
519,444.,Mike Tyson (27),2.4,1977,R
520,444.,Emil Verban (28),2.4,1944,R
521,444.,Bobby Wallace+ (32),2.4,1906,R
522,444.,Bobby Wallace+ (33),2.4,1907,R
523,444.,Jack Warner (24),2.4,1897,L
524,444.,Walt Weiss (24),2.4,1988,B
525,444.,Chief Zimmer (33),2.4,1894,R
