,Rank,Player (age that year),Putouts as 3B,Year,Throws
0,1.,Denny Lyons (21),255,1887,R
1,2.,Jimmy Collins+ (30),251,1900,R
2,2.,Jimmy Williams (22),251,1899,R
3,4.,Jimmy Collins+ (28),243,1898,R
4,4.,Willie Kamm (28),243,1928,R
5,6.,Willie Kamm (27),236,1927,R
6,7.,Home Run Baker+ (27),233,1913,R
7,8.,Bill Coughlin (22),232,1901,R
8,9.,Ernie Courtney (30),229,1905,R
9,10.,Jimmy Austin (31),228,1911,R
10,11.,Pie Traynor+ (26),226,1925,R
11,12.,Tom Burns (32),225,1889,R
12,12.,Billy Shindle (28),225,1889,R
13,14.,Lave Cross (33),223,1899,R
14,14.,Charlie Irwin (29),223,1898,R
15,16.,Hobe Ferris (33),222,1908,R
16,16.,Ed Gremminger (28),222,1902,R
17,18.,Home Run Baker+ (28),221,1914,R
18,18.,Willie Kamm (29),221,1929,R
19,18.,Will Smalley (19),221,1890,R
20,21.,Red Smith (24),220,1914,R
21,22.,Jimmy Austin (32),219,1912,R
22,22.,Tony Boeckel (27),219,1920,R
23,24.,Howie Shanks (30),218,1921,R
24,24.,Billy Shindle (27),218,1888,R
25,26.,Home Run Baker+ (25),217,1911,R
26,26.,Home Run Baker+ (26),217,1912,R
27,26.,Jimmy Collins+ (29),217,1899,R
28,26.,Ed Gremminger (29),217,1903,R
29,30.,Jimmy Austin (33),216,1913,R
30,30.,Willie Jones (26),216,1952,R
31,32.,Lave Cross (32),215,1898,R
32,33.,Bobby Byrne (24),214,1909,R
33,33.,Jimmy Collins+ (27),214,1897,R
34,33.,Denny Lyons (27),214,1893,R
35,36.,Billy Nash (26),213,1891,R
36,37.,Bobby Byrne (22),212,1907,R
37,37.,Tommy Leach (26),212,1904,R
38,37.,Pie Traynor+ (28),212,1927,R
39,37.,Eddie Yost (25),212,1952,R
40,41.,Jack Crooks (27),210,1893,R
41,41.,Billy Lauder (25),210,1899,R
42,43.,Home Run Baker+ (23),209,1909,R
43,44.,Dave Brain (27),208,1906,R
44,44.,Ossie Vitt (26),208,1916,R
45,46.,Home Run Baker+ (24),207,1910,R
46,46.,Billy Nash (22),207,1887,R
47,46.,Tex Wisterzil (26),207,1914,R
48,49.,Fritz Maisel (24),206,1914,R
49,49.,Marty McManus (29),206,1929,R
50,49.,Harry Raymond (27),206,1889,
51,49.,Charlie Reilly (23),206,1890,R
52,53.,Billy Nash (24),205,1889,R
53,53.,Eddie Yost (23),205,1950,R
54,55.,Jimmy Austin (30),204,1910,R
55,55.,Billy Nash (29),204,1894,R
56,55.,Babe Pinelli (26),204,1922,R
57,55.,Patsy Tebeau (25),204,1890,R
58,59.,Billy Alvord (26),203,1890,R
59,59.,Emil Batch (25),203,1905,R
60,59.,Jimmy Collins+ (31),203,1901,R
61,59.,Art Devlin (28),203,1908,R
62,59.,Eddie Yost (24),203,1951,R
63,64.,Home Run Baker+ (31),202,1917,R
64,64.,Willie Jones (29),202,1955,R
65,64.,Willie Jones (30),202,1956,R
66,64.,Hans Lobert (29),202,1911,R
67,64.,Denny Lyons (23),202,1889,R
68,64.,Billy Nash (25),202,1890,R
69,64.,Marv Owen (28),202,1934,R
70,71.,Jerry Denny (28),201,1887,R
71,71.,Pete Gilbert (23),201,1891,R
72,71.,Gene Robertson (25),201,1925,R
73,71.,Bobby Wallace+ (24),201,1898,R
74,75.,Eddie Foster (27),200,1914,R
75,75.,Charlie Irwin (27),200,1896,R
76,75.,Billy Shindle (31),200,1892,R
77,78.,Jerry Denny (30),199,1889,R
78,78.,Tommy Leach (30),199,1908,R
79,80.,Harlond Clift (24),198,1937,R
80,80.,Randy Jackson (25),198,1951,R
81,82.,Eddie Grant (25),197,1908,R
82,82.,Arlie Latham (29),197,1889,R
83,82.,Billy Nash (27),197,1892,R
84,85.,Billy Nash (30),196,1895,R
85,85.,George Pinkney (28),196,1887,R
86,87.,Harlond Clift (28),195,1941,R
87,87.,Stan Hack (35),195,1945,R
88,87.,Bill McKechnie+ (27),195,1914,R
89,87.,Red Rolfe (28),195,1937,R
90,91.,Tom Burns (31),194,1888,R
91,91.,Bob Jones (31),194,1921,R
92,91.,Pinky May (30),194,1941,R
93,94.,Al Boucher (32),193,1914,R
94,94.,Eddie Grant (27),193,1910,R
95,94.,Frankie Gustine (27),193,1947,R
96,94.,Don Hoak (29),193,1957,R
97,98.,Bill Bradley (23),192,1901,R
98,98.,Billy Shindle (33),192,1894,R
99,100.,Dave Brain (28),191,1907,R
100,100.,Jimmy Collins+ (34),191,1904,R
101,100.,Lave Cross (29),191,1895,R
102,100.,Art Devlin (29),191,1909,R
103,100.,Ossie Vitt (25),191,1915,R
104,105.,Bill Bradley (27),190,1905,R
105,105.,Willie Jones (24),190,1950,R
106,105.,Willie Jones (25),190,1951,R
107,105.,Willie Kamm (24),190,1924,R
108,105.,Billy Lauder (28),190,1902,R
109,105.,Marv Owen (30),190,1936,R
110,105.,Harry Steinfeldt (26),190,1902,R
111,105.,Bobby Wallace+ (23),190,1897,R
112,105.,Eddie Yost (26),190,1953,R
113,114.,Billy Nash (28),189,1893,R
114,114.,George Pinkney (29),189,1888,R
115,114.,Pie Traynor+ (24),189,1923,R
116,114.,Eddie Yost (21),189,1948,R
117,118.,Jimmy Austin (35),188,1915,R
118,118.,Sal Bando (24),188,1968,R
119,118.,Bill Bradley (24),188,1902,R
120,118.,Tom Burns (33),188,1890,R
121,118.,Billy Clingman (26),188,1896,R
122,118.,Bill Coughlin (27),188,1906,R
123,118.,Bill Joyce (27),188,1895,R
124,118.,Whitey Kurowski (26),188,1944,R
125,118.,Hans Lobert (32),188,1914,R
126,118.,Bubba Phillips (33),188,1961,R
127,118.,Johnny Vergez (28),188,1935,R
128,129.,Clete Boyer (25),187,1962,R
129,129.,Bob Dillinger (29),187,1948,R
130,129.,Larry Gardner (28),187,1914,R
131,129.,Ken Keltner (22),187,1939,R
132,129.,Ron Santo+ (27),187,1967,R
133,134.,Jimmy Dykes (25),186,1922,R
134,134.,Charlie Irwin (28),186,1897,R
135,134.,George Kell+ (22),186,1945,R
136,134.,George Kell+ (27),186,1950,R
137,134.,Pinky Whitney (25),186,1930,R
138,139.,Ossie Bluege (26),185,1927,R
139,139.,Lave Cross (36),185,1902,R
140,139.,Darrell Evans (27),185,1974,R
141,139.,Ken McMullen (26),185,1968,R
142,139.,Ken McMullen (27),185,1969,R
143,139.,Billy Shindle (36),185,1897,R
144,139.,Patsy Tebeau (24),185,1889,R
145,146.,Tony Boeckel (28),184,1921,R
146,146.,Harlond Clift (26),184,1939,R
147,146.,Eddie Grant (26),184,1909,R
148,146.,Willie Jones (28),184,1954,R
149,146.,Fritz Maisel (25),184,1915,R
150,146.,Bill McKechnie+ (28),184,1915,R
151,146.,Johnny Pesky (30),184,1949,R
152,146.,George Pinkney (27),184,1886,R
153,154.,Jimmy Austin (34),183,1914,R
154,154.,Bobby Byrne (23),183,1908,R
155,154.,Charlie Hickman (24),183,1900,R
156,154.,Billy Johnson (24),183,1943,R
157,154.,Frank O'Rourke (35),183,1927,R
158,154.,George Pinkney (30),183,1889,R
159,154.,Harry Steinfeldt (33),183,1909,R
160,161.,Jerry Denny (27),182,1886,R
161,161.,Willie Kamm (25),182,1925,R
162,161.,Hans Lobert (27),182,1909,R
163,161.,Babe Pinelli (28),182,1924,R
164,161.,Harry Raymond (28),182,1890,
165,161.,Pie Traynor+ (27),182,1926,R
166,161.,Harry Wolverton (29),182,1903,R
167,168.,Bobby Byrne (26),181,1911,R
168,168.,Lave Cross (28),181,1894,R
169,168.,George Davis+ (22),181,1893,R
170,168.,Frank Hankinson (30),181,1886,R
171,168.,Willie Jones (23),181,1949,R
172,168.,Ken Keltner (24),181,1941,R
173,168.,Hans Lobert (31),181,1913,R
174,168.,Harry Lord (26),181,1908,R
175,168.,Rube Lutzke (25),181,1923,R
176,177.,Max Alvis (28),180,1966,R
177,177.,Duke Farrell (25),180,1892,R
178,177.,Heinie Groh (28),180,1918,R
179,177.,Harry Lord (27),180,1909,R
180,177.,Lee Tannehill (23),180,1904,R
181,182.,Wid Conroy (31),179,1908,R
182,182.,Art Devlin (30),179,1910,R
183,182.,Larry Gardner (35),179,1921,R
184,182.,Heinie Groh (30),179,1920,R
185,182.,George Pinkney (31),179,1890,R
186,182.,Pie Traynor+ (25),179,1924,R
187,188.,Sal Bando (25),178,1969,R
188,188.,Bill Bradley (26),178,1904,R
189,188.,Billy Clingman (27),178,1897,R
190,188.,Jimmy Collins+ (33),178,1903,R
191,188.,Jerry Denny (24),178,1883,R
192,188.,Heinie Groh (27),178,1917,R
193,188.,Stan Hack (28),178,1938,R
194,188.,Bob Kennedy (19),178,1940,R
195,188.,John Knight (21),178,1907,R
196,188.,Arlie Latham (28),178,1888,R
197,188.,Tommy Leach (25),178,1903,R
198,199.,Les Bell (26),177,1928,R
199,199.,Joe Dugan (27),177,1924,R
200,199.,Stan Hack (29),177,1939,R
201,199.,Willie Kamm (26),177,1926,R
202,199.,Arlie Latham (31),177,1891,R
203,199.,Pinky Whitney (27),177,1932,R
204,205.,Bobby Adams (30),176,1952,R
205,205.,Jimmy Austin (29),176,1909,R
206,205.,Home Run Baker+ (33),176,1919,R
207,205.,Doc Casey (37),176,1907,R
208,205.,Harlond Clift (25),176,1938,R
209,205.,Willie Jones (27),176,1953,R
210,205.,Bill Joyce (22),176,1890,R
211,205.,Eddie Mayo (33),176,1943,R
212,205.,Billy Shindle (32),176,1893,R
213,205.,Pie Traynor+ (34),176,1933,R
214,215.,Home Run Baker+ (32),175,1918,R
215,215.,Stan Hack (30),175,1940,R
216,215.,Charlie Irwin (32),175,1901,R
217,215.,George Kell+ (28),175,1951,R
218,215.,Whitey Kurowski (28),175,1946,R
219,215.,Harry Lord (29),175,1911,R
220,215.,Bubba Phillips (34),175,1962,R
221,215.,Red Smith (23),175,1913,R
222,215.,Pete Suder (25),175,1941,R
223,215.,Pie Traynor+ (29),175,1928,R
224,225.,Jimmy Burke (30),174,1905,R
225,225.,Bobby Byrne (28),174,1913,R
226,225.,Doc Casey (29),174,1899,R
227,225.,Doc Casey (32),174,1902,R
228,225.,Art Devlin (27),174,1907,R
229,225.,Bill Everitt (26),174,1895,R
230,225.,Al Halt (24),174,1915,R
231,225.,Mike Mowrey (27),174,1911,R
232,225.,Mike Mowrey (31),174,1915,R
233,225.,Brooks Robinson+ (29),174,1966,R
234,225.,Al Rosen (29),174,1953,R
235,225.,Tommy Sheehan (30),174,1908,R
236,225.,Bill Sweeney (22),174,1908,R
237,225.,Billy Werber (27),174,1935,R
238,239.,Lave Cross (34),173,1900,R
239,239.,Bob Elliott (25),173,1942,R
240,239.,Charlie Irwin (33),173,1902,R
241,239.,Willie Kamm (23),173,1923,R
242,239.,Ed Mayer (24),173,1890,
243,239.,Sammy Strang (25),173,1902,R
244,239.,Pie Traynor+ (33),173,1932,R
245,246.,Doc Casey (36),172,1906,R
246,246.,Mark Christman (30),172,1944,R
247,246.,Bill Gray (27),172,1898,
248,246.,Whitey Kurowski (27),172,1945,R
249,246.,Arlie Latham (33),172,1893,R
250,246.,Joe Mulvey (32),172,1891,R
251,246.,Milt Stock (28),172,1922,R
252,246.,Pie Traynor+ (32),172,1931,R
253,254.,Art Devlin (26),171,1906,R
254,254.,Heinie Groh (29),171,1919,R
255,254.,Otto Krueger (24),171,1901,R
256,254.,Mike Mowrey (26),171,1910,R
257,254.,Frank O'Rourke (37),171,1929,R
258,254.,Brooks Robinson+ (23),171,1960,R
259,254.,Pinky Whitney (23),171,1928,R
260,261.,Max Alvis (25),170,1963,R
261,261.,Ray Boone (30),170,1954,R
262,261.,Bill Coughlin (24),170,1903,R
263,261.,Ken Keltner (23),170,1940,R
264,261.,Tommy Leach (24),170,1902,R
265,261.,Chippy McGarr (31),170,1894,R
266,261.,Steve Mesner (27),170,1945,R
267,261.,Fred Smith (22),170,1914,R
268,261.,Red Smith (25),170,1915,R
269,261.,Joe Stripp (30),170,1933,R
270,261.,Eddie Yost (27),170,1954,R
271,272.,Max Alvis (27),169,1965,R
272,272.,Max Alvis (29),169,1967,R
273,272.,Tony Boeckel (30),169,1923,R
274,272.,Bob Dillinger (28),169,1947,R
275,272.,Bob Elliott (27),169,1944,R
276,272.,Odell Hale (27),169,1936,R
277,272.,Don Hoak (31),169,1959,R
278,272.,Ossie Vitt (29),169,1919,R
279,280.,Ray Bates (27),168,1917,R
280,280.,Tom Burns (30),168,1887,R
281,280.,Eddie Foster (25),168,1912,R
282,280.,Bernie Friberg (23),168,1923,R
283,280.,Ken Keltner (27),168,1944,R
284,280.,Eddie Mathews+ (29),168,1961,R
285,280.,Brooks Robinson+ (31),168,1968,R
286,280.,Jim Tabor (25),168,1942,R
287,280.,Lee Tannehill (24),168,1905,R
288,280.,Fred Thomas (26),168,1919,R
289,280.,Billy Werber (30),168,1938,R
290,280.,Pinky Whitney (24),168,1929,R
291,280.,Eddie Yost (32),168,1959,R
292,293.,Billy Alvord (27),167,1891,R
293,293.,Bobby Byrne (25),167,1910,R
294,293.,Larry Gardner (26),167,1912,R
295,293.,George Kell+ (21),167,1944,R
296,293.,George Kell+ (24),167,1947,R
297,293.,Arlie Latham (32),167,1892,R
298,293.,Ed Lennox (25),167,1909,R
299,293.,Mike Mowrey (23),167,1907,R
300,293.,Eddie Zimmerman (28),167,1911,R
301,302.,Doug Baird (25),166,1917,R
302,302.,Clete Boyer (30),166,1967,R
303,302.,Bob Dillinger (30),166,1949,R
304,302.,Bill Joyce (29),166,1897,R
305,302.,Ken Keltner (25),166,1942,R
306,302.,Whitey Kurowski (25),166,1943,R
307,302.,Red Rolfe (26),166,1935,R
308,302.,Red Smith (26),166,1916,R
309,302.,Harry Steinfeldt (32),166,1908,R
310,302.,Art Whitney (29),166,1887,R
311,302.,Possum Whitted (30),166,1920,R
312,313.,Les Bell (24),165,1926,R
313,313.,Clete Boyer (26),165,1963,R
314,313.,Jerry Denny (31),165,1890,R
315,313.,Denny Lyons (30),165,1896,R
316,313.,George Moriarty (24),165,1910,R
317,313.,Joe Mulvey (30),165,1889,R
318,313.,Milt Stock (29),165,1923,R
319,313.,Billy Werber (31),165,1939,R
320,321.,Bill Bradley (22),164,1900,R
321,321.,Bill Bradley (29),164,1907,R
322,321.,Jimmy Collins+ (35),164,1905,R
323,321.,Wid Conroy (26),164,1903,R
324,321.,Lave Cross (38),164,1904,R
325,321.,Hunter Hill (25),164,1904,R
326,321.,Willie Kamm (32),164,1932,R
327,321.,Charlie Reilly (26),164,1893,R
328,321.,Ossie Vitt (27),164,1917,R
329,321.,Eddie Yost (29),164,1956,R
330,331.,Bill Coughlin (28),163,1907,R
331,331.,Lave Cross (39),163,1905,R
332,331.,Bernie Friberg (24),163,1924,R
333,331.,Bill Kuehne (31),163,1890,R
334,331.,Cookie Lavagetto (26),163,1939,R
335,331.,Hank Majeski (31),163,1948,R
336,331.,Brooks Robinson+ (25),163,1962,R
337,331.,Brooks Robinson+ (32),163,1969,R
338,331.,Joe Sewell+ (30),163,1929,R
339,331.,Don Wert (26),163,1965,R
340,341.,Oscar Grimes (30),162,1945,R
341,341.,Pinky Higgins (26),162,1935,R
342,341.,Jimmy Johnston (31),162,1921,R
343,341.,Jimmy Knowles (33),162,1890,
344,341.,Bill McKechnie+ (31),162,1918,R
345,341.,Eddie Mulligan (26),162,1921,R
346,341.,Bert Myers (22),162,1896,R
347,341.,Red Rolfe (27),162,1936,R
348,341.,Sibby Sisti (20),162,1941,R
349,341.,Tim Wallach (26),162,1984,R
350,341.,Joe Werrick (24),162,1886,R
351,352.,Jimmy Austin (39),161,1919,R
352,352.,Harlond Clift (27),161,1940,R
353,352.,Darrell Evans (28),161,1975,R
354,352.,Frank Hankinson (31),161,1887,R
355,352.,Fred Hartman (32),161,1897,R
356,352.,Pinky Higgins (28),161,1937,R
357,352.,Bob Jones (32),161,1922,R
358,352.,Buddy Lewis (21),161,1938,R
359,352.,Red Rolfe (31),161,1940,R
360,352.,Ron Santo+ (22),161,1962,R
361,352.,Harry Steinfeldt (31),161,1907,R
362,363.,Doc Casey (35),160,1905,R
363,363.,Harlond Clift (29),160,1942,R
364,363.,Bert Haas (28),160,1942,R
365,363.,Odell Hale (26),160,1935,R
366,363.,Rube Lutzke (28),160,1926,R
367,363.,Hank Majeski (30),160,1947,R
368,363.,Eddie Mathews+ (20),160,1952,R
369,363.,Johnny Pesky (31),160,1950,R
370,363.,Harry Steinfeldt (30),160,1906,R
371,363.,Art Whitney (31),160,1889,R
372,373.,Bobby Adams (31),159,1953,R
373,373.,Jimmy Austin (37),159,1917,R
374,373.,Buck Herzog (26),159,1912,R
375,373.,Pinky Higgins (24),159,1933,R
376,373.,Jimmy Johnston (30),159,1920,R
377,373.,Arlie Latham (34),159,1894,R
378,373.,Denny Lyons (22),159,1888,R
379,373.,Frank Malzone (30),159,1960,R
380,373.,Graig Nettles (26),159,1971,R
381,373.,Al Rosen (28),159,1952,R
382,373.,Harry Steinfeldt (27),159,1903,R
383,384.,Sal Bando (26),158,1970,R
384,384.,Ossie Bluege (24),158,1925,R
385,384.,Ossie Bluege (31),158,1932,R
386,384.,Ken Boyer (31),158,1962,R
387,384.,Harlond Clift (23),158,1936,R
388,384.,Jim Delahanty (25),158,1904,R
389,384.,Jerry Denny (29),158,1888,R
390,384.,Frank Ellerbe (25),158,1921,R
391,384.,Larry Gardner (32),158,1918,R
392,384.,Eddie Grant (28),158,1911,R
393,384.,Roy Hartzell (29),158,1911,R
394,384.,Willie Kamm (31),158,1931,R
395,384.,Billy Purtell (24),158,1910,R
396,384.,Milt Stock (26),158,1920,R
397,384.,Eddie Yost (22),158,1949,R
398,399.,Hick Carpenter (28),157,1884,L
399,399.,Doc Casey (34),157,1904,R
400,399.,Lave Cross (40),157,1906,R
401,399.,Charlie Deal (27),157,1919,R
402,399.,Hobe Ferris (34),157,1909,R
403,399.,George Moriarty (25),157,1911,R
404,399.,Brooks Robinson+ (33),157,1970,R
405,399.,Al Rosen (27),157,1951,R
406,399.,Ron Santo+ (21),157,1961,R
407,408.,Ken Boyer (27),156,1958,R
408,408.,Art Devlin (25),156,1905,R
409,408.,Eddie Foster (31),156,1918,R
410,408.,Larry Gardner (34),156,1920,R
411,408.,Pinky Higgins (34),156,1943,R
412,408.,Ken Keltner (30),156,1947,R
413,408.,Jerry Royster (23),156,1976,R
414,408.,Ron Santo+ (24),156,1964,R
415,408.,Red Smith (22),156,1912,R
416,408.,Bill Sweeney (23),156,1909,R
417,408.,Jim Tabor (29),156,1946,R
418,408.,Pete Ward (25),156,1963,R
419,408.,Jack Warner (23),156,1927,R
420,421.,Jap Barbeau (27),155,1909,R
421,421.,Ron Cey (26),155,1974,R
422,421.,George Davis+ (23),155,1894,R
423,421.,Jumbo Davis (26),155,1888,R
424,421.,Joe Dugan (26),155,1923,R
425,421.,Arlie Latham (27),155,1887,R
426,421.,Ken McMullen (23),155,1965,R
427,421.,Ron Santo+ (25),155,1965,R
428,421.,Eddie Yost (33),155,1960,R
429,430.,Dick Allen (22),154,1964,R
430,430.,Andy Carey (22),154,1954,R
431,430.,Andy Carey (23),154,1955,R
432,430.,Stan Hack (32),154,1942,R
433,430.,George Kell+ (26),154,1949,R
434,430.,Rube Lutzke (26),154,1924,R
435,430.,Frank Malzone (32),154,1962,R
436,430.,Eddie Mathews+ (21),154,1953,R
437,430.,Ken McMullen (28),154,1970,R
438,430.,Mike Mowrey (32),154,1916,R
439,430.,Bert Niehoff (30),154,1914,R
440,430.,Billy Shindle (37),154,1898,R
441,430.,Buck Weaver (26),154,1917,R
442,443.,Hick Carpenter (29),153,1885,L
443,443.,Ed Charles (30),153,1963,R
444,443.,Jim Donnelly (20),153,1886,R
445,443.,Heinie Groh (25),153,1915,R
446,443.,Pinky Higgins (32),153,1941,R
447,443.,Willie Kamm (33),153,1933,R
448,443.,Pinky May (28),153,1939,R
449,443.,Ken McMullen (25),153,1967,R
450,443.,Art Phelan (24),153,1912,R
451,443.,Brooks Robinson+ (26),153,1963,R
452,443.,Brooks Robinson+ (27),153,1964,R
453,443.,Billy Shindle (30),153,1891,R
454,443.,Harry Steinfeldt (28),153,1904,R
455,443.,Buck Weaver (29),153,1920,R
456,443.,Joe Werrick (25),153,1887,R
457,443.,Jimmy Williams (23),153,1900,R
458,459.,Lave Cross (37),152,1903,R
459,459.,Bob Dillinger (31),152,1950,R
460,459.,Sammy Hale (30),152,1927,R
