,Rank,Player (age that year),Range Factor/Game as 2B,Year,Throws
0,1.,Jack Burdock (26),7.617,1878,R
1,2.,Davy Force (31),7.569,1881,R
2,3.,Thorny Hawkes (26),7.563,1879,R
3,4.,Chick Fulmer (28),7.553,1879,R
4,5.,Fred Pfeffer (24),7.295,1884,R
5,6.,Joe Gerhardt (22),7.211,1877,R
6,7.,Ed Somerville (23),7.203,1876,R
7,8.,Jack Burdock (27),7.179,1879,R
8,9.,Joe Quest (26),7.157,1879,R
9,10.,Pop Smith (28),7.132,1885,R
10,11.,Bid McPhee+ (26),7.093,1886,R
11,12.,Jack Burdock (28),7.012,1880,R
12,13.,Fred Pfeffer (29),6.978,1889,R
13,14.,Joe Gerhardt (24),6.964,1879,R
14,14.,Bid McPhee+ (24),6.964,1884,R
15,16.,Davy Force (30),6.962,1880,R
16,17.,Joe Gerhardt (28),6.936,1883,R
17,18.,Joe Gerhardt (29),6.906,1884,R
18,19.,Hardy Richardson (28),6.880,1883,R
19,20.,John Peters (28),6.853,1878,R
20,21.,Joe Quest (25),6.839,1878,R
21,22.,Joe Gerhardt (35),6.824,1890,R
22,23.,Pop Smith (26),6.808,1883,R
23,24.,Cub Stricker (23),6.806,1882,R
24,25.,Jack Burdock (25),6.800,1877,R
25,26.,Mike McGeary (26),6.795,1877,R
26,27.,Bid McPhee+ (27),6.791,1887,R
27,28.,Sam Wise (35),6.780,1893,R
28,29.,Frankie Frisch+ (29),6.778,1927,R
29,30.,Freddie Maguire (29),6.768,1928,R
30,31.,Pete Browning (21),6.762,1882,R
31,32.,Lou Bierbauer (23),6.754,1889,R
32,33.,Jack Farrell (21),6.742,1879,R
33,34.,Fred Dunlap (23),6.726,1882,R
34,35.,Bid McPhee+ (33),6.701,1893,R
35,36.,Bob Ferguson (35),6.695,1880,R
36,37.,Hardy Richardson (27),6.687,1882,R
37,38.,Fred Pfeffer (23),6.684,1883,R
38,39.,Fred Pfeffer (30),6.677,1890,R
39,40.,Joe Gerhardt (32),6.655,1887,R
40,41.,Pop Smith (27),6.648,1884,R
41,42.,Bid McPhee+ (28),6.613,1888,R
42,43.,Danny Richardson (28),6.597,1891,R
43,44.,Fred Pfeffer (31),6.591,1891,R
44,45.,Bid McPhee+ (34),6.586,1894,R
45,46.,George Creamer (29),6.571,1884,R
46,47.,Fred Pfeffer (25),6.569,1885,R
47,48.,Sam Barkley (26),6.563,1884,R
48,49.,Jack Farrell (25),6.558,1883,R
49,50.,Cub Stricker (28),6.556,1887,R
50,51.,George Wright+ (30),6.552,1877,R
51,52.,Cupid Childs (28),6.530,1896,R
52,53.,Nap Lajoie+ (26),6.521,1901,R
53,54.,Fred Pfeffer (28),6.504,1888,R
54,55.,Burgess Whitehead (26),6.497,1936,R
55,56.,Roger Connor+ (26),6.493,1884,L
56,57.,Fred Dunlap (26),6.491,1885,R
57,58.,Frankie Frisch+ (26),6.490,1924,R
58,59.,Odell Hale (25),6.482,1934,R
59,59.,Bid McPhee+ (29),6.482,1889,R
60,61.,Fred Dunlap (22),6.481,1881,R
61,62.,Bobby Lowe (30),6.480,1896,R
62,62.,Mike McGeary (28),6.480,1879,R
63,64.,George Creamer (27),6.469,1882,R
64,65.,Hardy Richardson (34),6.465,1889,R
65,66.,Fred Pfeffer (27),6.463,1887,R
66,67.,Ski Melillo (30),6.460,1930,R
67,68.,Hughie Critz (32),6.444,1933,R
68,69.,Ski Melillo (31),6.431,1931,R
69,70.,George Creamer (28),6.418,1883,R
70,71.,Joe Quinn (31),6.415,1894,R
71,72.,Nap Lajoie+ (27),6.414,1902,R
72,73.,Fred Dunlap (25),6.410,1884,R
73,74.,Bid McPhee+ (32),6.403,1892,R
74,75.,Sam Barkley (27),6.396,1885,R
75,76.,Cub Stricker (30),6.393,1889,R
76,77.,Billy Herman+ (23),6.392,1933,R
77,78.,Fred Dunlap (24),6.387,1883,R
78,79.,Bid McPhee+ (31),6.384,1891,R
79,80.,Fred Dunlap (21),6.377,1880,R
80,81.,Bob Ferguson (38),6.372,1883,R
81,82.,Joe Quinn (27),6.368,1890,R
82,83.,Frank Parkinson (27),6.367,1922,R
83,84.,Frankie Frisch+ (32),6.342,1930,R
84,84.,Joe Gerhardt (26),6.342,1881,R
85,86.,Nap Lajoie+ (33),6.333,1908,R
86,87.,Fred Dunlap (29),6.329,1888,R
87,88.,Bid McPhee+ (30),6.326,1890,R
88,89.,Joe Quest (28),6.325,1881,R
89,89.,Pop Smith (23),6.325,1880,R
90,91.,Lou Bierbauer (24),6.316,1890,R
91,92.,Jimmy Dykes (23),6.315,1920,R
92,93.,Tom McLaughlin (25),6.301,1885,R
93,94.,Bid McPhee+ (25),6.300,1885,R
94,95.,Hughie Critz (33),6.299,1934,R
95,96.,Nap Lajoie+ (28),6.295,1903,R
96,97.,George Shoch (38),6.294,1897,R
97,98.,Sparky Adams (30),6.285,1925,R
98,99.,Tony Cuccinello (28),6.280,1936,R
99,100.,John Kerr (30),6.279,1929,R
100,101.,Cupid Childs (25),6.276,1893,R
101,102.,Bucky Harris+ (25),6.273,1922,R
102,103.,Glenn Hubbard (27),6.271,1985,R
103,104.,Bid McPhee+ (35),6.270,1895,R
104,105.,Jerry Priddy (30),6.255,1950,R
105,106.,Ski Melillo (33),6.254,1933,R
106,106.,George Strief (26),6.254,1883,R
107,108.,Johnny Hodapp (24),6.234,1930,R
108,109.,Bill Cissell (28),6.233,1932,R
109,110.,Don Kolloway (29),6.229,1948,R
110,111.,Billy Herman+ (27),6.219,1937,R
111,111.,Bobby Lowe (36),6.219,1902,R
112,113.,Dave Cash (24),6.206,1972,R
113,114.,Billy Herman+ (26),6.203,1936,R
114,115.,Bernie Friberg (26),6.201,1926,R
115,115.,Pep Young (30),6.201,1938,R
116,117.,Ski Melillo (34),6.199,1934,R
117,118.,Jack Glasscock (21),6.197,1879,R
118,119.,Lou Bierbauer (27),6.195,1893,R
119,120.,Heinie Reitz (27),6.186,1894,R
120,121.,Lou Bierbauer (26),6.184,1892,R
121,122.,Jimmy Bloodworth (23),6.182,1941,R
122,122.,Al Myers (25),6.182,1889,R
123,124.,Jackie Hayes (29),6.180,1936,R
124,125.,Buddy Myer (31),6.179,1935,R
125,125.,Bill Regan (27),6.179,1926,R
126,127.,Hobe Ferris (32),6.175,1907,R
127,128.,Jim Connor (34),6.171,1897,R
128,129.,Jimmy Dykes (24),6.168,1921,R
129,130.,Cupid Childs (29),6.167,1897,R
130,130.,High Pockets Kelly+ (29),6.167,1925,R
131,130.,Bid McPhee+ (22),6.167,1882,R
132,133.,Frankie Frisch+ (30),6.166,1928,R
133,134.,Joe Quest (27),6.163,1880,R
134,135.,Sam Barkley (28),6.161,1886,R
135,136.,Nap Lajoie+ (25),6.157,1900,R
136,137.,Bid McPhee+ (23),6.156,1883,R
137,138.,Ski Melillo (35),6.146,1935,R
138,139.,Rabbit Maranville+ (32),6.138,1924,R
139,140.,Bill Wambsganss (30),6.135,1924,R
140,141.,Eddie Collins+ (34),6.132,1921,R
141,141.,Charlie Gehringer+ (24),6.132,1927,R
142,143.,Cub Stricker (29),6.131,1888,R
143,144.,Bill Mazeroski+ (26),6.130,1963,R
144,145.,Bill Greenwood (30),6.128,1887,L
145,145.,Fresco Thompson (27),6.128,1929,R
146,147.,Cupid Childs (27),6.125,1895,R
147,147.,Hughie Critz (24),6.125,1925,R
148,149.,Lou Bierbauer (22),6.124,1888,R
149,150.,Hardy Richardson (29),6.113,1884,R
150,151.,Ski Melillo (29),6.106,1929,R
151,152.,Bill Sweeney (26),6.105,1912,R
152,153.,Hughie Critz (23),6.104,1924,R
153,153.,Jimmy Dykes (27),6.104,1924,R
