,Rank,Player (age that year),AB per SO,Year,Bats
67,68.,Sam Rice+ (39),68.44,1929,L
68,69.,John Ward+ (29),68.43,1889,L
69,70.,Emil Verban (31),67.50,1947,R
70,71.,Lave Cross (38),67.44,1904,R
71,72.,Kid Elberfeld (36),67.33,1911,R
72,73.,George Hall (27),67.00,1876,L
73,74.,Lave Cross (29),66.88,1895,R
74,75.,Tom York (25),65.75,1876,L
75,76.,Tris Speaker+ (39),65.38,1927,L
76,77.,Joe Sewell+ (29),65.33,1928,L
77,78.,Sam Rice+ (35),64.90,1925,L
78,79.,Stuffy McInnis (30),64.89,1921,R
79,80.,Don Mueller (29),64.71,1956,L
80,81.,Homer Summa (27),64.56,1926,L
81,82.,Mickey Cochrane+ (26),64.25,1929,L
82,83.,Jack Glasscock (32),64.00,1890,R
83,84.,Kid Elberfeld (32),63.86,1907,R
84,85.,Henry Larkin (33),63.80,1893,R
85,86.,Mike Dorgan (27),63.50,1881,R
86,87.,Ed McKean (32),63.44,1896,R
87,88.,Eddie Collins+ (36),63.13,1923,L
88,89.,Dummy Hoy (31),62.67,1893,L
89,90.,Lloyd Waner+ (27),62.50,1933,L
90,91.,Patsy Donovan (28),62.38,1893,L
91,92.,Lou Boudreau+ (30),62.22,1948,R
92,93.,Farmer Vaughn (32),61.86,1896,R
93,94.,Mickey Cochrane+ (24),61.71,1927,L
94,95.,Frankie Frisch+ (29),61.70,1927,B
95,96.,Joe Quinn (36),61.50,1899,R
96,97.,Tommy Dowd (30),60.50,1899,R
97,97.,Joe Sewell+ (32),60.50,1931,L
98,99.,Willie Keeler+ (24),60.44,1896,L
99,99.,Nap Lajoie+ (26),60.44,1901,R
100,101.,Jack Glasscock (29),60.38,1887,R
101,102.,Jimmy Hallinan (27),60.00,1876,L
102,102.,Willie Keeler+ (37),60.00,1909,L
103,104.,Debs Garms (33),59.67,1940,L
104,105.,Claude Ritchey (26),59.50,1900,B
105,106.,Lave Cross (27),59.29,1893,R
106,107.,Lou Bierbauer (29),58.75,1895,L
107,108.,Joe Gerhardt (21),58.40,1876,R
108,109.,Dan Brouthers+ (36),58.33,1894,L
109,110.,John Anderson (28),58.22,1902,B
110,111.,Jack Glasscock (31),58.20,1889,R
111,112.,Dale Mitchell (27),58.18,1949,L
112,113.,Sam Dungan (26),58.13,1893,R
113,114.,Jim McCormick (23),57.80,1880,R
114,115.,Jack Manning (22),57.60,1876,R
115,115.,Chick Stahl (26),57.60,1899,L
116,117.,Tommy Holmes (27),57.36,1944,L
117,118.,Johnny Bassler (30),57.33,1925,L
118,119.,Freddy Leach (33),57.22,1931,L
119,120.,Eddie Booth,57.00,1876,
120,121.,Pie Traynor+ (29),56.90,1928,R
121,122.,Roger Connor+ (27),56.88,1885,B
122,123.,Harry Wolverton (30),56.86,1904,B
123,124.,Dale Mitchell (30),56.78,1952,L
124,125.,Nellie Fox+ (30),56.64,1958,L
125,126.,Jack Farrell (22),56.50,1880,R
126,127.,Nap Lajoie+ (25),56.38,1900,R
127,128.,Lloyd Waner+ (32),56.27,1938,L
128,129.,Sam Rice+ (31),56.10,1921,L
129,130.,Tommy Holmes (25),55.80,1942,L
130,131.,George Pinkney (34),55.75,1893,L
131,132.,John Morrill (21),55.60,1876,R
132,133.,Dan Brouthers+ (29),55.56,1887,L
133,134.,Ernie Lombardi+ (27),55.33,1935,R
134,135.,Ivy Olson (36),55.10,1922,R
135,136.,Jimmy Brown (32),55.09,1942,B
