,Rank,Player (age that year),Hits,Year,Throws
182,183.,Henry Porter (29),416,1887,R
183,184.,Bill Carrick (26),415,1900,R
184,184.,Egyptian Healy (20),415,1887,R
185,186.,Al Atkinson (25),414,1886,R
186,186.,Jouett Meekin (27),414,1894,R
187,186.,Tony Mullane (28),414,1887,R
188,186.,Gus Weyhing (32),414,1899,R
189,190.,Kid Nichols+ (21),413,1891,R
190,191.,Jersey Bakley (26),412,1890,R
191,191.,Bert Cunningham (22),412,1888,R
192,191.,Joe McGinnity+ (30),412,1901,R
193,191.,Ben Sanders (25),412,1890,R
194,195.,Pretzels Getzien (24),411,1888,R
195,195.,Bill Hart (30),411,1896,R
196,195.,Gus Weyhing (25),411,1892,R
197,195.,Will White (27),411,1882,R
198,199.,Clark Griffith+ (27),410,1897,R
199,199.,Jack Lynch (28),410,1885,R
200,199.,Amos Rusie+ (21),410,1892,R
201,202.,Hardie Henderson (20),409,1883,R
202,203.,John Ewing (26),407,1889,R
203,203.,Henry Gruber (27),407,1891,R
204,203.,Tony Mullane (34),407,1893,R
205,206.,George Hemming (25),406,1894,R
206,206.,Ben Sanders (24),406,1889,R
207,208.,Tom Vickery (23),405,1890,R
208,209.,Larry Corcoran (20),404,1880,R
209,209.,Kid Nichols+ (22),404,1892,R
210,209.,Harry Staley (23),404,1890,R
211,209.,Jim Whitney (24),404,1882,R
212,213.,Jim Hughey (30),403,1899,R
213,213.,Win Mercer (23),403,1897,R
214,213.,Jack Taylor (22),403,1895,R
215,216.,Tom Parrott (26),402,1894,R
216,217.,Frank Killen (22),401,1893,L
217,217.,Silver King (19),401,1887,R
218,217.,Bobby Mathews (32),401,1884,R
219,220.,Mike Smith (19),400,1887,L
220,221.,Ad Gumbert (24),399,1892,R
221,221.,John Harkins (25),399,1884,R
222,221.,Jack Stivetts (22),399,1890,R
223,221.,Gus Weyhing (26),399,1893,R
224,225.,Scott Stratton (20),398,1890,R
225,226.,Ice Box Chamberlain (23),397,1891,R
226,226.,Dory Dean (23),397,1876,R
227,226.,Snake Wiltse (30),397,1902,L
228,229.,Chick Fraser (22),396,1896,R
229,229.,Bobby Mathews (31),396,1883,R
230,229.,Togie Pittinger (31),396,1903,R
231,232.,Pretzels Getzien (25),395,1889,R
232,232.,Bill Hart (31),395,1897,R
233,234.,Bobby Mathews (33),394,1885,R
234,235.,Pud Galvin+ (32),392,1889,R
235,235.,Silver King (24),392,1892,R
236,237.,Ice Box Chamberlain (24),391,1892,R
237,237.,Joe McGinnity+ (32),391,1903,R
238,237.,Jumbo McGinnis (28),391,1882,
239,237.,Amos Rusie+ (20),391,1891,R
240,237.,Stump Weidman (21),391,1882,R
241,237.,Cy Young+ (30),391,1897,R
242,243.,Charlie Buffinton (28),390,1889,R
243,243.,Guy Hecker (30),390,1886,R
244,243.,Tony Mullane (32),390,1891,R
245,246.,Kid Gleason (25),389,1892,R
246,247.,Nig Cuppy (26),388,1896,R
247,247.,Pretzels Getzien (22),388,1886,R
248,247.,Ed Seward (21),388,1888,R
249,247.,Ed Stein (24),388,1894,R
250,251.,Bert Cunningham (32),387,1898,R
251,251.,Oscar Jones (24),387,1904,R
252,251.,Kid Nichols+ (26),387,1896,R
253,251.,Cy Young+ (31),387,1898,R
254,255.,George Derby (24),386,1882,R
255,256.,Mark Baldwin (27),385,1891,R
256,256.,Bert Cunningham (33),385,1899,R
257,256.,Mike Morrison (20),385,1887,R
258,259.,Bert Cunningham (24),384,1890,R
259,259.,Nig Cuppy (25),384,1895,R
260,259.,Amos Rusie+ (24),384,1895,R
261,259.,Dupee Shaw (27),384,1886,L
262,263.,Lon Knight (23),383,1876,R
263,263.,Bill Wise (23),383,1884,
264,265.,Pink Hawley (23),382,1896,R
265,265.,Hardie Henderson (21),382,1884,R
266,265.,Silver King (23),382,1891,R
267,265.,Tom Parrott (27),382,1895,R
268,265.,Gus Weyhing (22),382,1889,R
269,270.,Nig Cuppy (24),381,1894,R
270,270.,Frank Foreman (28),381,1891,R
271,270.,Wilbur Wood (31),381,1973,L
272,273.,Larry Corcoran (21),380,1881,R
273,273.,Tim Keefe+ (27),380,1884,R
274,273.,Jack Taylor (25),380,1899,R
275,276.,Lee Viau (22),379,1889,R
276,276.,Gus Weyhing (27),379,1894,R
277,278.,Sadie McMahon (25),378,1893,R
278,278.,Jouett Meekin (29),378,1896,R
279,278.,George Uhle (24),378,1923,R
280,281.,Dan Casey (24),377,1887,L
281,281.,Fred Goldsmith (26),377,1882,R
282,281.,Pink Hawley (27),377,1900,R
283,281.,Jim McCormick (30),377,1887,R
284,281.,Dummy Taylor (26),377,1901,R
285,286.,Theodore Breitenstein (27),376,1896,L
286,286.,Ice Box Chamberlain (21),376,1889,R
287,286.,Red Donahue (23),376,1896,R
288,286.,Ad Gumbert (26),376,1894,R
289,286.,Brickyard Kennedy (25),376,1893,R
290,286.,Tricky Nichols (26),376,1877,R
291,286.,Jack Taylor (24),376,1897,R
292,293.,Kid Carsey (20),375,1893,R
293,293.,Ed Morris (24),375,1887,L
294,295.,Bill Hutchison (34),374,1894,R
295,295.,Kid Nichols+ (20),374,1890,R
296,295.,Sam Weaver (26),374,1882,R
297,298.,Al Atkinson (23),373,1884,R
298,298.,Pretzels Getzien (23),373,1887,R
299,298.,Billy Serad (22),373,1884,R
300,301.,Jesse Duryea (29),372,1889,R
301,301.,Tony Mullane (24),372,1883,R
302,301.,Mickey Welch+ (25),372,1885,R
303,301.,Vic Willis+ (26),372,1902,R
304,305.,Lady Baldwin (27),371,1886,L
305,305.,Bill Hutchison (35),371,1895,R
306,305.,Sam Weaver (22),371,1878,R
307,305.,Mickey Welch+ (21),371,1881,R
308,309.,John Clarkson+ (28),370,1890,R
309,309.,Ed Daily (22),370,1885,R
310,309.,Clark Griffith+ (26),370,1896,R
311,309.,Noodles Hahn (22),370,1901,L
312,309.,Brickyard Kennedy (29),370,1897,R
313,309.,Ed Scott (29),370,1900,R
314,315.,Dave Foutz (30),369,1887,R
315,315.,George Hemming (24),369,1893,R
316,317.,Wild Bill Widner (22),368,1889,R
317,317.,Cy Young+ (32),368,1899,R
318,319.,Bill Carrick (27),367,1901,R
319,319.,Tim Keefe+ (25),367,1882,R
320,319.,Al Orth (29),367,1902,R
321,319.,Casey Patten (30),367,1904,L
322,319.,Lee Viau (24),367,1891,R
323,324.,Kid Carsey (21),366,1894,R
324,324.,George Haddock (23),366,1890,R
325,324.,Ray Kremer (35),366,1930,R
326,327.,Dan Casey (27),365,1890,L
327,327.,Urban Shocker (31),365,1922,R
328,329.,Frank Foreman (26),364,1889,R
329,329.,Sam Kimber (31),364,1884,R
330,329.,Bill Phillips (32),364,1901,R
331,329.,Bill Reidy (27),364,1901,R
332,329.,Billy Rhines (22),364,1891,R
333,334.,Phil Knell (26),363,1891,L
334,334.,Cy Young+ (25),363,1892,R
335,334.,Cy Young+ (28),363,1895,R
336,337.,Pink Hawley (24),362,1897,R
337,337.,Kid Nichols+ (27),362,1897,R
338,337.,Toad Ramsey (23),362,1888,L
339,337.,Adonis Terry (25),362,1890,R
340,341.,Tom Lovett (27),361,1891,R
341,341.,Doc McJames (22),361,1897,R
342,341.,Jesse Tannehill (24),361,1899,L
343,344.,Jack Coombs (28),360,1911,R
344,344.,Hugh Daily (35),360,1883,R
345,344.,Red Ehret (26),360,1895,R
346,344.,Pretzels Getzien (21),360,1885,R
347,344.,Brickyard Kennedy (30),360,1898,R
348,344.,Togie Pittinger (30),360,1902,R
349,344.,Charlie Sweeney (21),360,1884,R
350,351.,Theodore Breitenstein (24),359,1893,L
351,351.,Hank O'Day+ (28),359,1888,R
352,353.,John Clarkson+ (31),358,1893,R
353,353.,Joe McGinnity+ (28),358,1899,R
354,353.,John Sowders (23),358,1890,L
355,353.,George Zettlein (31),358,1876,R
356,357.,Pink Hawley (25),357,1898,R
357,357.,Dickey Kerr (27),357,1921,L
358,357.,The Only Nolan (22),357,1878,R
359,357.,Jack Stivetts (23),357,1891,R
360,357.,Vic Willis+ (28),357,1904,R
361,362.,Henry Boyle (26),356,1887,R
362,362.,Burleigh Grimes+ (29),356,1923,R
363,364.,Tommy Bond (20),355,1876,R
364,364.,Frank Dwyer (27),355,1895,R
365,364.,John Keefe (22),355,1890,L
366,364.,Al Maul (27),355,1893,R
367,364.,Hank O'Day+ (30),355,1890,R
368,364.,George Pechiney (24),355,1886,R
369,364.,Willie Sudhoff (23),355,1898,R
370,371.,Jack Neagle (26),354,1884,R
371,372.,Bill Hill (21),353,1896,L
372,372.,Sam Leever (27),353,1899,R
373,372.,Ed Seward (22),353,1889,R
374,372.,Jack Stivetts (28),353,1896,R
375,372.,Stump Weidman (26),353,1887,R
376,377.,Charlie Buffinton (26),352,1887,R
377,377.,Jack Dunn (25),352,1898,R
378,377.,Frank Dwyer (24),352,1892,R
379,377.,Old Hoss Radbourn+ (35),352,1890,R
380,377.,Lev Shreve (22),352,1888,R
381,382.,Red Ehret (21),351,1890,R
382,382.,Dave Foutz (28),351,1885,R
383,382.,Burleigh Grimes+ (30),351,1924,R
384,382.,Ad Gumbert (22),351,1890,R
385,382.,Jack Powell (26),351,1901,R
386,387.,George Bradley (31),350,1884,R
387,387.,John Clarkson+ (30),350,1892,R
388,387.,Ed Crane (29),350,1891,R
389,387.,Ed Crane (30),350,1892,R
390,387.,Bill Dinneen (23),350,1899,R
391,387.,Bill Hoffer (26),350,1897,R
392,387.,Frank Killen (27),350,1898,L
393,387.,Joe McGinnity+ (29),350,1900,R
394,387.,Harley Payne (29),350,1897,L
395,387.,Cy Young+ (35),350,1902,R
396,397.,Al Orth (24),349,1897,R
397,397.,Irv Young (28),349,1906,L
398,399.,Bill Dinneen (26),348,1902,R
399,399.,Claude Passeau (28),348,1937,R
400,401.,Jimmy Callahan (26),347,1900,R
401,401.,Egyptian Healy (21),347,1888,R
402,401.,Matt Kilroy (22),347,1888,L
403,401.,Jack Taylor (21),347,1894,R
404,405.,Henry Boyle (24),346,1885,R
405,405.,Charlie Buffinton (22),346,1883,R
406,405.,Ed Cushman (38),346,1890,L
407,405.,George Mullin (26),346,1907,R
408,405.,Jack Stivetts (24),346,1892,R
409,405.,Adonis Terry (30),346,1895,R
410,411.,Theodore Breitenstein (28),345,1897,L
411,411.,Charlie Ferguson (22),345,1885,R
412,411.,George Mullin (23),345,1904,R
413,411.,Cinders O'Brien (22),345,1889,R
414,411.,Roy Patterson (24),345,1901,R
415,411.,Urban Shocker (30),345,1921,R
416,417.,Bill Carrick (28),344,1902,R
417,417.,Chick Fraser (27),344,1901,R
418,417.,Fred Klobedanz (26),344,1897,L
419,417.,Harry Staley (26),344,1893,R
420,421.,Dupee Shaw (26),343,1885,L
421,421.,Ed Walsh+ (27),343,1908,R
422,421.,Stump Weidman (24),343,1885,R
423,424.,Pretzels Getzien (26),342,1890,R
424,424.,Jumbo McGinnis (32),342,1886,
425,424.,Scott Stratton (22),342,1892,R
426,427.,Mark Baldwin (29),341,1893,R
427,427.,Wilbur Cooper (29),341,1921,L
428,427.,Stan Coveleski+ (31),341,1921,R
429,427.,Ed Daily (27),341,1890,R
430,427.,Brickyard Kennedy (27),341,1895,R
431,427.,Phil Knell (29),341,1894,L
432,427.,Jim McCormick (29),341,1886,R
433,427.,Joe McGinnity+ (31),341,1902,R
434,427.,Frank Meinke (20),341,1884,
435,427.,Tony Mullane (29),341,1888,R
436,427.,Jack Stivetts (27),341,1895,R
437,427.,Jack Taylor (27),341,1901,R
438,427.,Ed Walsh+ (26),341,1907,R
439,427.,Stan Yerkes (27),341,1902,R
440,441.,Ice Box Chamberlain (19),340,1887,R
441,441.,Pete Dowling (24),340,1901,L
442,441.,George Haddock (25),340,1892,R
443,441.,Harry McIntire (26),340,1905,R
444,441.,Jack Powell (29),340,1904,R
445,441.,Mickey Welch+ (29),340,1889,R
446,441.,Vic Willis+ (29),340,1905,R
447,448.,Roscoe Miller (24),339,1901,R
448,448.,Mickey Welch+ (27),339,1887,R
449,450.,Jim Bagby (30),338,1920,R
450,450.,Jack Chesbro+ (30),338,1904,R
451,450.,Patsy Flaherty (27),338,1903,L
452,450.,Jesse Tannehill (23),338,1898,L
453,454.,Bob Caruthers (23),337,1887,R
454,454.,Bob Caruthers (24),337,1888,R
455,454.,Billy Rhines (21),337,1890,R
456,454.,Eppa Rixey+ (31),337,1922,L
457,454.,Cy Young+ (33),337,1900,R
458,454.,Irv Young (27),337,1905,L
459,460.,Pete Alexander+ (30),336,1917,R
460,460.,Dad Clarke (30),336,1895,R
