,Rank,Player (age that year),Putouts as SS,Year,Throws
210,208.,Billy Urbanski (29),316,1932,R
211,212.,Dick Bartell (23),315,1931,R
212,212.,Lou Boudreau+ (28),315,1946,R
213,212.,Everett Scott (24),315,1917,R
214,215.,Luke Appling+ (26),314,1933,R
215,215.,Sam Dente (27),314,1949,R
216,215.,Dick Groat (31),314,1962,R
217,215.,Pete Runnels (24),314,1952,R
218,215.,Joe Sewell+ (26),314,1925,R
219,215.,Joe Tinker+ (27),314,1908,R
220,215.,Honus Wagner+ (33),314,1907,R
221,222.,Ike Caveney (28),313,1923,R
222,222.,Frankie Crosetti (26),313,1937,R
223,222.,Bill Dahlen (35),313,1905,R
224,222.,Ike Davis (30),313,1925,R
225,222.,Leo Durocher+ (29),313,1935,R
226,222.,Bill Knickerbocker (24),313,1936,R
227,222.,Doc Lavan (24),313,1915,R
228,229.,Ernie Banks+ (23),312,1954,R
229,229.,Jim Fregosi (23),312,1965,R
230,229.,Red Kress (24),312,1929,R
231,229.,Freddy Parent (30),312,1906,R
232,233.,Ray Boone (27),311,1951,R
233,233.,Bones Ely (35),311,1898,R
234,233.,Herman Long (30),311,1896,R
235,233.,Roger Peckinpaugh (32),311,1923,R
236,237.,Donie Bush (22),310,1910,R
237,237.,Leo Cardenas (30),310,1969,R
238,237.,Bill Dahlen (26),310,1896,R
239,237.,Eddie Joost (25),310,1941,R
240,237.,Buddy Kerr (27),310,1950,R
241,237.,Julio Lugo (29),310,2005,R
242,237.,Arky Vaughan+ (21),310,1933,R
243,237.,Glenn Wright (23),310,1924,R
244,245.,Billy Myers (28),309,1939,R
245,245.,Bobby Wallace+ (32),309,1906,R
246,247.,Donie Bush (21),308,1909,R
247,247.,Bones Ely (34),308,1897,R
248,247.,Harvey Kuenn (22),308,1953,R
249,247.,Charley O'Leary (28),308,1904,R
250,247.,Phil Rizzuto+ (34),308,1952,R
251,247.,Arky Vaughan+ (28),308,1940,R
252,253.,Luke Appling+ (33),307,1940,R
253,253.,Dick Groat (27),307,1958,R
254,253.,Hughie Jennings+ (25),307,1894,R
255,253.,Whitey Wietelmann (24),307,1943,R
256,257.,Joe Cronin+ (25),306,1932,R
257,257.,Joe Cronin+ (32),306,1939,R
258,257.,Jackie Hernandez (28),306,1969,R
259,257.,Arky Vaughan+ (26),306,1938,R
260,261.,Luis Aparicio+ (26),305,1960,R
261,261.,Lou Boudreau+ (29),305,1947,R
262,261.,Monte Cross (33),305,1903,R
263,261.,Monte Cross (36),305,1906,R
264,261.,Gene DeMontreville (23),305,1896,R
265,261.,Mickey Doolin (34),305,1914,R
266,261.,Bud Harrelson (26),305,1970,R
267,261.,Eric McNair (25),305,1934,R
268,269.,Dick Bartell (22),304,1930,R
269,269.,Al Bridwell (26),304,1910,R
270,269.,Dave Concepcion (28),304,1976,R
271,269.,Joe Cronin+ (31),304,1938,R
272,269.,Herman Long (35),304,1901,R
273,269.,Ed McKean (34),304,1898,R
274,269.,Ozzie Smith+ (28),304,1983,R
275,269.,Cecil Travis (24),304,1938,R
276,277.,Bill Almon (24),303,1977,R
277,277.,Luis Aparicio+ (32),303,1966,R
278,277.,Travis Jackson+ (27),303,1931,R
279,277.,Frank Shugart (25),303,1892,R
280,277.,Heinie Wagner (29),303,1910,R
281,277.,Honus Wagner+ (29),303,1903,R
282,277.,Bobby Wallace+ (30),303,1904,R
283,277.,John Ward+ (30),303,1890,R
284,285.,Bob Allen (25),302,1893,R
285,285.,Art Fletcher (30),302,1915,R
286,285.,Art Fletcher (35),302,1920,R
287,285.,Everett Scott (29),302,1922,R
288,285.,Jackie Tavener (30),302,1928,R
289,290.,Ed Brinkman (28),301,1970,R
290,290.,Rick Burleson (29),301,1980,R
291,290.,Bill Dahlen (31),301,1901,R
292,290.,Dick Groat (28),301,1959,R
293,290.,Joe Hoover (28),301,1943,R
294,290.,Freddie Patek (26),301,1971,R
295,290.,Phil Rizzuto+ (32),301,1950,R
296,290.,Rafael Santana (27),301,1985,R
297,290.,Zoilo Versalles (23),301,1963,R
298,299.,Luke Appling+ (36),300,1943,R
299,299.,Dave Bancroft+ (34),300,1925,R
300,299.,Chico Carrasquel (25),300,1951,R
301,299.,Tommy Corcoran (22),300,1891,R
302,299.,Joe Cronin+ (30),300,1937,R
303,299.,Leo Durocher+ (30),300,1936,R
304,299.,Willy Miranda (29),300,1955,R
305,299.,Rafael Ramirez (24),300,1982,R
306,299.,Jackie Tavener (28),300,1926,R
307,308.,Ray Chapman (22),299,1913,R
308,308.,Mickey Doolin (25),299,1905,R
309,308.,Art Fletcher (29),299,1914,R
310,308.,Dick Howser (25),299,1961,R
311,308.,Hans Lobert (25),299,1907,R
312,308.,Baldy Louden (30),299,1914,R
313,308.,Marty Marion (24),299,1941,R
314,308.,Lennie Merullo (25),299,1942,R
315,308.,Billy Urbanski (30),299,1933,R
316,308.,Bobby Wallace+ (28),299,1902,R
317,308.,Whitey Witt (20),299,1916,R
318,319.,Monte Cross (26),298,1896,R
319,319.,Irv Hall (24),298,1943,R
320,319.,Billy Jurges (25),298,1933,R
321,319.,Jim Levey (26),298,1933,R
322,319.,Billy Urbanski (31),298,1934,R
323,319.,Honus Wagner+ (41),298,1915,R
324,319.,Rabbit Warstler (33),298,1937,R
325,326.,Lou Boudreau+ (30),297,1948,R
326,326.,Joe Cronin+ (26),297,1933,R
327,326.,Tony Fernandez (28),297,1990,R
328,326.,Jim Fregosi (24),297,1966,R
329,326.,Herman Long (26),297,1892,R
330,326.,Roy McMillan (22),297,1952,R
331,326.,Cal Ripken Jr.+ (23),297,1984,R
332,326.,Joe Sewell+ (29),297,1928,R
333,326.,Glenn Wright (29),297,1930,R
334,335.,Lou Boudreau+ (23),296,1941,R
335,335.,Bill Dahlen (33),296,1903,R
336,335.,George Davis+ (30),296,1901,R
337,335.,Chico Fernandez (26),296,1958,R
338,335.,Chick Galloway (28),296,1925,R
339,335.,Lyn Lary (32),296,1938,R
340,335.,Marty Marion (25),296,1942,R
341,335.,Freddy Parent (27),296,1903,R
342,335.,Johnny Pesky (27),296,1946,R
343,335.,Blondy Ryan (27),296,1933,R
344,335.,Roy Smalley (26),296,1979,R
345,335.,Glenn Wright (26),296,1927,R
346,347.,Dick Bartell (32),295,1940,R
347,347.,Tommy Corcoran (26),295,1895,R
348,347.,Al Dark (29),295,1951,R
349,347.,Mickey Doolin (31),295,1911,R
350,347.,Kid Elberfeld (28),295,1903,R
351,347.,Kid Elberfeld (32),295,1907,R
352,347.,Alfredo Griffin (22),295,1980,R
353,347.,Billy Jurges (31),295,1939,R
354,347.,Johnny Logan (27),295,1953,R
355,347.,Eddie Miller (30),295,1947,R
356,347.,Hal Rhyne (32),295,1931,R
357,347.,Joe Sewell+ (23),295,1922,R
358,347.,Maury Wills (29),295,1962,R
359,360.,Luke Appling+ (34),294,1941,R
360,360.,Walter Barbare (29),294,1921,R
361,360.,Tony Fernandez (24),294,1986,R
362,360.,Shorty Fuller (24),294,1892,R
363,360.,Harvey Kuenn (23),294,1954,R
364,360.,Freddy Parent (29),294,1905,R
365,366.,Granny Hamner (23),293,1950,R
366,366.,Ivy Olson (25),293,1911,R
367,368.,Ernie Banks+ (27),292,1958,R
368,368.,Ed Brinkman (23),292,1965,R
369,368.,Leo Cardenas (26),292,1965,R
370,368.,Tommy Corcoran (33),292,1902,R
371,368.,Bill Dahlen (37),292,1907,R
372,368.,Ron Hansen (26),292,1964,R
373,368.,Roger Peckinpaugh (26),292,1917,R
374,368.,Pee Wee Reese+ (32),292,1951,R
375,368.,Miguel Tejada (25),292,1999,R
376,368.,Garry Templeton (23),292,1979,R
377,378.,Eddie Bressoud (30),291,1962,R
378,378.,Tommy Corcoran (23),291,1892,R
379,378.,Bill Dahlen (38),291,1908,R
380,378.,Dick Howser (28),291,1964,R
381,378.,Ernie Johnson (33),291,1921,R
382,378.,Roger Peckinpaugh (24),291,1915,R
383,378.,Swede Risberg (22),291,1917,R
384,378.,Billy Rogell (33),291,1938,R
385,378.,Chris Speier (32),291,1982,R
386,378.,Lee Tannehill (22),291,1903,R
387,388.,Ernie Banks+ (24),290,1955,R
388,388.,Donie Bush (31),290,1919,R
389,388.,Billy Clingman (31),290,1901,R
390,388.,Wally Gerber (35),290,1927,R
391,388.,Toby Harrah (27),290,1976,R
392,388.,Marty Marion (29),290,1946,R
393,388.,Roy McMillan (25),290,1955,R
394,388.,Heinie Sand (30),290,1928,R
395,388.,Vern Stephens (21),290,1942,R
396,388.,Robin Yount+ (20),290,1976,R
397,398.,Luis Aparicio+ (24),289,1958,R
398,398.,Luke Appling+ (32),289,1939,R
399,398.,Al Dark (32),289,1954,R
400,398.,George Davis+ (31),289,1902,R
401,398.,Mickey Doolin (32),289,1912,R
402,398.,Doc Farrell (26),289,1928,R
403,398.,Hughie Jennings+ (29),289,1898,R
404,398.,Honus Wagner+ (39),289,1913,R
405,406.,Dick Bartell (30),288,1938,R
406,406.,Al Dark (28),288,1950,R
407,406.,Wally Gerber (28),288,1920,R
408,406.,Roy McMillan (23),288,1953,R
409,406.,Neifi Perez (27),288,2000,R
410,406.,Ozzie Smith+ (25),288,1980,R
411,406.,Joe Tinker+ (25),288,1906,R
412,413.,Bill Dahlen (36),287,1906,R
413,413.,Leo Durocher+ (32),287,1938,R
414,413.,Dick Groat (25),287,1956,R
415,413.,Ron Hansen (27),287,1965,R
416,413.,Travis Jackson+ (23),287,1927,R
417,413.,Freddy Parent (26),287,1902,R
418,413.,Cal Ripken Jr.+ (31),287,1992,R
419,413.,Roy Smalley (25),287,1978,R
420,413.,Frank Taveras (29),287,1979,R
421,413.,Terry Turner (25),287,1906,R
422,423.,Marty Berghammer (27),286,1915,R
423,423.,Dale Berra (26),286,1983,R
424,423.,Herman Long (36),286,1902,R
425,423.,Jose Pagan (27),286,1962,R
426,423.,Topper Rigney (29),286,1926,R
427,423.,Cal Ripken Jr.+ (24),286,1985,R
428,423.,Billy Rogell (31),286,1936,R
429,423.,Joe Sewell+ (24),286,1923,R
430,423.,Bobby Wallace+ (34),286,1908,R
431,432.,Rick Burleson (26),285,1977,R
432,432.,Rick Burleson (27),285,1978,R
433,432.,Wid Conroy (24),285,1901,R
434,432.,Joe Cronin+ (22),285,1929,R
435,432.,Joe DeMaestri (25),285,1954,R
436,432.,Kevin Elster (31),285,1996,R
437,432.,Chick Galloway (26),285,1923,R
438,432.,Chick Galloway (27),285,1924,R
439,432.,Eddie Miller (25),285,1942,R
440,432.,Roger Peckinpaugh (25),285,1916,R
441,432.,Pee Wee Reese+ (27),285,1946,R
442,432.,Garry Templeton (21),285,1977,R
443,432.,Garry Templeton (22),285,1978,R
444,432.,Terry Turner (24),285,1905,R
445,432.,Rabbit Warstler (34),285,1938,R
446,447.,Dave Concepcion (31),284,1979,R
447,447.,Wally Gerber (27),284,1919,R
448,447.,Billy Hunter (25),284,1953,R
449,447.,Jim Levey (25),284,1932,R
450,447.,Cal Ripken Jr.+ (27),284,1988,R
451,447.,Bobby Wine (31),284,1970,R
452,453.,Ernie Banks+ (29),283,1960,R
453,453.,Bert Campaneris (24),283,1966,R
454,453.,Bert Campaneris (30),283,1972,R
455,453.,Mickey Doolin (30),283,1910,R
456,453.,Leo Durocher+ (26),283,1932,R
457,453.,Tony Fernandez (23),283,1985,R
458,453.,Travis Jackson+ (30),283,1934,R
459,453.,Herman Long (29),283,1895,R
460,453.,Ivy Olson (31),283,1917,R
461,453.,Vern Stephens (26),283,1947,R
462,453.,Heinie Wagner (26),283,1907,R
463,464.,Luis Aparicio+ (25),282,1959,R
464,464.,Al Bridwell (29),282,1913,R
465,464.,Tommy Corcoran (30),282,1899,R
466,464.,Alfredo Griffin (28),282,1986,R
467,464.,Charlie Hollocher (25),282,1921,R
468,464.,Hal Lanier (25),282,1968,R
469,464.,George McBride (35),282,1916,R
470,464.,Pee Wee Reese+ (31),282,1950,R
471,464.,Pee Wee Reese+ (33),282,1952,R
472,464.,Frank Scheibeck (25),282,1890,R
473,464.,Heinie Wagner (28),282,1909,R
474,464.,Bobby Wallace+ (29),282,1903,R
475,476.,Dick Bartell (29),281,1937,R
476,476.,Lou Boudreau+ (24),281,1942,R
477,476.,Donie Bush (29),281,1917,R
478,476.,Bill Dahlen (25),281,1895,R
479,476.,Tim Foli (21),281,1972,R
480,476.,Charlie Gelbert (25),281,1931,R
481,476.,Toby Harrah (25),281,1974,R
482,476.,Mark Koenig (21),281,1926,R
483,476.,George Magoon (24),281,1899,R
484,476.,Buck Weaver (24),281,1915,R
485,486.,Luis Aparicio+ (28),280,1962,R
486,486.,Luke Appling+ (30),280,1937,R
487,486.,Mark Belanger (27),280,1971,R
488,486.,Mike Bordick (27),280,1993,R
489,486.,Donie Bush (30),280,1918,R
490,486.,Leo Cardenas (31),280,1970,R
491,486.,Chico Carrasquel (28),280,1954,R
492,486.,Dave Concepcion (29),280,1977,R
493,486.,Tommy Corcoran (25),280,1894,R
494,486.,Julio Franco (25),280,1984,R
495,486.,Jack Glasscock (34),280,1892,R
496,486.,Alfredo Griffin (25),280,1983,R
497,486.,Granny Hamner (22),280,1949,R
498,486.,Billy Rogell (30),280,1935,R
499,486.,Fred Smith (23),280,1915,R
