,Rank,Player (age that year),Assists as RF (s.1901),Year,Throws
0,1.,Chuck Klein+ (25),41,1930,R
1,2.,Mike Mitchell (27),39,1907,R
2,3.,Gavvy Cravath (33),34,1914,R
3,3.,Chief Wilson (30),34,1914,R
4,5.,Harry Heilmann+ (29),31,1924,R
5,6.,Ty Cobb+ (20),30,1907,R
6,6.,Chuck Klein+ (27),30,1932,R
7,6.,Casey Stengel+ (26),30,1917,L
8,6.,Jack Tobin (22),30,1914,L
9,10.,Harry Hooper+ (22),29,1910,R
10,11.,Gavvy Cravath (34),28,1915,R
11,11.,Ira Flagstead (29),28,1923,R
12,11.,Tommy Griffith (26),28,1916,R
13,11.,Tommy Griffith (31),28,1921,R
14,11.,Shoeless Joe Jackson (25),28,1913,R
15,11.,Gene Moore (26),28,1936,L
16,11.,Ross Youngs+ (25),28,1922,R
17,18.,Harry Hooper+ (23),27,1911,R
18,18.,Bob Meusel (24),27,1921,R
19,18.,Red Murray (25),27,1909,R
20,18.,Jimmy Sebring (22),27,1904,R
21,18.,Jack Tobin (29),27,1921,L
22,18.,Paul Waner+ (28),27,1931,L
23,24.,Beals Becker (22),26,1909,L
24,24.,Roberto Clemente+ (26),26,1961,R
25,24.,Harry Lumley (23),26,1904,L
26,24.,Mel Ott+ (20),26,1929,R
27,24.,Dave Parker (26),26,1977,R
28,24.,Sam Rice+ (27),26,1917,R
29,30.,Johnny Callison (24),25,1963,R
30,30.,Wilbur Good (28),25,1914,L
31,30.,Jim Kelly (31),25,1915,R
32,30.,Doc Miller (28),25,1911,L
33,30.,Danny Moeller (28),25,1913,R
34,30.,Ellis Valentine (23),25,1978,R
35,30.,Gus Williams (25),25,1913,L
36,37.,Ray Demmitt (34),24,1918,R
37,37.,Jack Dunleavy (25),24,1905,L
38,37.,Steve Evans (27),24,1912,L
39,37.,Ed Hahn (31),24,1907,R
40,37.,Shoeless Joe Jackson (24),24,1912,R
41,37.,Roy Johnson (28),24,1931,R
42,37.,John Titus (29),24,1905,L
43,37.,John Titus (30),24,1906,L
44,37.,Curt Walker (25),24,1922,R
45,37.,Jimmy Welsh (22),24,1925,R
46,37.,Jimmy Welsh (23),24,1926,R
47,37.,Gus Williams (26),24,1914,L
48,37.,Ross Youngs+ (22),24,1919,R
49,50.,Johnny Callison (23),23,1962,R
50,50.,Ty Cobb+ (21),23,1908,R
51,50.,Cozy Dolan (33),23,1906,L
52,50.,Carl Furillo (29),23,1951,R
53,50.,Doc Gessler (29),23,1910,L
54,50.,Grover Gilmore (25),23,1914,L
55,50.,Harry Hooper+ (25),23,1913,R
56,50.,Harry Hooper+ (26),23,1914,R
57,50.,Harry Hooper+ (27),23,1915,R
58,50.,Harry Hooper+ (32),23,1920,R
59,50.,Mike Mitchell (31),23,1911,R
60,50.,Danny Murphy (34),23,1911,R
61,50.,Billy Southworth+ (28),23,1921,R
62,50.,John Titus (33),23,1909,L
63,50.,Ross Youngs+ (23),23,1920,R
64,50.,Ross Youngs+ (28),23,1925,R
65,66.,Roberto Clemente+ (23),22,1958,R
66,66.,Bob Coulson (24),22,1911,R
67,66.,Max Flack (26),22,1916,L
68,66.,Babe Herman (28),22,1931,L
69,66.,Richard Hidalgo (28),22,2003,R
70,66.,Harry Hooper+ (24),22,1912,R
71,66.,Al Kaline+ (23),22,1958,R
72,66.,Tex McDonald (23),22,1914,R
73,66.,Red Murray (29),22,1913,R
74,66.,Mel Ott+ (21),22,1930,R
75,66.,John Titus (32),22,1908,L
76,66.,John Titus (34),22,1910,L
77,78.,Jesse Barfield (25),21,1985,R
78,78.,Johnny Callison (26),21,1965,R
79,78.,Ty Cobb+ (22),21,1909,R
80,78.,Robert Fick (28),21,2002,R
81,78.,Elmer Flick+ (31),21,1907,R
82,78.,Tony Gwynn+ (26),21,1986,L
83,78.,Roy Hartzell (27),21,1909,R
84,78.,Harry Hooper+ (36),21,1924,R
85,78.,Chuck Klein+ (28),21,1933,R
86,78.,Harry Lumley (24),21,1905,L
87,78.,Doc Miller (29),21,1912,L
88,78.,Red Murray (26),21,1910,R
89,78.,Mel Ott+ (27),21,1936,R
90,78.,Ray Powell (30),21,1919,R
91,78.,Sam Rice+ (33),21,1923,R
92,78.,Ken Singleton (26),21,1973,R
93,78.,Enos Slaughter+ (30),21,1946,R
94,78.,John Titus (31),21,1907,L
95,78.,Curt Walker (29),21,1926,R
96,78.,Cy Williams (39),21,1927,L
97,98.,George Browne (28),20,1904,R
98,98.,Johnny Callison (25),20,1964,R
99,98.,Bunk Congalton (32),20,1907,L
100,98.,Gavvy Cravath (32),20,1913,R
101,98.,Mike Donlin (30),20,1908,L
102,98.,Steve Evans (24),20,1909,L
103,98.,Steve Evans (30),20,1915,L
104,98.,Tommy Griffith (29),20,1919,R
105,98.,George Hendrick (29),20,1979,R
106,98.,Harry Hooper+ (29),20,1917,R
107,98.,Harry Hooper+ (34),20,1922,R
108,98.,Nemo Leibold (27),20,1919,R
109,98.,Mike Mitchell (29),20,1909,R
110,98.,Greasy Neale (28),20,1920,R
111,98.,Ron Northey (23),20,1943,R
112,98.,Sam Rice+ (39),20,1929,R
113,98.,Braggo Roth (23),20,1916,R
114,98.,Billy Southworth+ (30),20,1923,R
115,98.,Rusty Staub (27),20,1971,R
116,98.,Al Wickland (26),20,1914,L
117,98.,Chief Wilson (26),20,1910,R
118,98.,Chief Wilson (27),20,1911,R
119,98.,Glenn Wilson (27),20,1986,R
120,98.,Chuck Workman (28),20,1943,R
121,98.,Ross Youngs+ (26),20,1923,R
122,123.,Bill Barrett (27),19,1927,R
123,123.,Beau Bell (29),19,1937,R
124,123.,Bruce Campbell (23),19,1933,R
125,123.,Roberto Clemente+ (25),19,1960,R
126,123.,Roberto Clemente+ (27),19,1962,R
127,123.,Roberto Clemente+ (32),19,1967,R
128,123.,Doc Cook (29),19,1915,R
129,123.,Sam Crawford+ (26),19,1906,L
130,123.,Michael Cuddyer (28),19,2007,R
131,123.,Roy Cullenbine (31),19,1945,R
132,123.,Cozy Dolan (32),19,1905,L
133,123.,Max Flack (28),19,1918,L
134,123.,Max Flack (29),19,1919,L
135,123.,Elmer Flick+ (28),19,1904,R
136,123.,Jeff Francoeur (23),19,2007,R
137,123.,Jeff Francoeur (28),19,2012,R
138,123.,Doc Gessler (30),19,1911,L
139,123.,Tommy Griffith (27),19,1917,R
140,123.,Harry Hooper+ (28),19,1916,R
141,123.,Harry Hooper+ (37),19,1925,R
142,123.,Mark Kotsay (23),19,1999,L
143,123.,Sherry Magee (19),19,1904,R
144,123.,Danny Moeller (29),19,1914,R
145,123.,Gene Moore (27),19,1937,L
146,123.,Harry Niles (25),19,1906,R
147,123.,Manny Ramirez (24),19,1996,R
148,123.,Sam Rice+ (34),19,1924,R
149,123.,Babe Ruth+ (25),19,1920,L
150,123.,Frank Schulte (28),19,1911,R
151,123.,Frank Schulte (29),19,1912,R
152,123.,Socks Seybold (36),19,1907,R
153,123.,Rusty Staub (30),19,1974,R
154,123.,Jack Tobin (23),19,1915,L
155,123.,Paul Waner+ (23),19,1926,L
156,123.,Paul Waner+ (24),19,1927,L
157,123.,Earl Webb (33),19,1931,R
158,123.,Chief Wilson (25),19,1909,R
159,123.,Glenn Wilson (28),19,1987,R
160,161.,Jesse Barfield (29),18,1989,R
161,161.,Johnny Bates (23),18,1907,L
162,161.,Ike Boone (27),18,1924,R
163,161.,Jack Clark (27),18,1983,R
164,161.,Lou Clinton (26),18,1964,R
165,161.,Shano Collins (30),18,1916,R
166,161.,Shano Collins (35),18,1921,R
167,161.,Sam Crawford+ (24),18,1904,L
168,161.,Sam Crawford+ (25),18,1905,L
169,161.,Sam Crawford+ (34),18,1914,L
170,161.,Roy Cullenbine (30),18,1944,R
171,161.,Kiki Cuyler+ (26),18,1925,R
172,161.,Kiki Cuyler+ (31),18,1930,R
173,161.,Max Flack (31),18,1921,L
174,161.,Cliff Heathcote (27),18,1925,L
175,161.,Harry Heilmann+ (31),18,1926,R
176,161.,Harry Hooper+ (31),18,1919,R
177,161.,Shoeless Joe Jackson (23),18,1911,R
178,161.,Dick Kokos (21),18,1949,L
179,161.,Sixto Lezcano (24),18,1978,R
180,161.,Mike Mitchell (32),18,1912,R
181,161.,Raul Mondesi (30),18,2001,R
182,161.,Johnny Moore (32),18,1934,R
183,161.,Johnny Moore (33),18,1935,R
184,161.,Bobby Murcer (28),18,1974,R
185,161.,Red Murray (28),18,1912,R
186,161.,Bill Nicholson (27),18,1942,R
187,161.,Bill Nicholson (29),18,1944,R
188,161.,Ron Northey (24),18,1944,R
189,161.,Mel Ott+ (26),18,1935,R
190,161.,Mel Ott+ (32),18,1941,R
191,161.,Sam Rice+ (35),18,1925,R
192,161.,Braggo Roth (25),18,1918,R
193,161.,Frank Schulte (23),18,1906,R
194,161.,Frank Schulte (27),18,1910,R
195,161.,Jack Smith (24),18,1919,L
196,161.,Glenn Wilson (26),18,1985,R
197,161.,Smoky Joe Wood (32),18,1922,R
198,161.,Ross Youngs+ (24),18,1921,R
199,200.,Hank Aaron+ (22),17,1956,R
200,200.,Bobby Abreu (24),17,1998,R
201,200.,Jesse Barfield (23),17,1983,R
202,200.,Jesse Barfield (26),17,1986,R
203,200.,Jesse Barfield (30),17,1990,R
204,200.,Johnny Bates (29),17,1913,L
205,200.,Albert Belle (32),17,1999,R
206,200.,Gus Bell (22),17,1951,R
207,200.,Lou Brock+ (24),17,1963,L
208,200.,George Browne (30),17,1906,R
209,200.,Ben Chapman (29),17,1938,R
210,200.,Gavvy Cravath (35),17,1916,R
