,Rank,Player (age that year),Range Factor/Game as RF (s.1901),Year,Throws
77,78.,Al Kaline+ (23),2.345,1958,R
78,79.,Glenn Wilson (26),2.344,1985,R
79,80.,Jerry Martin (33),2.343,1982,R
80,81.,Al Kaline+ (27),2.340,1962,R
81,82.,Shin-Soo Choo (26),2.339,2009,L
82,83.,Giancarlo Stanton (20),2.337,2010,R
83,84.,Leon Roberts (27),2.336,1978,R
84,85.,Bob Bailor (26),2.333,1978,R
85,86.,Ival Goodman (27),2.331,1936,R
86,87.,Sixto Lezcano (23),2.327,1977,R
87,88.,Mark Whiten (25),2.326,1992,R
88,89.,Tony Oliva (31),2.325,1970,R
89,89.,Dave Winfield+ (27),2.325,1979,R
90,91.,Paul Waner+ (33),2.324,1936,L
91,92.,Casey Blake (32),2.323,2006,R
92,93.,Casey Stengel+ (28),2.322,1919,L
93,94.,Jesse Barfield (31),2.321,1991,R
94,94.,Roberto Clemente+ (33),2.321,1968,R
95,94.,Joey Gallo (26),2.321,2020,R
96,94.,Hunter Pence (30),2.321,2013,R
97,98.,Mike Davis (26),2.319,1985,L
98,99.,Denard Span (24),2.318,2008,L
99,100.,Cory Snyder (25),2.317,1988,R
100,101.,Max Carey+ (37),2.315,1927,R
101,101.,Mel Ott+ (21),2.315,1930,R
102,101.,Sammy Sosa (26),2.315,1995,R
103,101.,Frank Welch (25),2.315,1923,R
104,105.,Buddy Lewis (24),2.313,1941,R
105,106.,Kiki Cuyler+ (30),2.310,1929,R
106,107.,Bobby Abreu (26),2.309,2000,R
107,108.,Hank Aaron+ (27),2.308,1961,R
108,108.,Jayson Werth (30),2.308,2009,R
109,110.,Tim Salmon (31),2.307,2000,R
110,111.,Curt Walker (29),2.305,1926,R
111,111.,Richie Zisk (25),2.305,1974,R
112,113.,Tim Salmon (25),2.303,1994,R
113,113.,Tim Salmon (26),2.303,1995,R
114,113.,Curt Walker (28),2.303,1925,R
115,116.,Wally Moses (34),2.302,1945,L
116,117.,Harry Rice (31),2.300,1933,R
117,118.,Jack Smith (29),2.299,1924,L
118,118.,Billy Southworth+ (33),2.299,1926,R
119,120.,Jesse Barfield (28),2.296,1988,R
120,120.,Von Hayes (31),2.296,1990,R
121,122.,Mookie Betts (23),2.293,2016,R
122,122.,David Justice (26),2.293,1992,L
123,122.,Mike Mitchell (34),2.293,1914,R
124,125.,Brian Jordan (34),2.292,2001,R
125,126.,Austin Kearns (25),2.290,2005,R
126,127.,Jorge Orta (29),2.288,1980,R
127,128.,Bobby Bonds (27),2.287,1973,R
128,129.,Reggie Jackson+ (30),2.286,1976,L
129,129.,Paul Waner+ (30),2.286,1933,L
130,131.,Billy Southworth+ (30),2.285,1923,R
131,132.,Dave Parker (24),2.284,1975,R
132,133.,Hunter Pence (25),2.282,2008,R
133,134.,Roy Johnson (28),2.281,1931,R
134,134.,Glenn Wilson (27),2.281,1986,R
135,134.,Johnny Wyrostek (32),2.281,1952,R
136,137.,Giancarlo Stanton (24),2.280,2014,R
137,138.,Bing Miller (36),2.277,1931,R
138,139.,Tony Gwynn+ (24),2.276,1984,L
139,139.,Dave Parker (25),2.276,1976,R
140,141.,Kirby Puckett+ (34),2.274,1994,R
141,142.,Jesse Barfield (29),2.271,1989,R
142,143.,Shawn Green (26),2.270,1999,L
143,143.,Cesar Tovar (31),2.270,1972,R
144,143.,Jimmy Welsh (22),2.270,1925,R
145,146.,Brian Jordan (33),2.269,2000,R
146,146.,Dale Murphy (32),2.269,1988,R
147,148.,Corey Hart (25),2.266,2007,R
148,148.,Bing Miller (37),2.266,1932,R
149,148.,Dave Parker (28),2.266,1979,R
150,151.,Johnny Callison (23),2.265,1962,R
151,151.,Sammy Sosa (25),2.265,1994,R
152,153.,Jack Clark (22),2.263,1978,R
153,153.,Dwight Evans (31),2.263,1983,R
154,153.,Tony Gwynn+ (25),2.263,1985,L
155,156.,Jacque Jones (29),2.262,2004,L
156,157.,Dan Ford (30),2.261,1982,R
157,158.,Roberto Clemente+ (24),2.260,1959,R
158,159.,Jay Johnstone (30),2.258,1976,R
159,160.,Ichiro Suzuki (27),2.257,2001,R
160,161.,Reggie Jackson+ (33),2.256,1979,L
161,161.,Ruben Sierra (27),2.256,1993,R
162,161.,Ichiro Suzuki (36),2.256,2010,R
163,164.,Jose Cruz (29),2.255,2003,R
164,165.,Tom Brunansky (29),2.254,1990,R
165,165.,Andre Dawson+ (29),2.254,1984,R
166,167.,Ryan Church (29),2.253,2008,L
167,167.,Mel Ott+ (23),2.253,1932,R
168,169.,Hunter Pence (27),2.252,2010,R
169,169.,Reggie Sanders (25),2.252,1993,R
170,169.,Dave Winfield+ (24),2.252,1976,R
171,172.,Cliff Heathcote (28),2.250,1926,L
172,173.,Marlon Byrd (36),2.248,2014,R
173,173.,Kole Calhoun (27),2.248,2015,L
174,173.,Giancarlo Stanton (22),2.248,2012,R
175,176.,Al Cowens (24),2.247,1976,R
176,177.,Dave Martinez (35),2.246,2000,L
177,177.,Alex Rios (33),2.246,2014,R
178,179.,Vladimir Guerrero+ (29),2.245,2004,R
179,179.,Reggie Jackson+ (29),2.245,1975,L
180,181.,Rob Deer (25),2.244,1986,R
181,181.,Junior Felix (21),2.244,1989,R
182,181.,Pat Kelly (25),2.244,1970,L
183,184.,Dwight Evans (26),2.243,1978,R
184,184.,Tommy Holmes (30),2.243,1947,L
185,184.,Wally Post (26),2.243,1956,R
186,184.,Terry Puhl (23),2.243,1980,R
187,188.,Jeff Francoeur (27),2.242,2011,R
188,188.,Magglio Ordonez (25),2.242,1999,R
189,190.,Dwight Evans (24),2.241,1976,R
190,190.,Al Kaline+ (26),2.241,1961,R
191,192.,Roberto Clemente+ (36),2.240,1971,R
192,192.,Sammy Sosa (30),2.240,1999,R
193,192.,Homer Summa (27),2.240,1926,R
194,195.,Josh Reddick (26),2.239,2013,R
195,195.,Curt Walker (32),2.239,1929,R
196,195.,Dave Winfield+ (23),2.239,1975,R
197,198.,Hank Aaron+ (34),2.238,1968,R
198,199.,Rob Deer (31),2.236,1992,R
199,199.,Von Hayes (23),2.236,1982,R
200,201.,Austin Kearns (28),2.235,2008,R
201,201.,Mike Lum (25),2.235,1971,L
202,203.,Brian Jordan (29),2.234,1996,R
203,203.,Chet Lemon (35),2.234,1990,R
204,205.,Al Kaline+ (21),2.232,1956,R
205,206.,Rob Deer (29),2.231,1990,R
206,207.,Larry Walker+ (24),2.230,1991,R
207,208.,Darnell Coles (27),2.229,1989,R
208,209.,Felix Jose (27),2.228,1992,R
209,210.,Sam Rice+ (35),2.227,1925,R
210,211.,Ken Griffey Jr.+ (37),2.226,2007,L
211,212.,Mike Davis (25),2.225,1984,L
212,212.,Ival Goodman (29),2.225,1938,R
213,212.,Tony Gwynn+ (26),2.225,1986,L
214,215.,Matt Lawton (30),2.224,2002,R
215,215.,Reggie Sanders (29),2.224,1997,R
216,215.,Curt Walker (26),2.224,1923,R
217,218.,Jose Canseco (27),2.222,1992,R
218,218.,Merv Rettenmund (30),2.222,1973,R
219,220.,Jose Cardenal (27),2.221,1971,R
220,220.,Jason Heyward (22),2.221,2012,L
221,220.,Ichiro Suzuki (35),2.221,2009,R
222,223.,Rob Deer (28),2.220,1989,R
223,223.,Harry Hooper+ (36),2.220,1924,R
224,223.,Ichiro Suzuki (28),2.220,2002,R
225,226.,Tommy Harper (26),2.219,1967,R
226,226.,Rusty Staub (22),2.219,1966,R
227,228.,Aaron Guiel (30),2.218,2003,R
228,228.,Sam Rice+ (34),2.218,1924,R
229,230.,Carl Furillo (29),2.217,1951,R
230,230.,Raul Mondesi (25),2.217,1996,R
231,230.,Glenn Wilson (31),2.217,1990,R
232,233.,Clyde Barnhart (28),2.216,1924,R
233,233.,Tony Gwynn+ (31),2.216,1991,L
234,233.,Jayson Werth (32),2.216,2011,R
235,236.,Garret Anderson (26),2.213,1998,L
236,236.,Mitch Haniger (26),2.213,2017,R
237,238.,Lyman Bostock (27),2.211,1978,R
238,239.,Sixto Lezcano (28),2.209,1982,R
239,239.,Orlando Merced (29),2.209,1996,R
240,241.,Giancarlo Stanton (27),2.208,2017,R
241,242.,Paul Waner+ (29),2.206,1932,L
242,243.,Sixto Lezcano (24),2.205,1978,R
243,243.,Nick Markakis (24),2.205,2008,L
244,245.,Gerardo Parra (26),2.203,2013,L
245,246.,Ivan Calderon (25),2.202,1987,R
246,246.,Kiki Cuyler+ (32),2.202,1931,R
247,246.,Wally Moses (30),2.202,1941,L
248,249.,Geoff Jenkins (30),2.201,2005,R
249,250.,Jeff Burroughs (22),2.200,1973,R
250,250.,Robert Fick (28),2.200,2002,R
