,Rank,Player (age that year),Range Factor/Game as OF,Year,Throws
260,261.,Dode Paskert (31),2.908,1913,R
261,262.,Chad Curtis (24),2.907,1993,R
262,262.,Mike Griffin (29),2.907,1894,R
263,262.,Rick Manning (20),2.907,1975,R
264,262.,Willie Mays+ (26),2.907,1957,R
265,262.,Dwayne Murphy (31),2.907,1986,R
266,262.,Hi Myers (29),2.907,1918,R
267,262.,Tris Speaker+ (25),2.907,1913,L
268,269.,Andre Dawson+ (27),2.905,1982,R
269,269.,Jim Landis (25),2.905,1959,R
270,269.,Gary Pettis (30),2.905,1988,R
271,272.,Happy Felsch (27),2.904,1919,R
272,272.,Ray Powell (33),2.904,1922,R
273,274.,Peanuts Lowrey (25),2.903,1943,R
274,275.,Andy Pafko (23),2.902,1944,R
275,275.,Joe Vosmik (22),2.902,1932,R
276,277.,Mandy Brooks (27),2.899,1925,R
277,277.,Hoot Evers (27),2.899,1948,R
278,279.,Lorenzo Cain (29),2.898,2015,R
279,280.,Joe Carter (28),2.897,1988,R
280,280.,Ron LeFlore (30),2.897,1978,R
281,280.,Tris Speaker+ (26),2.897,1914,L
282,280.,Tom Umphlett (22),2.897,1953,R
283,284.,Chet Lemon (30),2.896,1985,R
284,285.,Augie Galan (31),2.895,1943,R
285,285.,Ken Henderson (28),2.895,1974,R
286,285.,Ray Lankford (25),2.895,1992,L
287,288.,Chuck Carr (26),2.894,1994,R
288,288.,Ruppert Jones (24),2.894,1979,L
289,288.,George Wright (24),2.894,1983,R
290,291.,Dom DiMaggio (33),2.893,1950,R
291,291.,Joe DiMaggio+ (22),2.893,1937,R
292,293.,Tris Speaker+ (30),2.890,1918,L
293,294.,Vic Davalillo (23),2.888,1963,L
294,294.,Bobby Del Greco (27),2.888,1960,R
295,294.,Luis Matos (24),2.888,2003,R
296,294.,Gorman Thomas (28),2.888,1979,R
297,298.,Lorenzo Cain (31),2.887,2017,R
298,298.,Happy Felsch (28),2.887,1920,R
299,300.,Robin Yount+ (32),2.886,1988,R
300,301.,Joe DiMaggio+ (26),2.885,1941,R
301,301.,Brian McRae (24),2.885,1992,R
302,301.,Eddie Milner (28),2.885,1983,L
303,301.,Sam West (24),2.885,1929,L
304,301.,Mookie Wilson (27),2.885,1983,R
305,306.,Andre Dawson+ (25),2.884,1980,R
306,307.,Byron Buxton (23),2.883,2017,R
307,307.,Dummy Hoy (35),2.883,1897,R
308,309.,Coco Crisp (27),2.882,2007,R
309,309.,Fred Lynn (23),2.882,1975,L
310,309.,Johnny Mostil (28),2.882,1924,R
311,312.,Garry Maddox (30),2.881,1980,R
312,312.,Gorman Thomas (29),2.881,1980,R
313,312.,Bill Virdon (27),2.881,1958,R
314,315.,Richard Hidalgo (25),2.880,2000,R
315,316.,Bill Bruton (29),2.879,1955,R
316,316.,Mike Griffin (30),2.879,1895,R
317,318.,Chuck Carr (25),2.878,1993,R
318,318.,Billy Hamilton+ (27),2.878,1893,R
319,320.,Ben Chapman (26),2.877,1935,R
320,320.,Al Oliver (29),2.877,1976,L
321,322.,Jim Fogarty (21),2.875,1885,R
322,322.,Amos Otis (24),2.875,1971,R
323,322.,Amos Otis (31),2.875,1978,R
324,322.,Mickey Rivers (28),2.875,1977,L
325,326.,Kirby Puckett+ (29),2.873,1989,R
326,327.,Baby Doll Jacobson (32),2.870,1923,R
327,328.,Charlie Abbey (27),2.868,1894,L
328,328.,Clyde Vollmer (27),2.868,1949,R
329,330.,Mike Griffin (26),2.866,1891,R
330,330.,Kevin Kiermaier (25),2.866,2015,R
331,332.,Devon White (28),2.865,1991,R
332,333.,Chet Lemon (24),2.864,1979,R
333,334.,Jim Delsing (25),2.863,1951,R
334,334.,Jim Landis (27),2.863,1961,R
335,334.,Mookie Wilson (25),2.863,1981,R
336,337.,Dusty Baker (23),2.862,1972,R
337,337.,Vince DiMaggio (24),2.862,1937,R
338,339.,Fred Brickell (24),2.861,1931,R
339,340.,Mike Kreevich (36),2.860,1944,R
340,341.,Johnny Frederick (28),2.859,1930,L
341,341.,Johnny Wyrostek (26),2.859,1946,R
342,343.,Devon White (26),2.857,1989,R
343,344.,Brian Hunter (27),2.856,1998,R
344,345.,Tony Armas (29),2.853,1983,R
345,345.,Wally Berger (27),2.853,1933,R
346,347.,Mel Almada (24),2.850,1937,L
347,347.,Al Nixon (37),2.850,1923,L
348,349.,Torii Hunter (24),2.849,2000,R
349,349.,Lloyd Waner+ (22),2.849,1928,R
350,351.,Torii Hunter (27),2.848,2003,R
351,351.,Kevin Pillar (26),2.848,2015,R
352,353.,Rocco Baldelli (22),2.847,2004,R
353,353.,Jeremy Reed (24),2.847,2005,L
354,353.,Stan Spence (31),2.847,1946,L
355,353.,Ryan Thompson (26),2.847,1994,R
356,357.,Fred Lynn (28),2.846,1980,L
357,358.,Franklin Gutierrez (27),2.843,2010,R
358,358.,Emmet Heidrick (23),2.843,1900,R
359,358.,Harry Rice (27),2.843,1929,R
360,361.,Chet Lemon (28),2.841,1983,R
361,361.,Mickey Rivers (29),2.841,1978,L
362,363.,Jerry Mumphrey (23),2.840,1976,R
363,364.,Tommy Holmes (27),2.839,1944,L
364,365.,Cesar Geronimo (27),2.838,1975,L
365,366.,Ira Flagstead (32),2.837,1926,R
366,367.,Richie Ashburn+ (28),2.836,1955,R
367,368.,Doc Cramer (31),2.835,1937,R
368,368.,Jerry Mumphrey (28),2.835,1981,R
369,368.,Hardy Richardson (26),2.835,1881,R
370,371.,Wally Moses (25),2.833,1936,L
371,372.,Mule Haas (26),2.832,1930,R
372,372.,Hi Myers (30),2.832,1919,R
373,374.,Ender Inciarte (25),2.830,2016,L
374,374.,Goody Rosen (32),2.830,1945,L
375,376.,Kenny Lofton (26),2.829,1993,L
376,376.,Willie Mays+ (24),2.829,1955,R
377,376.,Roy Weatherly (27),2.829,1942,R
378,376.,Hack Wilson+ (27),2.829,1927,R
379,380.,Ed Delahanty+ (28),2.828,1896,R
380,380.,Lance Johnson (28),2.828,1992,L
381,382.,Garry Maddox (27),2.826,1977,R
382,382.,Grady Sizemore (26),2.826,2009,L
383,384.,Oddibe McDowell (22),2.825,1985,L
