,Rank,Player (age that year),Fielding % as 1B,Year,Throws
0,1.,Steve Garvey (35),1.0000,1984,R
1,1.,Casey Kotchman (26),1.0000,2009,L
2,1.,Kevin Youkilis (28),1.0000,2007,R
3,4.,Stuffy McInnis (30),.9994,1921,R
4,5.,Frank McCormick (35),.9992,1946,R
5,6.,Steve Garvey (32),.9991,1981,R
6,6.,David Segui (31),.9991,1998,L
7,6.,Justin Smoak (31),.9991,2018,L
8,6.,J.T. Snow (30),.9991,1998,L
9,6.,Jim Spencer (25),.9991,1973,L
10,6.,Mark Teixeira (32),.9991,2012,R
11,12.,Casey Kotchman (27),.9990,2010,L
12,12.,Eddie Murray+ (25),.9990,1981,R
13,12.,Wes Parker (28),.9990,1968,L
14,15.,Hal Morris (27),.9989,1992,L
15,16.,Miguel Cabrera (34),.9988,2017,R
16,17.,Todd Helton (33),.9987,2007,L
17,18.,Todd Helton (27),.9986,2001,L
18,18.,Adam LaRoche (29),.9986,2009,L
19,20.,Casey Kotchman (25),.9985,2008,L
20,20.,Justin Smoak (30),.9985,2017,L
21,20.,Jim Spencer (28),.9985,1976,L
22,23.,Sean Casey (30),.9983,2005,R
23,23.,Adrian Gonzalez (34),.9983,2016,L
24,23.,Casey Kotchman (28),.9983,2011,L
25,26.,Steve Garvey (27),.9982,1976,R
26,26.,Joe Judge (36),.9982,1930,L
27,26.,Mitch Moreland (30),.9982,2016,L
28,26.,Lyle Overbay (32),.9982,2009,L
29,26.,Carlos Pena (30),.9982,2008,L
30,26.,Jim Spencer (33),.9982,1981,L
31,32.,Sean Casey (32),.9981,2007,R
32,32.,Todd Helton (39),.9981,2013,L
33,32.,Vic Power (29),.9981,1957,R
34,32.,Richie Sexson (32),.9981,2007,R
35,36.,Don Mattingly (33),.9980,1994,L
36,36.,Joe Mauer (34),.9980,2017,R
37,36.,John Olerud (35),.9980,2004,L
38,36.,Mark Teixeira (25),.9980,2005,R
39,40.,Adrian Gonzalez (30),.9979,2012,L
40,40.,Todd Helton (35),.9979,2009,L
41,40.,Paul Konerko (27),.9979,2003,R
42,43.,Freddie Freeman (30),.9978,2020,R
43,43.,Yuli Gurriel (36),.9978,2020,R
44,43.,Travis Lee (23),.9978,1998,L
45,43.,Travis Lee (31),.9978,2006,L
46,43.,Dave Magadan (27),.9978,1990,R
47,43.,Don Mattingly (32),.9978,1993,L
48,43.,Anthony Rizzo (27),.9978,2017,L
49,43.,Anthony Rizzo (30),.9978,2020,L
50,51.,Dan Driessen (30),.9977,1982,R
51,51.,Mark Grace (28),.9977,1992,L
52,51.,Travis Lee (28),.9977,2003,L
53,51.,Wil Myers (25),.9977,2016,R
54,51.,Matt Olson (26),.9977,2020,R
55,51.,Mark Teixeira (30),.9977,2010,R
56,57.,Paul Goldschmidt (32),.9976,2020,R
57,57.,Wally Joyner (33),.9976,1995,L
58,59.,Rico Brogna (25),.9975,1995,L
59,59.,Jimmie Foxx+ (27),.9975,1935,R
