,Rank,Player (age that year),Wild Pitches,Year,Throws
0,1.,Mark Baldwin (25),83,1889,R
1,2.,Tony Mullane (25),63,1884,R
2,2.,Bill Stemmyer (21),63,1886,R
3,4.,Mike Morrison (20),62,1887,R
4,5.,Matt Kilroy (20),61,1886,L
5,6.,Ed Seward (20),58,1887,R
6,7.,Jersey Bakley (20),56,1884,R
7,7.,Gus Weyhing (21),56,1888,R
8,9.,Ed Seward (21),54,1888,R
9,10.,Tony Mullane (27),53,1886,R
10,11.,Sam Kimber (31),52,1884,R
11,12.,Hardie Henderson (22),51,1885,R
12,12.,Mickey Welch+ (26),51,1886,R
13,14.,Hugh Daily (36),50,1884,R
14,15.,Gus Weyhing (20),49,1887,R
15,15.,Will White (24),49,1879,R
16,17.,John Harkins (25),48,1884,R
17,17.,Toad Ramsey (23),48,1888,L
18,19.,Bert Cunningham (22),47,1888,R
19,19.,John Harkins (26),47,1885,R
20,21.,Matt Kilroy (21),46,1887,L
21,21.,Jim McElroy (21),46,1884,
22,21.,Toad Ramsey (22),46,1887,L
23,21.,Jim Whitney (23),46,1881,R
24,25.,Hardie Henderson (21),45,1884,R
25,25.,Matt Kilroy (22),45,1888,L
26,27.,Al Mays (21),44,1886,R
27,28.,George Bradley (26),43,1879,R
28,28.,John Kirby (21),43,1886,R
29,28.,Bill Sweeney (26),43,1884,R
30,31.,Billy Serad (22),42,1884,R
31,31.,Bill Wise (23),42,1884,
32,33.,Mark Baldwin (23),41,1887,R
33,33.,Hardie Henderson (23),41,1886,R
34,35.,Al Atkinson (23),40,1884,R
35,35.,Jersey Bakley (24),40,1888,R
36,35.,Tommy Bond (28),40,1884,R
37,35.,James Burke,40,1884,
38,35.,Ed Daily (22),40,1885,R
39,35.,Egyptian Healy (19),40,1886,R
40,35.,Tim Keefe+ (29),40,1886,R
41,35.,Jack Lynch (29),40,1886,R
42,35.,Jumbo McGinnis (28),40,1882,
43,35.,Hank O'Day+ (24),40,1884,R
44,35.,Will White (23),40,1878,R
45,46.,Bob Barr (27),39,1884,R
46,46.,George Bradley (24),39,1877,R
47,46.,Egyptian Healy (20),39,1887,R
48,46.,Mickey Welch+ (24),39,1884,R
49,46.,Mickey Welch+ (25),39,1885,R
50,51.,Billy Serad (23),38,1885,R
51,52.,Tim Keefe+ (30),37,1887,R
52,52.,Terry Larkin (22),37,1878,R
53,52.,Cinders O'Brien (21),37,1888,R
54,52.,Park Swartzel (23),37,1889,R
55,52.,Gus Weyhing (22),37,1889,R
56,52.,Jim Whitney (25),37,1883,R
57,58.,Ed Crane (28),36,1890,R
58,58.,Frank Foreman (26),36,1889,R
59,58.,Henry Gruber (26),36,1890,R
60,58.,Silver King (21),36,1889,R
61,58.,Al Mays (22),36,1887,R
62,58.,Larry McKeon (18),36,1884,
63,58.,Ed Morris (22),36,1885,L
64,58.,Jack Neagle (25),36,1883,R
65,58.,Old Hoss Radbourn+ (28),36,1883,R
66,58.,Amos Rusie+ (19),36,1890,R
67,68.,Red Ehret (20),35,1889,R
68,68.,Bob Emslie (25),35,1884,R
69,68.,Tim Keefe+ (28),35,1885,R
70,68.,Cyclone Miller (26),35,1886,L
71,68.,Toad Ramsey (21),35,1886,L
72,68.,Will White (25),35,1880,R
73,68.,Stump Weidman (25),35,1886,R
74,75.,George Bradley (23),34,1876,R
75,75.,Blondie Purcell (25),34,1879,R
76,75.,Old Hoss Radbourn+ (29),34,1884,R
77,75.,Old Hoss Radbourn+ (30),34,1885,R
78,79.,Ed Bagley (20),33,1884,
79,79.,John Clarkson+ (26),33,1888,R
80,79.,Charlie Ferguson (21),33,1884,R
81,79.,Jack Lynch (28),33,1885,R
82,79.,Tony Mullane (23),33,1882,R
83,79.,Tip O'Neill (23),33,1883,R
84,79.,Adonis Terry (19),33,1884,R
85,86.,Hank Gastright (24),32,1889,R
86,86.,Hardie Henderson (20),32,1883,R
87,86.,Matt Kilroy (23),32,1889,L
88,86.,Doc Landis (27),32,1882,
89,86.,Frank Mountain (22),32,1882,R
90,86.,Dupee Shaw (26),32,1885,L
91,86.,Billy Taylor (29),32,1884,R
92,86.,John Ward+ (21),32,1881,R
93,86.,Jim Whitney (27),32,1885,R
94,95.,Ice Box Chamberlain (20),31,1888,R
95,95.,Ed Crane (30),31,1892,R
96,95.,Bert Cunningham (23),31,1889,R
97,95.,Ed Cushman (33),31,1885,L
98,95.,Pud Galvin+ (24),31,1881,R
99,95.,Hank Gastright (25),31,1890,R
100,95.,Bill Hart (20),31,1886,R
101,95.,Harry McCormick (23),31,1879,R
102,95.,Hank O'Day+ (27),31,1887,R
103,95.,Mike Smith (19),31,1887,L
104,105.,Red Ames (22),30,1905,R
105,105.,Bert Cunningham (24),30,1890,R
106,105.,Jack Lynch (27),30,1884,R
107,105.,Jim McCormick (22),30,1879,R
108,105.,Kid Nichols+ (20),30,1890,R
109,105.,Harry Staley (22),30,1889,R
110,105.,Tom Sullivan (28),30,1888,
111,105.,Adonis Terry (22),30,1887,R
112,113.,Al Atkinson (25),29,1886,R
113,113.,Joe Blong (23),29,1877,R
114,113.,Kid Carsey (18),29,1891,R
115,113.,Sam Moffet (27),29,1884,R
116,113.,Mike Morrison (23),29,1890,R
117,113.,Tony Mullane (34),29,1893,R
118,113.,Lee Richmond (23),29,1880,L
119,113.,Phenomenal Smith (23),29,1888,L
120,113.,Jack Stivetts (22),29,1890,R
121,113.,John Ward+ (19),29,1879,R
122,113.,Jim Whitney (24),29,1882,R
123,113.,Jim Whitney (28),29,1886,R
124,125.,Bob Barr (33),28,1890,R
125,125.,Charlie Buffinton (24),28,1885,R
126,125.,Jocko Flynn (22),28,1886,R
127,125.,Pud Galvin+ (26),28,1883,R
128,125.,Toad Ramsey (25),28,1890,L
129,125.,Jack Stivetts (23),28,1891,R
130,125.,Gus Weyhing (24),28,1891,R
131,132.,Tony Cloninger (25),27,1966,R
132,132.,Pete Conway (19),27,1886,R
133,132.,Larry Corcoran (21),27,1881,R
134,132.,Larry Corcoran (24),27,1884,R
135,132.,Chick Fraser (22),27,1896,R
136,132.,Guy Hecker (28),27,1884,R
137,132.,Ernie Hickman (28),27,1884,
138,132.,Bill Hutchison (30),27,1890,R
139,132.,Tim Keefe+ (26),27,1883,R
140,132.,Jumbo McGinnis (30),27,1884,
141,132.,Tony Mullane (28),27,1887,R
142,132.,Cinders O'Brien (22),27,1889,R
143,132.,Adonis Terry (25),27,1890,R
144,132.,Lee Viau (21),27,1888,R
145,132.,Mickey Welch+ (23),27,1883,R
146,147.,Larry Cheney (28),26,1914,R
147,147.,Dave Foutz (30),26,1887,R
148,147.,Juan Guzman (26),26,1993,R
149,147.,Tom Lee (22),26,1884,
150,147.,Bobby Mitchell (23),26,1879,L
151,147.,Tony Mullane (30),26,1889,R
152,147.,Lee Richmond (25),26,1882,L
153,147.,Amos Rusie+ (22),26,1893,R
154,147.,John Ward+ (18),26,1878,R
155,147.,Mickey Welch+ (20),26,1880,R
156,157.,Mark Baldwin (26),25,1890,R
157,157.,Charlie Buffinton (26),25,1887,R
158,157.,A.J. Burnett (34),25,2011,R
159,157.,Bob Caruthers (21),25,1885,R
160,157.,Dan Casey (23),25,1886,L
161,157.,John Clarkson+ (25),25,1887,R
162,157.,Jack Easton (25),25,1890,
163,157.,George Haddock (24),25,1891,R
164,157.,Art Hagan (20),25,1883,R
165,157.,Bill Hutchison (31),25,1891,R
166,157.,Jack Neagle (26),25,1884,R
167,157.,Henry Porter (27),25,1885,R
168,157.,Mike Smith (20),25,1888,L
169,157.,Fleury Sullivan (22),25,1884,
170,157.,Sam Weaver (22),25,1878,R
171,157.,Will White (28),25,1883,R
172,157.,Will White (30),25,1885,R
173,174.,Jersey Bakley (25),24,1889,R
174,174.,Mark Baldwin (27),24,1891,R
175,174.,Tommy Bond (24),24,1880,R
176,174.,Henry Boyle (24),24,1885,R
177,174.,Charlie Buffinton (23),24,1884,R
178,174.,Pud Galvin+ (23),24,1880,R
179,174.,Mike Golden (26),24,1878,R
180,174.,George Haddock (23),24,1890,R
181,174.,Egyptian Healy (23),24,1890,R
182,174.,Jim McCormick (24),24,1881,R
183,174.,Jumbo McGinnis (29),24,1883,
184,174.,Doc McJames (21),24,1896,R
185,174.,Sadie McMahon (22),24,1890,R
186,174.,Jack Morris+ (32),24,1987,R
187,174.,Tony Mullane (24),24,1883,R
188,174.,Tony Mullane (29),24,1888,R
189,174.,Kid Nichols+ (22),24,1892,R
190,174.,Henry Porter (30),24,1888,R
191,174.,Lee Richmond (24),24,1881,L
192,174.,Amos Rusie+ (21),24,1892,R
193,174.,John Schappert (28),24,1882,R
