,Rank,Player (age that year),Double Plays Turned as 2B,Year,Throws
0,1.,Bill Mazeroski+ (29),161,1966,R
1,2.,Jerry Priddy (30),150,1950,R
2,3.,Bill Mazeroski+ (24),144,1961,R
3,4.,Dave Cash (26),141,1974,R
4,4.,Nellie Fox+ (29),141,1957,R
5,6.,Carlos Baerga (23),138,1992,R
6,6.,Bill Mazeroski+ (25),138,1962,R
7,6.,Buddy Myer (31),138,1935,R
8,9.,Jerry Coleman (25),137,1950,R
9,9.,Jackie Robinson+ (32),137,1951,R
10,9.,Red Schoendienst+ (31),137,1954,R
11,12.,Robinson Cano (24),136,2007,R
12,12.,Bobby Richardson (25),136,1961,R
13,14.,Bobby Knoop (27),135,1966,R
14,14.,Cass Michaels (23),135,1949,R
15,14.,Fernando Vina (29),135,1998,R
16,17.,Bobby Doerr+ (31),134,1949,R
17,18.,Harold Reynolds (30),133,1991,R
18,18.,Jackie Robinson+ (31),133,1950,R
19,20.,Bobby Doerr+ (25),132,1943,R
20,20.,Bobby Grich (25),132,1974,R
21,20.,Jerry Priddy (28),132,1948,R
22,20.,Jonathan Schoop (25),132,2017,R
23,24.,Bill Mazeroski+ (26),131,1963,R
24,24.,Bill Mazeroski+ (30),131,1967,R
25,26.,Ronnie Belliard (25),130,2000,R
26,26.,Bobby Doerr+ (32),130,1950,R
27,26.,Bobby Grich (24),130,1973,R
28,26.,Tommy Helms (30),130,1971,R
29,30.,Bobby Doerr+ (28),129,1946,R
30,30.,Aaron Hill (27),129,2009,R
31,30.,Rougned Odor (22),129,2016,R
32,30.,Rougned Odor (23),129,2017,R
33,34.,Don Blasingame (25),128,1957,R
34,34.,Tony Cuccinello (23),128,1931,R
35,34.,Tony Cuccinello (28),128,1936,R
36,34.,Ray Durham (26),128,1998,R
37,34.,Jim Gantner (30),128,1983,R
38,34.,Willie Randolph (24),128,1979,R
39,34.,Eddie Stanky (34),128,1950,R
40,41.,Glenn Hubbard (27),127,1985,R
41,41.,Bill Mazeroski+ (23),127,1960,R
42,41.,Cass Michaels (24),127,1950,R
43,41.,Bobby Young (27),127,1952,R
44,45.,Dave Cash (27),126,1975,R
45,45.,Ray Durham (28),126,2000,R
46,45.,Nellie Fox+ (32),126,1960,R
47,45.,Freddie Maguire (29),126,1928,R
48,45.,Ryne Sandberg+ (23),126,1983,R
49,50.,Hughie Critz (27),124,1928,R
50,50.,Nellie Fox+ (28),124,1956,R
51,50.,Bob Randall (28),124,1976,R
