,Rank,Player (age that year),Range Factor/9Inn as LF (s.1948),Year,Throws
66,67.,Carl Crawford (23),2.483,2005,L
67,68.,Gene Woodling (27),2.482,1950,R
68,69.,Al Spangler (26),2.481,1960,L
69,70.,Joe Carter (25),2.479,1985,R
70,71.,Joe Adcock (24),2.478,1952,R
71,72.,Bernard Gilkey (25),2.477,1992,R
72,72.,Tom Paciorek (34),2.477,1981,R
73,72.,Gus Zernial (28),2.477,1951,R
74,75.,Greg Vaughn (25),2.474,1991,R
75,76.,Gary Ward (28),2.469,1982,R
76,77.,Willie Wilson (22),2.468,1978,R
77,78.,Steve Kemp (25),2.467,1980,L
78,78.,Gerardo Parra (24),2.467,2011,L
79,80.,Lee Lacy (32),2.466,1980,R
80,81.,Tony Phillips (37),2.458,1996,R
81,81.,Pat Sheridan (30),2.458,1988,R
82,83.,Hoot Evers (29),2.457,1950,R
83,84.,Garret Anderson (31),2.451,2003,L
84,84.,Bobby Higginson (30),2.451,2001,R
85,86.,Irv Noren (30),2.448,1955,L
86,87.,Ralph Kiner+ (25),2.441,1948,R
87,88.,Barry Bonds (25),2.437,1990,L
88,89.,Jim Edmonds (24),2.436,1994,L
89,89.,Jim Rice+ (30),2.436,1983,R
90,91.,Rickey Henderson+ (33),2.433,1992,L
91,92.,Bob Cerv (33),2.432,1958,R
92,93.,Garret Anderson (23),2.430,1995,L
93,93.,Stan Musial+ (30),2.430,1951,L
94,95.,George Foster (26),2.428,1975,R
95,95.,Darryl Motley (24),2.428,1984,R
96,97.,Warren Cromartie (24),2.427,1978,L
97,97.,Jim Delsing (28),2.427,1954,R
98,99.,Rufino Linares (30),2.424,1981,R
99,100.,Rondell White (28),2.421,2000,R
100,101.,Ken Griffey (35),2.420,1985,L
101,101.,Whitey Lockman (23),2.420,1950,R
102,103.,Mike Aldrete (27),2.417,1988,L
103,104.,Del Ennis (24),2.412,1949,R
104,105.,Brian Hunter (28),2.411,1999,R
105,105.,Steve Kemp (26),2.411,1981,L
106,107.,Sid Gordon (32),2.407,1950,R
107,107.,Jim Pendleton (29),2.407,1953,R
108,107.,Al Smith (31),2.407,1959,R
109,110.,Ben Oglivie (33),2.406,1982,L
110,111.,Mike Easler (30),2.405,1981,R
111,111.,John Lowenstein (33),2.405,1980,R
112,113.,Joe Orsulak (29),2.404,1991,L
113,113.,Dick Sisler (30),2.404,1951,R
114,113.,Roy White (32),2.404,1976,R
115,116.,Greg Vaughn (27),2.402,1993,R
116,117.,Marty Cordova (28),2.401,1998,R
117,117.,Rickey Henderson+ (30),2.401,1989,L
118,119.,Eric Byrnes (29),2.399,2005,R
119,120.,Larry Herndon (27),2.398,1981,R
120,121.,Dan Gladden (29),2.397,1987,R
121,122.,David Lough (28),2.395,2014,L
122,123.,Albert Belle (26),2.392,1993,R
123,124.,Dan Gladden (32),2.391,1990,R
124,125.,Willie Harris (30),2.386,2008,R
125,125.,Don Lenhardt (28),2.386,1951,R
126,127.,Albert Belle (30),2.383,1997,R
127,127.,Carmelo Martinez (23),2.383,1984,R
