,Rank,Player (age that year),Def. Games as 2B,Year,Throws
0,1.,Bill Mazeroski+ (30),163,1967,R
1,2.,Craig Biggio+ (30),162,1996,R
2,2.,Dave Cash (26),162,1974,R
3,2.,Dave Cash (27),162,1975,R
4,2.,Bill Doran (29),162,1987,R
5,2.,Bobby Grich (24),162,1973,R
6,2.,Bill Mazeroski+ (27),162,1964,R
7,2.,Bill Mazeroski+ (29),162,1966,R
8,2.,Felix Millan (25),162,1969,R
9,2.,Felix Millan (31),162,1975,R
10,2.,Johnny Ray (25),162,1982,R
11,2.,Pete Rose (24),162,1965,R
12,2.,Jonathan Schoop (24),162,2016,R
13,2.,Jake Wood (24),162,1961,R
14,15.,Craig Biggio+ (26),161,1992,R
15,15.,Robinson Cano (26),161,2009,R
16,15.,Chone Figgins (32),161,2010,R
17,15.,Chuck Hiller (27),161,1962,R
18,15.,Julian Javier (26),161,1963,R
19,15.,Bobby Knoop (25),161,1964,R
20,15.,Bobby Knoop (27),161,1966,R
21,15.,Jim Morrison (27),161,1980,R
22,15.,Bobby Richardson (25),161,1961,R
23,15.,Bobby Richardson (26),161,1962,R
24,25.,Roberto Alomar+ (23),160,1991,R
25,25.,Carlos Baerga (23),160,1992,R
26,25.,Craig Biggio+ (31),160,1997,R
27,25.,Tito Fuentes (29),160,1973,R
28,25.,Pedro Garcia (23),160,1973,R
29,25.,Phil Garner (26),160,1975,R
30,25.,Bobby Grich (25),160,1974,R
31,25.,Aaron Hill (25),160,2007,R
32,25.,Ian Kinsler (32),160,2014,R
33,25.,Billy Moran (28),160,1962,R
34,25.,Dustin Pedroia (29),160,2013,R
35,25.,Harold Reynolds (26),160,1987,R
36,25.,Harold Reynolds (29),160,1990,R
37,25.,Juan Samuel (23),160,1984,R
38,25.,Juan Samuel (26),160,1987,R
39,25.,Lou Whitaker (26),160,1983,R
40,41.,Craig Biggio+ (32),159,1998,R
41,41.,Robinson Cano (24),159,2007,R
42,41.,Robinson Cano (25),159,2008,R
43,41.,Dave Cash (30),159,1978,R
44,41.,Nellie Fox+ (33),159,1961,R
45,41.,Phil Garner (27),159,1976,R
46,41.,Ken Hubbs (20),159,1962,R
47,41.,Bobby Knoop (28),159,1967,R
48,41.,Mike Lansing (28),159,1996,R
49,41.,Bill Mazeroski+ (25),159,1962,R
50,41.,Dustin Pedroia (27),159,2011,R
51,41.,Harold Reynolds (30),159,1991,R
52,41.,Juan Samuel (24),159,1985,R
53,41.,Jonathan Schoop (25),159,2017,R
54,41.,Dan Uggla (31),159,2011,R
55,41.,Chase Utley (29),159,2008,R
56,41.,Neil Walker (25),159,2011,R
57,41.,Rickie Weeks (27),159,2010,R
58,41.,Michael Young (26),159,2003,R
59,60.,Ozzie Albies (22),158,2019,R
60,60.,Edgardo Alfonzo (25),158,1999,R
61,60.,Bernie Allen (23),158,1962,R
62,60.,Marty Barrett (28),158,1986,R
63,60.,Bret Boone (34),158,2003,R
64,60.,Robinson Cano (27),158,2010,R
65,60.,Dave Cash (28),158,1976,R
66,60.,Ray Durham (26),158,1998,R
67,60.,Danny Espinosa (24),158,2011,R
68,60.,Jim Gantner (30),158,1983,R
69,60.,Tom Herr (29),158,1985,R
70,60.,Hal Lanier (22),158,1965,R
71,60.,Jerry Lumpe (31),158,1964,R
72,60.,Rougned Odor (23),158,2017,R
73,60.,Del Pratt (27),158,1915,R
74,60.,Del Pratt (28),158,1916,R
75,60.,Harold Reynolds (27),158,1988,R
76,60.,Bobby Richardson (29),158,1965,R
77,60.,Brian Roberts (31),158,2009,R
78,60.,Steve Sax (28),158,1988,R
79,60.,Steve Sax (29),158,1989,R
80,60.,Chuck Schilling (23),158,1961,R
81,60.,Dan Uggla (27),158,2007,R
82,60.,Dan Uggla (29),158,2009,R
83,60.,Dan Uggla (30),158,2010,R
84,60.,Fernando Vina (29),158,1998,R
85,86.,Jerry Adair (28),157,1965,R
86,86.,Ozzie Albies (21),157,2018,R
87,86.,Roberto Alomar+ (21),157,1989,R
88,86.,Roberto Alomar+ (33),157,2001,R
89,86.,Robinson Cano (28),157,2011,R
90,86.,Robinson Cano (33),157,2016,R
91,86.,Horace Clarke (31),157,1970,R
92,86.,Julio Cruz (28),157,1983,R
93,86.,Brian Dozier (28),157,2015,R
94,86.,Cesar Hernandez (29),157,2019,R
95,86.,Orlando Hudson (28),157,2006,R
96,86.,Joe Morgan+ (21),157,1965,R
97,86.,Joe Morgan+ (27),157,1971,R
98,86.,Dustin Pedroia (24),157,2008,R
99,86.,Jerry Priddy (30),157,1950,R
100,86.,Morrie Rath (24),157,1912,R
101,86.,Bobby Richardson (28),157,1964,R
102,86.,Pete Rose (22),157,1963,R
103,86.,Ryne Sandberg+ (23),157,1983,R
104,86.,Ryne Sandberg+ (31),157,1991,R
105,86.,Ryne Sandberg+ (32),157,1992,R
106,86.,Rennie Stennett (25),157,1976,R
107,86.,Tim Teufel (25),157,1984,R
108,86.,Alan Wiggins (26),157,1984,R
109,110.,Roberto Alomar+ (31),156,1999,R
110,110.,Sandy Alomar (25),156,1969,R
111,110.,Jose Altuve (24),156,2014,R
112,110.,Bret Boone (29),156,1998,R
