,Rank,Player (age that year),Offensive Win %,Year,Bats
389,388.,Joe Kelley+ (24),.791,1896,R
390,388.,Bill Lange (24),.791,1895,R
391,388.,Sherry Magee (29),.791,1914,R
392,388.,Joe Mauer (26),.791,2009,L
393,388.,Willie McCovey+ (28),.791,1966,L
394,388.,Albert Pujols (26),.791,2006,R
395,388.,Ron Santo+ (24),.791,1964,R
396,388.,Frank Thomas+ (25),.791,1993,R
397,398.,Barry Bonds (32),.790,1997,L
398,398.,Dolph Camilli (29),.790,1936,L
399,398.,Ty Cobb+ (34),.790,1921,L
400,398.,Jack Fournier (25),.790,1915,L
401,398.,Bill Joyce (26),.790,1894,L
402,398.,John Reilly (29),.790,1888,R
403,398.,Frank Robinson+ (33),.790,1969,R
404,398.,George Sisler+ (24),.790,1917,L
405,398.,Frank Thomas+ (24),.790,1992,R
406,398.,Larry Walker+ (35),.790,2002,L
407,398.,Paul Waner+ (25),.790,1928,L
408,409.,Lance Berkman (25),.789,2001,B
409,409.,Eddie Collins+ (26),.789,1913,L
410,409.,Sam Crawford+ (27),.789,1907,L
411,409.,Joe DiMaggio+ (25),.789,1940,R
412,409.,Elmer Flick+ (29),.789,1905,L
413,409.,Doc Gessler (27),.789,1908,L
414,409.,Bob Johnson (38),.789,1944,R
415,409.,John Mayberry (26),.789,1975,L
416,409.,Mark McGwire (35),.789,1999,R
417,409.,Honus Wagner+ (37),.789,1911,R
418,419.,Pete Browning (23),.788,1884,R
419,419.,Roger Connor+ (32),.788,1890,B
420,419.,Gavvy Cravath (33),.788,1914,R
421,419.,Birdie Cree (28),.788,1911,R
422,419.,Frank Fennelly (24),.788,1884,R
423,419.,Todd Helton (28),.788,2002,L
424,419.,Shoeless Joe Jackson (31),.788,1919,L
425,419.,Joe Morgan+ (30),.788,1974,L
426,419.,Rico Petrocelli (26),.788,1969,R
427,419.,Albert Pujols (25),.788,2005,R
428,419.,Alex Rodriguez (31),.788,2007,R
429,419.,Honus Wagner+ (27),.788,1901,R
430,431.,Jesse Burkett+ (26),.787,1895,L
431,431.,Frank Chance+ (29),.787,1906,R
432,431.,Fred Clarke+ (24),.787,1897,L
433,431.,Roger Connor+ (24),.787,1882,B
434,431.,Dwight Evans (29),.787,1981,R
435,431.,Harry Heilmann+ (30),.787,1925,R
436,431.,Heinie Manush+ (26),.787,1928,L
437,431.,Al Simmons+ (27),.787,1929,R
438,431.,Tommy Tucker (25),.787,1889,B
439,440.,Pete Browning (29),.786,1890,R
