,Rank,Player (age that year),Assists as 1B,Year,Throws
0,1.,Albert Pujols (29),185,2009,R
1,2.,Bill Buckner (35),184,1985,L
2,3.,Mark Grace (26),180,1990,L
3,4.,Joey Votto (27),173,2011,R
4,5.,Mark Grace (27),167,1991,L
5,6.,Sid Bream (25),166,1986,L
6,7.,Albert Pujols (31),165,2011,R
7,7.,Joey Votto (33),165,2017,R
8,9.,Bill Buckner (33),161,1983,L
9,10.,Bill Buckner (32),159,1982,L
10,11.,Bill Buckner (36),157,1986,L
11,11.,Albert Pujols (30),157,2010,R
12,13.,Todd Helton (29),156,2003,L
13,14.,Lyle Overbay (31),155,2008,L
14,14.,Mickey Vernon (31),155,1949,L
15,16.,Joey Votto (29),154,2013,R
16,17.,Eddie Murray+ (29),152,1985,R
17,17.,Fred Tenney (33),152,1905,L
18,19.,Ferris Fain (31),150,1952,L
19,19.,Anthony Rizzo (27),150,2017,L
20,21.,Todd Helton (26),149,2000,L
21,21.,Keith Hernandez (32),149,1986,L
22,21.,Keith Hernandez (33),149,1987,L
23,21.,Anthony Rizzo (23),149,2013,L
24,21.,Rudy York (29),149,1943,R
25,26.,Keith Hernandez (29),147,1983,L
26,26.,Eric Karros (25),147,1993,R
27,26.,Jeff King (32),147,1997,R
28,26.,Rafael Palmeiro (28),147,1993,L
29,26.,Anthony Rizzo (28),147,2018,L
30,31.,Todd Helton (24),146,1998,L
31,31.,Keith Hernandez (25),146,1979,L
32,31.,Pete O'Brien (29),146,1987,L
33,31.,Rudy York (28),146,1942,R
34,35.,Wally Joyner (31),145,1993,L
35,35.,Eddie Murray+ (31),145,1987,R
36,35.,Vic Power (32),145,1960,R
37,38.,Todd Helton (30),144,2004,L
38,39.,Jeff Bagwell+ (33),143,2001,R
39,39.,Chick Gandil (26),143,1914,R
40,39.,Wally Joyner (26),143,1988,L
41,39.,Eddie Murray+ (28),143,1984,R
42,39.,Rafael Palmeiro (27),143,1992,L
43,44.,Keith Hernandez (30),142,1984,L
44,44.,Vic Power (33),142,1961,R
45,44.,Joey Votto (34),142,2018,R
46,47.,Rico Brogna (28),141,1998,L
47,47.,Mark Grace (28),141,1992,L
48,49.,Sid Bream (27),140,1988,L
49,49.,Jiggs Donahue (27),140,1907,L
50,49.,Adrian Gonzalez (25),140,2007,L
51,49.,Pete O'Brien (30),140,1988,L
52,49.,George Sisler+ (27),140,1920,L
53,54.,Roy Cullenbine (33),139,1947,R
54,54.,Keith Hernandez (31),139,1985,L
55,54.,Wally Joyner (24),139,1986,L
56,54.,Joey Votto (31),139,2015,R
57,54.,Christian Walker (28),139,2019,R
58,59.,Chris Chambliss (33),138,1982,R
59,59.,Eric Karros (32),138,2000,R
60,59.,Mickey Rocco (28),138,1944,L
61,62.,Jeff Bagwell+ (29),137,1997,R
62,62.,Adrian Gonzalez (30),137,2012,L
63,62.,Ron Jackson (26),137,1979,R
64,62.,Wally Joyner (30),137,1992,L
65,62.,Eddie Murray+ (33),137,1989,R
66,62.,Carlos Quintana (24),137,1990,R
67,62.,Bill Terry+ (33),137,1932,L
68,69.,Jeff Bagwell+ (28),136,1996,R
69,69.,Adrian Gonzalez (27),136,2009,L
70,69.,Joey Votto (24),136,2008,R
71,72.,Keith Hernandez (28),135,1982,L
72,72.,Frank McCormick (33),135,1944,R
73,72.,Albert Pujols (28),135,2008,R
74,72.,Dick Siebert (33),135,1945,L
75,76.,Willie McCovey+ (32),134,1970,L
76,76.,Vic Power (34),134,1962,R
77,76.,Dick Stuart (30),134,1963,R
78,79.,Jeff Bagwell+ (24),133,1992,R
79,80.,Ernie Banks+ (33),132,1964,R
80,80.,Jake Beckley+ (24),132,1892,L
81,80.,Lance Berkman (32),132,2008,L
82,80.,Gil Hodges (30),132,1954,R
83,80.,John Olerud (31),132,2000,L
