,Rank,Player (age that year),Assists as P,Year,Throws
0,1.,Ed Walsh+ (26),227,1907,R
1,2.,Will White (27),223,1882,R
2,3.,Ed Walsh+ (27),190,1908,R
3,4.,Harry Howell (28),178,1905,R
4,5.,Tony Mullane (23),177,1882,R
5,6.,John Clarkson+ (23),174,1885,R
6,7.,John Clarkson+ (27),172,1889,R
7,8.,Jack Chesbro+ (30),166,1904,R
8,9.,George Mullin (23),163,1904,R
9,10.,Ed Walsh+ (30),159,1911,R
10,11.,Matt Kilroy (21),157,1887,L
11,12.,Bill Hutchison (32),156,1892,R
12,13.,Pud Galvin+ (27),154,1884,R
13,13.,Frank Smith (29),154,1909,R
14,13.,Ed Walsh+ (29),154,1910,R
15,16.,Guy Hecker (28),145,1884,R
16,16.,Cy Young+ (29),145,1896,R
17,18.,Tommy Bond (23),144,1879,R
18,18.,Jack Taylor (25),144,1898,R
19,20.,Harry Howell (27),143,1904,R
20,20.,Addie Joss+ (27),143,1907,R
21,20.,Tony Mullane (25),143,1884,R
22,23.,Tim Keefe+ (26),142,1883,R
23,24.,Tommy Bond (24),141,1880,R
24,24.,Pud Galvin+ (22),141,1879,R
25,24.,Christy Mathewson+ (27),141,1908,R
26,24.,Sadie McMahon (23),141,1891,R
27,28.,Ed Walsh+ (31),140,1912,R
28,29.,Mark Baldwin (26),139,1890,R
29,29.,Silver King (22),139,1890,R
30,29.,Sadie McMahon (22),139,1890,R
31,29.,Old Hoss Radbourn+ (28),139,1883,R
32,33.,Hooks Dauss (25),137,1915,R
33,33.,Claude Hendrix (25),137,1914,R
34,35.,Jim McCormick (23),135,1880,R
35,36.,George Mullin (24),134,1905,R
36,36.,Amos Rusie+ (21),134,1892,R
37,36.,John Ward+ (19),134,1879,R
38,39.,George Mullin (26),133,1907,R
39,39.,Henry Porter (30),133,1888,R
40,39.,Bill Sweeney (26),133,1884,R
41,39.,John Ward+ (20),133,1880,R
42,43.,George Bradley (26),132,1879,R
43,43.,Larry Corcoran (24),132,1884,R
44,45.,Nick Altrock (28),130,1905,L
45,45.,Red Donahue (29),130,1902,R
46,45.,Frank Owen (24),130,1904,R
47,48.,Matt Kilroy (23),129,1889,L
48,48.,Amos Rusie+ (19),129,1890,R
49,50.,Bill Hutchison (30),128,1890,R
50,50.,Elmer Stricklett (29),128,1906,R
51,50.,Sam Weaver (26),128,1882,R
52,50.,Jim Whitney (27),128,1885,R
53,54.,Pud Galvin+ (26),127,1883,R
54,54.,Joe McGinnity+ (33),127,1904,R
55,56.,John Clarkson+ (25),125,1887,R
56,56.,Harry Howell (30),125,1907,R
57,56.,Ed Seward (21),125,1888,R
58,59.,Larry McKeon (18),124,1884,
59,60.,Harry Coveleski (28),123,1914,L
60,60.,Pud Galvin+ (24),123,1881,R
61,60.,Pud Galvin+ (30),123,1887,R
62,60.,Charlie Sweeney (21),123,1884,R
63,64.,Charlie Buffinton (27),122,1888,R
64,64.,Larry Corcoran (20),122,1880,R
65,64.,Carl Mays (26),122,1918,R
66,64.,Cy Young+ (25),122,1892,R
67,64.,Cy Young+ (31),122,1898,R
68,69.,Nick Cullop (27),121,1915,L
69,69.,Frank Killen (21),121,1892,L
70,69.,Al Mays (22),121,1887,R
71,69.,Gene Packard (26),121,1914,L
72,73.,Pete Alexander+ (28),120,1915,R
73,73.,Kid Carsey (18),120,1891,R
74,73.,Frank Owen (25),120,1905,R
75,73.,Ed Scott (29),120,1900,R
76,73.,Park Swartzel (23),120,1889,R
77,73.,Cy Young+ (28),120,1895,R
78,79.,Harry Coveleski (30),119,1916,L
79,79.,Silver King (20),119,1888,R
80,79.,Phil Knell (26),119,1891,L
81,79.,Jim McCormick (22),119,1879,R
82,79.,Old Hoss Radbourn+ (29),119,1884,R
83,84.,Charlie Buffinton (23),118,1884,R
84,84.,Charlie Buffinton (24),118,1885,R
85,84.,John Coleman (20),118,1883,R
86,84.,Carl Mays (25),118,1917,R
87,88.,Tommy Bond (22),117,1878,R
88,88.,Charlie Buffinton (30),117,1891,R
89,88.,John Clarkson+ (26),117,1888,R
90,88.,Ned Garvin (29),117,1903,R
91,88.,Carl Mays (24),117,1916,R
92,88.,Carl Mays (34),117,1926,R
93,88.,Jim McCormick (27),117,1884,R
94,88.,Billy Taylor (29),117,1884,R
95,88.,Vic Willis+ (30),117,1906,R
96,88.,Cy Young+ (32),117,1899,R
97,98.,George Haddock (24),116,1891,R
98,98.,Matt Kilroy (20),116,1886,L
99,98.,Christy Mathewson+ (23),116,1904,R
100,98.,Christy Mathewson+ (24),116,1905,R
101,98.,Doc White (29),116,1908,L
102,103.,Weldon Henley (23),115,1904,R
103,103.,Frank Killen (25),115,1896,L
104,103.,Old Hoss Radbourn+ (30),115,1885,R
105,103.,Vic Willis+ (29),115,1905,R
106,103.,Irv Young (27),115,1905,L
107,108.,Nick Altrock (27),114,1904,L
108,108.,Jersey Bakley (24),114,1888,R
109,108.,John Clarkson+ (24),114,1886,R
110,108.,John Clarkson+ (29),114,1891,R
111,108.,Hooks Dauss (30),114,1920,R
112,108.,Christy Mathewson+ (29),114,1910,R
113,108.,Gene Packard (27),114,1915,L
114,108.,Togie Pittinger (32),114,1904,R
115,108.,Amos Rusie+ (22),114,1893,R
116,108.,Dupee Shaw (25),114,1884,L
117,108.,Willie Sudhoff (23),114,1898,R
118,108.,George Suggs (31),114,1914,R
119,108.,Will White (24),114,1879,R
120,121.,Cy Falkenberg (34),113,1914,R
121,121.,Pud Galvin+ (31),113,1888,R
122,121.,George Mullin (25),113,1906,R
123,121.,Dick Rudolph (28),113,1916,R
124,121.,Amos Rusie+ (23),113,1894,R
125,121.,Ed Willett (26),113,1910,R
126,121.,Ed Willett (28),113,1912,R
127,128.,Joe Benz (28),112,1914,R
128,128.,Roscoe Miller (24),112,1901,R
129,128.,Cy Seymour (25),112,1898,L
130,128.,Elmer Stricklett (28),112,1905,R
131,128.,Cy Young+ (26),112,1893,R
132,133.,Bob Barr (33),111,1890,R
133,133.,Harry Howell (29),111,1906,R
134,133.,Casey Patten (30),111,1904,L
135,133.,Jack Quinn (26),111,1910,R
136,133.,Scott Stratton (20),111,1890,R
137,138.,Eddie Cicotte (30),110,1914,R
138,138.,Jim Devlin (28),110,1877,R
139,138.,Pink Hawley (22),110,1895,R
140,138.,Frank Owen (26),110,1906,R
141,138.,Jack Stivetts (23),110,1891,R
142,138.,Vic Willis+ (28),110,1904,R
143,138.,Smoky Joe Wood (22),110,1912,R
144,145.,Eddie Cicotte (29),109,1913,R
145,145.,Harry Coveleski (29),109,1915,L
146,145.,Clark Griffith+ (29),109,1899,R
147,145.,Henry Gruber (26),109,1890,R
148,145.,Addie Joss+ (28),109,1908,R
149,145.,Brickyard Kennedy (25),109,1893,R
150,145.,Eddie Rommel (25),109,1923,R
151,145.,Henry Schmidt (30),109,1903,R
152,145.,Frank Smith (27),109,1907,R
153,145.,Jack Taylor (30),109,1904,R
154,145.,Kaiser Wilhelm (31),109,1908,R
155,156.,Pete Alexander+ (30),108,1917,R
156,156.,Stan Coveleski+ (31),108,1921,R
157,156.,Bill Doak (24),108,1915,R
158,156.,Pink Hawley (23),108,1896,R
159,156.,Brickyard Kennedy (30),108,1898,R
160,156.,Christy Mathewson+ (20),108,1901,R
161,156.,George Mullin (22),108,1903,R
162,156.,Bugs Raymond (26),108,1908,R
163,156.,Ed Walsh+ (25),108,1906,R
164,156.,Cy Young+ (27),108,1894,R
165,156.,Irv Young (28),108,1906,L
166,167.,Jean Dubuc (24),107,1913,R
167,167.,Patsy Flaherty (27),107,1903,L
168,167.,Addie Joss+ (23),107,1903,R
169,167.,Addie Joss+ (25),107,1905,R
170,167.,Tim Keefe+ (29),107,1886,R
171,167.,Christy Mathewson+ (30),107,1911,R
172,167.,Old Hoss Radbourn+ (31),107,1886,R
173,167.,Nap Rucker (23),107,1908,L
174,167.,Jesse Tannehill (29),107,1904,L
175,167.,Jack Taylor (23),107,1896,R
176,167.,Lefty Tyler (23),107,1913,L
177,167.,Jim Whitney (28),107,1886,R
178,179.,Jimmy Callahan (28),106,1902,R
179,179.,Bert Cunningham (22),106,1888,R
180,179.,Nig Cuppy (26),106,1896,R
181,179.,Hugh Daily (36),106,1884,R
182,179.,Burleigh Grimes+ (34),106,1928,R
183,179.,Bill Hart (30),106,1896,R
184,179.,Addie Joss+ (22),106,1902,R
185,179.,Carl Mays (28),106,1920,R
186,179.,Chappie McFarland (29),106,1904,R
187,179.,Ed Morris (25),106,1888,L
188,179.,Elmer Myers (22),106,1916,R
189,179.,Amos Rusie+ (20),106,1891,R
190,179.,Jack Taylor (28),106,1902,R
191,179.,Will White (28),106,1883,R
192,179.,Stump Weidman (25),106,1886,R
193,194.,Pete Alexander+ (33),105,1920,R
194,194.,Lady Baldwin (27),105,1886,L
195,194.,Patsy Flaherty (28),105,1904,L
196,194.,Bill James (27),105,1914,R
197,194.,Erskine Mayer (24),105,1914,R
