,Rank,Player (age that year),Double Plays Turned as SS,Year,Throws
0,1.,Rick Burleson (29),147,1980,R
1,2.,Roy Smalley (26),144,1979,R
2,3.,Bobby Wine (31),137,1970,R
3,4.,Lou Boudreau+ (26),134,1944,R
4,5.,Spike Owen (25),133,1986,R
5,6.,Mike Bordick (33),132,1999,R
6,7.,Rafael Ramirez (24),130,1982,R
7,7.,Rey Sanchez (33),130,2001,R
8,9.,Roy McMillan (24),129,1954,R
9,9.,Jack Wilson (26),129,2004,R
10,11.,Gene Alley (25),128,1966,R
11,11.,Hod Ford (30),128,1928,R
12,11.,Vern Stephens (28),128,1949,R
13,14.,Dick Groat (27),127,1958,R
14,14.,Neifi Perez (25),127,1998,R
15,14.,Zoilo Versalles (22),127,1962,R
16,17.,Leo Cardenas (30),126,1969,R
17,17.,Alfredo Griffin (22),126,1980,R
18,17.,Dick Groat (31),126,1962,R
19,17.,Eddie Joost (33),126,1949,R
20,17.,Johnny Lipon (27),126,1950,R
21,17.,Andrelton Simmons (25),126,2015,R
22,17.,Jack Wilson (27),126,2005,R
23,24.,Jim Fregosi (24),125,1966,R
24,24.,Dick Schofield (25),125,1988,R
25,26.,Alfredo Griffin (21),124,1979,R
26,26.,Neifi Perez (26),124,1999,R
27,28.,David Eckstein (30),123,2005,R
28,28.,Cal Ripken Jr.+ (24),123,1985,R
29,28.,Phil Rizzuto+ (32),123,1950,R
30,28.,Alex Rodriguez (24),123,2000,R
31,32.,Lou Boudreau+ (25),122,1943,R
32,32.,Alex Gonzalez (23),122,1996,R
33,32.,Eddie Miller (23),122,1940,R
34,32.,Cal Ripken Jr.+ (23),122,1984,R
35,36.,Mike Bordick (30),121,1996,R
36,36.,Eddie Miller (26),121,1943,R
37,36.,Roy Smalley (25),121,1978,R
38,39.,Lou Boudreau+ (29),120,1947,R
39,39.,Frankie Crosetti (27),120,1938,R
40,39.,Alex Gonzalez (28),120,2001,R
41,39.,Neifi Perez (27),120,2000,R
42,43.,Luke Appling+ (29),119,1936,R
43,43.,Lou Boudreau+ (30),119,1948,R
44,43.,Paul DeJong (25),119,2019,R
45,43.,Rafael Furcal (27),119,2005,R
46,43.,Alexei Ramírez (32),119,2014,R
47,43.,Cal Ripken Jr.+ (27),119,1988,R
48,43.,Cal Ripken Jr.+ (28),119,1989,R
49,43.,Cal Ripken Jr.+ (31),119,1992,R
50,51.,Frankie Crosetti (28),118,1939,R
51,51.,Phil Rizzuto+ (31),118,1949,R
52,51.,Alex Rodriguez (25),118,2001,R
53,51.,Miguel Tejada (30),118,2004,R
54,51.,Juan Uribe (23),118,2002,R
55,56.,Luis Aparicio+ (26),117,1960,R
56,56.,Rafael Furcal (28),117,2006,R
57,56.,Dick Groat (30),117,1961,R
58,56.,Eddie Joost (34),117,1950,R
59,56.,Jose Valentin (30),117,2000,R
60,61.,Lou Boudreau+ (22),116,1940,R
61,61.,Deivi Cruz (27),116,2000,R
62,61.,Al Dark (30),116,1952,R
63,61.,Julio Franco (25),116,1984,R
64,61.,Alex Gonzalez (33),116,2010,R
65,61.,Rafael Ramirez (25),116,1983,R
66,61.,Phil Rizzuto+ (34),116,1952,R
67,61.,Billy Rogell (28),116,1933,R
68,61.,Roy Smalley (24),116,1977,R
69,70.,Luke Appling+ (36),115,1943,R
70,70.,Ozzie Guillen (24),115,1988,R
71,70.,Eddie Joost (32),115,1948,R
72,70.,Eddie Joost (35),115,1951,R
73,70.,Freddie Patek (28),115,1973,R
74,70.,Rafael Ramirez (27),115,1985,R
75,70.,Roy Smalley (24),115,1950,R
76,70.,Vern Stephens (29),115,1950,R
77,70.,Miguel Tejada (26),115,2000,R
78,79.,Elvis Andrus (26),114,2015,R
79,79.,Al Dark (29),114,1951,R
80,79.,Alvaro Espinoza (27),114,1989,R
81,79.,Roy McMillan (23),114,1953,R
82,79.,Cal Ripken Jr.+ (30),114,1991,R
83,79.,Phil Rizzuto+ (24),114,1942,R
84,79.,Andrelton Simmons (28),114,2018,R
85,79.,Dickie Thon (25),114,1983,R
86,79.,Troy Tulowitzki (22),114,2007,R
87,88.,Chico Carrasquel (24),113,1950,R
88,88.,Alvaro Espinoza (29),113,1991,R
89,88.,Nomar Garciaparra (23),113,1997,R
90,88.,J.J. Hardy (29),113,2012,R
91,88.,Freddie Patek (27),113,1972,R
92,88.,Cal Ripken Jr.+ (22),113,1983,R
93,88.,Phil Rizzuto+ (33),113,1951,R
94,88.,Ozzie Smith+ (25),113,1980,R
95,88.,Vern Stephens (26),113,1947,R
96,88.,Vern Stephens (27),113,1948,R
97,88.,Tommy Thevenow (26),113,1930,R
98,88.,Cecil Travis (24),113,1938,R
99,88.,Jose Valentin (26),113,1996,R
100,88.,Michael Young (29),113,2006,R
101,88.,Michael Young (31),113,2008,R
102,103.,Travis Jackson+ (24),112,1928,R
103,103.,Eddie Lake (29),112,1945,R
104,103.,Eddie Miller (24),112,1941,R
105,103.,Jack Wilson (29),112,2007,R
106,107.,Luke Appling+ (30),111,1937,R
107,107.,Dick Bartell (22),111,1930,R
108,107.,Rick Burleson (26),111,1977,R
109,107.,Rafael Furcal (24),111,2002,R
110,107.,Francisco Lindor (23),111,2017,R
111,107.,Roy McMillan (25),111,1955,R
112,107.,Hanley Ramirez (22),111,2006,R
113,107.,Phil Rizzuto+ (29),111,1947,R
114,107.,Alex Rodriguez (27),111,2003,R
115,107.,Rey Sanchez (31),111,1999,R
116,107.,Ozzie Smith+ (30),111,1985,R
117,107.,Ozzie Smith+ (32),111,1987,R
118,119.,Rich Aurilia (28),110,2000,R
119,119.,Yuniesky Betancourt (25),110,2007,R
120,119.,Joe Cronin+ (31),110,1938,R
121,119.,Yunel Escobar (27),110,2010,R
122,119.,Ron Hansen (22),110,1960,R
123,119.,Ron Hansen (23),110,1961,R
124,119.,Travis Jackson+ (25),110,1929,R
125,119.,Roy McMillan (31),110,1961,R
126,119.,Billy Myers (28),110,1939,R
127,119.,Jimmy Rollins (28),110,2007,R
128,119.,Miguel Tejada (25),110,1999,R
129,130.,Rick Burleson (28),109,1979,R
130,130.,Gary Disarcina (24),109,1992,R
131,130.,Tony Fernandez (23),109,1985,R
132,130.,Alex Gonzalez (26),109,2003,R
133,130.,David Howard (29),109,1996,R
134,130.,Don Kessinger (30),109,1973,R
135,130.,Eric McNair (25),109,1934,R
136,130.,Alexei Ramírez (28),109,2010,R
137,130.,Cal Ripken Jr.+ (35),109,1996,R
138,130.,Phil Rizzuto+ (23),109,1941,R
139,130.,Marcus Semien (25),109,2016,R
140,130.,Glenn Wright (24),109,1925,R
141,142.,Rich Aurilia (29),108,2001,R
142,142.,Angel Berroa (25),108,2003,R
143,142.,Angel Berroa (27),108,2005,R
144,142.,Ray Boone (27),108,1951,R
145,142.,Mike Bordick (27),108,1993,R
146,142.,Bucky Dent (22),108,1974,R
147,142.,Rafael Furcal (25),108,2003,R
148,142.,J.J. Hardy (30),108,2013,R
149,142.,Freddie Patek (29),108,1974,R
150,142.,Alex Rodriguez (26),108,2002,R
151,142.,Dick Schofield (22),108,1985,R
152,142.,Miguel Tejada (32),108,2006,R
153,142.,Garry Templeton (22),108,1978,R
154,142.,Mike Tyson (24),108,1974,R
155,142.,Omar Vizquel (26),108,1993,R
156,157.,Elvis Andrus (28),107,2017,R
157,157.,Luke Appling+ (26),107,1933,R
158,157.,Lou Boudreau+ (24),107,1942,R
159,157.,Eddie Bressoud (30),107,1962,R
160,157.,Chico Carrasquel (25),107,1951,R
161,157.,Jimmy Cooney (31),107,1926,R
162,157.,Bobby Crosby (24),107,2004,R
163,157.,Bucky Dent (27),107,1979,R
164,157.,Woody English (23),107,1929,R
165,157.,Dick Groat (24),107,1955,R
166,157.,Jose Hernandez (32),107,2002,R
167,157.,Tony Kubek (25),107,1961,R
168,157.,Freddie Patek (26),107,1971,R
169,157.,Neifi Perez (29),107,2002,R
170,157.,Arky Vaughan+ (26),107,1938,R
171,157.,Michael Young (30),107,2007,R
172,173.,Dick Bartell (28),106,1936,R
173,173.,Orlando Cabrera (26),106,2001,R
174,173.,Deivi Cruz (26),106,1999,R
175,173.,Sam Dente (27),106,1949,R
176,173.,Tony Fernandez (26),106,1988,R
177,173.,Ozzie Guillen (25),106,1989,R
178,173.,Bill Knickerbocker (22),106,1934,R
179,173.,Jhonny Peralta (25),106,2007,R
180,173.,Pee Wee Reese+ (32),106,1951,R
181,173.,Bill Russell (24),106,1973,R
182,173.,Rey Sanchez (32),106,2000,R
183,173.,Miguel Tejada (28),106,2002,R
184,185.,Gene Alley (26),105,1967,R
185,185.,Elvis Andrus (27),105,2016,R
186,185.,Dave Bancroft+ (30),105,1921,R
187,185.,Ernie Banks+ (23),105,1954,R
188,185.,Mark Belanger (31),105,1975,R
189,185.,Brandon Crawford (31),105,2018,R
190,185.,Al Dark (32),105,1954,R
191,185.,Al Dark (35),105,1957,R
192,185.,Bucky Dent (23),105,1975,R
193,185.,Adam Everett (29),105,2006,R
194,185.,Ozzie Guillen (23),105,1987,R
195,185.,Ron Hansen (26),105,1964,R
196,185.,Marty Marion (29),105,1946,R
197,185.,Roy McMillan (26),105,1956,R
198,185.,Roger Peckinpaugh (32),105,1923,R
199,185.,Alexei Ramírez (33),105,2015,R
200,185.,Jose Reyes (22),105,2005,R
201,185.,Jose Reyes (29),105,2012,R
202,185.,Cal Ripken Jr.+ (25),105,1986,R
203,185.,Miguel Tejada (31),105,2005,R
204,185.,Miguel Tejada (35),105,2009,R
205,185.,Zoilo Versalles (25),105,1965,R
206,185.,Omar Vizquel (24),105,1991,R
207,208.,Luis Aparicio+ (32),104,1966,R
208,208.,Larry Bowa (28),104,1974,R
209,208.,Orlando Cabrera (32),104,2007,R
210,208.,Tim Foli (24),104,1975,R
211,208.,Charlie Gelbert (24),104,1930,R
212,208.,Solly Hemus (29),104,1952,R
213,208.,Derek Jeter+ (33),104,2007,R
214,208.,Johnny Logan (27),104,1953,R
215,208.,Johnny Logan (28),104,1954,R
216,208.,Rabbit Maranville+ (37),104,1929,R
217,208.,Marty Marion (30),104,1947,R
218,208.,Gil McDougald (29),104,1957,R
219,208.,Jhonny Peralta (23),104,2005,R
220,208.,Jhonny Peralta (26),104,2008,R
221,208.,Pee Wee Reese+ (27),104,1946,R
222,208.,Alex Rodriguez (23),104,1999,R
223,208.,Billy Rogell (30),104,1935,R
224,208.,Brendan Ryan (30),104,2012,R
225,208.,Maury Wills (28),104,1961,R
226,208.,Jack Wilson (25),104,2003,R
227,208.,Robin Yount+ (20),104,1976,R
228,229.,Orlando Arcia (22),103,2017,R
229,229.,Dale Berra (26),103,1983,R
230,229.,Ed Brinkman (28),103,1970,R
231,229.,Royce Clayton (23),103,1993,R
232,229.,Gary Disarcina (30),103,1998,R
233,229.,Kevin Elster (31),103,1996,R
234,229.,Tony Fernandez (24),103,1986,R
235,229.,Cristian Guzman (26),103,2004,R
236,229.,Bob Meacham (24),103,1985,R
237,229.,Rico Petrocelli (26),103,1969,R
238,229.,Rey Quinones (24),103,1988,R
239,229.,Cal Ripken Jr.+ (26),103,1987,R
240,229.,Billy Rogell (32),103,1937,R
241,229.,Dick Schofield (23),103,1986,R
242,229.,Joe Sewell+ (29),103,1928,R
243,229.,George Strickland (27),103,1953,R
244,229.,Troy Tulowitzki (25),103,2010,R
245,229.,Arky Vaughan+ (27),103,1939,R
246,247.,Elvis Andrus (22),102,2011,R
247,247.,Luis Aparicio+ (28),102,1962,R
248,247.,Erick Aybar (25),102,2009,R
249,247.,Erick Aybar (27),102,2011,R
250,247.,Ernie Banks+ (24),102,1955,R
251,247.,Jay Bell (31),102,1997,R
252,247.,Larry Bowa (37),102,1983,R
253,247.,Don Buddin (24),102,1958,R
254,247.,Rick Burleson (24),102,1975,R
255,247.,Orlando Cabrera (27),102,2002,R
256,247.,Chico Carrasquel (28),102,1954,R
257,247.,Dave Concepcion (27),102,1975,R
258,247.,Dave Concepcion (31),102,1979,R
259,247.,Tim Foli (25),102,1976,R
260,247.,Alex Gonzalez (28),102,2005,R
261,247.,Granny Hamner (25),102,1952,R
262,247.,Joe Hoover (29),102,1944,R
263,247.,Rey Ordóñez (25),102,1996,R
264,247.,Neifi Perez (28),102,2001,R
265,247.,Craig Reynolds (25),102,1978,R
266,247.,Bill Russell (28),102,1977,R
267,247.,Brendan Ryan (28),102,2010,R
268,247.,Garry Templeton (23),102,1979,R
269,247.,Alan Trammell+ (32),102,1990,R
270,247.,Juan Uribe (28),102,2007,R
271,247.,Omar Vizquel (22),102,1989,R
272,247.,Glenn Wright (23),102,1924,R
273,274.,Orlando Cabrera (28),101,2003,R
274,274.,Orlando Cabrera (33),101,2008,R
275,274.,Dave Concepcion (29),101,1977,R
276,274.,Al Dark (28),101,1950,R
277,274.,Pedro Florimon (26),101,2013,R
278,274.,Rafael Furcal (26),101,2004,R
279,274.,Alex Gonzalez (24),101,2001,R
280,274.,Granny Hamner (22),101,1949,R
281,274.,Woodie Held (30),101,1962,R
282,274.,Travis Jackson+ (20),101,1924,R
283,274.,Don Kessinger (26),101,1969,R
284,274.,Roy McMillan (22),101,1952,R
285,274.,Roger Metzger (24),101,1972,R
286,274.,Willy Miranda (29),101,1955,R
287,274.,Cal Ripken Jr.+ (32),101,1993,R
288,274.,Billy Rogell (33),101,1938,R
289,274.,Ozzie Smith+ (27),101,1982,R
290,274.,Trevor Story (24),101,2017,R
291,292.,Ernie Banks+ (27),100,1958,R
292,292.,Dick Bartell (25),100,1933,R
293,292.,Mark Belanger (29),100,1973,R
294,292.,Mark Belanger (30),100,1974,R
295,292.,Jay Bell (27),100,1993,R
296,292.,Rick Burleson (27),100,1978,R
297,292.,Orlando Cabrera (31),100,2006,R
298,292.,Deivi Cruz (25),100,1998,R
299,292.,Yunel Escobar (29),100,2012,R
300,292.,Alvaro Espinoza (28),100,1990,R
301,292.,Alex Gonzalez (27),100,2000,R
302,292.,Alex Grammas (28),100,1954,R
303,292.,Ozzie Guillen (26),100,1990,R
304,292.,Granny Hamner (23),100,1950,R
305,292.,Dick Howser (28),100,1964,R
306,292.,Eddie Joost (31),100,1947,R
307,292.,Don Kessinger (32),100,1975,R
308,292.,Red Kress (33),100,1938,R
309,292.,Johnny Logan (29),100,1955,R
310,292.,Eddie Miller (27),100,1944,R
311,292.,Cliff Pennington (26),100,2010,R
312,292.,Alexei Ramírez (31),100,2013,R
313,292.,Cal Ripken Jr.+ (34),100,1995,R
314,292.,Phil Rizzuto+ (35),100,1953,R
315,292.,Andre Rodgers (28),100,1963,R
316,292.,Everett Scott (28),100,1921,R
317,292.,Roy Smalley (27),100,1980,R
318,292.,Ozzie Smith+ (28),100,1983,R
319,292.,Don Zimmer (27),100,1958,R
320,321.,Luis Aparicio+ (36),99,1970,R
321,321.,Luke Appling+ (39),99,1946,R
322,321.,Tony Batista (25),99,1999,R
323,321.,Asdrubal Cabrera (26),99,2012,R
324,321.,Dave Concepcion (26),99,1974,R
325,321.,Bobby Crosby (28),99,2008,R
326,321.,Ivan de Jesus (27),99,1980,R
327,321.,Jim Fregosi (28),99,1970,R
328,321.,Rafael Furcal (29),99,2007,R
329,321.,Alex Gonzalez (27),99,2004,R
330,321.,Mark Grudzielanek (27),99,1997,R
331,321.,J.J. Hardy (31),99,2014,R
332,321.,Billy Hunter (25),99,1953,R
333,321.,Billy Jurges (27),99,1935,R
334,321.,Red Kress (23),99,1928,R
335,321.,Johnny Logan (32),99,1958,R
336,321.,Pat Meares (31),99,2000,R
337,321.,Alexei Ramírez (29),99,2011,R
338,321.,Pee Wee Reese+ (23),99,1942,R
339,321.,Pee Wee Reese+ (28),99,1947,R
340,321.,Billy Rogell (29),99,1934,R
341,321.,Jimmy Rollins (22),99,2001,R
342,321.,Marco Scutaro (33),99,2009,R
343,321.,Marcus Semien (24),99,2015,R
344,321.,Andrelton Simmons (24),99,2014,R
345,321.,Andrelton Simmons (27),99,2017,R
346,321.,Alan Trammell+ (21),99,1979,R
347,321.,Alan Trammell+ (28),99,1986,R
348,321.,Cecil Travis (23),99,1937,R
349,321.,Cecil Travis (27),99,1941,R
350,321.,Omar Vizquel (33),99,2000,R
351,321.,Walt Weiss (31),99,1995,R
352,353.,Nick Ahmed (28),98,2018,R
353,353.,Elvis Andrus (20),98,2009,R
354,353.,Luis Aparicio+ (30),98,1964,R
355,353.,Yuniesky Betancourt (26),98,2008,R
356,353.,Don Buddin (22),98,1956,R
357,353.,Orlando Cabrera (34),98,2009,R
358,353.,Dave Concepcion (32),98,1980,R
359,353.,Todd Cruz (26),98,1982,R
360,353.,Stephen Drew (24),98,2007,R
361,353.,Alcides Escobar (24),98,2011,R
362,353.,Scott Fletcher (28),98,1987,R
363,353.,Tim Foli (28),98,1979,R
364,353.,Alex Gonzalez (25),98,1998,R
365,353.,Khalil Greene (27),98,2007,R
366,353.,Toby Harrah (25),98,1974,R
367,353.,Pete Kozma (25),98,2013,R
368,353.,Tony Kubek (22),98,1958,R
369,353.,Hal Lanier (26),98,1969,R
370,353.,Rabbit Maranville+ (38),98,1930,R
371,353.,Tony Pena (26),98,2007,R
372,353.,Jhonny Peralta (32),98,2014,R
373,353.,Hanley Ramirez (23),98,2007,R
374,353.,Billy Rogell (31),98,1936,R
375,353.,George Scharein (22),98,1937,R
376,353.,Jean Segura (25),98,2015,R
377,353.,Ozzie Smith+ (23),98,1978,R
378,353.,Ozzie Smith+ (38),98,1993,R
379,353.,Garry Templeton (21),98,1977,R
380,353.,Tommy Thevenow (22),98,1926,R
381,353.,Troy Tulowitzki (26),98,2011,R
382,353.,Juan Uribe (26),98,2005,R
383,353.,Omar Vizquel (30),98,1997,R
384,353.,Omar Vizquel (35),98,2002,R
385,353.,Michael Young (27),98,2004,R
386,387.,Elvis Andrus (24),97,2013,R
387,387.,Rich Aurilia (27),97,1999,R
388,387.,Rich Aurilia (30),97,2002,R
389,387.,Jason Bartlett (27),97,2007,R
390,387.,Mark Belanger (32),97,1976,R
391,387.,Lou Boudreau+ (23),97,1941,R
392,387.,Larry Bowa (25),97,1971,R
393,387.,Ed Brinkman (21),97,1963,R
394,387.,Starlin Castro (22),97,2012,R
395,387.,Ike Davis (30),97,1925,R
396,387.,Ivan de Jesus (26),97,1979,R
397,387.,Alcides Escobar (25),97,2012,R
398,387.,Alcides Escobar (30),97,2017,R
399,387.,Luis Gomez (26),97,1978,R
400,387.,Dick Groat (28),97,1959,R
401,387.,Ron Hansen (27),97,1965,R
402,387.,Buddy Kerr (27),97,1950,R
403,387.,Don Kessinger (25),97,1968,R
404,387.,Don Kessinger (28),97,1971,R
405,387.,Bill Knickerbocker (24),97,1936,R
406,387.,Phil Rizzuto+ (28),97,1946,R
407,387.,Pete Runnels (24),97,1952,R
408,387.,Miguel Tejada (34),97,2008,R
409,387.,Alan Trammell+ (24),97,1982,R
410,387.,Glenn Wright (29),97,1930,R
411,387.,Robin Yount+ (23),97,1979,R
412,413.,Dick Bartell (23),96,1931,R
413,413.,Dick Bartell (29),96,1937,R
414,413.,Deivi Cruz (30),96,2003,R
415,413.,Ivan de Jesus (25),96,1978,R
416,413.,Bucky Dent (24),96,1976,R
417,413.,Ian Desmond (27),96,2013,R
418,413.,Shawon Dunston (23),96,1986,R
419,413.,Danny Espinosa (29),96,2016,R
420,413.,Adam Everett (28),96,2005,R
421,413.,Greg Gagne (24),96,1986,R
422,413.,Cristian Guzman (22),96,2000,R
423,413.,Cesar Izturis (24),96,2004,R
424,413.,Derek Jeter+ (30),96,2004,R
425,413.,Derek Jeter+ (31),96,2005,R
426,413.,Johnny Pesky (27),96,1946,R
427,413.,Jimmy Rollins (27),96,2006,R
428,413.,Rafael Santana (30),96,1988,R
429,413.,Jean Segura (23),96,2013,R
430,413.,Ozzie Smith+ (31),96,1986,R
431,413.,Garry Templeton (29),96,1985,R
432,413.,John Valentin (26),96,1993,R
433,413.,Jose Valentin (33),96,2003,R
434,413.,Bobby Wine (30),96,1969,R
435,436.,Luke Appling+ (34),95,1941,R
436,436.,Luke Appling+ (42),95,1949,R
437,436.,Dave Bancroft+ (29),95,1920,R
438,436.,Ernie Banks+ (28),95,1959,R
439,436.,Angel Berroa (28),95,2006,R
440,436.,Yuniesky Betancourt (24),95,2006,R
441,436.,Xander Bogaerts (22),95,2015,R
442,436.,Mike Bordick (31),95,1997,R
443,436.,Joe Cronin+ (23),95,1930,R
444,436.,Joe Cronin+ (25),95,1932,R
445,436.,Joe Cronin+ (26),95,1933,R
446,436.,Frankie Crosetti (25),95,1936,R
447,436.,Joe DeMaestri (27),95,1956,R
448,436.,Joe DeMaestri (29),95,1958,R
449,436.,Alcides Escobar (29),95,2016,R
450,436.,Julio Franco (26),95,1985,R
451,436.,Charlie Gelbert (23),95,1929,R
452,436.,Benji Gil (22),95,1995,R
453,436.,Alex Gonzalez (30),95,2003,R
454,436.,Ron Hansen (25),95,1963,R
455,436.,Billy Jurges (25),95,1933,R
456,436.,Billy Jurges (31),95,1939,R
457,436.,Lyn Lary (31),95,1937,R
458,436.,Jordy Mercer (29),95,2016,R
459,436.,Jose Offerman (24),95,1993,R
460,436.,Roger Peckinpaugh (31),95,1922,R
461,436.,Jhonny Peralta (24),95,2006,R
462,436.,Edgar Renteria (20),95,1997,R
463,436.,Blondy Ryan (27),95,1933,R
464,436.,Heinie Sand (26),95,1924,R
465,436.,Dick Schofield (28),95,1963,R
466,436.,Dick Schofield (21),95,1984,R
467,436.,Chris Speier (21),95,1971,R
468,436.,Daryl Spencer (28),95,1957,R
469,436.,Daryl Spencer (29),95,1958,R
470,436.,Miguel Tejada (29),95,2003,R
471,436.,Alan Trammell+ (20),95,1978,R
472,436.,Jose Uribe (27),95,1986,R
473,436.,John Valentin (28),95,1995,R
474,436.,Arky Vaughan+ (21),95,1933,R
475,436.,Michael Young (28),95,2005,R
476,436.,Robin Yount+ (26),95,1982,R
477,478.,Elvis Andrus (25),94,2014,R
478,478.,Luis Aparicio+ (35),94,1969,R
479,478.,Ernie Banks+ (29),94,1960,R
480,478.,Jay Bell (26),94,1992,R
481,478.,Angel Berroa (26),94,2004,R
482,478.,Lou Boudreau+ (28),94,1946,R
483,478.,Larry Bowa (31),94,1977,R
484,478.,Royce Clayton (30),94,2000,R
485,478.,Dave Concepcion (34),94,1982,R
486,478.,Joe Cronin+ (24),94,1931,R
487,478.,Deivi Cruz (24),94,1997,R
488,478.,Ivan de Jesus (24),94,1977,R
489,478.,Ian Desmond (29),94,2015,R
490,478.,Tim Foli (21),94,1972,R
491,478.,Freddy Galvis (27),94,2017,R
492,478.,Chris Gomez (31),94,2002,R
493,478.,Cesar Izturis (23),94,2003,R
494,478.,Derek Jeter+ (36),94,2010,R
495,478.,Red Kress (24),94,1929,R
496,478.,Eddie Lake (31),94,1947,R
497,478.,Johnny Logan (30),94,1956,R
498,478.,Johnny Logan (31),94,1957,R
499,478.,Julio Lugo (29),94,2005,R
