,Rank,Player (age that year),Double Plays Turned as LF (s.1901),Year,Throws
168,110.,Chet Laabs (31),4,1943,R
169,110.,Freddy Leach (30),4,1928,R
170,110.,Freddy Leach (32),4,1930,R
171,110.,Nemo Leibold (26),4,1918,R
172,110.,Jack Lelivelt (24),4,1910,L
173,110.,Jeffrey Leonard (28),4,1984,R
174,110.,Duffy Lewis (24),4,1912,R
175,110.,Duffy Lewis (28),4,1916,R
176,110.,Billy Lush (30),4,1904,R
177,110.,Sherry Magee (23),4,1908,R
178,110.,Carmelo Martinez (23),4,1984,R
179,110.,Hersh Martin (34),4,1944,R
180,110.,Matty McIntyre (28),4,1908,L
181,110.,Joe Medwick+ (24),4,1936,R
182,110.,Alex Metzler (26),4,1929,R
183,110.,Hack Miller (29),4,1923,R
184,110.,Craig Monroe (28),4,2005,R
185,110.,Stan Musial+ (30),4,1951,L
186,110.,Marcell Ozuna (27),4,2018,R
187,110.,Ray Pepper (28),4,1934,R
188,110.,Tim Raines+ (25),4,1985,R
189,110.,Rick Reichardt (24),4,1967,R
190,110.,Jim Rice+ (30),4,1983,R
191,110.,Gene Richards (26),4,1980,L
192,110.,Johnny Rizzo (27),4,1940,R
193,110.,Babe Ruth+ (24),4,1919,L
194,110.,Babe Ruth+ (26),4,1921,L
195,110.,Michael Saunders (23),4,2010,R
196,110.,Al Scheer (26),4,1915,R
197,110.,George Selkirk (32),4,1940,R
198,110.,Howie Shanks (21),4,1912,R
199,110.,Howie Shanks (27),4,1918,R
200,110.,Spike Shannon (32),4,1907,R
201,110.,Jimmy Sheckard (33),4,1912,R
202,110.,Al Simmons+ (30),4,1932,R
203,110.,Enos Slaughter+ (31),4,1947,R
204,110.,Lonnie Smith (27),4,1983,R
205,110.,Lonnie Smith (29),4,1985,R
206,110.,Alfonso Soriano (31),4,2007,R
207,110.,Willie Stargell+ (31),4,1971,L
208,110.,Riggs Stephenson (31),4,1929,R
209,110.,George Stone (29),4,1906,L
210,110.,George Stone (31),4,1908,L
211,110.,Jack Thoney (28),4,1908,R
212,110.,Bobby Veach (27),4,1915,R
213,110.,Bobby Veach (33),4,1921,R
214,110.,Joe Vosmik (22),4,1932,R
215,110.,Joe Vosmik (27),4,1937,R
216,110.,Joe Vosmik (28),4,1938,R
217,110.,Gee Walker (25),4,1933,R
218,110.,Tillie Walker (34),4,1922,R
219,110.,Zack Wheat+ (25),4,1913,R
220,110.,Zack Wheat+ (27),4,1915,R
221,110.,Zack Wheat+ (36),4,1924,R
222,110.,Roy White (24),4,1968,R
223,110.,Roy White (33),4,1977,R
224,110.,Billy Williams+ (24),4,1962,R
225,110.,Ken Williams (25),4,1915,R
226,110.,Ken Williams (35),4,1925,R
227,110.,Ken Williams (37),4,1927,R
228,110.,Ted Williams+ (23),4,1942,R
229,110.,Gene Woodling (29),4,1952,R
230,110.,Carl Yastrzemski+ (31),4,1971,R
231,110.,Gus Zernial (32),4,1955,R
232,233.,Joe Adcock (22),3,1950,R
233,233.,Joe Agler (27),3,1914,L
234,233.,Chad Allen (24),3,1999,R
235,233.,Ethan Allen (30),3,1934,R
236,233.,Turner Barber (27),3,1921,R
237,233.,Bill Barrett (24),3,1924,R
238,233.,Jimmy Barrett (32),3,1907,R
239,233.,Emil Batch (27),3,1907,R
240,233.,Jason Bay (28),3,2007,R
241,233.,Albert Belle (31),3,1998,R
242,233.,George Bell (25),3,1985,R
243,233.,Wally Berger (32),3,1938,R
244,233.,Bob Bescher (26),3,1910,L
245,233.,Bob Bescher (32),3,1916,L
246,233.,Dante Bichette (35),3,1999,R
247,233.,Carson Bigbee (28),3,1923,R
248,233.,Ping Bodie (30),3,1918,R
249,233.,Barry Bonds (22),3,1987,L
250,233.,Ryan Braun (32),3,2016,R
251,233.,Steve Braun (29),3,1977,R
252,233.,Lou Brock+ (32),3,1971,L
253,233.,George Burns (26),3,1916,R
254,233.,Melky Cabrera (27),3,2012,L
255,233.,Melky Cabrera (29),3,2014,L
256,233.,Miguel Cabrera (22),3,2005,R
257,233.,Bert Campaneris (23),3,1965,R
258,233.,Jose Canseco (22),3,1987,R
259,233.,Jose Cardenal (31),3,1975,R
260,233.,Rico Carty (27),3,1967,R
261,233.,George Case (29),3,1945,R
262,233.,Frank Catalanotto (32),3,2006,R
263,233.,Phil Cavarretta (30),3,1947,L
264,233.,Orlando Cepeda+ (22),3,1960,R
265,233.,Bob Cerv (33),3,1958,R
266,233.,Fred Clarke+ (33),3,1906,R
267,233.,Fred Clarke+ (36),3,1909,R
268,233.,Fred Clarke+ (38),3,1911,R
269,233.,Jerald Clark (28),3,1992,R
270,233.,Gil Coan (26),3,1948,R
271,233.,Gil Coan (27),3,1949,R
272,233.,Rocky Colavito (27),3,1961,R
273,233.,Vince Coleman (25),3,1987,R
274,233.,Vince Coleman (32),3,1994,R
275,233.,Dave Collins (31),3,1984,L
276,233.,Adam Comorosky (24),3,1929,R
277,233.,Jeff Conine (37),3,2003,R
278,233.,Duff Cooley (31),3,1904,R
279,233.,Claude Cooper (23),3,1915,L
280,233.,Marty Cordova (25),3,1995,R
281,233.,Jose Cruz (34),3,1982,L
282,233.,Jose Cruz (37),3,1985,L
283,233.,Jose Cruz (39),3,1987,L
284,233.,Nick Cullop (30),3,1931,R
285,233.,Bill Cunningham (29),3,1924,R
286,233.,Chad Curtis (29),3,1998,R
287,233.,Kiki Cuyler+ (25),3,1924,R
288,233.,Khris Davis (28),3,2016,R
289,233.,Tommy Davis (24),3,1963,R
290,233.,David DeJesus (29),3,2009,L
291,233.,David Dellucci (24),3,1998,L
292,233.,Josh Devore (23),3,1911,R
293,233.,Josh Devore (24),3,1912,R
294,233.,Johnny Dickshot (35),3,1945,R
295,233.,Patsy Dougherty (28),3,1905,R
296,233.,Hoot Evers (29),3,1950,R
297,233.,Bibb Falk (23),3,1922,L
298,233.,Bibb Falk (24),3,1923,L
299,233.,Mike Felder (25),3,1987,R
300,233.,George Foster (34),3,1983,R
301,233.,Sam Fuld (33),3,2015,L
302,233.,Augie Galan (25),3,1937,R
303,233.,Augie Galan (26),3,1938,R
304,233.,Bob Ganley (32),3,1907,L
305,233.,Brett Gardner (27),3,2011,L
306,233.,Ralph Garr (25),3,1971,R
307,233.,Kirk Gibson (31),3,1988,L
308,233.,Kirk Gibson (32),3,1989,L
309,233.,Bernard Gilkey (25),3,1992,R
310,233.,Bernard Gilkey (27),3,1994,R
311,233.,Dan Gladden (31),3,1989,R
312,233.,Dan Gladden (32),3,1990,R
313,233.,Tyler Goeddel (23),3,2016,R
314,233.,Alex Gordon (28),3,2012,R
315,233.,Goose Goslin+ (26),3,1927,R
316,233.,Jack Graney (24),3,1910,L
317,233.,Jack Graney (28),3,1914,L
318,233.,Mike Greenwell (27),3,1991,R
319,233.,Mike Greenwell (30),3,1994,R
320,233.,Ken Griffey (35),3,1985,L
321,233.,Chick Hafey+ (24),3,1927,R
322,233.,Chick Hafey+ (25),3,1928,R
323,233.,Ed Hahn (30),3,1906,R
324,233.,Dave Harris (24),3,1925,R
325,233.,Ken Henderson (26),3,1972,R
326,233.,Steve Henderson (25),3,1978,R
327,233.,Steve Henderson (26),3,1979,R
328,233.,Steve Henderson (30),3,1983,R
329,233.,Jim Hickman (25),3,1917,R
330,233.,Bobby Higginson (29),3,2000,R
331,233.,Bobby Higginson (31),3,2002,R
332,233.,Hugh High (29),3,1917,L
333,233.,Bill Hinchman (24),3,1907,R
334,233.,Chuck Hinton (30),3,1964,R
335,233.,Myril Hoag (34),3,1942,R
336,233.,Matt Holliday (28),3,2008,R
337,233.,Ducky Holmes (35),3,1904,R
338,233.,Harry Hooper+ (21),3,1909,R
339,233.,Brian Hunter (28),3,1999,R
340,233.,Raul Ibanez (32),3,2004,R
341,233.,Raul Ibanez (33),3,2005,R
342,233.,Monte Irvin+ (34),3,1953,R
343,233.,Conor Jackson (26),3,2008,R
344,233.,Jim Jackson (27),3,1905,R
345,233.,Art Jahn (29),3,1925,R
346,233.,Charlie Jamieson (32),3,1925,L
347,233.,Geoff Jenkins (25),3,2000,R
348,233.,Geoff Jenkins (29),3,2004,R
349,233.,Bob Johnson (28),3,1934,R
350,233.,Bob Johnson (30),3,1936,R
351,233.,Bob Johnson (31),3,1937,R
352,233.,Bob Johnson (38),3,1944,R
353,233.,Johnny Johnston (23),3,1913,R
354,233.,Smead Jolley (30),3,1932,R
355,233.,Smead Jolley (31),3,1933,R
356,233.,Cleon Jones (27),3,1970,L
357,233.,Davy Jones (30),3,1910,R
358,233.,David Justice (33),3,1999,L
359,233.,Joe Kelley+ (34),3,1906,R
360,233.,Steve Kemp (25),3,1980,L
361,233.,Ralph Kiner+ (27),3,1950,R
362,233.,Ralph Kiner+ (30),3,1953,R
363,233.,Dave Kingman (30),3,1979,R
364,233.,Art Kruger (29),3,1910,R
