,Rank,Player (age that year),Range Factor/Game as LF (s.1901),Year,Throws
44,45.,Brady Anderson (28),2.493,1992,L
45,46.,Fred Clarke+ (37),2.492,1910,R
46,46.,Clyde Milan (33),2.492,1920,R
47,48.,Ken Williams (35),2.490,1925,R
48,49.,Charlie Jamieson (31),2.489,1924,L
49,49.,Roy Johnson (26),2.489,1929,R
50,51.,George Case (29),2.488,1945,R
51,52.,Fred Clarke+ (36),2.487,1909,R
52,53.,Zack Wheat+ (24),2.483,1912,R
53,54.,Bobby Veach (34),2.481,1922,R
54,55.,Ken Williams (30),2.479,1920,R
55,56.,Bert Daniels (29),2.478,1912,R
56,56.,Randy Winn (31),2.478,2005,R
57,58.,Merlin Kopp (26),2.474,1918,R
58,59.,Tillie Walker (33),2.472,1921,R
59,60.,Rickey Henderson+ (24),2.471,1983,L
60,61.,Jimmy Sheckard (33),2.469,1912,R
61,62.,Jack Smith (28),2.468,1923,L
62,63.,Charlie Jamieson (34),2.465,1927,L
63,63.,Al Simmons+ (31),2.465,1933,R
64,65.,Ken Williams (34),2.464,1924,R
65,66.,Lee Magee (24),2.463,1913,R
66,67.,Ken Williams (33),2.462,1923,R
67,68.,Gee Walker (33),2.461,1941,R
68,69.,Freddy Leach (30),2.459,1928,R
69,70.,Ben Chapman (22),2.455,1931,R
70,70.,Bobby Veach (32),2.455,1920,R
71,72.,Dave Collins (32),2.451,1985,L
72,72.,Rube Ellis (23),2.451,1909,L
73,74.,Burt Shotton (31),2.449,1916,R
74,75.,Ray Blades (27),2.448,1924,R
75,75.,Dave Harris (24),2.448,1925,R
76,77.,Ford Garrison (28),2.447,1944,R
77,78.,Eric Tipton (29),2.446,1944,R
78,79.,Zack Wheat+ (26),2.444,1914,R
79,80.,Larry Hisle (29),2.441,1976,R
80,80.,Davy Jones (34),2.441,1914,R
81,82.,Willie Hogan (26),2.437,1911,R
82,82.,Joe Kelly (30),2.437,1917,R
83,84.,Barry Bonds (24),2.436,1989,L
84,85.,Ken Williams (31),2.435,1921,R
85,86.,Peanuts Lowrey (31),2.434,1949,R
86,87.,Gus Zernial (28),2.430,1951,R
