,Rank,Player (age that year),Win Probability Added (WPA),Year,Bats
72,73.,Ted Williams+ (30),7.33,1949,L
73,74.,Jim Gentile (27),7.32,1961,L
74,75.,Frank Robinson+ (33),7.31,1969,R
75,76.,Orlando Cepeda+ (29),7.28,1967,R
76,76.,Harmon Killebrew+ (33),7.28,1969,R
77,78.,Joe DiMaggio+ (26),7.27,1941,R
78,78.,Joe Medwick+ (23),7.27,1935,R
79,78.,Billy Williams+ (27),7.27,1965,L
80,81.,Dick Allen (30),7.26,1972,R
81,81.,Larry Walker+ (30),7.26,1997,L
82,83.,Billy Williams+ (34),7.25,1972,L
83,84.,Frank Thomas+ (29),7.21,1997,R
84,85.,Bobby Murcer (25),7.20,1971,L
85,86.,Ted Williams+ (29),7.19,1948,L
86,87.,Dave Winfield+ (27),7.17,1979,R
87,88.,Cesar Cedeno (21),7.16,1972,R
88,88.,Manny Ramirez (36),7.16,2008,R
89,90.,Lance Berkman (25),7.15,2001,B
90,90.,Jimmie Foxx+ (25),7.15,1933,R
91,92.,Christian Yelich (27),7.12,2019,L
92,93.,Chuck Klein+ (28),7.11,1933,L
93,94.,Lou Gehrig+ (33),7.10,1936,L
94,94.,Willie Mays+ (35),7.10,1966,R
95,96.,Don Hurst (26),7.08,1932,L
96,96.,Joey Votto (27),7.08,2011,L
97,98.,Hank Aaron+ (28),7.07,1962,R
98,98.,Jackie Robinson+ (32),7.07,1951,R
99,100.,Rogers Hornsby+ (26),7.04,1922,R
100,100.,Pete Rose (28),7.04,1969,B
101,100.,Al Simmons+ (29),7.04,1931,R
102,103.,Monte Irvin+ (32),7.03,1951,R
103,104.,Hank Aaron+ (37),7.02,1971,R
104,104.,Babe Ruth+ (31),7.02,1926,L
105,106.,Jeff Bagwell+ (28),7.01,1996,R
106,106.,Barry Bonds (33),7.01,1998,L
107,108.,Hank Aaron+ (23),7.00,1957,R
108,108.,Roger Maris (26),7.00,1961,L
109,110.,Lance Berkman (32),6.98,2008,B
110,111.,Jimmie Foxx+ (30),6.97,1938,R
111,111.,Tris Speaker+ (35),6.97,1923,L
112,113.,Mike Trout (22),6.96,2014,R
113,114.,Jimmie Foxx+ (22),6.95,1930,R
114,115.,Roy Campanella+ (31),6.94,1953,R
115,115.,Rickey Henderson+ (29),6.94,1988,R
116,115.,Joe Morgan+ (32),6.94,1976,L
117,118.,Reggie Jackson+ (23),6.92,1969,L
118,119.,Jack Fournier (35),6.91,1925,L
119,120.,Eddie Murray+ (28),6.90,1984,B
120,121.,Duke Snider+ (27),6.89,1954,L
121,122.,Wade Boggs+ (25),6.88,1983,L
122,123.,Joey Votto (26),6.87,2010,L
123,124.,Babe Ruth+ (37),6.86,1932,L
124,125.,Ted Williams+ (35),6.84,1954,L
125,126.,Kevin Mitchell (27),6.83,1989,R
126,126.,Pete Reiser (22),6.83,1941,L
127,128.,Eddie Murray+ (29),6.82,1985,B
128,129.,Ernie Banks+ (27),6.80,1958,R
129,129.,Lou Gehrig+ (27),6.80,1930,L
130,131.,Zack Wheat+ (36),6.79,1924,L
131,132.,Dick Allen (24),6.77,1966,R
132,132.,Larry Walker+ (35),6.77,2002,L
133,134.,Johnny Mize+ (35),6.76,1948,L
134,134.,Duke Snider+ (26),6.76,1953,L
135,134.,Jim Wynn (30),6.76,1972,R
136,137.,Al Kaline+ (28),6.74,1963,R
137,138.,Rogers Hornsby+ (31),6.73,1927,R
138,138.,Ted Kluszewski (29),6.73,1954,L
139,140.,Miguel Cabrera (30),6.72,2013,R
140,141.,Hank Aaron+ (29),6.71,1963,R
141,141.,Mike Epstein (26),6.71,1969,L
142,141.,Charlie Keller (25),6.71,1942,L
143,144.,Hank Aaron+ (27),6.68,1961,R
144,145.,Dolph Camilli (33),6.66,1940,L
145,145.,Jim Rice+ (25),6.66,1978,R
146,147.,Willie Mays+ (24),6.64,1955,R
147,148.,Barry Bonds (32),6.63,1997,L
148,148.,Sammy Sosa (32),6.63,2001,R
149,150.,Rod Carew+ (31),6.62,1977,L
150,151.,Lou Gehrig+ (28),6.61,1931,L
151,151.,Vladimir Guerrero+ (27),6.61,2002,R
152,151.,Al Rosen (29),6.61,1953,R
153,154.,Carlos Delgado (28),6.60,2000,L
154,154.,Charlie Gehringer+ (31),6.60,1934,L
155,156.,Dick Allen (26),6.59,1968,R
156,156.,Jackie Jensen (31),6.59,1958,R
157,158.,Frank Robinson+ (26),6.58,1962,R
158,159.,Carlos Delgado (31),6.57,2003,L
159,159.,Harmon Killebrew+ (30),6.57,1966,R
160,161.,Willie Mays+ (34),6.55,1965,R
161,162.,Johnny Mize+ (24),6.54,1937,L
162,163.,Lou Gehrig+ (32),6.53,1935,L
163,163.,Willie McCovey+ (28),6.53,1966,L
164,165.,Kiki Cuyler+ (30),6.51,1929,R
165,166.,Roy Sievers (30),6.50,1957,R
166,167.,Willie Mays+ (32),6.49,1963,R
167,168.,Mickey Mantle+ (32),6.48,1964,B
168,168.,Albert Pujols (28),6.48,2008,R
169,168.,Frank Thomas+ (24),6.48,1992,R
