,Rank,Player (age that year),WAR for Pitchers,Year,Throws
381,363.,Ed Walsh+ (26),7.7,1907,R
382,363.,Cy Young+ (33),7.7,1900,R
383,384.,Jim Abbott (23),7.6,1991,L
384,384.,Vida Blue (26),7.6,1976,L
385,384.,Bob Caruthers (22),7.6,1886,R
386,384.,Jacob deGrom (31),7.6,2019,R
387,384.,Frank Killen (25),7.6,1896,L
388,384.,Gaylord Perry+ (31),7.6,1970,R
389,384.,Jeff Pfeffer (26),7.6,1914,R
390,384.,Eddie Plank+ (32),7.6,1908,L
391,384.,Nap Rucker (24),7.6,1909,L
392,384.,Johan Santana (27),7.6,2006,L
393,384.,Jim Scott (25),7.6,1913,R
394,384.,Dave Stieb (24),7.6,1982,R
395,384.,Dizzy Trout (31),7.6,1946,R
396,384.,Hoyt Wilhelm+ (36),7.6,1959,R
397,384.,Cy Young+ (40),7.6,1907,R
398,399.,Johnny Antonelli (24),7.5,1954,L
399,399.,Ewell Blackwell (27),7.5,1950,R
400,399.,Theodore Breitenstein (28),7.5,1897,L
401,399.,Charlie Buffinton (30),7.5,1891,R
402,399.,Eddie Cicotte (29),7.5,1913,R
403,399.,Russ Ford (28),7.5,1911,R
404,399.,Vean Gregg (27),7.5,1912,L
405,399.,Lefty Grove+ (26),7.5,1926,L
406,399.,Willis Hudlin (23),7.5,1929,R
407,399.,Ubaldo Jimenez (26),7.5,2010,R
408,399.,Randy Jones (25),7.5,1975,L
409,399.,Tim Keefe+ (27),7.5,1884,R
410,399.,Lance Lynn (32),7.5,2019,R
411,399.,Togie Pittinger (30),7.5,1902,R
412,399.,Old Hoss Radbourn+ (27),7.5,1882,R
413,399.,Dave Roberts (26),7.5,1971,L
414,399.,Kenny Rogers (33),7.5,1998,L
415,399.,Mario Soto (25),7.5,1982,R
416,399.,Bill Sweeney (26),7.5,1884,R
417,399.,Frank Tanana (22),7.5,1976,L
418,399.,Jim Whitney (29),7.5,1887,R
419,399.,Wilbur Wood (31),7.5,1973,L
420,421.,Babe Adams (37),7.4,1919,R
421,421.,Hank Aguirre (31),7.4,1962,L
422,421.,Pete Alexander+ (32),7.4,1919,R
423,421.,Mordecai Brown+ (29),7.4,1906,R
424,421.,John Candelaria (23),7.4,1977,L
425,421.,John Denny (30),7.4,1983,R
426,421.,Bump Hadley (28),7.4,1933,R
427,421.,Guy Hecker (29),7.4,1885,R
428,421.,Hardie Henderson (22),7.4,1885,R
429,421.,Teddy Higuera (30),7.4,1988,L
430,421.,Tim Hudson (27),7.4,2003,R
431,421.,Jay Hughes (25),7.4,1899,R
432,421.,Jimmy Key (26),7.4,1987,L
433,421.,Tim Lincecum (25),7.4,2009,R
434,421.,Mickey Lolich (31),7.4,1972,L
435,421.,Al Maul (32),7.4,1898,R
436,421.,Jim McCormick (29),7.4,1886,R
437,421.,Denny McLain (24),7.4,1968,R
438,421.,Bobo Newsom (32),7.4,1940,R
439,421.,Phil Niekro+ (40),7.4,1979,R
440,421.,Mark Prior (22),7.4,2003,R
441,421.,Old Hoss Radbourn+ (30),7.4,1885,R
442,421.,Robin Roberts+ (23),7.4,1950,R
443,421.,Eddie Rommel (24),7.4,1922,R
444,421.,John Smoltz+ (29),7.4,1996,R
445,421.,Frank Tanana (21),7.4,1975,L
446,421.,Justin Verlander (33),7.4,2016,R
447,421.,Justin Verlander (36),7.4,2019,R
448,421.,Jim Whitney (26),7.4,1884,R
449,421.,Cy Young+ (30),7.4,1897,R
450,451.,Johnny Allen (31),7.3,1936,R
451,451.,John Clarkson+ (24),7.3,1886,R
452,451.,Stan Coveleski+ (31),7.3,1921,R
453,451.,Dizzy Dean+ (26),7.3,1936,R
454,451.,Dennis Eckersley+ (23),7.3,1978,R
455,451.,Mark Eichhorn (25),7.3,1986,R
456,451.,Ned Garver (24),7.3,1950,R
457,451.,Lefty Grove+ (29),7.3,1929,L
458,451.,Roy Halladay+ (25),7.3,2002,R
459,451.,Mel Harder (25),7.3,1935,R
460,451.,Bill Hoffer (25),7.3,1896,R
461,451.,Carl Hubbell+ (31),7.3,1934,L
462,451.,Larry Jackson (28),7.3,1959,R
463,451.,Fergie Jenkins+ (27),7.3,1970,R
464,451.,Clayton Kershaw (27),7.3,2015,L
465,451.,Frank Killen (22),7.3,1893,L
466,451.,Sandy Koufax+ (28),7.3,1964,L
467,451.,Mark Langston (30),7.3,1991,L
468,451.,Ted Lyons+ (26),7.3,1927,R
469,451.,Pedro Martinez+ (26),7.3,1998,R
470,451.,Tony Mullane (28),7.3,1887,R
471,451.,Kid Nichols+ (29),7.3,1899,R
472,451.,Orval Overall (28),7.3,1909,R
473,451.,Jim Palmer+ (31),7.3,1977,R
474,451.,Billy Pierce (25),7.3,1952,L
475,451.,Bob Purkey (32),7.3,1962,R
476,451.,Preacher Roe (29),7.3,1945,L
477,451.,Amos Rusie+ (21),7.3,1892,R
478,451.,Herb Score (23),7.3,1956,L
479,451.,Tully Sparks (31),7.3,1906,R
480,451.,Dazzy Vance+ (39),7.3,1930,R
481,451.,Hippo Vaughn (31),7.3,1919,L
482,451.,John Ward+ (19),7.3,1879,R
483,451.,Dontrelle Willis (23),7.3,2005,L
484,485.,Cy Blanton (26),7.2,1935,R
485,485.,Bert Blyleven+ (33),7.2,1984,R
486,485.,David Cone (30),7.2,1993,R
487,485.,Larry Corcoran (20),7.2,1880,R
488,485.,Frank Dwyer (28),7.2,1896,R
489,485.,Dennis Eckersley+ (24),7.2,1979,R
490,485.,Cy Falkenberg (33),7.2,1913,R
491,485.,Chuck Finley (35),7.2,1998,L
492,485.,Felix Hernandez (24),7.2,2010,R
493,485.,Orel Hershiser (29),7.2,1988,R
494,485.,Fergie Jenkins+ (26),7.2,1969,R
495,485.,Matt Kilroy (23),7.2,1889,L
496,485.,Phil Knell (26),7.2,1891,L
497,485.,Jerry Koosman (36),7.2,1979,L
498,485.,Esteban Loaiza (31),7.2,2003,R
499,485.,Derek Lowe (29),7.2,2002,R
500,485.,Greg Maddux+ (30),7.2,1996,R
501,485.,Nels Potter (33),7.2,1945,R
502,485.,Johnny Sain (28),7.2,1946,R
503,485.,Johan Santana (26),7.2,2005,L
504,485.,Max Scherzer (32),7.2,2017,R
505,485.,Tom Seaver+ (24),7.2,1969,R
506,485.,Bob Shawkey (31),7.2,1922,R
507,485.,Ben Sheets (25),7.2,2004,R
508,485.,Lefty Stewart (29),7.2,1930,L
509,485.,Barry Zito (24),7.2,2002,L
