,Rank,Player (age that year),Double Plays Turned as CF (s.1901),Year,Throws
0,1.,Happy Felsch (27),14,1919,R
1,2.,Ginger Beaumont (30),12,1907,R
2,2.,Burt Shotton (28),12,1913,R
3,2.,Tris Speaker+ (24),12,1912,L
4,2.,Tris Speaker+ (26),12,1914,L
5,6.,Max Carey+ (26),11,1916,R
6,6.,Ty Cobb+ (24),11,1911,R
7,6.,Freddy Leach (29),11,1927,R
8,6.,Clyde Milan (23),11,1910,R
9,6.,Cy Seymour (32),11,1905,L
10,6.,Tris Speaker+ (21),11,1909,L
11,12.,Joe Birmingham (25),10,1910,R
12,12.,Vince DiMaggio (25),10,1938,R
13,12.,Happy Felsch (28),10,1920,R
14,12.,Phil Geier (27),10,1904,R
15,12.,Ben Koehler (28),10,1905,R
16,12.,Cy Seymour (35),10,1908,L
17,12.,Tris Speaker+ (28),10,1916,L
18,19.,Rich Becker (24),9,1996,L
19,19.,Max Carey+ (27),9,1917,R
20,19.,Max Carey+ (28),9,1918,R
21,19.,Ty Cobb+ (29),9,1916,R
22,19.,Darrin Jackson (28),9,1992,R
23,19.,Baby Doll Jacobson (34),9,1925,R
24,19.,Willie Mays+ (23),9,1954,R
25,19.,Clyde Milan (29),9,1916,R
26,19.,Tris Speaker+ (31),9,1919,L
27,19.,Tris Speaker+ (37),9,1925,L
28,19.,Stan Spence (29),9,1944,L
29,19.,Del Unser (23),9,1968,L
30,31.,Joe Birmingham (27),8,1912,R
31,31.,Jackie Bradley Jr. (24),8,2014,R
32,31.,Ty Cobb+ (26),8,1913,R
33,31.,Ty Cobb+ (28),8,1915,R
34,31.,Ira Flagstead (31),8,1925,R
35,31.,Nemo Leibold (29),8,1921,R
36,31.,Willie Mays+ (24),8,1955,R
37,31.,Hi Myers (29),8,1918,R
38,31.,Dode Paskert (31),8,1913,R
39,31.,Al Shaw (27),8,1908,R
40,31.,Tris Speaker+ (25),8,1913,L
41,31.,Tris Speaker+ (27),8,1915,L
42,31.,Tris Speaker+ (32),8,1920,L
43,31.,Tris Speaker+ (35),8,1923,L
44,31.,Tris Speaker+ (38),8,1926,L
45,31.,Sam West (24),8,1929,L
46,31.,Sam West (27),8,1932,L
