,Rank,Player (age that year),Sit. Wins Saved (WPA/LI),Year,Throws
289,286.,Waite Hoyt+ (27),4.02,1927,R
290,286.,Larry Jackson (33),4.02,1964,R
291,286.,Aaron Nola (25),4.02,2018,R
292,293.,Stan Coveleski+ (28),4.01,1918,R
293,293.,Juan Marichal+ (25),4.01,1963,R
294,293.,Denny McLain (24),4.01,1968,R
295,296.,Whitey Ford+ (27),4.00,1956,L
296,297.,Babe Adams (38),3.99,1920,R
297,297.,Tom Glavine+ (31),3.99,1997,L
298,297.,Red Ruffing+ (33),3.99,1938,R
299,297.,Nolan Ryan+ (30),3.99,1977,R
300,301.,Bill Lee (28),3.98,1938,R
301,301.,Robin Roberts+ (23),3.98,1950,R
302,303.,Whitey Ford+ (32),3.97,1961,L
303,303.,Matt Harvey (24),3.97,2013,R
304,303.,Danny Jackson (26),3.97,1988,L
305,303.,Max Scherzer (28),3.97,2013,R
306,303.,Javier Vazquez (32),3.97,2009,R
307,308.,Pat Hentgen (27),3.95,1996,R
308,309.,Bert Blyleven+ (33),3.94,1984,R
309,309.,Mort Cooper (31),3.94,1944,R
310,309.,George Earnshaw (31),3.94,1931,R
311,309.,Art Houtteman (22),3.94,1950,R
312,309.,Chris Sale (29),3.94,2018,L
313,314.,Juan Marichal+ (26),3.92,1964,R
314,314.,Monty Stratton (25),3.92,1937,R
315,316.,J.R. Richard (29),3.91,1979,R
316,317.,Bobby Shantz (26),3.90,1952,L
317,318.,Herb Score (23),3.89,1956,L
318,318.,Blake Snell (25),3.89,2018,L
319,320.,Freddy Garcia (24),3.88,2001,R
320,320.,Tex Hughson (30),3.88,1946,R
321,320.,Mike Mussina+ (23),3.88,1992,R
322,320.,Denny Neagle (28),3.88,1997,L
323,320.,Hal Newhouser+ (24),3.88,1945,L
324,320.,Bob Purkey (32),3.88,1962,R
325,320.,Chris Sale (28),3.88,2017,L
326,327.,Curt Schilling (34),3.87,2001,R
327,327.,Tom Seaver+ (31),3.87,1976,R
