,Rank,Player (age that year),Fielding Independent Pitching,Year,Throws
58,59.,Ed Walsh+ (26),1.972,1907,R
59,60.,Walter Johnson+ (29),1.983,1917,R
60,61.,Jacob deGrom (30),1.985,2018,R
61,62.,Lady Baldwin (26),1.989,1885,L
62,63.,Ray Collins (23),1.991,1910,L
63,63.,Clayton Kershaw (27),1.991,2015,L
64,65.,Eddie Plank+ (39),1.999,1915,L
65,66.,Matt Harvey (24),2.005,2013,R
66,67.,Reb Russell (27),2.006,1916,L
67,68.,Steve Carlton+ (27),2.009,1972,L
68,69.,Chief Bender+ (22),2.011,1906,R
69,70.,Walter Johnson+ (26),2.017,1914,R
70,71.,Eddie Cicotte (34),2.021,1918,R
71,72.,Walter Johnson+ (24),2.027,1912,R
72,73.,Christy Mathewson+ (24),2.034,1905,R
73,74.,Walter Johnson+ (30),2.035,1918,R
74,74.,Deacon Phillippe (32),2.035,1904,R
75,76.,Luis Tiant (27),2.041,1968,R
76,77.,Smoky Joe Wood (20),2.045,1910,R
77,78.,Glenn Liebhardt (25),2.048,1908,R
78,79.,Fred Goldsmith (24),2.057,1880,R
79,80.,Hugh Daily (36),2.062,1884,R
80,81.,Bob Moose (20),2.063,1968,R
81,81.,Eddie Plank+ (33),2.063,1909,L
82,83.,Doc White (30),2.065,1909,L
83,84.,Shane Bieber (25),2.066,2020,R
84,85.,Bill Burns (28),2.071,1908,L
85,85.,Sandy Koufax+ (30),2.071,1966,L
86,87.,Walter Johnson+ (31),2.075,1919,R
87,88.,Sandy Koufax+ (28),2.076,1964,L
88,89.,Frank Smith (28),2.078,1908,R
89,90.,Mordecai Brown+ (29),2.080,1906,R
90,91.,Randy Johnson+ (31),2.081,1995,L
91,91.,Sam McDowell (22),2.081,1965,L
92,93.,Jack Coombs (27),2.082,1910,R
93,93.,Jim Devlin (27),2.082,1876,R
94,93.,Don Sutton+ (23),2.082,1968,R
95,96.,Addie Joss+ (27),2.086,1907,R
96,97.,Red Ames (26),2.090,1909,R
97,97.,Hippo Vaughn (29),2.090,1917,L
98,99.,John Ward+ (20),2.095,1880,R
99,100.,Addie Joss+ (29),2.098,1909,R
