,Rank,Player (age that year),Def. Games as LF (s.1901),Year,Throws
0,1.,Pete Rose (33),163,1974,R
1,1.,Leon Wagner (30),163,1964,R
2,3.,Luis Gonzalez (32),162,2000,R
3,3.,Carlos Lee (29),162,2005,R
4,3.,Gary Matthews (31),162,1982,R
5,3.,Roy White (29),162,1973,R
6,3.,Billy Williams+ (26),162,1964,R
7,8.,Luis Gonzalez (33),161,2001,R
8,8.,Roy White (26),161,1970,R
9,8.,Carl Yastrzemski+ (27),161,1967,R
10,11.,Rocky Colavito (28),160,1962,R
11,11.,Jose Cruz (35),160,1983,L
12,11.,Jose Cruz (36),160,1984,L
13,11.,Alex Gordon (28),160,2012,R
14,11.,Hideki Matsui (30),160,2004,R
15,11.,Billy Williams+ (25),160,1963,R
16,11.,Billy Williams+ (29),160,1967,R
17,11.,Carl Yastrzemski+ (22),160,1962,R
18,19.,Albert Belle (31),159,1998,R
19,19.,Barry Bonds (32),159,1997,L
20,19.,Lou Brock+ (34),159,1973,L
21,19.,Mike Greenwell (26),159,1990,R
22,19.,Greg Luzinski (22),159,1973,R
23,19.,Greg Luzinski (24),159,1975,R
24,19.,Ben Oglivie (33),159,1982,L
25,19.,Pete Rose (32),159,1973,R
26,19.,Billy Williams+ (24),159,1962,R
27,28.,Phil Bradley (28),158,1987,R
28,28.,Ryan Braun (25),158,2009,R
29,28.,Warren Cromartie (25),158,1979,L
30,28.,Jose Cruz (32),158,1980,L
31,28.,Brian Downing (31),158,1982,R
32,28.,Alfonso Soriano (30),158,2006,R
33,34.,Jason Bay (27),157,2006,R
34,34.,George Bell (25),157,1985,R
35,34.,Barry Bonds (28),157,1993,L
36,34.,Lou Brock+ (28),157,1967,L
37,34.,Lou Brock+ (30),157,1969,L
38,34.,Pat Burrell (25),157,2002,R
39,34.,Warren Cromartie (24),157,1978,L
40,34.,Rickey Henderson+ (21),157,1980,L
41,34.,Matt Holliday (27),157,2007,R
42,34.,Raul Ibanez (34),157,2006,R
43,34.,Steve Kemp (23),157,1978,L
44,34.,Harmon Killebrew+ (28),157,1964,R
45,34.,Ralph Kiner+ (30),157,1953,R
46,34.,Carlos Lee (31),157,2007,R
47,34.,Troy O'Leary (29),157,1999,L
48,34.,Jim Rice+ (31),157,1984,R
49,34.,B.J. Surhoff (33),157,1998,R
50,34.,Carl Yastrzemski+ (26),157,1966,R
51,52.,Barry Bonds (24),156,1989,L
52,52.,Lou Brock+ (29),156,1968,L
53,52.,Jose Cruz (31),156,1979,L
54,52.,Adam Dunn (24),156,2004,R
55,52.,Adam Dunn (26),156,2006,R
56,52.,Alex Gordon (30),156,2014,R
57,52.,Tommy Harper (24),156,1965,R
58,52.,Larry Herndon (28),156,1982,R
59,52.,Geoff Jenkins (29),156,2004,R
60,52.,Carlos Lee (27),156,2003,R
61,52.,Gary Matthews (25),156,1976,R
62,52.,Joe Medwick+ (25),156,1937,R
63,52.,Jim Rice+ (33),156,1986,R
64,52.,Gene Richards (26),156,1980,L
65,52.,Spike Shannon (31),156,1906,R
66,52.,Jimmy Sheckard (32),156,1911,R
67,52.,Burt Shotton (31),156,1916,R
68,52.,Zack Wheat+ (22),156,1910,R
69,52.,Ted Williams+ (28),156,1947,R
70,71.,Barry Bonds (33),155,1998,L
71,71.,Lou Brock+ (32),155,1971,L
72,71.,George Burns (26),155,1916,R
73,71.,Pat Burrell (31),155,2008,R
74,71.,Jose Cruz (34),155,1982,L
75,71.,Patsy Dougherty (27),155,1904,R
76,71.,Bibb Falk (27),155,1926,L
77,71.,Ron Gant (28),155,1993,R
78,71.,Alex Gordon (29),155,2013,R
79,71.,Steve Henderson (25),155,1978,R
80,71.,Matt Holliday (29),155,2009,R
81,71.,Matt Holliday (30),155,2010,R
82,71.,Alex Johnson (27),155,1970,R
83,71.,Sherry Magee (20),155,1905,R
84,71.,Joe Medwick+ (24),155,1936,R
85,71.,Ward Miller (30),155,1915,R
86,71.,Jo-Jo Moore (26),155,1935,R
87,71.,Troy O'Leary (28),155,1998,L
88,71.,Juan Pierre (33),155,2011,L
89,71.,Al Scheer (26),155,1915,R
90,71.,Spike Shannon (32),155,1907,R
91,71.,George Stone (28),155,1905,L
92,71.,George Stone (30),155,1907,L
93,71.,Roy White (28),155,1972,R
94,71.,Ted Williams+ (30),155,1949,R
95,96.,Moises Alou (37),154,2004,R
96,96.,Jason Bay (29),154,2008,R
97,96.,Albert Belle (30),154,1997,R
98,96.,George Burns (30),154,1920,R
99,96.,Max Carey+ (24),154,1914,R
100,96.,Carl Crawford (27),154,2009,L
101,96.,Pat Duncan (26),154,1920,R
102,96.,Del Ennis (24),154,1949,R
103,96.,George Foster (29),154,1978,R
104,96.,Augie Galan (23),154,1935,R
105,96.,Luis Gonzalez (35),154,2003,R
106,96.,Goose Goslin+ (23),154,1924,R
107,96.,Jack Graney (30),154,1916,L
108,96.,Rusty Greer (29),154,1998,L
109,96.,Steve Kemp (27),154,1982,L
110,96.,Ralph Kiner+ (25),154,1948,R
111,96.,Carlos Lee (33),154,2009,R
112,96.,Duffy Lewis (24),154,1912,R
113,96.,Greg Luzinski (27),154,1978,R
114,96.,Sherry Magee (21),154,1906,R
115,96.,Heinie Manush+ (26),154,1928,L
116,96.,Joe Medwick+ (23),154,1935,R
117,96.,Irish Meusel (29),154,1922,R
118,96.,Pete Rose (31),154,1972,R
119,96.,Al Simmons+ (30),154,1932,R
120,96.,George Stone (29),154,1906,L
121,96.,Bobby Veach (29),154,1917,R
122,96.,Bobby Veach (32),154,1920,R
123,96.,Bobby Veach (34),154,1922,R
124,96.,Billy Williams+ (32),154,1970,R
125,96.,Carl Yastrzemski+ (28),154,1968,R
126,127.,Lance Berkman (27),153,2003,L
127,127.,Bob Bescher (27),153,1911,L
128,127.,Phil Bradley (29),153,1988,R
129,127.,Ryan Braun (26),153,2010,R
130,127.,Pat Burrell (28),153,2005,R
131,127.,Warren Cromartie (23),153,1977,L
132,127.,Del Ennis (31),153,1956,R
