,Rank,Player (age that year),Losses,Year,Throws
623,483.,Pete Schneider (19),19,1915,R
624,483.,Pete Schneider (20),19,1916,R
625,483.,Pete Schneider (21),19,1917,R
626,483.,Al Schulz (27),19,1916,L
627,483.,Ed Seward (21),19,1888,R
628,483.,Cy Seymour (25),19,1898,L
629,483.,James Shields (34),19,2016,R
630,483.,Allan Sothoron (24),19,1917,R
631,483.,Warren Spahn+ (31),19,1952,L
632,483.,Tully Sparks (27),19,1902,R
633,483.,Paul Splittorff (27),19,1974,L
634,483.,Bill Steele (24),19,1911,R
635,483.,Lefty Stewart (31),19,1932,L
636,483.,Bill Stoneman (25),19,1969,R
637,483.,Scott Stratton (22),19,1892,R
638,483.,Jack Sutthoff (31),19,1904,R
639,483.,Frank Tanana (20),19,1974,L
640,483.,Jack Taylor (27),19,1901,R
641,483.,Jack Taylor (30),19,1904,R
642,483.,Jim Tobin (31),19,1944,R
643,483.,Jim Tobin (32),19,1945,R
644,483.,Virgil Trucks (35),19,1952,R
645,483.,Rube Vickers (29),19,1908,R
646,483.,Rube Waddell+ (27),19,1904,L
647,483.,John Ward+ (19),19,1879,R
648,483.,Jack Warhop (27),19,1912,R
649,483.,Carl Weilman (23),19,1913,L
650,483.,Carl Weilman (25),19,1915,L
651,483.,Mickey Welch+ (28),19,1888,R
652,483.,Snake Wiltse (30),19,1902,L
653,483.,Ted Wingfield (25),19,1925,R
654,483.,George Winter (30),19,1908,R
655,483.,Rick Wise (32),19,1978,R
656,483.,Wilbur Wood (32),19,1974,L
657,483.,Clyde Wright (32),19,1973,L
658,483.,Early Wynn+ (28),19,1948,R
659,483.,Cy Young+ (30),19,1897,R
660,483.,Cy Young+ (38),19,1905,R
661,483.,Matt Young (26),19,1985,L
