,Rank,Player (age that year),Losses,Year,Throws
185,169.,Guy Hecker (30),23,1886,R
186,169.,Hardie Henderson (21),23,1884,R
187,169.,Tom Hughes (22),23,1901,R
188,169.,Tom Hughes (25),23,1904,R
189,169.,Beany Jacobson (23),23,1904,L
190,169.,Frank Killen (26),23,1897,L
191,169.,Terry Larkin (23),23,1879,R
192,169.,Sam Leever (27),23,1899,R
193,169.,Vive Lindaman (28),23,1906,R
194,169.,Dolf Luque (31),23,1922,R
195,169.,Jim McCormick (30),23,1887,R
196,169.,Charlie McCullough (24),23,1890,R
197,169.,Doc McJames (22),23,1897,R
198,169.,Lee Meadows (21),23,1916,R
199,169.,Frank Meinke (20),23,1884,
200,169.,Win Mercer (20),23,1894,R
201,169.,Win Mercer (21),23,1895,R
202,169.,Ed Morris (25),23,1888,L
203,169.,George Mullin (23),23,1904,R
204,169.,Elmer Myers (22),23,1916,R
205,169.,Rollie Naylor (28),23,1920,R
206,169.,Jack Neagle (25),23,1883,R
207,169.,Tricky Nichols (26),23,1877,R
208,169.,Orval Overall (24),23,1905,R
209,169.,Casey Patten (30),23,1904,L
210,169.,Old Hoss Radbourn+ (32),23,1887,R
211,169.,Eddie Rommel (23),23,1921,R
212,169.,Amos Rusie+ (24),23,1895,R
213,169.,Scott Stratton (23),23,1893,R
214,169.,Mickey Welch+ (23),23,1883,R
215,169.,Kaiser Wilhelm (28),23,1905,R
216,169.,Irv Young (29),23,1907,L
217,218.,Jersey Bakley (25),22,1889,R
218,218.,Bill Bonham (25),22,1974,R
219,218.,Henry Boyle (27),22,1888,R
220,218.,Bill Carrick (26),22,1900,R
221,218.,Bill Carrick (27),22,1901,R
222,218.,Dan Casey (27),22,1890,L
223,218.,Roger Craig (33),22,1963,R
224,218.,Ed Crane (29),22,1891,R
225,218.,Art Ditmar (27),22,1956,R
226,218.,Dick Ellsworth (26),22,1966,L
227,218.,Pud Galvin+ (27),22,1884,R
228,218.,Pretzels Getzien (25),22,1889,R
229,218.,Kid Gleason (24),22,1891,R
230,218.,Kid Gleason (26),22,1893,R
231,218.,Dan Griner (25),22,1913,R
232,218.,Henry Gruber (27),22,1891,R
233,218.,Pink Hawley (22),22,1895,R
234,218.,Harry Howell (28),22,1905,R
235,218.,Si Johnson (27),22,1934,R
236,218.,Randy Jones (24),22,1974,L
237,218.,Brickyard Kennedy (30),22,1898,R
238,218.,Silver King (22),22,1890,R
239,218.,Charlie Knepper (28),22,1899,R
240,218.,Lon Knight (23),22,1876,R
241,218.,Joe Lake (27),22,1908,R
242,218.,Rube Marquard+ (27),22,1914,L
243,218.,Denny McLain (27),22,1971,R
244,218.,Ed Morris (24),22,1887,L
245,218.,Frank Mountain (22),22,1882,R
246,218.,Hugh Mulcahy (26),22,1940,R
247,218.,Tony Mullane (34),22,1893,R
248,218.,The Only Nolan (22),22,1878,R
249,218.,Al Orth (30),22,1903,R
250,218.,Casey Patten (29),22,1903,L
251,218.,Big Jeff Pfeffer (24),22,1906,R
252,218.,Togie Pittinger (31),22,1903,R
253,218.,Jack Quinn (31),22,1915,R
254,218.,Eppa Rixey+ (29),22,1920,L
255,218.,Robin Roberts+ (30),22,1957,R
256,218.,Steve Rogers (24),22,1974,R
257,218.,Red Ruffing+ (24),22,1929,R
258,218.,Jack Stivetts (23),22,1891,R
259,218.,Lefty Tyler (22),22,1912,L
260,218.,Sam Weaver (27),22,1883,R
261,218.,Mickey Welch+ (26),22,1886,R
262,218.,Will White (28),22,1883,R
263,218.,Kaiser Wilhelm (31),22,1908,R
264,218.,Weldon Wyckoff (24),22,1915,R
265,218.,Joe Yeager (22),22,1898,R
266,218.,Cy Young+ (24),22,1891,R
267,268.,Steve Arlin (26),21,1972,R
268,268.,Stan Bahnsen (28),21,1973,R
269,268.,Jesse Barnes (24),21,1917,R
270,268.,Fred Beebe (29),21,1909,R
271,268.,Ed Brandt (23),21,1928,L
272,268.,John Clarkson+ (25),21,1887,R
273,268.,Ed Cushman (33),21,1885,L
274,268.,Ed Cushman (34),21,1886,L
275,268.,Ed Cushman (38),21,1890,L
276,268.,Hooks Dauss (30),21,1920,R
277,268.,Paul Derringer (27),21,1934,R
278,268.,Murry Dickson (35),21,1952,R
279,268.,Bill Dinneen (26),21,1902,R
280,268.,Denny Driscoll (27),21,1883,L
281,268.,Jack Dunn (25),21,1898,R
282,268.,Frank Dwyer (26),21,1894,R
283,268.,Mal Eason (26),21,1905,R
284,268.,Red Ehret (25),21,1894,R
285,268.,Dana Fillingim (26),21,1920,R
286,268.,Russ Ford (29),21,1912,R
287,268.,Frank Foreman (26),21,1889,R
288,268.,Chick Fraser (31),21,1905,R
289,268.,Pud Galvin+ (29),21,1886,R
290,268.,Pud Galvin+ (30),21,1887,R
291,268.,Bump Hadley (27),21,1932,R
292,268.,Bob Harmon (25),21,1913,R
293,268.,Harry Harper (24),21,1919,L
294,268.,Joe Harris (24),21,1906,R
295,268.,Lum Harris (28),21,1943,R
296,268.,Slim Harriss (29),21,1927,R
297,268.,Pink Hawley (23),21,1896,R
298,268.,Egyptian Healy (23),21,1890,R
299,268.,Harry Howell (24),21,1901,R
300,268.,Harry Howell (27),21,1904,R
301,268.,Bill Hutchison (35),21,1895,R
302,268.,Larry Jackson (34),21,1965,R
303,268.,Sad Sam Jones (32),21,1925,R
304,268.,Harry Kelley (31),21,1937,R
305,268.,Matt Kilroy (22),21,1888,L
306,268.,Phil Knell (29),21,1894,L
307,268.,Don Larsen (24),21,1954,R
308,268.,Mickey Lolich (33),21,1974,L
309,268.,Jack Lynch (28),21,1885,R
310,268.,Ted Lyons+ (32),21,1933,R
311,268.,Mike Maroth (25),21,2003,L
312,268.,Al Mattern (26),21,1909,L
313,268.,Al Maul (27),21,1893,R
314,268.,Harry McIntire (27),21,1906,R
315,268.,Sadie McMahon (22),21,1890,R
316,268.,George Mullin (24),21,1905,R
317,268.,Joe Oeschger (30),21,1922,R
318,268.,Al Orth (34),21,1907,R
319,268.,Casey Patten (31),21,1905,L
320,268.,George Pechiney (24),21,1886,R
321,268.,Barney Pelty (26),21,1907,R
322,268.,Togie Pittinger (32),21,1904,R
323,268.,Henry Porter (27),21,1885,R
324,268.,Old Hoss Radbourn+ (30),21,1885,R
325,268.,Eppa Rixey+ (26),21,1917,L
326,268.,Nap Rucker (27),21,1912,L
327,268.,Amos Rusie+ (22),21,1893,R
328,268.,Fred Sanford (28),21,1948,R
329,268.,Jack Scott (28),21,1920,R
330,268.,Jack Scott (35),21,1927,R
331,268.,Jim Scott (25),21,1913,R
332,268.,Billy Serad (23),21,1885,R
333,268.,Jack Stivetts (22),21,1890,R
334,268.,Bill Sweeney (26),21,1884,R
335,268.,Charlie Sweeney (22),21,1885,R
336,268.,Jack Taylor (23),21,1896,R
337,268.,Jack Taylor (25),21,1899,R
338,268.,Jack Taylor (31),21,1905,R
339,268.,Jim Tobin (29),21,1942,R
340,268.,Tom Vickery (23),21,1890,R
341,268.,Bucky Walters (27),21,1936,R
342,268.,Mickey Welch+ (24),21,1884,R
343,268.,Gus Weyhing (22),21,1889,R
344,268.,Gus Weyhing (25),21,1892,R
345,268.,Gus Weyhing (28),21,1895,R
346,268.,Gus Weyhing (32),21,1899,R
347,268.,Will White (23),21,1878,R
348,268.,Jim Whitney (24),21,1882,R
349,268.,Jim Whitney (25),21,1883,R
350,268.,Jim Whitney (29),21,1887,R
351,268.,Jim Whitney (30),21,1888,R
352,268.,Stump Weidman (23),21,1884,R
353,268.,Stan Yerkes (27),21,1902,R
354,268.,Cy Young+ (27),21,1894,R
355,268.,Cy Young+ (39),21,1906,R
356,268.,Irv Young (27),21,1905,L
357,358.,Nate Andrews (29),20,1943,R
358,358.,Bill Bailey (27),20,1915,L
359,358.,Mark Baldwin (29),20,1893,R
360,358.,Jesse Barnes (31),20,1924,R
361,358.,Dick Barrett (38),20,1945,R
362,358.,George Baumgardner (21),20,1913,R
363,358.,Boom-Boom Beck (28),20,1933,R
364,358.,Rube Benton (22),20,1912,L
365,358.,Joe Bowman (26),20,1936,R
366,358.,Harry Byrd (28),20,1953,R
367,358.,Howie Camnitz (31),20,1913,R
368,358.,Steve Carlton+ (28),20,1973,L
369,358.,George Caster (30),20,1938,R
370,358.,Jack Chesbro+ (34),20,1908,R
371,358.,John Clarkson+ (26),20,1888,R
372,358.,Pete Conway (19),20,1886,R
373,358.,Larry Corcoran (23),20,1883,R
374,358.,Nick Cullop (26),20,1914,L
375,358.,George Derby (24),20,1882,R
376,358.,Murry Dickson (37),20,1954,R
377,358.,Bill Dinneen (23),20,1899,R
378,358.,Bill Doak (26),20,1917,R
379,358.,Phil Douglas (27),20,1917,R
380,358.,Pete Dowling (21),20,1898,L
381,358.,Howard Ehmke (31),20,1925,R
382,358.,Red Ehret (23),20,1892,R
383,358.,Dick Ellsworth (22),20,1962,L
384,358.,Cy Falkenberg (26),20,1906,R
385,358.,Turk Farrell (28),20,1962,R
386,358.,Charlie Ferguson (22),20,1885,R
387,358.,Cherokee Fisher (31),20,1876,R
388,358.,Frank Foreman (28),20,1891,R
389,358.,Chick Fraser (24),20,1898,R
390,358.,Chick Fraser (32),20,1906,R
391,358.,Ned Garvin (27),20,1901,R
392,358.,Milt Gaston (34),20,1930,R
393,358.,Les German (27),20,1896,R
394,358.,Frank Gilmore (23),20,1887,R
395,358.,Bob Groom (29),20,1914,R
396,358.,Bump Hadley (28),20,1933,R
397,358.,Noodles Hahn (21),20,1900,L
398,358.,Jesse Haines+ (26),20,1920,R
399,358.,John Harkins (26),20,1885,R
400,358.,Slim Harriss (24),20,1922,R
401,358.,Guy Hecker (28),20,1884,R
402,358.,Glen Hobbie (24),20,1960,R
403,358.,Art Houtteman (24),20,1952,R
404,358.,Tom Hughes (26),20,1905,R
405,358.,Bert Inks (24),20,1895,L
406,358.,Al Jackson (26),20,1962,L
407,358.,Al Jackson (29),20,1965,L
408,358.,Walter Johnson+ (28),20,1916,R
409,358.,Sad Sam Jones (26),20,1919,R
410,358.,Sam Jones (29),20,1955,R
411,358.,Tim Keefe+ (29),20,1886,R
412,358.,Alex Kellner (25),20,1950,L
413,358.,Brickyard Kennedy (25),20,1893,R
414,358.,Brickyard Kennedy (26),20,1894,R
415,358.,Brickyard Kennedy (28),20,1896,R
416,358.,Brickyard Kennedy (29),20,1897,R
417,358.,Vern Kennedy (32),20,1939,R
418,358.,Henry Keupper (27),20,1914,L
419,358.,Frank Killen (27),20,1898,L
420,358.,Ed Killian (27),20,1904,L
421,358.,Sam Kimber (31),20,1884,R
422,358.,Brian Kingman (25),20,1980,R
423,358.,Silver King (20),20,1888,R
424,358.,Clay Kirby (21),20,1969,R
425,358.,Jerry Koosman (34),20,1977,L
426,358.,Ted Lyons+ (28),20,1929,R
427,358.,Joe McGinnity+ (30),20,1901,R
428,358.,Joe McGinnity+ (32),20,1903,R
429,358.,Harry McIntire (29),20,1908,R
430,358.,Doc McJames (21),20,1896,R
431,358.,Lee Meadows (24),20,1919,R
432,358.,Jouett Meekin (25),20,1892,R
433,358.,Rube Melton (25),20,1942,R
434,358.,Win Mercer (23),20,1897,R
435,358.,Roscoe Miller (25),20,1902,R
436,358.,Ed Morris (23),20,1886,L
