,Rank,Player (age that year),Range Factor/9Inn as 2B,Year,Throws
112,113.,Nap Lajoie+ (28),6.400,1903,R
113,114.,Frank O'Rourke (33),6.398,1925,R
114,115.,Lou Bierbauer (20),6.392,1886,R
115,116.,Bob Ferguson (38),6.389,1883,R
116,117.,Tom McLaughlin (25),6.385,1885,R
117,118.,Bid McPhee+ (30),6.374,1890,R
118,119.,Charley Bassett (24),6.370,1887,R
119,119.,Connie Ryan (24),6.370,1944,R
120,121.,Joe Gerhardt (26),6.369,1881,R
121,122.,Bill Cissell (30),6.367,1934,R
122,123.,Tony Cuccinello (26),6.361,1934,R
123,124.,Johnny Hodapp (27),6.360,1933,R
124,125.,Charley Bassett (26),6.359,1889,R
125,126.,High Pockets Kelly+ (29),6.356,1925,R
126,127.,Jack Crooks (29),6.355,1895,R
127,128.,Bid McPhee+ (25),6.345,1885,R
128,129.,Bobby Lowe (30),6.344,1896,R
129,130.,Cupid Childs (27),6.342,1895,R
130,131.,Fred Pfeffer (33),6.340,1893,R
131,132.,Jo-Jo Morrissey (29),6.333,1933,R
132,133.,Heinie Reitz (27),6.331,1894,R
133,134.,Andy Cohen (24),6.327,1929,R
134,135.,Bill Cissell (28),6.325,1932,R
135,136.,Nap Lajoie+ (33),6.324,1908,R
136,137.,Jerry Priddy (28),6.322,1948,R
137,138.,Kid Gleason (32),6.317,1899,R
138,139.,Hod Ford (26),6.316,1924,R
139,139.,Jerry Priddy (30),6.316,1950,R
140,141.,Hughie Critz (24),6.315,1925,R
141,142.,Billy Goodman (26),6.313,1952,R
142,142.,Fresco Thompson (27),6.313,1929,R
143,144.,Bill Regan (27),6.312,1926,R
144,145.,Jimmy Bloodworth (23),6.309,1941,R
145,146.,Bobby Doerr+ (21),6.304,1939,R
146,147.,Dave Shean (26),6.301,1910,R
147,148.,Tony Cuccinello (28),6.299,1936,R
148,149.,Lou Bierbauer (26),6.295,1892,R
149,150.,Eddie Collins+ (34),6.292,1921,R
150,150.,Jackie Hayes (26),6.292,1933,R
151,152.,Wayne Terwilliger (30),6.288,1955,R
152,153.,Bid McPhee+ (37),6.272,1897,R
153,154.,Nap Lajoie+ (27),6.270,1902,R
154,155.,Danny Richardson (24),6.264,1887,R
155,156.,Jimmy Johnston (33),6.261,1923,R
156,157.,Bill Wambsganss (31),6.259,1925,R
157,158.,Fred Dunlap (30),6.258,1889,R
158,158.,Bill McClellan (30),6.258,1886,L
159,158.,Bid McPhee+ (23),6.258,1883,R
160,161.,Lou Bierbauer (27),6.250,1893,R
161,162.,Bill Wambsganss (30),6.246,1924,R
162,163.,Jim Connor (34),6.244,1897,R
163,163.,Billy Herman+ (27),6.244,1937,R
164,163.,Fresco Thompson (28),6.244,1930,R
165,166.,Buddy Myer (31),6.243,1935,R
166,167.,Rabbit Warstler (30),6.242,1934,R
167,168.,Danny Richardson (26),6.239,1889,R
168,169.,Germany Schaefer (30),6.234,1906,R
169,170.,John Ward+ (24),6.229,1884,R
170,171.,Buddy Myer (29),6.228,1933,R
171,172.,Johnny Hodapp (25),6.227,1931,R
172,173.,Sam LaRocque (27),6.225,1890,R
173,174.,Billy Herman+ (26),6.221,1936,R
174,175.,Red Schoendienst+ (26),6.219,1949,R
175,176.,Sparky Adams (31),6.218,1926,R
176,177.,Sam Wise (32),6.215,1890,R
177,178.,Eddie Stanky (27),6.213,1943,R
178,179.,Lou Bierbauer (22),6.210,1888,R
179,180.,Dave Cash (24),6.206,1972,R
180,181.,Lou Chiozza (25),6.204,1935,R
181,182.,Pep Young (30),6.201,1938,R
182,183.,Nap Lajoie+ (32),6.200,1907,R
183,183.,Hardy Richardson (29),6.200,1884,R
184,185.,Cupid Childs (22),6.199,1890,R
185,186.,Paul Popovich (32),6.198,1973,R
186,187.,Bill Mazeroski+ (26),6.195,1963,R
187,187.,Bill Sweeney (26),6.195,1912,R
188,189.,Jimmy Dykes (24),6.194,1921,R
189,190.,Billy Herman+ (24),6.190,1934,R
190,191.,Charlie Gehringer+ (24),6.189,1927,R
191,192.,Fresco Thompson (26),6.184,1928,R
192,193.,Julio Cruz (26),6.182,1981,R
193,193.,Yank Robinson (26),6.182,1886,R
194,195.,Bill Mazeroski+ (24),6.178,1961,R
