,Rank,Player (age that year),Fielding % as LF (s.1901),Year,Throws
137,136.,Juan Rivera (30),.9918,2009,R
138,139.,Heinie Manush+ (26),.9917,1928,L
139,139.,Kevin Mench (27),.9917,2005,R
140,139.,Tim Raines+ (22),.9917,1982,R
141,139.,Pete Rose (32),.9917,1973,R
142,139.,Joe Rudi (26),.9917,1973,R
143,144.,Kevin McReynolds (31),.9916,1991,R
144,144.,Joe Rudi (31),.9916,1978,R
145,146.,Bibb Falk (27),.9915,1926,L
146,146.,Juan Gonzalez (24),.9915,1994,R
147,146.,Gene Woodling (34),.9915,1957,R
148,149.,Don Buford (33),.9914,1970,R
149,149.,George Foster (32),.9914,1981,R
150,149.,Brett Gardner (30),.9914,2014,L
151,149.,Luis Gonzalez (26),.9914,1994,R
152,149.,Cleon Jones (26),.9914,1969,L
153,154.,Alex Gordon (32),.9913,2016,R
154,154.,Rickey Henderson+ (24),.9913,1983,L
155,156.,Jason Bay (32),.9912,2011,R
156,156.,Marty Cordova (26),.9912,1996,R
157,156.,Red Worthington (25),.9912,1931,R
158,159.,Dan Gladden (30),.9911,1988,R
159,159.,Raul Ibanez (37),.9911,2009,R
160,161.,Alex Gordon (27),.9910,2011,R
161,161.,Carlos Lee (33),.9910,2009,R
162,161.,Jason Michaels (30),.9910,2006,R
163,161.,Roy Sievers (31),.9910,1958,R
164,165.,Harry Anderson (25),.9909,1957,R
165,165.,Jason Bay (27),.9909,2006,R
166,165.,Larry Bigbie (26),.9909,2004,R
167,165.,Barry Bonds (26),.9909,1991,L
168,165.,Carl Crawford (21),.9909,2003,L
169,165.,Andy Dirks (27),.9909,2013,L
170,171.,Raul Ibanez (38),.9908,2010,R
171,172.,Dante Bichette (33),.9907,1997,R
172,172.,Pat Burrell (31),.9907,2008,R
173,172.,Dale Mitchell (26),.9907,1948,L
174,172.,David Peralta (27),.9907,2015,L
175,176.,Jason Bay (25),.9906,2004,R
176,176.,Carlos May (22),.9906,1970,R
177,176.,Juan Soto (19),.9906,2018,L
178,179.,Dusty Baker (31),.9905,1980,R
179,179.,Barry Bonds (27),.9905,1992,L
180,179.,Willie Horton (22),.9905,1965,R
181,182.,Phil Bradley (29),.9904,1988,R
182,182.,Carl Crawford (24),.9904,2006,L
183,182.,Rusty Greer (29),.9904,1998,L
184,182.,Lourdes Gurriel Jr. (26),.9904,2020,R
185,186.,Moises Alou (35),.9903,2002,R
186,186.,Troy O'Leary (28),.9903,1998,L
187,188.,Matt Holliday (27),.9902,2007,R
188,188.,Jay Payton (30),.9902,2003,R
189,188.,Randy Winn (29),.9902,2003,R
190,191.,Dusty Baker (30),.9901,1979,R
191,191.,Luis Gonzalez (32),.9901,2000,R
192,191.,David Murphy (31),.9901,2013,L
193,194.,George Burns (29),.9900,1919,R
194,194.,Gary Ward (28),.9900,1982,R
195,196.,Brady Anderson (31),.9899,1995,L
196,196.,Carson Bigbee (28),.9899,1923,R
197,196.,Phil Bradley (30),.9899,1989,R
198,196.,Greg Vaughn (26),.9899,1992,R
199,200.,Wil Cordero (28),.9898,2000,R
200,200.,Joe Medwick+ (30),.9898,1942,R
201,202.,Phil Plantier (24),.9897,1993,R
202,203.,Ryan Braun (26),.9896,2010,R
203,203.,George Foster (28),.9896,1977,R
204,203.,Tim Raines+ (31),.9896,1991,R
205,203.,Manny Ramirez (35),.9896,2007,R
206,207.,Darin Erstad (26),.9895,2000,L
207,207.,Carlos Lee (24),.9895,2000,R
208,209.,Domonic Brown (26),.9894,2014,L
209,209.,Tito Francona (26),.9894,1960,L
210,209.,Shannon Stewart (33),.9894,2007,R
211,209.,B.J. Surhoff (35),.9894,2000,R
212,209.,Leon Wagner (32),.9894,1966,R
213,214.,Luis Gonzalez (37),.9893,2005,R
214,214.,Al Simmons+ (27),.9893,1929,R
215,216.,Garret Anderson (25),.9892,1997,L
216,216.,Dusty Baker (32),.9892,1981,R
217,216.,Roy White (25),.9892,1969,R
218,219.,Brian Downing (35),.9891,1986,R
219,219.,Mike Greenwell (27),.9891,1991,R
220,219.,Lou Johnson (30),.9891,1965,R
221,219.,Barney McCosky (31),.9891,1948,R
222,219.,Manny Ramirez (34),.9891,2006,R
223,219.,Billy Williams+ (29),.9891,1967,R
224,225.,Andrew Benintendi (24),.9890,2019,L
225,225.,Don Buford (35),.9890,1972,R
226,225.,Eric Byrnes (28),.9890,2004,R
227,225.,Augie Galan (32),.9890,1944,R
228,225.,Matt Holliday (30),.9890,2010,R
229,225.,Rick Reichardt (25),.9890,1968,R
230,225.,Bill Robinson (35),.9890,1978,R
231,225.,B.J. Surhoff (33),.9890,1998,R
232,233.,Mel Hall (26),.9889,1987,L
233,233.,Al Simmons+ (31),.9889,1933,R
234,235.,Bernard Gilkey (30),.9888,1997,R
235,236.,Lance Berkman (27),.9887,2003,L
236,236.,Barry Bonds (35),.9887,2000,L
237,236.,Scott Podsednik (29),.9887,2005,L
238,239.,Don Baylor (26),.9886,1975,R
239,239.,Heinie Manush+ (28),.9886,1930,L
240,239.,Jim Russell (24),.9886,1943,R
241,239.,Al Simmons+ (28),.9886,1930,R
242,239.,Joe Vosmik (22),.9886,1932,R
243,244.,Jackie Brandt (25),.9885,1959,R
244,244.,Brett Gardner (32),.9885,2016,L
245,244.,Luis Gonzalez (35),.9885,2003,R
246,244.,Peanuts Lowrey (31),.9885,1949,R
247,244.,Carlos May (26),.9885,1974,R
248,244.,Jim Rice+ (31),.9885,1984,R
249,250.,Marty Cordova (25),.9884,1995,R
250,251.,Khris Davis (26),.9883,2014,R
251,251.,Rickey Henderson+ (30),.9883,1989,L
252,251.,Troy O'Leary (30),.9883,2000,L
253,254.,Phil Bradley (26),.9882,1985,R
254,254.,Augie Galan (35),.9882,1947,R
255,254.,Rickey Henderson+ (40),.9882,1999,L
256,254.,Joe Rudi (29),.9882,1976,R
257,254.,Roy Sievers (28),.9882,1955,R
258,259.,Jerald Clark (28),.9881,1992,R
259,259.,Carl Crawford (27),.9881,2009,L
260,259.,Matt Holliday (28),.9881,2008,R
261,259.,Geoff Jenkins (32),.9881,2007,R
262,259.,Kevin McReynolds (30),.9881,1990,R
263,264.,Dave Collins (30),.9880,1983,L
264,264.,George Foster (34),.9880,1983,R
265,264.,Phil Plantier (25),.9880,1994,R
266,264.,Jim Rice+ (26),.9880,1979,R
267,264.,Jim Rice+ (28),.9880,1981,R
268,269.,Melky Cabrera (31),.9879,2016,L
269,269.,Ben Grieve (24),.9879,2000,R
270,269.,Peanuts Lowrey (27),.9879,1945,R
271,269.,Justin Upton (27),.9879,2015,R
272,269.,Vernon Wells (32),.9879,2011,R
273,269.,Zack Wheat+ (34),.9879,1922,R
274,275.,Dan Gladden (33),.9878,1991,R
275,275.,Luis Gonzalez (30),.9878,1998,R
276,275.,Matt Murton (24),.9878,2006,R
277,275.,Terry Whitfield (25),.9878,1978,R
278,279.,Tim Raines+ (23),.9877,1983,R
279,279.,Billy Sample (28),.9877,1983,R
280,279.,Ted Williams+ (32),.9877,1951,R
281,282.,Raul Ibanez (31),.9876,2003,R
282,282.,Bob Johnson (35),.9876,1941,R
283,282.,Matt Lawton (32),.9876,2004,R
284,282.,Willie Wilson (23),.9876,1979,R
285,286.,Al Simmons+ (26),.9875,1928,R
286,287.,Fred Clarke+ (34),.9874,1907,R
287,287.,Carl Crawford (29),.9874,2011,L
288,287.,Luis Gonzalez (28),.9874,1996,R
289,287.,Shane Mack (28),.9874,1992,R
290,287.,Vada Pinson (33),.9874,1972,L
291,287.,Richie Zisk (27),.9874,1976,R
292,293.,Alejandro De Aza (30),.9873,2014,L
293,293.,Ralph Garr (31),.9873,1977,R
294,293.,Billy Williams+ (25),.9873,1963,R
295,296.,Matt Holliday (32),.9872,2012,R
296,296.,Kyle Tucker (23),.9872,2020,R
297,298.,Dusty Baker (28),.9871,1977,R
298,299.,Fred Clarke+ (36),.9869,1909,R
299,299.,Brett Gardner (27),.9869,2011,L
300,299.,Hideki Matsui (31),.9869,2005,R
301,299.,Justin Upton (30),.9869,2018,R
302,303.,Kal Daniels (26),.9868,1990,R
303,303.,Del Ennis (30),.9868,1955,R
304,303.,Mike Greenwell (24),.9868,1988,R
305,303.,Ben Grieve (23),.9868,1999,R
306,303.,Tim Raines+ (27),.9868,1987,R
307,303.,Dick Sisler (29),.9868,1950,R
308,309.,Coco Crisp (25),.9867,2005,R
309,309.,Harmon Killebrew+ (27),.9867,1963,R
310,309.,Heinie Manush+ (27),.9867,1929,L
311,312.,Brett Butler (26),.9866,1983,L
312,312.,Johnny Damon (25),.9866,1999,L
313,312.,Charlie Maxwell (32),.9866,1959,L
314,312.,Kevin McReynolds (27),.9866,1987,R
315,316.,Ryan Braun (32),.9865,2016,R
316,316.,Don Buford (34),.9865,1971,R
317,316.,Tito Francona (27),.9865,1961,L
318,316.,Sid Gordon (33),.9865,1951,R
319,316.,Chase Headley (25),.9865,2009,R
320,316.,Hideki Matsui (33),.9865,2007,R
321,316.,Josh Willingham (28),.9865,2007,R
322,323.,Bernard Gilkey (28),.9864,1995,R
323,323.,Rickey Henderson+ (39),.9864,1998,L
324,323.,Charlie Maxwell (29),.9864,1956,L
325,323.,Al Simmons+ (29),.9864,1931,R
326,327.,Carl Crawford (25),.9863,2007,L
327,327.,Steve Kemp (26),.9863,1981,L
328,329.,Tito Francona (29),.9862,1963,L
329,329.,Gregg Jefferies (29),.9862,1997,R
330,329.,Hal McRae (29),.9862,1975,R
331,332.,Albert Belle (26),.9860,1993,R
332,332.,Andrew Benintendi (23),.9860,2018,L
333,332.,Pat Burrell (29),.9860,2006,R
334,332.,Sid Gordon (32),.9860,1950,R
335,332.,Frank Howard (30),.9860,1967,R
336,337.,Jimmy Sheckard (27),.9858,1906,R
337,337.,B.J. Surhoff (36),.9858,2001,R
338,339.,Barry Bonds (29),.9857,1994,L
339,340.,George Hendrick (26),.9856,1976,R
340,340.,Larry Herndon (30),.9856,1984,R
341,340.,Jacque Jones (27),.9856,2002,L
342,340.,Heinie Manush+ (30),.9856,1932,L
343,340.,Lou Piniella (27),.9856,1971,R
344,340.,Lou Piniella (29),.9856,1973,R
345,340.,Albert Pujols (23),.9856,2003,R
346,340.,Henry Rodriguez (26),.9856,1994,L
347,348.,Juan Gonzalez (23),.9855,1993,R
348,348.,Eloy Jimenez (23),.9855,2020,R
349,348.,Greg Vaughn (33),.9855,1999,R
350,351.,Rickey Henderson+ (37),.9854,1996,L
351,351.,Charlie Maxwell (31),.9854,1958,L
352,351.,Marcell Ozuna (27),.9854,2018,R
353,351.,Carl Yastrzemski+ (25),.9854,1965,R
354,355.,Carlos Lee (31),.9853,2007,R
355,355.,Jeffrey Leonard (32),.9853,1988,R
356,355.,Henry Rodriguez (29),.9853,1997,L
357,358.,Dusty Baker (29),.9852,1978,R
358,358.,Augie Galan (26),.9852,1938,R
359,358.,Matt Holliday (31),.9852,2011,R
360,358.,Ben Oglivie (34),.9852,1983,L
361,358.,Jim Russell (25),.9852,1944,R
362,363.,Chuck Hinton (30),.9851,1964,R
363,363.,Al Martin (30),.9851,1998,L
364,363.,Minnie Minoso (33),.9851,1959,R
365,363.,Scott Podsednik (34),.9851,2010,L
366,363.,Red Worthington (26),.9851,1932,R
367,368.,Jason Bay (29),.9850,2008,R
368,368.,Jeff Heath (32),.9850,1947,R
369,368.,Kevin McReynolds (28),.9850,1988,R
370,368.,John Milner (26),.9850,1976,L
371,368.,Manny Ramirez (36),.9850,2008,R
372,368.,Joe Vosmik (25),.9850,1935,R
373,368.,Christian Yelich (24),.9850,2016,R
374,375.,Rube Bressler (33),.9849,1928,L
375,375.,Eloy Jimenez (22),.9849,2019,R
376,375.,Al Simmons+ (32),.9849,1934,R
377,375.,Roy White (32),.9849,1976,R
378,375.,Billy Williams+ (35),.9849,1973,R
379,380.,Barry Bonds (41),.9848,2006,L
380,380.,Ron Gant (30),.9848,1995,R
381,380.,Doug Glanville (26),.9848,1997,R
382,380.,Tommy Harper (32),.9848,1973,R
383,380.,Wally Moon (29),.9848,1959,R
384,380.,Roy Sievers (30),.9848,1957,R
385,386.,Riggs Stephenson (31),.9847,1929,R
386,386.,Justin Upton (28),.9847,2016,R
387,386.,Carl Yastrzemski+ (26),.9847,1966,R
388,389.,Birdie Cree (30),.9846,1913,R
389,389.,Luis Gonzalez (34),.9846,2002,R
390,389.,Charlie Keller (25),.9846,1942,R
391,389.,Shannon Stewart (29),.9846,2003,R
392,389.,Shannon Stewart (31),.9846,2005,R
393,389.,Willie Wilson (25),.9846,1981,R
394,395.,Barry Bonds (24),.9845,1989,L
395,395.,Barry Bonds (28),.9845,1993,L
396,395.,Frank Robinson+ (21),.9845,1957,R
397,395.,Carl Yastrzemski+ (29),.9845,1969,R
398,399.,Bill Buckner (26),.9844,1976,L
399,399.,Brian Giles (32),.9844,2003,L
400,399.,Marcell Ozuna (26),.9844,2017,R
401,402.,Dusty Baker (34),.9843,1983,R
402,402.,Duffy Lewis (31),.9843,1919,R
403,402.,Lou Piniella (26),.9843,1970,R
404,402.,Martin Prado (28),.9843,2012,R
405,402.,Frank Schulte (22),.9843,1905,R
406,402.,Joe Vosmik (23),.9843,1933,R
407,402.,Delmon Young (24),.9843,2010,R
408,409.,Bob Cerv (33),.9842,1958,R
409,409.,Brian Hunter (28),.9842,1999,R
410,409.,Raul Ibanez (36),.9842,2008,R
411,409.,Elmer Valo (28),.9842,1949,R
412,409.,Roy White (31),.9842,1975,R
413,414.,Eric Byrnes (31),.9841,2007,R
414,414.,Rusty Greer (27),.9841,1996,L
415,414.,Willie Stargell+ (31),.9841,1971,L
416,414.,Ted Williams+ (23),.9841,1942,R
417,414.,Willie Wilson (26),.9841,1982,R
418,419.,Charlie Jamieson (35),.9840,1928,L
419,419.,Manny Jimenez (23),.9840,1962,R
420,419.,Spike Shannon (30),.9840,1905,R
421,419.,Eric Tipton (28),.9840,1943,R
422,419.,Melvin Upton Jr. (31),.9840,2016,R
423,424.,Rickey Henderson+ (21),.9839,1980,L
424,424.,Joe Rudi (27),.9839,1974,R
425,426.,Barry Bonds (33),.9838,1998,L
426,426.,Greg Luzinski (27),.9838,1978,R
427,426.,Minnie Minoso (31),.9838,1957,R
428,426.,Wally Moon (30),.9838,1960,R
429,426.,Moose Solters (29),.9838,1935,R
430,426.,Josh Willingham (33),.9838,2012,R
431,432.,Barry Bonds (32),.9836,1997,L
432,432.,Jose Cruz (38),.9836,1986,L
433,432.,Luis Gonzalez (23),.9836,1991,R
434,432.,Billy Hatcher (27),.9836,1988,R
435,432.,Craig Monroe (29),.9836,2006,R
436,432.,Luis Polonia (29),.9836,1993,L
437,432.,Jim Rice+ (30),.9836,1983,R
438,432.,Billy Williams+ (34),.9836,1972,R
439,440.,Moises Alou (31),.9835,1998,R
440,440.,Jose Cruz (33),.9835,1981,L
441,440.,Ron Gant (27),.9835,1992,R
442,443.,Rickey Henderson+ (31),.9834,1990,L
443,443.,Raul Ibanez (32),.9834,2004,R
444,443.,Rick Reichardt (28),.9834,1971,R
445,446.,Dante Bichette (31),.9833,1995,R
446,446.,Adam Duvall (31),.9833,2020,R
447,446.,Bernard Gilkey (27),.9833,1994,R
448,449.,George Burns (30),.9832,1920,R
449,449.,Gary Matthews (22),.9832,1973,R
450,449.,Rafael Palmeiro (23),.9832,1988,L
451,452.,Phil Bradley (28),.9831,1987,R
452,452.,Don Buford (32),.9831,1969,R
453,452.,Ted Williams+ (29),.9831,1948,R
454,455.,Rusty Greer (30),.9830,1999,L
455,456.,Barry Bonds (25),.9829,1990,L
456,456.,Eddie Rosario (25),.9829,2017,R
457,456.,Ted Williams+ (30),.9829,1949,R
458,459.,Larry Herndon (28),.9828,1982,R
459,459.,Les Mann (27),.9828,1920,R
460,461.,Joe Adcock (23),.9827,1951,R
461,461.,Bill Collins (28),.9827,1910,R
462,461.,Denver Grigsby (23),.9827,1924,R
463,461.,Jacque Jones (26),.9827,2001,L
464,461.,Joe Medwick+ (25),.9827,1937,R
465,461.,Eric Tipton (29),.9827,1944,R
466,467.,Lou Brock+ (37),.9826,1976,L
467,467.,Pat Burrell (27),.9826,2004,R
468,467.,George Foster (30),.9826,1979,R
469,467.,Matt Holliday (29),.9826,2009,R
470,467.,Hank Sauer (35),.9826,1952,R
471,472.,Barry Bonds (39),.9825,2004,L
472,472.,Luis Gonzalez (31),.9825,1999,R
473,472.,Joe Medwick+ (29),.9825,1941,R
474,472.,Tim Raines+ (21),.9825,1981,R
475,472.,Greg Vaughn (28),.9825,1994,R
476,477.,Chick Hafey+ (28),.9824,1931,R
477,477.,Chet Laabs (31),.9824,1943,R
478,477.,Carlos May (24),.9824,1972,R
479,477.,Matty McIntyre (26),.9824,1906,L
480,477.,Irv Noren (30),.9824,1955,L
481,477.,Riggs Stephenson (30),.9824,1928,R
482,483.,Lance Berkman (25),.9823,2001,L
483,483.,Tommy Harper (24),.9823,1965,R
484,485.,Tommy Davis (25),.9822,1964,R
485,485.,Larry Hisle (29),.9822,1976,R
486,485.,Frank Howard (29),.9822,1966,R
487,485.,Frank Robinson+ (27),.9822,1963,R
488,489.,Vince Coleman (23),.9821,1985,R
489,489.,Luis Gonzalez (29),.9821,1997,R
490,489.,David Peralta (30),.9821,2018,L
491,489.,Gene Richards (26),.9821,1980,L
492,489.,Pete Rose (26),.9821,1967,R
493,494.,Max Carey+ (25),.9820,1915,R
494,494.,Bernard Gilkey (29),.9820,1996,R
495,494.,Joe Medwick+ (24),.9820,1936,R
496,494.,Riggs Stephenson (34),.9820,1932,R
497,494.,Bobby Veach (34),.9820,1922,R
498,499.,Mike Easler (30),.9819,1981,R
499,499.,Heinie Manush+ (33),.9819,1935,L
