,Rank,Player (age that year),Runs Batted In,Year,Bats
134,130.,Ed Delahanty+ (31),137,1899,R
135,130.,Carlos Delgado (28),137,2000,L
136,130.,Jason Giambi (29),137,2000,L
137,130.,Matt Holliday (27),137,2007,R
138,130.,Chuck Klein+ (27),137,1932,L
139,130.,Johnny Mize+ (27),137,1940,L
140,130.,David Ortiz (30),137,2006,L
141,130.,Albert Pujols (26),137,2006,R
142,130.,Babe Ruth+ (37),137,1932,L
143,130.,Vern Stephens (27),137,1948,R
144,130.,Joe Torre+ (30),137,1971,R
145,130.,Ted Williams+ (23),137,1942,L
146,147.,Lance Berkman (30),136,2006,B
147,147.,Jim Bottomley+ (28),136,1928,L
148,147.,Ryan Howard (27),136,2007,L
149,147.,High Pockets Kelly+ (28),136,1924,R
150,147.,Ed Morgan (26),136,1930,R
151,147.,Frank Robinson+ (26),136,1962,R
152,147.,Duke Snider+ (28),136,1955,L
153,154.,Dale Alexander (27),135,1930,R
154,154.,Jeff Bagwell+ (29),135,1997,R
155,154.,George Davis+ (26),135,1897,B
156,154.,Eddie Mathews+ (21),135,1953,L
157,154.,Magglio Ordonez (28),135,2002,R
158,154.,Mel Ott+ (25),135,1934,L
159,154.,Mel Ott+ (27),135,1936,L
160,154.,Albert Pujols (29),135,2009,R
161,154.,Alex Rodriguez (25),135,2001,R
162,154.,Babe Ruth+ (25),135,1920,L
163,164.,George Bell (27),134,1987,R
164,164.,Steve Brodie (26),134,1895,L
165,164.,Kiki Cuyler+ (31),134,1930,R
166,164.,Carlos Delgado (27),134,1999,L
167,164.,Ken Griffey Jr.+ (29),134,1999,L
168,164.,Harry Heilmann+ (30),134,1925,R
169,164.,Joe Kelley+ (23),134,1895,R
170,164.,Bob Meusel (28),134,1925,R
171,164.,Moose Solters (30),134,1936,R
172,164.,Frank Thomas+ (28),134,1996,R
173,164.,Rudy York (26),134,1940,R
174,175.,Nolan Arenado (25),133,2016,R
175,175.,Dante Bichette (35),133,1999,R
176,175.,Ed Delahanty+ (26),133,1894,R
177,175.,Bill Dickey+ (30),133,1937,L
178,175.,Joe DiMaggio+ (25),133,1940,R
179,175.,Cecil Fielder (27),133,1991,R
180,175.,Ed McKean (29),133,1893,R
181,175.,Hal McRae (36),133,1982,R
182,175.,Vic Wertz (24),133,1949,L
183,184.,Hank Aaron+ (23),132,1957,R
184,184.,Jeff Bagwell+ (32),132,2000,R
185,184.,Norm Cash (27),132,1961,L
186,184.,Jimmy Collins+ (27),132,1897,R
187,184.,Lave Cross (28),132,1894,R
188,184.,Cecil Fielder (26),132,1990,R
189,184.,Irish Meusel (29),132,1922,R
190,184.,Alex Rodriguez (24),132,2000,R
191,184.,Gary Sheffield (34),132,2003,R
192,184.,Giancarlo Stanton (27),132,2017,R
193,194.,Vinny Castilla (36),131,2004,R
194,194.,Juan Gonzalez (27),131,1997,R
195,194.,Vladimir Guerrero+ (24),131,1999,R
196,194.,Stan Musial+ (27),131,1948,L
197,194.,Miguel Tejada (28),131,2002,R
198,194.,Jim Thome+ (32),131,2003,L
199,194.,Paul Waner+ (24),131,1927,L
200,201.,Hank Aaron+ (29),130,1963,R
201,201.,Nolan Arenado (24),130,2015,R
202,201.,Nolan Arenado (26),130,2017,R
203,201.,Jeff Bagwell+ (33),130,2001,R
204,201.,Home Run Baker+ (26),130,1912,L
205,201.,Wally Berger (29),130,1935,R
206,201.,Ken Caminiti (33),130,1996,B
207,201.,Roger Connor+ (31),130,1889,B
208,201.,Jack Fournier (35),130,1925,L
209,201.,Jimmie Foxx+ (26),130,1934,R
210,201.,Josh Hamilton (27),130,2008,L
211,201.,Babe Herman (27),130,1930,L
212,201.,Gil Hodges (30),130,1954,R
213,201.,Deron Johnson (26),130,1965,R
214,201.,Greg Luzinski (26),130,1977,R
215,201.,Mickey Mantle+ (24),130,1956,B
216,201.,J.D. Martinez (30),130,2018,R
217,201.,Justin Morneau (25),130,2006,L
218,201.,Albert Pujols (21),130,2001,R
219,201.,Manny Ramirez (32),130,2004,R
220,201.,Jim Rice+ (26),130,1979,R
221,201.,Alex Rodriguez (29),130,2005,R
222,201.,Babe Ruth+ (28),130,1923,L
223,201.,Enos Slaughter+ (30),130,1946,L
224,201.,Duke Snider+ (27),130,1954,L
225,201.,Tris Speaker+ (35),130,1923,L
226,201.,Larry Walker+ (30),130,1997,L
227,201.,Walt Wilmot (30),130,1894,B
228,229.,Ernie Banks+ (27),129,1958,R
229,229.,Albert Belle (26),129,1993,R
230,229.,Johnny Bench+ (26),129,1974,R
231,229.,Barry Bonds (31),129,1996,L
232,229.,Hugh Duffy+ (30),129,1897,R
233,229.,Goose Goslin+ (23),129,1924,L
234,229.,Andruw Jones (29),129,2006,R
235,229.,Justin Morneau (27),129,2008,L
236,229.,Tony Perez+ (28),129,1970,R
237,229.,Tim Salmon (28),129,1997,R
238,229.,Al Simmons+ (23),129,1925,R
239,229.,Bill Terry+ (31),129,1930,L
240,229.,Billy Williams+ (32),129,1970,L
241,229.,Hack Wilson+ (27),129,1927,R
242,229.,Gus Zernial (28),129,1951,R
243,244.,Hank Aaron+ (28),128,1962,R
244,244.,Luke Appling+ (29),128,1936,R
245,244.,Lance Berkman (26),128,2002,B
246,244.,Dante Bichette (31),128,1995,R
247,244.,Jim Bottomley+ (25),128,1925,L
248,244.,Dan Brouthers+ (36),128,1894,L
249,244.,Ellis Burks (31),128,1996,R
250,244.,Oyster Burns (25),128,1890,R
251,244.,Ripper Collins (30),128,1934,B
252,244.,Gavvy Cravath (32),128,1913,R
253,244.,Juan Gonzalez (29),128,1999,R
254,244.,Josh Hamilton (31),128,2012,L
255,244.,Andruw Jones (28),128,2005,R
256,244.,Al Kaline+ (21),128,1956,R
257,244.,Jeff Kent (30),128,1998,R
258,244.,Mickey Mantle+ (29),128,1961,B
259,244.,Frank McCormick (28),128,1939,R
260,244.,Ed McKean (30),128,1894,R
261,244.,Bill Nicholson (28),128,1943,L
262,244.,Al Simmons+ (29),128,1931,R
263,244.,Frank Thomas+ (25),128,1993,R
264,244.,Hal Trosky (24),128,1937,L
265,244.,Bobby Veach (33),128,1921,L
266,267.,Hank Aaron+ (32),127,1966,R
267,267.,Miguel Cabrera (25),127,2008,R
268,267.,Ty Cobb+ (24),127,1911,L
269,267.,Edwin Encarnacion (33),127,2016,R
270,267.,Jimmie Foxx+ (29),127,1937,R
271,267.,Charlie Gehringer+ (31),127,1934,L
272,267.,Hank Greenberg+ (35),127,1946,R
273,267.,Ralph Kiner+ (24),127,1947,R
274,267.,Ralph Kiner+ (26),127,1949,R
275,267.,Nap Lajoie+ (22),127,1897,R
276,267.,Nap Lajoie+ (23),127,1898,R
277,267.,Willie Mays+ (24),127,1955,R
278,267.,Frank McCormick (29),127,1940,R
279,267.,David Ortiz (40),127,2016,L
280,267.,Albert Pujols (22),127,2002,R
281,267.,Ted Williams+ (29),127,1948,L
282,283.,Hank Aaron+ (26),126,1960,R
283,283.,Earl Averill+ (34),126,1936,L
284,283.,Jeff Bagwell+ (31),126,1999,R
285,283.,Albert Belle (28),126,1995,R
286,283.,Lance Berkman (25),126,2001,B
287,283.,Miguel Cabrera (27),126,2010,R
288,283.,Cecil Cooper (33),126,1983,L
289,283.,Joe Cronin+ (23),126,1930,R
290,283.,Joe Cronin+ (24),126,1931,R
291,283.,Ed Delahanty+ (28),126,1896,R
292,283.,Joe DiMaggio+ (24),126,1939,R
293,283.,Larry Doby+ (30),126,1954,L
294,283.,Del Ennis (25),126,1950,R
295,283.,Vladimir Guerrero+ (29),126,2004,R
296,283.,Rogers Hornsby+ (25),126,1921,R
297,283.,Frank Howard (33),126,1970,R
298,283.,Matt Kemp (26),126,2011,R
299,283.,Harmon Killebrew+ (26),126,1962,R
300,283.,Tommy McCarthy+ (30),126,1894,R
301,283.,Willie McCovey+ (31),126,1969,L
302,283.,Willie McCovey+ (32),126,1970,L
303,283.,Joe Medwick+ (23),126,1935,R
304,283.,Stan Musial+ (33),126,1954,L
305,283.,Phil Nevin (30),126,2001,R
306,283.,Magglio Ordonez (26),126,2000,R
307,283.,Anthony Rendon (29),126,2019,R
308,283.,Jim Rice+ (30),126,1983,R
309,283.,Duke Snider+ (26),126,1953,L
310,283.,Sam Thompson+ (33),126,1893,L
311,283.,Mo Vaughn (27),126,1995,L
312,283.,Bobby Veach (34),126,1922,L
313,283.,Honus Wagner+ (27),126,1901,R
314,283.,Ted Williams+ (32),126,1951,L
315,283.,Glenn Wright (29),126,1930,R
316,283.,Rudy York (24),126,1938,R
317,318.,Johnny Bench+ (24),125,1972,R
318,318.,Yogi Berra+ (29),125,1954,L
319,318.,Jeromy Burnitz (29),125,1998,L
320,318.,Joe DiMaggio+ (21),125,1936,R
321,318.,Joe DiMaggio+ (26),125,1941,R
322,318.,Del Ennis (28),125,1953,R
323,318.,Lou Gehrig+ (26),125,1929,L
324,318.,Paul Goldschmidt (25),125,2013,R
325,318.,Goose Goslin+ (35),125,1936,L
326,318.,Shawn Green (28),125,2001,L
327,318.,Vladimir Guerrero+ (32),125,2007,R
328,318.,Chick Hafey+ (26),125,1929,R
329,318.,Rogers Hornsby+ (31),125,1927,R
330,318.,Don Hurst (23),125,1929,L
331,318.,Hughie Jennings+ (26),125,1895,R
332,318.,Jeff Kent (32),125,2000,R
333,318.,Nap Lajoie+ (26),125,1901,R
334,318.,Irish Meusel (30),125,1923,R
335,318.,Kevin Mitchell (27),125,1989,R
336,318.,Johnny Mize+ (35),125,1948,L
337,318.,Dave Parker (34),125,1985,L
338,318.,Manny Ramirez (29),125,2001,R
339,318.,Frank Robinson+ (23),125,1959,R
340,318.,Alex Rodriguez (34),125,2010,R
341,318.,Richie Sexson (26),125,2001,R
342,318.,Willie Stargell+ (31),125,1971,L
343,318.,Frank Thomas+ (29),125,1997,R
344,345.,Moises Alou (31),124,1998,R
345,345.,Earl Averill+ (30),124,1932,L
346,345.,Jose Bautista (29),124,2010,R
347,345.,Yogi Berra+ (25),124,1950,L
348,345.,Jim Bottomley+ (27),124,1927,L
349,345.,Dan Brouthers+ (34),124,1892,L
350,345.,Jose Canseco (23),124,1988,R
351,345.,Cecil Fielder (28),124,1992,R
352,345.,Joe Gordon+ (33),124,1948,R
353,345.,Eddie Mathews+ (28),124,1960,L
354,345.,Bob Meusel (27),124,1924,R
355,345.,Eddie Murray+ (29),124,1985,B
356,345.,Dave Orr (30),124,1890,R
357,345.,Marcell Ozuna (26),124,2017,R
358,345.,Mike Piazza+ (28),124,1997,R
359,345.,Mike Piazza+ (30),124,1999,R
360,345.,Albert Pujols (23),124,2003,R
361,345.,Frank Robinson+ (25),124,1961,R
362,345.,Jackie Robinson+ (30),124,1949,R
363,345.,Alex Rodriguez (22),124,1998,R
364,345.,Scott Rolen (29),124,2004,R
365,345.,Babe Ruth+ (29),124,1924,L
366,345.,Richie Sexson (28),124,2003,R
367,345.,Jim Thome+ (30),124,2001,L
368,345.,Pie Traynor+ (29),124,1928,R
369,345.,Dixie Walker (34),124,1945,L
370,345.,Pinky Whitney (27),124,1932,R
371,345.,David Wright (25),124,2008,R
372,373.,Hank Aaron+ (25),123,1959,R
373,373.,José Abreu (32),123,2019,R
374,373.,Garret Anderson (29),123,2001,L
375,373.,Garret Anderson (30),123,2002,L
376,373.,Tony Armas (30),123,1984,R
377,373.,Jake Beckley+ (22),123,1890,L
378,373.,Beau Bell (28),123,1936,R
379,373.,Barry Bonds (28),123,1993,L
380,373.,Khris Davis (30),123,2018,R
381,373.,Josh Donaldson (29),123,2015,R
382,373.,Dwight Evans (35),123,1987,R
383,373.,Jason Giambi (28),123,1999,L
384,373.,Brian Giles (29),123,2000,L
385,373.,Shawn Green (26),123,1999,L
386,373.,Vladimir Guerrero+ (25),123,2000,R
387,373.,Jeff Heath (26),123,1941,L
