,Rank,Player (age that year),Hit By Pitch,Year,Throws
0,1.,Phil Knell (26),54,1891,L
1,2.,Frank Foreman (28),43,1891,R
2,3.,Gus Weyhing (21),42,1888,R
3,4.,Frank Foreman (26),40,1889,R
4,4.,Joe McGinnity+ (29),40,1900,R
5,6.,Danny Friend (23),39,1896,L
6,7.,Ed Doheny (25),37,1899,L
7,7.,Gus Weyhing (20),37,1887,R
8,9.,Will White (29),35,1884,R
9,10.,Gus Weyhing (22),34,1889,R
10,11.,Pink Hawley (22),33,1895,R
11,12.,Chick Fraser (27),32,1901,R
12,12.,Tony Mullane (25),32,1884,R
13,12.,Tony Mullane (28),32,1887,R
14,12.,Cy Seymour (25),32,1898,L
15,16.,Gus Weyhing (24),31,1891,R
16,17.,Bert Cunningham (22),30,1888,R
17,17.,Silver King (20),30,1888,R
18,17.,Vic Willis+ (23),30,1899,R
19,20.,Chick Fraser (22),29,1896,R
20,20.,Chick Fraser (24),29,1898,R
21,20.,Tony Mullane (29),29,1888,R
22,20.,Tom Vickery (23),29,1890,R
23,20.,Vic Willis+ (22),29,1898,R
24,25.,Kid Carsey (18),28,1891,R
25,25.,Pink Hawley (23),28,1896,R
26,25.,Phil Knell (25),28,1890,L
27,25.,Win Mercer (23),28,1897,R
28,25.,Jack Taylor (24),28,1897,R
29,25.,Gus Weyhing (32),28,1899,R
30,31.,Matt Kilroy (23),27,1889,L
31,31.,Kid Madden (23),27,1891,L
32,31.,Willie Sudhoff (23),27,1898,R
33,31.,Will White (30),27,1885,R
34,35.,Ed Daily (27),26,1890,R
35,35.,Pink Hawley (24),26,1897,R
36,35.,Joe McGinnity+ (28),26,1899,R
37,35.,Sadie McMahon (22),26,1890,R
38,35.,Amos Rusie+ (19),26,1890,R
39,35.,Gus Shallix (26),26,1884,R
40,35.,Jack Warhop (24),26,1909,R
41,42.,Chief Bender+ (19),25,1903,R
42,42.,John Keefe (22),25,1890,L
43,42.,Jack Taylor (25),25,1898,R
44,45.,Jimmy Callahan (25),24,1899,R
45,45.,Egyptian Healy (23),24,1890,R
46,45.,Otto Hess (27),24,1906,L
47,45.,Cinders O'Brien (22),24,1889,R
48,45.,Eddie Plank+ (29),24,1905,L
49,45.,Ed Seward (20),24,1887,R
50,45.,Phenomenal Smith (23),24,1888,L
51,45.,Tom Sullivan (28),24,1888,
52,53.,Mark Baldwin (27),23,1891,R
53,53.,Frank Bates (22),23,1899,R
54,53.,Howard Ehmke (28),23,1922,R
55,53.,Red Ehret (24),23,1893,R
56,53.,Matt Kilroy (22),23,1888,L
57,53.,Fred Klobedanz (26),23,1897,L
58,53.,Bill Magee (23),23,1899,R
59,53.,Wiley Piatt (24),23,1899,L
60,53.,Eddie Plank+ (27),23,1903,L
61,53.,Henry Porter (30),23,1888,R
62,53.,Park Swartzel (23),23,1889,R
63,53.,Jake Weimer (33),23,1907,L
64,65.,Al Atkinson (25),22,1886,R
65,65.,Mark Baldwin (28),22,1892,R
66,65.,Jimmy Callahan (26),22,1900,R
67,65.,Ed Doheny (26),22,1900,L
68,65.,Red Donahue (24),22,1897,R
69,65.,Pete Dowling (21),22,1898,L
70,65.,Red Ehret (23),22,1892,R
71,65.,Chick Fraser (23),22,1897,R
72,65.,Chick Fraser (25),22,1899,R
73,65.,Clark Griffith+ (25),22,1895,R
74,65.,Pink Hawley (25),22,1898,R
75,65.,Jim Hughey (30),22,1899,R
76,65.,Phil Knell (27),22,1892,L
77,65.,Cy Morgan (30),22,1909,R
78,65.,Mike Morrison (20),22,1887,R
79,65.,Billy Rhines (22),22,1891,R
80,65.,Ed Seward (21),22,1888,R
81,65.,Willie Sudhoff (24),22,1899,R
82,65.,Jack Taylor (25),22,1899,R
83,84.,Kid Carsey (22),21,1895,R
84,84.,Jack Chesbro+ (28),21,1902,R
85,84.,Joe Corbett (21),21,1897,R
86,84.,Jack Easton (26),21,1891,
87,84.,Pink Hawley (21),21,1894,R
88,84.,Silver King (21),21,1889,R
89,84.,Silver King (24),21,1892,R
90,84.,Frank Knauss (21),21,1890,L
91,84.,Joe McGinnity+ (30),21,1901,R
92,84.,Jumbo McGinnis (32),21,1886,
93,84.,Harry McIntire (30),21,1909,R
94,84.,Doc McJames (22),21,1897,R
95,84.,Cy Morgan (32),21,1911,R
96,84.,Tom Murphy (23),21,1969,R
97,84.,Doc Newton (23),21,1901,L
98,84.,Billy Rhines (26),21,1895,R
99,84.,Henry Schmidt (30),21,1903,R
100,84.,Cy Seymour (24),21,1897,L
101,84.,George Van Haltren (24),21,1890,L
102,84.,Kerry Wood (26),21,2003,R
103,104.,Bronson Arroyo (27),20,2004,R
104,104.,Kirtley Baker (21),20,1890,R
105,104.,Mark Baldwin (25),20,1889,R
106,104.,Bill Carrick (27),20,1901,R
107,104.,Harry Coveleski (29),20,1915,L
108,104.,Billy Crowell (21),20,1887,R
109,104.,Bert Cunningham (32),20,1898,R
110,104.,Ed Doheny (24),20,1898,L
111,104.,Don Drysdale+ (24),20,1961,R
112,104.,Jack Easton (25),20,1890,
113,104.,Howard Ehmke (29),20,1923,R
114,104.,Frank Foreman (27),20,1890,R
115,104.,Clark Griffith+ (21),20,1891,R
116,104.,Clark Griffith+ (28),20,1898,R
117,104.,Pink Hawley (20),20,1893,R
118,104.,Pink Hawley (26),20,1899,R
119,104.,Pink Hawley (27),20,1900,R
120,104.,Walter Johnson+ (35),20,1923,R
121,104.,Frank Killen (21),20,1892,L
122,104.,Matt Kilroy (21),20,1887,L
123,104.,Tom Lovett (27),20,1891,R
124,104.,Kid Madden (19),20,1887,L
125,104.,Bobby Mathews (33),20,1885,R
126,104.,Al Mays (22),20,1887,R
127,104.,Harry McIntire (26),20,1905,R
128,104.,Harry McIntire (29),20,1908,R
129,104.,Win Mercer (22),20,1896,R
130,104.,Win Mercer (26),20,1900,R
131,104.,Cinders O'Brien (24),20,1891,R
132,104.,Chan Ho Park (28),20,2001,R
133,104.,Casey Patten (30),20,1904,L
134,104.,Barney Pelty (23),20,1904,R
135,104.,Cy Seymour (26),20,1899,L
136,104.,Fleury Sullivan (22),20,1884,
137,104.,Ed Summers (23),20,1908,R
138,104.,Jack Taylor (23),20,1896,R
139,104.,Lee Viau (21),20,1888,R
140,104.,Gus Weyhing (26),20,1893,R
141,104.,Jamey Wright (26),20,2001,R
142,104.,Carlos Zambrano (23),20,2004,R
143,104.,Victor Zambrano (27),20,2003,R
144,145.,Rolando Arrojo (32),19,1998,R
145,145.,Trevor Bauer (28),19,2019,R
146,145.,Rube Benton (25),19,1915,L
147,145.,Jim Bunning+ (34),19,1966,R
148,145.,A.J. Burnett (33),19,2010,R
149,145.,Kid Carsey (20),19,1893,R
150,145.,Bob Caruthers (21),19,1885,R
151,145.,George Cobb (26),19,1892,L
152,145.,Ed Doheny (29),19,1903,L
153,145.,Pete Dowling (24),19,1901,L
154,145.,Brownie Foreman (20),19,1895,L
155,145.,Cole Hamels (34),19,2018,L
156,145.,Hardie Henderson (22),19,1885,R
157,145.,Weldon Henley (23),19,1904,R
158,145.,Bill Hoffer (24),19,1895,R
159,145.,Charlie Hough (39),19,1987,R
160,145.,Walter Johnson+ (27),19,1915,R
161,145.,Cowboy Jones (25),19,1900,L
162,145.,Oscar Jones (23),19,1903,R
163,145.,Matt Kilroy (20),19,1886,L
164,145.,John Lackey (32),19,2011,R
165,145.,Frank Lary (30),19,1960,R
166,145.,Jim Lonborg (25),19,1967,R
167,145.,Pat Luby (22),19,1891,R
168,145.,Bill Magee (22),19,1898,R
169,145.,Joe McGinnity+ (32),19,1903,R
170,145.,Fred Mitchell (25),19,1903,R
171,145.,Charlie Morton (30),19,2014,R
172,145.,Cinders O'Brien (23),19,1890,R
173,145.,Wiley Piatt (23),19,1898,L
174,145.,Eddie Plank+ (28),19,1904,L
175,145.,Nap Rucker (23),19,1908,L
176,145.,Mike Smith (20),19,1888,L
177,145.,Henry Thielman (21),19,1902,R
178,145.,Justin Verlander (24),19,2007,R
179,145.,Dontrelle Willis (24),19,2006,L
180,181.,Bob Barr (27),18,1884,R
181,181.,Rube Benton (22),18,1912,L
182,181.,Dave Bush (26),18,2006,R
183,181.,Daniel Cabrera (27),18,2008,R
184,181.,Bill Carrick (25),18,1899,R
185,181.,Dan Daub (26),18,1894,R
186,181.,Hooks Dauss (24),18,1914,R
187,181.,Don Drysdale+ (22),18,1959,R
188,181.,Jack Dunn (26),18,1899,R
189,181.,Jimmy Dygert (22),18,1907,R
190,181.,Red Ehret (20),18,1889,R
191,181.,Jack Fifield (26),18,1898,R
192,181.,Casey Fossum (27),18,2005,L
193,181.,Dave Foutz (28),18,1885,R
194,181.,Ned Garvin (26),18,1900,R
195,181.,Hank Gastright (25),18,1890,R
196,181.,Guy Hecker (29),18,1885,R
197,181.,Bill Hill (21),18,1896,L
198,181.,Jay Hughes (24),18,1898,R
199,181.,Randy Johnson+ (28),18,1992,L
200,181.,Randy Johnson+ (37),18,2001,L
201,181.,Jim Kaat (23),18,1962,L
202,181.,Tim Keefe+ (32),18,1889,R
203,181.,Silver King (23),18,1891,R
204,181.,Rube Manning (25),18,1908,R
205,181.,Al Maul (27),18,1893,R
206,181.,Larry McKeon (18),18,1884,
207,181.,Win Mercer (21),18,1895,R
208,181.,Win Mercer (24),18,1898,R
209,181.,Earl Moore (27),18,1905,R
210,181.,Harry Moran (26),18,1915,L
211,181.,Cy Morgan (31),18,1910,R
212,181.,Tony Mullane (27),18,1886,R
213,181.,Tony Mullane (32),18,1891,R
214,181.,Jack Neagle (26),18,1884,R
215,181.,Hank O'Day+ (24),18,1884,R
216,181.,Hank O'Day+ (30),18,1890,R
217,181.,Ramon Ortiz (33),18,2006,R
218,181.,Barney Pelty (25),18,1906,R
219,181.,Barney Pelty (26),18,1907,R
220,181.,Eddie Plank+ (26),18,1902,L
221,181.,Ed Reulbach (22),18,1905,R
222,181.,Amos Rusie+ (20),18,1891,R
223,181.,Charlie Sprague (25),18,1890,L
224,181.,Jack Stivetts (23),18,1891,R
225,181.,Willie Sudhoff (26),18,1901,R
226,181.,Walter Thornton (23),18,1898,L
227,181.,Tim Wakefield (34),18,2001,R
228,181.,Tom Walker (22),18,1904,R
229,181.,Jack Warhop (25),18,1910,R
230,181.,Jeff Weaver (28),18,2005,R
231,181.,Gus Weyhing (25),18,1892,R
232,181.,Wild Bill Widner (22),18,1889,R
233,181.,Jamey Wright (25),18,2000,R
234,235.,Pedro Astacio (29),17,1998,R
235,235.,Mark Baldwin (23),17,1887,R
236,235.,Paul Byrd (28),17,1999,R
237,235.,Tommy Byrne (30),17,1950,L
238,235.,Kid Carsey (21),17,1894,R
239,235.,Ice Box Chamberlain (20),17,1888,R
240,235.,Ice Box Chamberlain (21),17,1889,R
241,235.,Ice Box Chamberlain (24),17,1892,R
242,235.,John Clarkson+ (27),17,1889,R
243,235.,Ed Crane (29),17,1891,R
244,235.,Bert Cunningham (30),17,1896,R
245,235.,Gus Dorner (29),17,1906,R
246,235.,Pete Dowling (22),17,1899,L
247,235.,Don Drysdale+ (29),17,1966,R
248,235.,Red Ehret (21),17,1890,R
249,235.,Danny Friend (24),17,1897,L
250,235.,Clark Griffith+ (27),17,1897,R
251,235.,Bill Hill (22),17,1897,L
252,235.,Bill Hill (23),17,1898,L
253,235.,Bill Hoffer (26),17,1897,R
254,235.,Harry Howell (31),17,1908,R
255,235.,Tom Hughes (22),17,1901,R
256,235.,Bill Hutchison (34),17,1894,R
257,235.,Oscar Jones (24),17,1904,R
258,235.,George Kaiserling (21),17,1914,R
259,235.,Ed Killian (27),17,1904,L
260,235.,Silver King (19),17,1887,R
261,235.,Mark Leiter (32),17,1995,R
262,235.,Tom Lovett (26),17,1890,R
263,235.,Grover Lowdermilk (30),17,1915,R
264,235.,Justin Masterson (28),17,2013,R
265,235.,Joe McGinnity+ (31),17,1902,R
266,235.,Kit McKenna (25),17,1898,R
267,235.,Sadie McMahon (23),17,1891,R
268,235.,Jimmy Nelson (27),17,2016,R
269,235.,Kid Nichols+ (21),17,1891,R
270,235.,Vicente Padilla (28),17,2006,R
271,235.,Chan Ho Park (29),17,2002,R
272,235.,Casey Patten (27),17,1901,L
273,235.,Harley Payne (29),17,1897,L
274,235.,Jeff Pfeffer (27),17,1915,R
275,235.,Jeff Pfeffer (28),17,1916,R
276,235.,Togie Pittinger (31),17,1903,R
277,235.,Eddie Plank+ (31),17,1907,L
278,235.,Billy Rhines (28),17,1897,R
279,235.,Chris Sale (27),17,2016,L
280,235.,Gerry Staley (32),17,1953,R
281,235.,Jack Stivetts (22),17,1890,R
282,235.,Mike Sullivan (26),17,1893,R
283,235.,Jesse Tannehill (25),17,1900,L
284,235.,Dummy Taylor (27),17,1902,R
285,235.,Jack Taylor (21),17,1894,R
286,235.,Adonis Terry (30),17,1895,R
287,235.,Jeff Weaver (22),17,1999,R
288,235.,Gus Weyhing (23),17,1890,R
289,235.,Ed Willett (26),17,1910,R
290,235.,Ed Willett (28),17,1912,R
291,235.,Jerome Williams (22),17,2004,R
292,293.,Rolando Arrojo (34),16,2000,R
293,293.,Pedro Astacio (33),16,2002,R
294,293.,Mark Baldwin (26),16,1890,R
295,293.,Jack Billingham (28),16,1971,R
296,293.,Bert Blyleven+ (37),16,1988,R
297,293.,Pete Broberg (25),16,1975,R
298,293.,Kevin Brown (31),16,1996,R
299,293.,A.J. Burnett (37),16,2014,R
300,293.,Will Calihan (22),16,1890,R
301,293.,Don Cardwell (27),16,1963,R
302,293.,Chris Carpenter (26),16,2001,R
303,293.,Bob Caruthers (23),16,1887,R
304,293.,John Clarkson+ (28),16,1890,R
305,293.,Matt Clement (25),16,2000,R
306,293.,Matt Clement (30),16,2005,R
307,293.,Jack Coombs (28),16,1911,R
308,293.,Jack Coombs (32),16,1915,R
309,293.,Frank Corridon (24),16,1905,R
310,293.,Hooks Dauss (26),16,1916,R
311,293.,Bill Dinneen (22),16,1898,R
312,293.,Jesse Duryea (29),16,1889,R
313,293.,Frank Dwyer (30),16,1898,R
314,293.,John Ewing (27),16,1890,R
315,293.,Doug Fister (29),16,2013,R
316,293.,Chick Fraser (29),16,1903,R
317,293.,Art Fromme (27),16,1911,R
318,293.,Eric Gagne (25),16,2001,R
319,293.,Clark Griffith+ (30),16,1900,R
320,293.,Clark Griffith+ (32),16,1902,R
321,293.,Jeremy Guthrie (31),16,2010,R
322,293.,Jack Harper (23),16,1901,R
323,293.,Bill Hart (31),16,1897,R
324,293.,Billy Hart (24),16,1890,
325,293.,Guy Hecker (28),16,1884,R
326,293.,Hardie Henderson (21),16,1884,R
327,293.,Randy Johnson+ (29),16,1993,L
328,293.,Walter Johnson+ (24),16,1912,R
329,293.,Joe Kennedy (23),16,2002,L
330,293.,Darryl Kile (27),16,1996,R
331,293.,Byung-Hyun Kim (28),16,2007,R
332,293.,Ed Knouff (20),16,1887,R
333,293.,Ed Lafitte (28),16,1914,R
334,293.,Lefty Leifield (27),16,1911,L
335,293.,Mark Leiter (33),16,1996,R
336,293.,Con Lucid (21),16,1895,
337,293.,Johnny Lush (20),16,1906,L
338,293.,Kid Madden (21),16,1889,L
339,293.,Jason Marquis (27),16,2006,R
340,293.,Pedro Martinez+ (32),16,2004,R
341,293.,Ken McBride (28),16,1964,R
342,293.,Charlie McCullough (24),16,1890,R
343,293.,Charlie Morton (29),16,2013,R
344,293.,Charlie Morton (34),16,2018,R
345,293.,Bill Mountjoy (25),16,1884,R
346,293.,Tony Mullane (34),16,1893,R
347,293.,Jerry Nops (23),16,1898,L
348,293.,Hank O'Day+ (28),16,1888,R
349,293.,Vicente Padilla (25),16,2003,R
350,293.,Big Jeff Pfeffer (24),16,1906,R
351,293.,Jeff Pfeffer (29),16,1917,R
352,293.,Wiley Piatt (25),16,1900,L
353,293.,Togie Pittinger (30),16,1902,R
354,293.,Togie Pittinger (33),16,1905,R
355,293.,Rick Porcello (29),16,2018,R
356,293.,Henry Porter (27),16,1885,R
357,293.,Jack Powell (23),16,1898,R
358,293.,Toad Ramsey (22),16,1887,L
359,293.,Amos Rusie+ (22),16,1893,R
360,293.,Jim Scott (21),16,1909,R
361,293.,Jesse Stovall (28),16,1904,R
362,293.,Jim Sullivan (28),16,1895,R
363,293.,Jack Sutthoff (30),16,1903,R
364,293.,Dummy Taylor (26),16,1901,R
365,293.,Adonis Terry (21),16,1886,R
366,293.,Adonis Terry (24),16,1889,R
367,293.,Adonis Terry (29),16,1894,R
368,293.,Spencer Turnbull (26),16,2019,R
369,293.,George Van Haltren (21),16,1887,L
370,293.,Tim Wakefield (30),16,1997,R
371,293.,Tim Wakefield (37),16,2004,R
372,293.,Jack Warhop (27),16,1912,R
373,293.,Gus Weyhing (31),16,1898,R
374,293.,Jim Whitney (29),16,1887,R
375,293.,Kerry Wood (25),16,2002,R
376,293.,Victor Zambrano (28),16,2004,R
377,378.,Alfredo Aceves (28),15,2011,R
378,378.,Kevin Appier (33),15,2001,R
379,378.,Pedro Astacio (31),15,2000,R
380,378.,Jersey Bakley (24),15,1888,R
381,378.,Ed Beatin (23),15,1890,L
382,378.,Buttons Briggs (20),15,1896,R
383,378.,Kevin Brown (28),15,1993,R
384,378.,Dave Bush (29),15,2009,R
385,378.,Tommy Byrne (31),15,1951,L
386,378.,Daniel Cabrera (26),15,2007,R
387,378.,Earl Caldwell (31),15,1936,R
388,378.,Charlie Case (25),15,1905,R
389,378.,Ice Box Chamberlain (25),15,1893,R
390,378.,John Clarkson+ (29),15,1891,R
391,378.,Matt Clement (26),15,2001,R
392,378.,David Cone (35),15,1998,R
393,378.,José Contreras (35),15,2007,R
394,378.,Wilbur Cooper (27),15,1919,L
395,378.,Frank Corridon (23),15,1904,R
396,378.,Johnny Cueto (28),15,2014,R
397,378.,Bert Cunningham (23),15,1889,R
398,378.,Bert Cunningham (33),15,1899,R
399,378.,Ed Doheny (28),15,1902,L
400,378.,Gus Dorner (30),15,1907,R
401,378.,Gus Dorner (31),15,1908,R
402,378.,Jack Dunn (25),15,1898,R
403,378.,Frank Dwyer (26),15,1894,R
404,378.,Chuck Estrada (22),15,1960,R
405,378.,Frank Foreman (32),15,1895,R
406,378.,Chick Fraser (28),15,1902,R
407,378.,Chick Fraser (31),15,1905,R
408,378.,Harry Gaspar (27),15,1910,R
409,378.,Lucas Giolito (23),15,2018,R
410,378.,Kid Gleason (23),15,1890,R
411,378.,Henry Gruber (26),15,1890,R
412,378.,Bill Hart (29),15,1895,R
413,378.,Bill Hart (30),15,1896,R
414,378.,Egyptian Healy (20),15,1887,R
415,378.,Egyptian Healy (21),15,1888,R
416,378.,George Hemming (24),15,1893,R
417,378.,Otto Hess (33),15,1912,L
418,378.,Chief Hogsett (32),15,1936,L
419,378.,Nat Hudson (19),15,1888,R
420,378.,Tim Hudson (35),15,2011,R
421,378.,Tom Hughes (34),15,1913,R
422,378.,Bert Inks (24),15,1895,L
423,378.,Walter Johnson+ (21),15,1909,R
424,378.,Jakob Junis (25),15,2018,R
425,378.,Tim Keefe+ (27),15,1884,R
426,378.,Darryl Kile (24),15,1993,R
427,378.,Frank Killen (22),15,1893,L
428,378.,Matt Kilroy (24),15,1890,L
429,378.,Sam Kimber (31),15,1884,R
430,378.,Silver King (22),15,1890,R
431,378.,Phil Knell (29),15,1894,L
432,378.,Charlie Knepper (28),15,1899,R
433,378.,Vive Lindaman (29),15,1907,R
434,378.,Pat Luby (21),15,1890,R
435,378.,Mike Lynch (24),15,1904,R
436,378.,Kid Madden (20),15,1888,L
437,378.,Nick Maddox (22),15,1909,R
438,378.,Pedro Martinez+ (30),15,2002,R
439,378.,Justin Masterson (29),15,2014,R
440,378.,Willie McGill (17),15,1891,L
441,378.,Joe McGinnity+ (36),15,1907,R
442,378.,Jouett Meekin (29),15,1896,R
443,378.,Willie Mitchell (20),15,1910,L
444,378.,Dave Mlicki (33),15,2001,R
445,378.,Mike Morrison (23),15,1890,R
446,378.,George Mullin (25),15,1906,R
447,378.,George Mullin (26),15,1907,R
448,378.,Kid Nichols+ (23),15,1893,R
449,378.,Joe Oeschger (29),15,1921,R
450,378.,Vicente Padilla (24),15,2002,R
451,378.,Vicente Padilla (30),15,2008,R
452,378.,Pol Perritt (22),15,1914,R
453,378.,Herman Pillette (26),15,1922,R
454,378.,Eddie Plank+ (30),15,1906,L
455,378.,Arlie Pond (24),15,1897,R
456,378.,Jack Powell (24),15,1899,R
457,378.,Billy Rhines (21),15,1890,R
458,378.,Nolan Ryan+ (24),15,1971,R
459,378.,Hector Santiago (25),15,2013,L
460,378.,Aaron Sele (27),15,1997,R
461,378.,Mike Smithson (30),15,1985,R
462,378.,Ed Stein (22),15,1892,R
463,378.,Dave Stieb (28),15,1986,R
464,378.,Scott Stratton (18),15,1888,R
465,378.,Les Sweetland (26),15,1928,L
466,378.,Julian Tavarez (29),15,2002,R
467,378.,Jack Taylor (22),15,1895,R
468,378.,Adonis Terry (25),15,1890,R
469,378.,Happy Townsend (26),15,1905,R
470,378.,Larry Twitchell (26),15,1890,R
471,378.,Javier Vazquez (29),15,2006,R
472,378.,Lee Viau (24),15,1891,R
473,378.,Rube Waddell+ (30),15,1907,L
474,378.,Jack Warhop (26),15,1911,R
475,378.,Jeff Weaver (23),15,2000,R
476,378.,Gus Weyhing (27),15,1894,R
477,378.,Ed Willett (25),15,1909,R
478,378.,Jamey Wright (30),15,2005,R
479,378.,Victor Zambrano (29),15,2005,R
480,481.,Rolando Arrojo (33),14,1999,R
481,481.,Bronson Arroyo (28),14,2005,R
482,481.,Fred Beebe (26),14,1906,R
483,481.,Mike Boddicker (30),14,1988,R
484,481.,Brian Bohanon (30),14,1999,L
485,481.,Henry Boyle (28),14,1889,R
486,481.,Theodore Breitenstein (26),14,1895,L
487,481.,Theodore Breitenstein (31),14,1900,L
488,481.,Kevin Brown (32),14,1997,R
489,481.,Jim Bunning+ (32),14,1964,R
490,481.,Jesse Burkett+ (21),14,1890,L
491,481.,Harry Byrd (28),14,1953,R
492,481.,Bob Cain (26),14,1951,L
493,481.,Roberto Hernandez (30),14,2011,R
494,481.,Dan Casey (24),14,1887,L
495,481.,Dan Casey (27),14,1890,L
496,481.,Jhoulys Chacin (29),14,2017,R
497,481.,Shawn Chacon (27),14,2005,R
498,481.,Ice Box Chamberlain (19),14,1887,R
499,481.,Jack Chesbro+ (27),14,1901,R
500,481.,Jack Chesbro+ (34),14,1908,R
501,481.,Dad Clarkson (26),14,1893,R
502,481.,Matt Clement (28),14,2003,R
503,481.,Roger Clemens (32),14,1995,R
504,481.,Rip Collins (24),14,1920,R
505,481.,Jim Conway (30),14,1889,R
506,481.,Johnny Cueto (22),14,2008,R
507,481.,Johnny Cueto (23),14,2009,R
508,481.,George Culver (24),14,1968,R
509,481.,Bert Cunningham (31),14,1897,R
510,481.,Daisy Davis (25),14,1884,R
511,481.,R.A. Dickey (39),14,2014,R
512,481.,Cozy Dolan (22),14,1895,L
513,481.,Red Donahue (25),14,1898,R
514,481.,Don Drysdale+ (21),14,1958,R
515,481.,Frank Dwyer (23),14,1891,R
516,481.,Frank Dwyer (27),14,1895,R
517,481.,Howard Ehmke (33),14,1927,R
518,481.,Bob Emslie (25),14,1884,R
519,481.,John Ewing (26),14,1889,R
520,481.,Patsy Flaherty (27),14,1903,L
521,481.,Gavin Floyd (29),14,2012,R
