,Rank,Player (age that year),Errors Committed as RF (s.1901),Year,Throws
167,157.,Carl Furillo (27),11,1949,R
168,157.,Doc Gessler (28),11,1909,L
169,157.,Tommy Griffith (29),11,1919,R
170,157.,Vladimir Guerrero+ (31),11,2006,R
171,157.,George Harper (30),11,1922,R
172,157.,Jeff Heath (26),11,1941,R
173,157.,Harry Heilmann+ (26),11,1921,R
174,157.,Harry Hooper+ (32),11,1920,R
175,157.,David Justice (28),11,1994,L
176,157.,Doc Miller (27),11,1910,L
177,157.,Doc Miller (28),11,1911,L
178,157.,Mike Mitchell (27),11,1907,R
179,157.,Mike Mitchell (29),11,1909,R
180,157.,Ed Morgan (25),11,1929,R
181,157.,Wally Moses (27),11,1938,L
182,157.,Eddie Murphy (21),11,1913,R
183,157.,Ron Northey (22),11,1942,R
184,157.,Tony Oliva (26),11,1965,R
185,157.,Mel Ott+ (21),11,1930,R
186,157.,Wally Post (24),11,1954,R
187,157.,Ray Powell (30),11,1919,R
188,157.,Lance Richbourg (29),11,1927,R
189,157.,Lance Richbourg (30),11,1928,R
190,157.,Dave Robertson (26),11,1916,L
191,157.,Ruben Sierra (21),11,1987,R
192,157.,Ken Singleton (27),11,1974,R
193,157.,Enos Slaughter+ (23),11,1939,R
194,157.,Rusty Staub (23),11,1967,R
195,157.,Casey Stengel+ (29),11,1920,L
196,157.,John Stone (29),11,1935,R
197,157.,Homer Summa (24),11,1923,R
198,157.,John Titus (29),11,1905,L
199,157.,John Titus (36),11,1912,L
200,157.,Justin Upton (20),11,2008,R
201,157.,Earl Webb (34),11,1932,R
202,157.,Jimmy Welsh (22),11,1925,R
203,157.,Jimmy Welsh (23),11,1926,R
204,157.,Gus Williams (25),11,1913,L
205,157.,Glenn Wilson (28),11,1987,R
206,157.,Dave Winfield+ (25),11,1977,R
207,157.,Smoky Joe Wood (32),11,1922,R
208,157.,Taffy Wright (28),11,1940,R
209,157.,Ross Youngs+ (21),11,1918,R
210,157.,Guy Zinn (25),11,1912,R
211,212.,Bob Allison (28),10,1963,R
212,212.,Jesus Alou (27),10,1969,R
213,212.,Buzz Arlett (32),10,1931,R
214,212.,Tony Armas (26),10,1980,R
215,212.,Johnny Bates (29),10,1913,L
216,212.,Bobby Bonds (28),10,1974,R
217,212.,Bob Bowman (26),10,1957,R
218,212.,Buzz Boyle (27),10,1935,L
219,212.,Hubie Brooks (33),10,1990,R
220,212.,Frank Brower (28),10,1921,R
221,212.,George Browne (31),10,1907,R
222,212.,Ollie Brown (26),10,1970,R
223,212.,Jose Cardenal (30),10,1974,R
224,212.,Ben Chapman (29),10,1938,R
225,212.,Roberto Clemente+ (28),10,1963,R
226,212.,Roberto Clemente+ (29),10,1964,R
227,212.,Roberto Clemente+ (30),10,1965,R
228,212.,Ed Coleman (31),10,1933,R
229,212.,Gavvy Cravath (32),10,1913,R
230,212.,Jose Cruz (30),10,2004,R
231,212.,Roy Cullenbine (30),10,1944,R
232,212.,Joe Cunningham (28),10,1960,L
233,212.,Bibb Falk (30),10,1929,L
234,212.,Johnny Frederick (31),10,1933,L
235,212.,Bob Ganley (32),10,1907,L
236,212.,Ralph Garr (27),10,1973,R
237,212.,Doc Gessler (30),10,1911,L
