,Rank,Player (age that year),Replay Challenges,Year
0,1.,Jeff Banister (53),62,2017
1,2.,Kevin Cash (39),59,2017
2,3.,Andy Green (38),57,2016
3,3.,Rick Renteria (52),57,2014
4,5.,Clint Hurdle (58),55,2016
5,6.,Kevin Cash (37),54,2015
6,6.,Kevin Cash (40),54,2018
7,6.,Mike Matheny (45),54,2016
8,6.,Walt Weiss (52),54,2016
9,10.,Joe Maddon (63),53,2017
10,10.,Don Mattingly (55),53,2016
11,12.,John Farrell (52),52,2015
12,13.,Jeff Banister (52),51,2016
13,13.,Bryan Price (54),51,2016
14,15.,Jeff Banister (51),50,2015
15,15.,Andy Green (41),50,2019
16,15.,Mike Matheny (46),50,2017
17,18.,Bruce Bochy (61),49,2016
18,18.,Kevin Cash (38),49,2016
19,18.,Terry Francona (57),49,2016
20,18.,John Gibbons (54),49,2016
21,18.,Clint Hurdle (59),49,2017
22,18.,Joe Maddon (60),49,2014
23,24.,Kevin Cash (41),48,2019
24,24.,AJ Hinch (41),48,2015
25,24.,Clint Hurdle (60),48,2018
26,24.,Joe Maddon (61),48,2015
27,28.,Dusty Baker (67),47,2016
28,28.,Craig Counsell (45),47,2016
29,28.,John Gibbons (52),47,2014
30,28.,Brian Snitker (61),47,2017
31,28.,Walt Weiss (51),47,2015
32,33.,Bud Black (61),46,2018
33,33.,John Farrell (53),46,2016
34,33.,Fredi Gonzalez (51),46,2015
35,33.,Pete Mackanin (64),46,2016
36,33.,Chris Woodward (43),46,2019
37,38.,John Gibbons (53),45,2015
38,38.,John Gibbons (55),45,2017
39,38.,Torey Lovullo (52),45,2018
40,38.,Paul Molitor+ (61),45,2018
41,38.,Brian Snitker (62),45,2018
42,43.,Andy Green (40),44,2018
43,43.,Clint Hurdle (57),44,2015
44,43.,Gabe Kapler (42),44,2018
45,46.,Alex Cora (42),43,2018
46,46.,Craig Counsell (46),43,2017
47,46.,John Farrell (54),43,2017
48,46.,Gabe Kapler (43),43,2019
49,46.,Joe Maddon (64),43,2018
50,46.,Don Mattingly (58),43,2019
51,52.,Andy Green (39),42,2017
52,52.,Joe Maddon (62),42,2016
53,52.,Bob Melvin (56),42,2018
54,52.,Paul Molitor+ (58),42,2015
55,52.,Mike Scioscia (59),42,2018
56,57.,Don Mattingly (54),41,2015
57,57.,Don Mattingly (57),41,2018
58,57.,Robin Ventura (47),41,2015
59,57.,Ned Yost (63),41,2018
60,61.,Jeff Banister (54),40,2018
61,61.,Ron Gardenhire (56),40,2014
62,61.,Joe Girardi (52),40,2017
63,61.,Dave Martinez (53),40,2018
64,61.,Rick Renteria (56),40,2018
65,61.,Mike Scioscia (56),40,2015
66,67.,Brad Ausmus (45),39,2014
67,67.,Rocco Baldelli (37),39,2019
68,67.,Terry Collins (68),39,2017
69,67.,John Gibbons (56),39,2018
70,67.,AJ Hinch (43),39,2017
71,67.,AJ Hinch (45),39,2019
72,67.,Charlie Montoyo (53),39,2019
73,67.,Dave Roberts (46),39,2018
74,67.,Mike Scioscia (58),39,2017
75,67.,Mike Shildt (50),39,2019
76,67.,Buck Showalter (60),39,2016
77,67.,Robin Ventura (48),39,2016
78,79.,Bud Black (60),38,2017
79,79.,Bud Black (62),38,2019
80,79.,Bruce Bochy (60),38,2015
81,79.,Don Mattingly (53),38,2014
82,79.,Lloyd McClendon (56),38,2015
83,79.,Bryan Price (55),38,2017
84,79.,Mike Scioscia (57),38,2016
85,79.,Scott Servais (52),38,2019
86,87.,Brad Ausmus (48),37,2017
87,87.,Terry Francona (59),37,2018
88,87.,Chip Hale (51),37,2016
89,87.,AJ Hinch (42),37,2016
90,87.,Scott Servais (49),37,2016
91,87.,Scott Servais (51),37,2018
92,87.,Walt Weiss (50),37,2014
93,87.,Ned Yost (61),37,2016
94,95.,Mickey Callaway (44),36,2019
95,95.,Kirk Gibson (57),36,2014
96,95.,Clint Hurdle (61),36,2019
97,95.,Torey Lovullo (53),36,2019
98,95.,Dave Roberts (45),36,2017
99,95.,Mike Scioscia (55),36,2014
100,95.,Robin Ventura (46),36,2014
101,102.,Bruce Bochy (59),35,2014
102,102.,Aaron Boone (45),35,2018
103,102.,Terry Collins (66),35,2015
104,102.,Clint Hurdle (56),35,2014
105,102.,Gabe Kapler (44),35,2020
106,102.,Don Mattingly (56),35,2017
107,102.,Lloyd McClendon (55),35,2014
108,102.,Rick Renteria (55),35,2017
109,102.,Dave Roberts (44),35,2016
110,102.,Ned Yost (59),35,2014
111,112.,Brad Ausmus (47),34,2016
112,112.,David Bell (46),34,2019
113,112.,Craig Counsell (47),34,2018
114,112.,John Farrell (51),34,2014
115,112.,Ron Gardenhire (61),34,2019
116,112.,Fredi Gonzalez (50),34,2014
117,112.,Chip Hale (50),34,2015
118,112.,AJ Hinch (44),34,2018
119,112.,Bob Melvin (54),34,2016
120,112.,Jim Riggleman (65),34,2018
121,112.,Dave Roberts (47),34,2019
122,112.,Scott Servais (50),34,2017
123,112.,Ron Washington (62),34,2014
124,112.,Ned Yost (62),34,2017
125,126.,Bud Black (57),33,2014
126,126.,Alex Cora (43),33,2019
127,126.,Terry Francona (55),33,2014
128,126.,Mike Matheny (47),33,2018
129,126.,Bryan Price (53),33,2015
130,126.,Brian Snitker (60),33,2016
131,126.,Ned Yost (60),33,2015
132,133.,Dusty Baker (68),32,2017
133,133.,Terry Francona (58),32,2017
134,133.,Ron Gardenhire (60),32,2018
135,133.,Torey Lovullo (51),32,2017
136,133.,Joe Maddon (65),32,2019
137,133.,Mike Matheny (43),32,2014
138,133.,Bob Melvin (55),32,2017
