,Rank,Player (age that year),Replay Challenges,Year
139,133.,Ryne Sandberg+ (54),32,2014
140,133.,Matt Williams (48),32,2014
141,142.,Brad Ausmus (50),31,2019
142,142.,Bruce Bochy (62),31,2017
143,142.,Bruce Bochy (63),31,2018
144,142.,Terry Collins (65),31,2014
145,142.,Dave Martinez (54),31,2019
146,142.,Mike Matheny (44),31,2015
147,148.,Rocco Baldelli (38),30,2020
148,148.,Joe Girardi (49),30,2014
149,148.,Joe Girardi (50),30,2015
150,148.,Brandon Hyde (45),30,2019
151,148.,Buck Showalter (59),30,2015
152,148.,Brian Snitker (63),30,2019
153,154.,Mickey Callaway (43),29,2018
154,154.,Joe Girardi (55),29,2020
155,154.,Pete Mackanin (65),29,2017
156,154.,Bob Melvin (53),29,2015
157,154.,Bob Melvin (57),29,2019
158,154.,Charlie Montoyo (54),29,2020
159,154.,Matt Williams (49),29,2015
160,161.,Bruce Bochy (64),28,2019
161,161.,Terry Collins (67),28,2016
162,161.,Craig Counsell (48),28,2019
163,161.,Terry Francona (56),28,2015
164,161.,Joe Girardi (51),28,2016
165,161.,Paul Molitor+ (59),28,2016
166,161.,Paul Molitor+ (60),28,2017
167,161.,Rick Renteria (57),28,2019
168,161.,Buck Showalter (58),28,2014
169,161.,Ned Yost (64),28,2019
170,171.,Brad Ausmus (46),27,2015
171,171.,Terry Francona (60),27,2019
172,171.,Pat Murphy (56),27,2015
173,171.,Bo Porter (41),27,2014
174,171.,Bryan Price (52),27,2014
175,171.,Mike Redmond (43),27,2014
176,171.,Ron Roenicke (57),27,2014
177,171.,Buck Showalter (62),27,2018
178,179.,Terry Francona (61),26,2020
179,179.,Don Mattingly (59),26,2020
180,179.,Bob Melvin (52),26,2014
181,179.,Buck Showalter (61),26,2017
182,183.,Craig Counsell (44),25,2015
183,184.,Kevin Cash (42),24,2020
184,184.,Brandon Hyde (46),24,2020
185,184.,Torey Lovullo (54),24,2020
186,187.,David Bell (47),23,2020
187,187.,Joe Maddon (66),23,2020
188,187.,Bob Melvin (58),23,2020
189,190.,Aaron Boone (46),22,2019
190,191.,Dan Jennings (54),21,2015
191,191.,Pete Mackanin (63),21,2015
192,191.,Ron Roenicke (63),21,2020
193,191.,Chris Woodward (44),21,2020
194,195.,Jayce Tingler (39),20,2020
195,196.,Dave Martinez (55),19,2020
196,196.,Dave Roberts (48),19,2020
197,198.,Luis Rojas (38),18,2020
198,199.,Bud Black (63),17,2020
199,199.,Ron Gardenhire (62),17,2020
200,199.,David Ross (43),17,2020
201,199.,Ryne Sandberg+ (55),17,2015
202,203.,Bud Black (58),15,2015
203,203.,Rick Renteria (58),15,2020
204,205.,Mike Shildt (49),14,2018
205,205.,Brian Snitker (64),14,2020
206,207.,Dusty Baker (71),13,2020
207,208.,Aaron Boone (47),12,2020
208,208.,Scott Servais (53),12,2020
209,208.,Mike Shildt (51),12,2020
210,211.,Craig Counsell (49),10,2020
211,211.,Mike Redmond (44),10,2015
212,211.,Derek Shelton (49),10,2020
213,214.,Tim Bogar (47),9,2014
214,214.,Fredi Gonzalez (52),9,2016
215,216.,Mike Matheny (49),7,2020
216,217.,Ron Roenicke (58),5,2015
217,218.,Rod Barajas (43),4,2019
218,218.,Tom Lawless (57),4,2014
219,218.,Bryan Price (56),4,2018
220,221.,Don Wakamatsu (55),2,2018
221,222.,Lloyd McClendon (61),1,2020
222,222.,Dave Roberts (43),1,2015
223,222.,Alan Trammell+ (56),1,2014
